作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所２	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在
1200	0015	完了	東京都	文京区	鳩山会館　サンルーム	112-0013	東京都文京区音羽1-7-1		35.713751	139.731228	"https://www.google.co.jp/maps/@35.7137627,139.7312477,2a,52y,263h,89.71t/data=!3m7!1e1!3m5!1sJKhpPxBT6vAAAAQJOFNV7A!2e0!3e2!7i13312!8i6656"						星合の空	ホシアイノソラ	第5話で、春日絹代の実家である春日邸の室内のモデル。				ブンキョウク	ホ	13	21	2	
1200	0018	完了	東京都	江東区	有明テニスの森	135-0063	東京都江東区有明2-2-22		35.635241	139.788311	"https://www.google.co.jp/maps/@35.6352867,139.7882435,3a,90y,119.15h,90.79t/data=!3m6!1e1!3m4!1smMQZdciDhGiSLXOcN6nZZw!2e0!7i13312!8i6656"						星合の空	ホシアイノソラ	第10～12話で、桂木眞己たち志城南中男子ソフトテニス部が出場したソフトテニス夏季選手権（第1ブロック）男子個人戦が行われていたテニス場。<br />※2017年11月から改修工事が行われており、作中で描かれていたゲートも撤去済。				コウトウク	ホ	13	8	2	
1200	0001	完了	東京都	大田区	多摩川サイクリングロード（東京都下水道局六郷ポンプ所前）	144-0045	東京都大田区南六郷1-32		35.544615	139.724553	-						星合の空	ホシアイノソラ	第1話で、新城柊真が転校して初登校する朝のカットで、座標地点辺りから西側（六郷水門側）を望む構図で、犬の散歩をする人やランニングをする人などが描かれていた道。				オオタク	ホ	13	5	2	
1200	0002	完了	東京都	大田区	六郷水門	144-0045	東京都大田区南六郷2-35		35.544248	139.723308	"https://www.google.co.jp/maps/@35.5442261,139.7230268,3a,28y,74.67h,87.57t/data=!3m7!1e1!3m5!1sCAoSLEFGMVFpcFBYU2pSTkszbXh5UUdwa19XYnRURWhNcXZDamQxZFVTUkt3Rmp6!2e10!3e12!7i5376!8i2688"						星合の空	ホシアイノソラ	第1話で、新城柊真が、キャプテンを務める弱小男子ソフトテニス部の廃部を回避すべく、桂木眞己を部活に勧誘していた場所。				オオタク	ホ	13	5	2	
1200	0017	完了	東京都	大田区	雑色商店街（リヨン クローバー前）	144-0055	東京都大田区仲六郷2-14		35.550410	139.714741	"https://www.google.co.jp/maps/@35.5504173,139.714735,3a,65y,12.47h,88.05t/data=!3m6!1e1!3m4!1saBMD-WByZynKcOlUVxF5TA!2e0!7i16384!8i8192"						星合の空	ホシアイノソラ	第10話で、八百屋での買い物帰りの桂木眞己と新城柊真が、王寺アラシと遭遇していた場所。				オオタク	ホ	13	5	2	
1200	0006	完了	東京都	大田区	雑色商店街（豊花園前）	144-0055	東京都大田区仲六郷2-15		35.550369	139.714873	"https://www.google.co.jp/maps/@35.5503813,139.7148543,3a,44y,262.51h,89.76t/data=!3m6!1e1!3m4!1sqzWyIVlQ6pvEf99XpELSOQ!2e0!7i13312!8i6656"						星合の空	ホシアイノソラ	第5話で、桂木眞己から家庭の事情を聞いた新城柊真が、部活を休んで眞己を連れてATMで金を下ろしていた商店街。<br />作中では、花屋の豊花園（作中では「富花園」）の横が銀行のATMがある設定になっていました。				オオタク	ホ	13	5	2	
1200	0007	完了	東京都	大田区	ゆうちょ銀行 本店雑色駅前出張所	144-0055	東京都大田区仲六郷2-28-6	雑色商店街内	35.550263	139.715150	"https://www.google.co.jp/maps/@35.5503258,139.7151099,3a,49.4y,200.9h,87.96t/data=!3m6!1e1!3m4!1s3lokAJHtXNAIJBlavAb5sw!2e0!7i13312!8i6656"						星合の空	ホシアイノソラ	第5話で、桂木眞己から家庭の事情を聞いた新城柊真が、部活を休んで眞己を連れて金を下ろしていたATM。<br />作中では、店名が「へいじょう銀行」になっており、隣接する店舗も実在の別の店舗（富花園、MARUTO）に描き替えられています。				オオタク	ホ	13	5	2	
1200	0009	完了	東京都	大田区	東急電鉄 雪が谷大塚駅	145-0066	東京都大田区南雪谷2-2-16		35.591660	139.680925	"https://www.google.co.jp/maps/@35.5915065,139.680881,3a,54.3y,345.33h,93.19t/data=!3m6!1e1!3m4!1sdjZG92Xr6ErlxB2DaJK9BQ!2e0!7i13312!8i6656"						星合の空	ホシアイノソラ	第5話で、「御崎学園」に練習試合に向かう桂木眞己たち志城南中男子ソフトテニス部一行が集合していた駅。<br />第8話で、「旗の岡中学校」に偵察に行く一行が待ち合わせをして、女装した眞己と飛鳥悠汰と初対面していたシーンでは、改札周辺が描かれていました。<br />作中では駅名が「御崎駅」になっていました。				オオタク	ホ	13	5	2	
1200	0010	完了	東京都	大田区	清明学園幼・初・中学校歩道橋	145-0066	東京都大田区南雪谷3-11		35.591782	139.686646	"https://www.google.co.jp/maps/@35.5916297,139.686852,3a,27y,330.46h,94.46t/data=!3m6!1e1!3m4!1s73DIqJUVzMuv8sJMTV0m7w!2e0!7i16384!8i8192"						星合の空	ホシアイノソラ	第5～6話の「御崎学園」での練習試合シーンの挿入カットで描かれていた歩道橋。<br />御崎学園の校舎から、青年館通りを挟んだ向かい側にあるグラウンドに渡るために歩道橋です。				オオタク	ホ	13	5	2	
1200	0011	完了	東京都	大田区	清明学園　グラウンド	145-0066	東京都大田区南雪谷3-11-16		35.591625	139.687165	"https://www.google.co.jp/maps/@35.5916213,139.6868201,3a,37.8y,67.11h,83.16t/data=!3m6!1e1!3m4!1s7-EKngtnqCRYD1W3mSywyA!2e0!7i13312!8i6656"						星合の空	ホシアイノソラ	第5話で、桂木眞己たち志城南中男子ソフトテニス部が練習試合を行った「御崎学園」のグラウンド。				オオタク	ホ	13	5	2	
