作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所２	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在
1238	0001	完了	千葉県	成田市	成田空港第2ターミナル	282-0004	千葉県成田市古込1-1		35.773620	140.388488	-						映画けいおん！	エイガケイオン	平沢唯たち軽音部一行がロンドン行きの飛行機に搭乗していた空港。				ナリタシ	エ	12	18	2	
1238	0002	完了	滋賀県	犬上郡	豊郷小学校 旧校舎	529-1169	滋賀県犬上郡豊郷町石畑518		35.203388	136.232888	"https://www.google.co.jp/maps/@35.2038521,136.2320907,3a,30y,126.6h,92.43t/data=!3m6!1e1!3m4!1sJ1ZHcgYZFi4fCOKXBBnCbQ!2e0!7i13312!8i6656?hl=ja"						映画けいおん！	エイガケイオン	平沢唯たちが通う「桜が丘高校」の校舎のモデル。<br />建築家ウィリアム・メレル・ウォーリズが手がけた建物で、2009年5月に耐震改修工事が行われ、現在は町立図書館や子育て支援センター、老人会などが入居する複合施設として利用されています。2～3階は保存教室となっており、軽音部の部室となっていた3階の音楽準備室も見学することができます。<br />各話でいろんなコスプレをさせられカットネタにされていた銅像は、旧・豊郷村小学校創設のために巨額な寄付をした実業家・古川鉄治郎の像とのこと。				キタムログン	エ	25	13	5	
1238	0003	完了	京都府	京都市	カラオケレインボー 河原町店	604-8041	京都府京都市中京区裏寺町599	赤門ビル2F	35.005799	135.768400	"https://www.google.co.jp/maps/@35.0058843,135.7685703,3a,33y,266.48h,95.37t/data=!3m6!1e1!3m4!1s5W0y8fiH6HKjZ4KDT-W2YA!2e0!7i13312!8i6656"						映画けいおん！	エイガケイオン	平沢唯たち軽音部一行がロンドン旅行の相談に訪れた旅行代理店「サクラツーリスト」の店舗モデル。				キョウトシ	エ	26	10	5	
1238	0004	完了	京都府	京都市	松ヶ崎橋	606-8004	京都府京都市左京区山端川端町		35.051176	135.789086	-						映画けいおん！	エイガケイオン	一人で先に部活から帰る中野梓がおみやげに貰ったお菓子を食べながら渡っていた橋。<br />梓へ贈る曲作りシーンでは、平沢唯たちがこの橋の上で歌っていました。<br />ラストシーンで、平沢唯たちが駆け渡っていたのもこの橋でした。				キョウトシ	エ	26	10	5	
1238	0005	完了	京都府	京都市	叡山電鉄 修学院駅	606-8007	京都府京都市左京区山端壱町田町		35.050225	135.790458	"https://www.google.co.jp/maps/@35.0505834,135.7905374,3a,21.7y,207.54h,86.49t/data=!3m7!1e1!3m5!1sku2AikDK57xfi7mICLR1gg!2e0!6s%2F%2Fgeo1.ggpht.com%2Fcbk%3Fpanoid%3Dku2AikDK57xfi7mICLR1gg%26output%3Dthumbnail%26cb_client%3Dmaps_sv.tactile.gps%26thumb%3D2%26w%3D203%26h%3D100%26yaw%3D354.76306%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192"						映画けいおん！	エイガケイオン	序盤の通学シーンで、駅前を通る平沢唯が、ちょうど駅から出てきた琴吹紬に声をかけられ一緒になっていた駅。<br />ロンドン旅行に出発する唯、秋山澪、田井中律、中野梓が待ち合わせをしていたのもこの駅で、ここから紬の待つ出町柳駅へ向かっていました。				キョウトシ	エ	26	10	5	
1238	0006	完了	京都府	京都市	修学院1号踏切	606-8007	京都府京都市左京区山端壱町田町		35.050571	135.790613	"https://www.google.co.jp/maps/@35.0505179,135.7906671,3a,23.8y,280.74h,88.58t/data=!3m6!1e1!3m4!1sxPxR2xHs5V-QTs3QP5j6gw!2e0!7i16384!8i8192?hl=ja"						映画けいおん！	エイガケイオン	序盤の通学シーンで修学院駅前で平沢唯が電車の通過待ちをしていた踏切。				キョウトシ	エ	26	10	5	
1238	0007	完了	京都府	京都市	白川通北山交差点（修学院病院前）	606-8007	京都府京都市左京区山端壱町田町8		35.049735	135.791947	"https://www.google.co.jp/maps/@35.0497275,135.7921041,3a,19.6y,274.33h,87.92t/data=!3m6!1e1!3m4!1sbHwxkaPm3jN7RFbfzbgelg!2e0!7i16384!8i8192"						映画けいおん！	エイガケイオン	序盤の通学シーンで修学院駅前で一緒になった平沢唯と琴吹紬が一緒に信号待ちをしていた場所。				キョウトシ	エ	26	10	5	
1238	0008	完了	京都府	京都市	白川通り（セントポール修学院前）	606-8081	京都府京都市左京区修学院大林町9-1		35.048371	135.792110	"https://www.google.co.jp/maps/@35.0483451,135.7919658,3a,22y,90.57h,88.32t/data=!3m6!1e1!3m4!1sBlL8hsRdJswRhehu9hBDiQ!2e0!7i13312!8i6656"						映画けいおん！	エイガケイオン	卒業式当日の通学シーンで、ギー太を背負った平沢唯が走っていた場所。<br />作中で描かれていたブティックは閉店済。				キョウトシ	エ	26	10	5	
1238	0009	完了	京都府	京都市	白川通北山交差点	606-8082	京都府京都市左京区修学院鹿ノ下町7		35.049732	135.792156	"https://www.google.co.jp/maps/@35.0497574,135.7920075,3a,39.4y,86.3h,89.89t/data=!3m6!1e1!3m4!1shsu1l8P4iDB2qgKUr3B8sg!2e0!7i13312!8i6656"						映画けいおん！	エイガケイオン	学校帰りシーンで、修学院駅方向へ向かう平沢唯、琴吹紬が、秋山澪、田井中律と別れていた交差点。				キョウトシ	エ	26	10	5	
1238	0010	完了	京都府	京都市	高野川の河岸	606-8104	京都府京都市左京区高野竹屋町		35.044083	135.780604	"https://www.google.co.jp/maps/@35.044488,135.7801653,3a,15y,139.42h,88.31t/data=!3m6!1e1!3m4!1snhzyFgWHu40S2pEAysDBHA!2e0!7i13312!8i6656?hl=ja"						映画けいおん！	エイガケイオン	平沢唯、秋山澪、田井中律、琴吹紬の4人が、中野梓へ贈る曲の練習をしていた場所。				キョウトシ	エ	26	10	5	
1238	0011	完了	京都府	京都市	白川通り（石垣前）	606-8126	京都府京都市左京区一乗寺向畑町		35.047637	135.792088	"https://www.google.co.jp/maps/@35.047641,135.791934,3a,19.4y,89.09h,87.73t/data=!3m6!1e1!3m4!1s9-LXywJmIhibaPCoX6xrZw!2e0!7i13312!8i6656"						映画けいおん！	エイガケイオン	序盤の通学シーンで、先を歩いていた秋山澪、田井中律に、平沢唯と琴吹紬が声をかけて合流していた場所。				キョウトシ	エ	26	10	5	
1238	0012	完了	京都府	京都市	マクドナルド北白川店	606-8163	京都府京都市左京区一乗寺中ノ田町73		35.041908	135.791586	-						映画けいおん！	エイガケイオン	平沢唯たちが、中野梓に贈る曲の作詞を見せあっていた店。				キョウトシ	エ	26	10	5	
1238	0013	完了	京都府	京都市	恵文社 一乗寺店	606-8184	京都府京都市左京区一乗寺払殿町10		35.043961	135.784916	"https://www.google.co.jp/maps/@35.0440397,135.7848936,3a,66y,172.62h,89.08t/data=!3m6!1e1!3m4!1sypFGxo9e9AqJ2GcrxxNm5Q!2e0!7i16384!8i8192"						映画けいおん！	エイガケイオン	中野梓と平沢憂が、ロンドン旅行に向けての参考本を買いに訪れていた本屋。<br />作中では店名が「さくら堂」になっていました。				キョウトシ	エ	26	10	5	
1238	0014	完了	京都府	京都市	叡山電鉄 出町柳駅	606-8205	京都府京都市左京区田中上柳町		35.030514	135.773297	-						映画けいおん！	エイガケイオン	ロンドン旅行に出発する琴吹紬が、平沢唯、秋山澪、田井中律、中野梓に合流していた駅。<br />オープニングで田井中律の弟がピースサインをしていたのもこの駅でした。				キョウトシ	エ	26	10	5	
1238	0015	完了	京都府	京都市	白川通り（京都造形芸術大学前）	606-8252	京都府京都市左京区北白川上終町		35.037516	135.791809	"https://www.google.co.jp/maps/@35.0375914,135.7918058,3a,31.8y,168.39h,80.67t/data=!3m6!1e1!3m4!1sO9cIqkk6Z-z5YI2vsLhXcA!2e0!7i13312!8i6656"						映画けいおん！	エイガケイオン	卒業式当日の通学シーンで、平沢唯、秋山澪、田井中律、琴吹紬の4人が走っていた場所。				キョウトシ	エ	26	10	5	
