作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所２	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在
0109	0001	完了	神奈川県	横浜市	日本丸メモリアルパーク	220-0012	神奈川県横浜市西区みなとみらい2-1-1		35.453777	139.632317		16.0					映画 プリキュアオールスターズDX みんなともだちっ☆奇跡の全員大集合！	エイガプリキュアオールスターズデラックスミンナトモダチッキセキノゼンインダイシュウゴウ	冒頭でみなとみらいの風景として登場。	http://www.nippon-maru.or.jp/	http://www.nippon-maru.or.jp/		ヨコハマシ	エ	14	1	2	
0109	0002	完了	神奈川県	横浜市	横浜中央図書館	220-0032	神奈川県横浜市西区老松町1		35.447416	139.626456		15.0				045-262-0050	映画 プリキュアオールスターズDX みんなともだちっ☆奇跡の全員大集合！	エイガプリキュアオールスターズデラックスミンナトモダチッキセキノゼンインダイシュウゴウ	エンディングのカットでみんなで本を読んだり楽しんでいた図書館。				ヨコハマシ	エ	14	1	2	
0109	0003	完了	神奈川県	横浜市	横浜ワールドポーターズ前	231-0001	神奈川県横浜市中区新港2		35.453277	139.637973		15.0					映画 プリキュアオールスターズDX みんなともだちっ☆奇跡の全員大集合！	エイガプリキュアオールスターズデラックスミンナトモダチッキセキノゼンインダイシュウゴウ	突如出現したフュージョンにキュアピーチ、キュアベリー、キュアパインの3人が応戦した場所。	http://www.yim.co.jp/	http://www.yim.co.jp/		ヨコハマシ	エ	14	1	2	
0109	0004	完了	神奈川県	横浜市	よこはまコスモワールド	231-0001	神奈川県横浜市中区新港2-8-1		35.455217	139.636911		14.0				045-641-6591	映画 プリキュアオールスターズDX みんなともだちっ☆奇跡の全員大集合！	エイガプリキュアオールスターズデラックスミンナトモダチッキセキノゼンインダイシュウゴウ	冒頭でみなとみらいの風景として、エンディングではみんなが遊んでいるカットで登場。	http://www.senyo.co.jp/cosmo/	http://www.senyo.co.jp/cosmo/		ヨコハマシ	エ	14	1	2	
0109	0005	完了	神奈川県	横浜市	赤レンガ倉庫	231-0001	神奈川県横浜市中区新港1-1		35.452394	139.643267		16.0				045-227-2002	映画 プリキュアオールスターズDX みんなともだちっ☆奇跡の全員大集合！	エイガプリキュアオールスターズデラックスミンナトモダチッキセキノゼンインダイシュウゴウ	エンディングでみんなが倉庫前の花畑で遊んでいるカットに登場。花畑は横浜開港150周年記念の時さけのもので現在はありません。	http://www.yokohama-akarenga.jp/			ヨコハマシ	エ	14	1	2	
0109	0006	完了	神奈川県	横浜市	汽車道	231-0001	神奈川県横浜市中区新港2		35.453111	139.635635		14.0					映画 プリキュアオールスターズDX みんなともだちっ☆奇跡の全員大集合！	エイガプリキュアオールスターズデラックスミンナトモダチッキセキノゼンインダイシュウゴウ	桃園ラブ、蒼乃美希、山吹祈里の3人がダンスコンテスト第二審査の会場である横浜コスモワールドへ向かうために渡っていた橋。				ヨコハマシ	エ	14	1	2	
0109	0007	完了	神奈川県	横浜市	汽車道脇の海	231-0001	神奈川県横浜市中区新港2		35.453038	139.636528		15.0					映画 プリキュアオールスターズDX みんなともだちっ☆奇跡の全員大集合！	エイガプリキュアオールスターズデラックスミンナトモダチッキセキノゼンインダイシュウゴウ	シフォンの力を求めるフュージョンが空から落ちて来た場所。				ヨコハマシ	エ	14	1	2	
0109	0008	完了	神奈川県	横浜市	JR 桜木町駅	231-0062	神奈川県横浜市中区桜木町1-1		35.450917	139.631056		"12,.0"					映画 プリキュアオールスターズDX みんなともだちっ☆奇跡の全員大集合！	エイガプリキュアオールスターズデラックスミンナトモダチッキセキノゼンインダイシュウゴウ	桃園ラブ、蒼乃美希、山吹祈里の3人がダンスコンテストの第二審査会場に来るために利用した駅。冒頭に、この駅前でラブが夢原のぞみに道を聞こうと声をかけます。				ヨコハマシ	エ	14	1	2	
0109	0009	完了	神奈川県	横浜市	JR 桜木町駅前 バスターミナル	231-0062	神奈川県横浜市中区桜木町1-1		35.451414	139.631483		16.0					映画 プリキュアオールスターズDX みんなともだちっ☆奇跡の全員大集合！	エイガプリキュアオールスターズデラックスミンナトモダチッキセキノゼンインダイシュウゴウ	冒頭で夏木りんが目的地が間違ってたので引き返すと夢原のぞみを大声で呼んでいた場所です。				ヨコハマシ	エ	14	1	2	
0109	0010	完了	神奈川県	横浜市	中華街大通り	231-0862	神奈川県横浜市中区山下町		35.443151	139.644553		16.0					映画 プリキュアオールスターズDX みんなともだちっ☆奇跡の全員大集合！	エイガプリキュアオールスターズデラックスミンナトモダチッキセキノゼンインダイシュウゴウ	エンディングでもみんなが中華まんを食べているカットの場所。				ヨコハマシ	エ	14	1	2	
