作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所２	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在
0598	0001	完了	東京都	台東区	東京国立博物館	110-8712	東京都台東区上野公園13-9		35.718887	139.776474	"https://www.google.co.jp/maps/@35.7167178,139.7749089,3a,75y,301.73h,95.96t/data=!3m5!1e1!3m3!1s04ieiqGY0RcAAAAGOsu3LA!2e0!3e11?hl=ja"	16		120	3	03-3822-1111	時をかける少女	トキヲカケルショウジョ	紺野真琴がタイムリープのことを相談するために訪ねた、美術修復をしている叔母の芳山和子の職場。ロビーや階段。常設展示場などが忠実に描かれていました。	http://www.tnm.jp/	http://www.tnm.jp/		タイトウク	ト	13	15	2	
0598	0002	完了	東京都	台東区	東京国立博物館 正面階段	110-8712	東京都台東区上野公園13-9		35.718887	139.776474	"https://www.google.co.jp/maps/@35.7186798,139.7763093,3a,75y,31.54h,85.32t/data=!3m5!1e1!3m3!1sSIqfGSlUzB3lfOUGb9yGdw!2e0!3e4?hl=ja"	16		120	1.2	03-3822-1111	時をかける少女	トキヲカケルショウジョ	紺野真琴がタイムリープのことを相談するため、叔母・芳山和子の勤める美術館を訪ねたシーンで描かれていた正面階段。	http://www.tnm.jp/	http://www.tnm.jp/		タイトウク	ト	13	15	2	
0598	0003	完了	東京都	台東区	東京国立博物館 常設展示場	110-8712	東京都台東区上野公園13-9		35.718887	139.776474	"https://www.google.co.jp/maps/@35.7189313,139.7758704,3a,75y,30.15h,90.34t/data=!3m5!1e1!3m3!1se9SuIu1F1Fmvg3NSxeGytg!2e0!3e4?hl=ja"	16		120	3	03-3822-1111	時をかける少女	トキヲカケルショウジョ	紺野真琴がタイムリープのことを相談するため、叔母・芳山和子の勤める美術館を訪ねたシーンで描かれていた展示場。	http://www.tnm.jp/	http://www.tnm.jp/		タイトウク	ト	13	15	2	
0598	0004	完了	東京都	新宿区	中井商店街の先の踏切	161-0032	東京都新宿区中落合1		35.715213	139.687559	"https://www.google.co.jp/maps/@35.7153704,139.6876359,3a,75y,188.69h,98.18t/data=!3m4!1e1!3m2!1svS4zru2W5kfiBbyuW8rNMw!2e0?hl=ja"	16.0					時をかける少女	トキヲカケルショウジョ	紺野真琴が登下校時に渡る踏切で、作中では踏切前まで長い急坂が続いており、下校時に自転車で駆け下っていた真琴が、ブレーキが壊れていたために減速できずに踏切に飛び出してしまい、あわや轢かれるという瞬間に、初めてタイムリープ（時間跳躍）の能力が発動した踏切のモデル。				シンジュクク	ト	13	11	2	
0598	0005	完了	東京都	新宿区	中井商店街	161-0034	東京都新宿区上落合2-20-6		35.714765	139.687193	"https://www.google.co.jp/maps/@35.7148796,139.6872949,3a,75y,218.5h,111.32t/data=!3m4!1e1!3m2!1sfdDfSQmj4Blia0JuezoXlw!2e0?hl=ja"	16.0				03-3361-6262	時をかける少女	トキヲカケルショウジョ	紺野真琴が登下校時に通る「倉野瀬商店街」のモデル。				シンジュクク	ト	13	11	2	
0598	0006	完了	東京都	新宿区	林芙美子記念館	161-0035	東京都新宿区中井2-20-1		35.715853	139.684263	"https://www.google.co.jp/maps/@35.715683,139.68418,3a,75y,90t/data=!3m5!1e2!3m3!1s90559171!2e1!3e10?hl=ja"	17.0				03-5996-9207	時をかける少女	トキヲカケルショウジョ	建物の一部が紺野真琴の家の外観のモデルとなっていました。	http://www.regasu-shinjuku.or.jp/?p=12	http://www.regasu-shinjuku.or.jp/?p=12		シンジュクク	ト	13	11	2	
0598	0007	完了	東京都	中野区	哲学堂公園 併設野球場	165-0024	東京都中野区松が丘1-34-28		35.723033	139.674698	"https://www.google.co.jp/maps/@35.723013,139.674758,192m/data=!3m1!1e3?hl=ja"	15.0				03-3954-4881	時をかける少女	トキヲカケルショウジョ	紺野真琴が間宮千昭、津田功介と野球をしていたグランドのモデル。				ナカノク	ト	13	19	2	
0598	0008	完了	東京都	杉並区	東京女子大学 善福寺キャンパス	167-0041	東京都杉並区善福寺2−6−1		35.710767	139.590422	-					03-5382-6340	時をかける少女	トキヲカケルショウジョ	紺野真琴たちの通う高校のモデル。	http://office.twcu.ac.jp/			スギナミク	ト	13	12	2	
0598	0009	完了	東京都	豊島区	富士見坂	171-0033	東京都豊島区高田1		35.716346	139.717493	"https://www.google.co.jp/maps/@35.7161873,139.7173834,3a,75y,36.92h,80.77t/data=!3m4!1e1!3m2!1sw2VnD2vApurXWXVYVCUFWw!2e0?hl=ja"	16.0					時をかける少女	トキヲカケルショウジョ	紺野真琴が全力疾走していた踏切への坂道のモデル。				トシマク	ト	13	18	2	
0598	0010	完了	東京都	豊島区	分かれ道	171-0033	東京都豊島区高田1		35.714937	139.715167	"https://www.google.co.jp/maps/@35.7149271,139.7150874,3a,75y,81.73h,91.05t/data=!3m4!1e1!3m2!1slLQ2uVVdPNdzXz8sVz9Qlg!2e0?hl=ja"	16.0					時をかける少女	トキヲカケルショウジョ	作中象徴的に描かれていた、学校帰りの紺野真琴が間宮千昭と津田功介と別れる分かれ道。				トシマク	ト	13	18	2	
