作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所2	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在
0098	0001	完了	京都府	京都市	鹿関橋	520-0033	滋賀県大津市大門通4		35.012149	135.857466	"https://www.google.co.jp/maps/@35.0122362,135.8574393,3a,60y,127.29h,86.85t/data=!3m6!1e1!3m4!1s_ED1zwjVF1GlRSZzHls9pw!2e0!7i13312!8i6656"						有頂天家族2	ウチョウテンカゾクツー	第2話で、下鴨矢三郎と一緒に菖蒲池画伯の家から帰る淀川教授が、待ち構えていた天満屋を避けるようにして渡っていた橋で、懇意になろうと言う誘いを淀川教授が断ると、橋から身を投げ、川に浮かべていた小舟に乗って去って行きました。				キョウトシ	ウ	26	10	5	
0098	0002	完了	京都府	京都市	鹿関橋南側の交差点	520-0034	滋賀県大津市三井寺町6		35.011958	135.857481	"https://www.google.co.jp/maps/@35.012124,135.8574559,3a,42y,162.46h,86.67t/data=!3m6!1e1!3m4!1sFO7BJYOeXECwRSeSU1HKhw!2e0!7i13312!8i6656"						有頂天家族2	ウチョウテンカゾクツー	第2話で、下鴨矢三郎と一緒に菖蒲池画伯の家から帰る淀川教授が、待ち構えていた天満屋を避けるようにして渡っていた橋で、懇意になろうと言う誘いを淀川教授が断ると、橋から身を投げ、川に浮かべていた小舟に乗って去って行きました。				キョウトシ	ウ	26	10	5	
0098	0003	完了	京都府	京都市	琵琶湖疎水沿いの道	520-0034	滋賀県大津市三井寺町7		35.012115	135.857649	"https://www.google.co.jp/maps/@35.0121632,135.8577272,3a,22.7y,239.89h,89.03t/data=!3m6!1e1!3m4!1saVsIfN-p5VgwACEdn9fP7w!2e0!7i13312!8i6656"						有頂天家族2	ウチョウテンカゾクツー	第2話で、下鴨矢三郎が淀川教授に呼び出されて菖蒲池画伯の家を訪れたシーンの冒頭カットで描かれていた場所。<br />第10話の矢三郎と淀川教授一緒に菖蒲池画伯の家から帰るシーンで、2人が金曜倶楽部の忘年会の話をしていたのもこの場所でした。				キョウトシ	ウ	26	10	5	
0098	0004	完了	京都府	京都市	四条烏丸交差点	600-8009	京都府京都市下京区函谷鉾町		35.003693	135.759663	"https://www.google.co.jp/maps/@35.0036585,135.7596982,3a,41y,301.32h,106.52t/data=!3m6!1e1!3m4!1s0SWiBzuks9RxqTo4F-Sxzg!2e0!7i13312!8i6656"						有頂天家族2	ウチョウテンカゾクツー	オープニングで、ひょっとこお面の男がラッパを吹いていたカットで、三菱東京UFJ銀行 京都支店前の通りの案内板越しに北西側を望む構図で、LAQUE 四条烏丸が描かれていました。<br />実写合成で描かれたオープニングカットその16。				キョウトシ	ウ	26	10	5	
0098	0005	完了	京都府	京都市	団栗橋から望む鴨川沿いの店々	600-8012	京都府京都市下京区斎藤町		35.002221	135.770954	"https://www.google.com/maps/@35.0021444,135.7710486,3a,15y,344.11h,90.41t/data=!3m6!1e1!3m4!1sEJgmR4Dkx3ydd-M4QH37CA!2e0!7i13312!8i6656"						有頂天家族2	ウチョウテンカゾクツー	オープニングの「美術監督」「色彩設計」のカットで、団栗橋から望む鴨川沿いの上流西岸に建ち並ぶ陣の花などの店々や、店の奥に建つビル群が描かれていました。<br />実写合成で描かれたオープニングカットその8。				キョウトシ	ウ	26	10	5	
0098	0006	完了	京都府	京都市	東華采館	600-8012	京都府京都市下京区斎藤町		35.003576	135.771066	"https://www.google.co.jp/maps/@35.0037912,135.771728,3a,38.2y,248.48h,94.35t/data=!3m6!1e1!3m4!1sEt0KajxNZGilgqonPNHpCA!2e0!7i13312!8i6656"				5	075-221-1147	有頂天家族2	ウチョウテンカゾクツー	第1話で、金光坊が、読書をしながら赤玉先生と二代目の決闘を待っていたビアガーデン。決闘の場となった京都四條 南座とは鴨川を挟んで対岸正面にあり、決闘がよく見える位置にあります。<br />第10話では、ここで偽右衛門選挙に臨む下鴨矢一郎の壮行会が開かれていました。<br />オープニングの「音楽」「音響監督」のカットでは、鴨川を挟んだ対岸から望む構図で、東華采館のビルと、隣にある京料理ちもとの木造3階建ての建物が描かれていました。<br />実写合成で描かれたオープニングカットその9。				キョウトシ	ウ	26	10	5	
0098	0007	完了	京都府	京都市	CANDY JOY	600-8033	京都府京都市下京区寺町通高辻上る		35.000975	135.766972	"https://www.google.co.jp/maps/@35.0009515,135.7668983,3a,75y,69.68h,95.1t/data=!3m6!1e1!3m4!1s8Z_jmXrrZqhx0-Qr_T05Mg!2e0!7i13312!8i6656"				1.5		有頂天家族2	ウチョウテンカゾクツー	第2話で、下鴨矢三郎がアルバイトをしていた寺町の骨董屋「まみあな古美術店」のモデル。<br />作中ではCANDY JOYになる前の古い姿に描き変えられていました。				キョウトシ	ウ	26	10	5	
0098	0008	完了	京都府	京都市	京都タワー	600-8216	京都府京都市下京区東塩小路町721-1		34.987548	135.759352	"https://www.google.co.jp/maps/@34.9865376,135.7602523,3a,42.9y,322.96h,111.47t/data=!3m6!1e1!3m4!1sb5DzCehAPAiipfgOEPCBog!2e0!7i13312!8i6656"				3.5		有頂天家族2	ウチョウテンカゾクツー	第9話冒頭の下鴨矢四郎の見送りシーンで、矢四郎が「これも、京都へ帰ってくるころにはこいつが懐かしくなるのかねぇ」と話しながら見ていたタワー。<br />オープニングでは、巨大な矢三郎がタワーを飛び越える姿が描かれていました。実写合成で描かれたオープニングカットその27。				キョウトシ	ウ	26	10	5	
0098	0009	完了	京都府	京都市	JR 京都駅	600-8216	京都府京都市下京区東塩小路町901		34.986196	135.759132	"https://www.google.co.jp/maps/@34.9862694,135.7591201,2a,25.5y,239.72h,88.26t/data=!3m6!1e1!3m4!1sgaFjXQjuKT8UoDjWmlivtw!2e0!7i13312!8i6656"				4		有頂天家族2	ウチョウテンカゾクツー	第9話冒頭で、旅に出る下鴨矢二郎を、下鴨矢三郎たち兄弟や南禅寺玉瀾が見送っていた駅。				キョウトシ	ウ	26	10	5	
0098	0010	完了	京都府	京都市	出町橋西詰	602-0822	京都府京都市上京区青龍町		35.030359	135.770593	"https://www.google.co.jp/maps/@35.0302428,135.770521,3a,28.6y,34.28h,91.64t/data=!3m6!1e1!3m4!1sHVmVy47Gi8LJN-AVG7v1oQ!2e0!7i13312!8i6656"				3.5		有頂天家族2	ウチョウテンカゾクツー	第5話で、下鴨矢三郎たちが、亡き父・下鴨総一郎の形見の将棋盤に吸い込まれて将棋部屋に落ち、赤玉先生の家に抜け出た後、矢三郎と下鴨矢一郎が、南禅寺玉瀾を見送っていた場所。<br />地下駐車場の通気口越しに3人の姿が描かれており、別カットでは、背後に出町駐車場自転車出入口やマルハン本社ビルなどの周囲のビル、出町橋なども描かれていました。				キョウトシ	ウ	26	10	5	
0098	0011	完了	京都府	京都市	セブンイレブン京都葵橋寺町店	602-0825	京都府京都市上京区表町12-1		35.031329	135.767879	"https://www.google.co.jp/maps/@35.0313255,135.7676754,3a,40.9y,91.65h,86.93t/data=!3m6!1e1!3m4!1s0AuCrOdhMo1oqe7c3AqV0Q!2e0!7i13312!8i6656"					075-255-5737	有頂天家族2	ウチョウテンカゾクツー	第9話で、偽右衛門就任式の見届人を弁天にさせると言い出した赤玉先生を、どうにか説得しようとする「如意ヶ岳薬師坊対策本部」となった車両が駐車していたコンビニ。				キョウトシ	ウ	26	10	5	
0098	0012	完了	京都府	京都市	賀茂大橋西詰から望む鴨川河川敷	602-0841	京都府京都市上京区梶井町		35.029353	135.770959	"https://www.google.co.jp/maps/@35.0291318,135.7708208,3a,28y,42.44h,90.15t/data=!3m6!1e1!3m4!1srzBA9PCArW1xG3CBnKdP6Q!2e0!7i13312!8i6656"						有頂天家族2	ウチョウテンカゾクツー	第9話で、BON BON CAFÉで、旅に出る下鴨矢ニ郎の見送りに来なかった母（桃仙）に会った後の下鴨矢三郎が、大股広げて座っていた河川敷。下鴨矢一郎が、赤玉先生が弁天に偽右衛門就任式の見届人をさせると言い出して騒ぎになっている件で、矢三郎を呼びに来ていました。				キョウトシ	ウ	26	10	5	
0098	0013	完了	京都府	京都市	鴨川デルタ	602-0841	京都府京都市上京区梶井町		35.029460	135.771639	"https://www.google.co.jp/maps/@35.0294667,135.7717383,3a,19.1y,280.38h,72.76t/data=!3m8!1e1!3m6!1sCAoSLEFGMVFpcE1KZmplM2Q5NTVyQWFqYTRfS1Y0QVBTTnQ0Yk9XSXJ2NWt1LWpz!2e10!3e11!6shttps:%2F%2Flh5.googleusercontent.com%2Fp%2FAF1QipMJfje3d955rAaja4_KV4APSNt4bOWIrv5ku-js%3Dw203-h100-k-no-pi-0-ya218.37033-ro0-fo100!7i5376!8i2688"				4.5		有頂天家族2	ウチョウテンカゾクツー	第9話で、旅に出る下鴨矢ニ郎の見送りに来なかった母（桃仙）に会った後の下鴨矢三郎が、大股広げて座っていた鴨川河川敷シーンで、飛び石を渡る人々が描かれていました。<br />第12話では、下鴨矢一郎と南禅寺玉瀾の結婚式シーンからの場面転換カットで賀茂大橋から望むデルタが描かれていました。<br />オープニングの「キャラクター原案：久米田康浩」のカットも鴨川デルタの飛び石でした。<br />「プロデューサー」「アニメーション制作」のカットでは、飛び石辺りから賀茂大橋までをパンするように描かれていました。<br />実写合成で描かれたオープニングカットその4、その20。				キョウトシ	ウ	26	10	5	
0098	0014	完了	京都府	京都市	BON BON CAFÉ	602-0841	京都府京都市上京区梶井町447-5		35.02925	135.770586	"https://www.google.co.jp/maps/@35.0291267,135.7708724,3a,38.7y,297.18h,96.93t/data=!3m6!1e1!3m4!1sk1YHIKjfc-U-oDpaUUwwXA!2e0!7i13312!8i6656"						有頂天家族2	ウチョウテンカゾクツー	第9話で、旅に出る下鴨矢四郎をどうしても見送ることができず、ビリアードをしていた母（桃仙）に下鴨矢三郎が会いに来ていた場所。<br />同話で、下鴨矢一郎が、赤玉先生が弁天に偽右衛門就任式の見届人をさせると言い出して騒ぎになっている件で、矢三郎を呼びに来たシーンでは、テラス席の横を通り過ぎる2人の姿が描かれていました。				キョウトシ	ウ	26	10	5	
