作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所２	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在
0591	0001	完了	東京都	千代田区	JR 東京駅	100-0005	東京都千代田区丸の内1-9-1		35.681377	139.766041	"https://www.google.co.jp/maps/@35.682039,139.763976,3a,75y,112.38h,90.9t/data=!3m4!1e1!3m2!1skwl_Co4xUZN2-w7UWPQ8cg!2e0?hl=ja"	14		120	3		東京マグニチュード8.0	トウキョウマグニチュードハチテンゼロ	オープニングで赤レンガ本駅舎の大地震による惨状が遠景で描かれていました。				チヨダク	ト	13	17	2	
0591	0002	完了	東京都	千代田区	国会議事堂	100-0014	東京都千代田区永田町1-7-1		35.675897	139.744805	"https://www.google.co.jp/maps/@35.676308,139.747006,3a,75y,254.19h,98.02t/data=!3m4!1e1!3m2!1syCok_xV7koRB6lPwjTugYQ!2e0?hl=ja"	15		120	3		東京マグニチュード8.0	トウキョウマグニチュードハチテンゼロ	オープニングで大地震により傷ついた姿が描かれていました。				チヨダク	ト	13	17	2	
0591	0003	完了	東京都	千代田区	万世橋交差点	101-0021	東京都千代田区外神田1		35.697634	139.771119	"https://www.google.co.jp/maps/@35.697267,139.77097,3a,75y,348.51h,107.72t/data=!3m4!1e1!3m2!1s3k7w8I81zEjoJAh-5OsESQ!2e0?hl=ja"	17		120	1.4		東京マグニチュード8.0	トウキョウマグニチュードハチテンゼロ	オープニングでishimaru AKIBAを中心に秋葉原ギーゴなどの大地震による惨状が描かれていました。				チヨダク	ト	13	17	2	
0591	0004	完了	東京都	千代田区	万世橋交差点	101-0021	東京都千代田区外神田1		35.697634	139.771119		17		0			東京マグニチュード8.0	トウキョウマグニチュードハチテンゼロ	第13話でソフマップの公式テーマソング「ハローソフマップワールド」を歌いながら秋葉原を行進をするシーンで最後で「イェーイ」と5人が飛びあがっていた場所。石丸電機ビルを左にJR線の高架を望むアングルで描かれていました。				チヨダク	ト	13	17	2	
0591	0005	完了	東京都	中央区	日本橋	103-0022	東京都中央区日本橋室町1		35.684045	139.774458	"https://www.google.co.jp/maps/@35.683972,139.774443,3a,75y,283.66h,96.93t/data=!3m4!1e1!3m2!1sQqShaELP9X99eLdXr8uiTA!2e0?hl=ja"	17		120	1		東京マグニチュード8.0	トウキョウマグニチュードハチテンゼロ	オープニングで麒麟の像の前を小野沢未来、小野沢悠貴、日下部真理の3人が歩く姿が描かれていました。				チュウオウク	ト	13	16	2	
0591	0006	完了	東京都	中央区	銀座通り口交差点	104-0061	東京都中央区銀座1		35.67476	139.76878	"https://www.google.co.jp/maps/@35.675087,139.769183,3a,75y,223.52h,97.64t/data=!3m4!1e1!3m2!1sKoieNtyeFwDCiqHFk7XMCA!2e0?hl=ja"	17		120	3		東京マグニチュード8.0	トウキョウマグニチュードハチテンゼロ	オープニングでここから銀座一丁目方面のビル郡の大地震による惨状が描かれています。右下端にバスが横転した高速道路が見られます。カワイピアノのビル看板はすでに撤去済みで存在しません。				チュウオウク	ト	13	16	2	
0591	0007	完了	東京都	中央区	銀座四丁目交差点	104-0061	東京都中央区銀座5		35.671284	139.765073	"https://www.google.co.jp/maps/@35.6711075,139.7648937,3a,75y,12.13h,108.87t/data=!3m4!1e1!3m2!1smnk_QFyfYJHBsJrsJVJvHA!2e0?hl=ja"	17		120	1.3		東京マグニチュード8.0	トウキョウマグニチュードハチテンゼロ	オープニングで和光ビルを中心に三越などの巨大地震による惨状が描かれていました。				チュウオウク	ト	13	16	2	
0591	0008	完了	東京都	港区	東京タワー	105-0011	東京都港区芝公園4-2-8		35.658599	139.745417	"https://www.google.co.jp/maps/@35.6586542,139.7464064,3a,75y,266.02h,129.93t/data=!3m4!1e1!3m2!1szlvx2Qoje8bHaJwzgk5X0A!2e0?hl=ja"	17		120	1		東京マグニチュード8.0	トウキョウマグニチュードハチテンゼロ	オープニングのタイトル背景に大地震で損壊した姿が描かれていました。また、第4話では小野沢未来たちが休憩をした芝公園からの背景に描かれており、倒壊してしまいます。	http://www.tokyotower.co.jp/	http://www.tokyotower.co.jp/		ミナトク	ト	13	22	2	
0591	0009	完了	東京都	港区	芝公園グランド前交差点	105-0011	東京都港区芝公園2		35.653997	139.749814	"https://www.google.co.jp/maps/@35.6540373,139.7500615,3a,75y,319.38h,95.71t/data=!3m4!1e1!3m2!1s50haUTYAoY2ZWLnlB4fS8Q!2e0?hl=ja"	17		120	2.2		東京マグニチュード8.0	トウキョウマグニチュードハチテンゼロ	第4話で日の出桟橋から世田谷へ向かう小野沢未来たちが歩いていた場所で、この辺りで未来が腹痛を起こします。				ミナトク	ト	13	22	2	
0591	0010	完了	東京都	港区	芝公園	105-0011	東京都港区芝公園		35.65567	139.749205		15		0			東京マグニチュード8.0	トウキョウマグニチュードハチテンゼロ	第4話で世田谷への道中で小野沢未来たちが休憩した公園。ランプ出口近くには、日下部真理が小野沢悠貴の手当てをしていたベンチもあります。				ミナトク	ト	13	22	2	
