作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所２	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在
0588	0001	完了	東京都	千代田区	呉服橋ガード	100-0005	東京都千代田区丸の内1-7		35.684194	139.767775	"https://www.google.co.jp/maps/@35.6842838,139.7676304,3a,41.8y,132.81h,90.67t/data=!3m4!1e1!3m2!1s3r_ZJ0ldJsJrOIZzTAsIgA!2e0?hl=ja"	18		120	1.5		東京喰種トーキョーグール	トーキョーグール	第1話の金木研と神代利世とのデートシーンで、2人が歩いていた高架下。				チヨダク	ト	13	17	2	
0588	0002		東京都	台東区	隅田公園	111-0051	東京都台東区蔵前1-1		35.699213	139.791395		17		0			東京喰種トーキョーグール	トーキョーグール	第11話。座標地点の階段から蔵前橋方向を望む構図で描かれていました。				タイトウク	ト	13	15	2	
0588	0003	完了	東京都	文京区	春日二丁目児童遊園	112-0003	東京都文京区春日2-11		35.712394	139.741219	"https://www.google.co.jp/maps/@35.712327,139.741116,3a,75y,90t/data=!3m5!1e2!3m3!1s64705501!2e1!3e10"	17		0			東京喰種トーキョーグール	トーキョーグール	第1話のデート帰りに、金木研が神代利世を家まで送るシーンで描かれていた公園。				ブンキョウク	ト	13	21	2	
0588	0004		東京都	文京区	トンネル	112-0006	東京都文京区小日向4-1		35.713160	139.740171	"https://www.google.co.jp/maps/@35.713785,139.739756,3a,18.1y,143.5h,85.63t/data=!3m4!1e1!3m2!1sWQ3_pYxnG9w5y0LxIwrfXQ!2e0?hl=ja"	17		120	5		東京喰種トーキョーグール	トーキョーグール	第11話				ブンキョウク	ト	13	21	2	
0588	0005	完了	東京都	渋谷区	エンポリオ・アルマーニ　表参道店前	150-0001	東京都渋谷区神宮前5-2-29		35.666306	139.709503	"https://www.google.co.jp/maps/@35.6665285,139.7096159,3a,53.3y,213.51h,88.23t/data=!3m5!1e1!3m3!1s-zmRf5fdpsX_ffQF8ynhrQ!2e0!5s2014-07"	18		120	2.5	03-5778-1631	東京喰種トーキョーグール	トーキョーグール	第1話の金木研と神代利世とのデート終わりに2人が話していた場所で、利世が金子に家まで送ってくれるよう誘っていた場所。				シブヤク	ト	13	10	2	
0588	0006	完了	東京都	渋谷区	ルイ・ヴィトン 表参道店 前	150-0001	東京都渋谷区神宮前5-7-5		35.666684	139.708958	"https://www.google.co.jp/maps/@35.6668079,139.7087327,3a,31.1y,84.25h,92.66t/data=!3m5!1e1!3m3!1sxgmiAw8I2-0AAAAGOp5HZA!2e0!3e11"	18		120	2	0120-00-1854	東京喰種トーキョーグール	トーキョーグール	第1話の金木研と神代利世とのデートシーンで、2人が歩いていた場所。右手にルイ・ヴィトン表参道店が確認できます。	http://jp.louisvuitton.com/jpn-jp/point-of-sale/japan/louis-vuitton-tokyo-omotesando			シブヤク	ト	13	10	2	
0588	0007	完了	東京都	渋谷区	表参道 横断歩道（都道413号線）	150-0001	東京都渋谷区神宮前5-8		35.667186	139.708058	"https://www.google.co.jp/maps/@35.6671991,139.7081519,3a,75y,307.04h,90.65t/data=!3m4!1e1!3m2!1s0ApzSzDWov6OhEEGKOaa5g!2e0"	18		120	3		東京喰種トーキョーグール	トーキョーグール	第1話の金木研と神代利世とのデートシーンで、2人が歩いていた場所。明治神宮側を望む構図で、右手に表参道ヒルズ西館が描かれていました。				シブヤク	ト	13	10	2	
0588	0008		東京都	渋谷区	宮下公園 階段	150-0002	東京都渋谷区渋谷1-26		35.661609	139.701915	"https://www.google.co.jp/maps/@35.6618256,139.7022174,3a,15.8y,239.53h,94.61t/data=!3m4!1e1!3m2!1s3sKqf-xaVZ3LLucP65Je6g!2e0"	18		120	1.5		東京喰種トーキョーグール	トーキョーグール	第9話				シブヤク	ト	13	10	2	
0588	0009	完了	東京都	新宿区	靖国通り	160-0021	東京都新宿区歌舞伎町1-16		35.693569	139.701414	"https://www.google.co.jp/maps/@35.6935694,139.7014222,3a,62.5y,111.16h,92.42t/data=!3m5!1e1!3m3!1sq2UcYwdYr0YAAAGusnQeZg!2e0!3e11?hl=ja"						東京喰種トーキョーグール	トーキョーグール	第1話で高槻泉サイン会目的で外出したものの、間に合わず、とぼとぼと帰路につく金木研が渡っていた道。				シンジュクク	ト	13	11	2	
0588	0010	完了	東京都	新宿区	歌舞伎町さくら通り	160-0021	東京都新宿区歌舞伎町1-7		35.694227	139.702644	"https://www.google.co.jp/maps/@35.6944602,139.7027686,3a,75y,183.74h,96.23t/data=!3m4!1e1!3m2!1s9sGoo5eKHnJRRs6IoQxWiA!2e0"						東京喰種トーキョーグール	トーキョーグール	第3話で金木研と霧嶋董香が、マスク作りを依頼するためにウタの店「HySy ArtMask Studio」へ向かうシーンで、2人が歩いていた通り。				シンジュクク	ト	13	11	2	
0588	0011	完了	東京都	新宿区	新宿区役所通り交差点	160-0021	東京都新宿区歌舞伎町2-10		35.694968	139.704304	"https://www.google.co.jp/maps/@35.6949243,139.7042827,3a,37.5y,15.97h,87.28t/data=!3m4!1e1!3m2!1sXXxzUE5LNp2K89wimZ_BJA!2e0?hl=ja"						東京喰種トーキョーグール	トーキョーグール	第1話で、永近英良が、金木研から神代利世とデートすることになったことを電話で聞いていた場所で、背景に野郎寿司本店の看板が確認できます（作中では野郎の文字が「太郎」になっていました）。上空を仰ぎ見た構図では、風鈴会館と梅村ビルが描かれており、建設中の新宿東宝ビル辺りに、練馬区役所に似た建物が描き足されていました。				シンジュクク	ト	13	11	2	
0588	0012	完了	東京都	新宿区	歌舞伎町交差点	160-0022	東京都新宿区新宿3-22		35.693559	139.701427	"https://www.google.co.jp/maps/@35.6935694,139.7014222,3a,75y,202.66h,57.71t/data=!3m5!1e1!3m3!1sq2UcYwdYr0YAAAGusnQeZg!2e0!3e11?hl=ja"						東京喰種トーキョーグール	トーキョーグール	第1話で高槻泉サイン会目的で外出したものの、間に合わず、とぼとぼと帰路につく金木研が、空腹から人間の臭いに食欲を駆り立てっれている自分を自覚していた交差点。				シンジュクク	ト	13	11	2	
0588	0013	完了	東京都	新宿区	JR 新宿駅 東口前	160-0022	東京都新宿区新宿3-38-1		35.691807	139.700964	"https://www.google.co.jp/maps/@35.6920075,139.7008658,3a,90y,96.54h,94.14t/data=!3m4!1e1!3m2!1sqivj5I68IKUg7lAwPFKOIQ!2e0?hl=ja"						東京喰種トーキョーグール	トーキョーグール	第3話で金木研がウタにマスク作りの依頼をしに行くため、霧嶋董香と待ち合わせしていた場所。				シンジュクク	ト	13	11	2	
