作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所２	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在
0326	0001	完了	東京都	千代田区	秋葉原ラジオセンター	101-0021	東京都千代田区外神田1-14-2		35.698472	139.771663	-	18		0		03-3255-9903	極黒のブリュンヒルデ	ゴクコクノブリュンヒルデ	第7話で村上良太とカズミ＝シュリーレンツァウアーが、ネット接続機器の部品を買っていた場所。作中では名称が「ラヂオセンター」に変えられていました。店舗に「ベルト理想測定器」の文字が見られるので、東洋計測器1～3号店のいずれかだと思われます。				チヨダク	コ	13	17	2	
0326	0002	完了	東京都	千代田区	ミツワデンキ前	101-0021	東京都千代田区外神田1-14-3		35.698632	139.771463	"https://www.google.co.jp/maps/@35.698801,139.771337,3a,15y,133.05h,90.32t/data=!3m4!1e1!3m2!1s2cjW-EInpVgREUiKX0Yldg!2e0?hl=ja"	18		120	3		極黒のブリュンヒルデ	ゴクコクノブリュンヒルデ	第7話でカズミ＝シュリーレンツァウアーと一緒にネット接続機器の部品を買いに来た村上良太が、カズミに行きたがっていたメイド喫茶に行こうかと誘っていた場所。作中ではミツワデンキの文字が「ミンワデンキ」になていました。				チヨダク	コ	13	17	2	
0326	0003	完了	東京都	千代田区	アキバ☆ソフマップ1号店	101-0021	東京都千代田区外神田3-13-12	IMYビル	35.700307	139.771199	"https://www.google.co.jp/maps/@35.700058,139.771351,3a,37.5y,327.99h,93.95t/data=!3m4!1e1!3m2!1stlE9U6xNZFt5np2UEdQ2CA!2e0"	17		120	2.2	03-3253-9190	極黒のブリュンヒルデ	ゴクコクノブリュンヒルデ	第7話で村上良太と一緒に秋葉原に来たカズミ＝シュリーレンツァウアーが、店前の男たちを指さして「あそこにおるのみんな童貞か」と聞いていた店。作中では店名が「ワフマップ」になっていました。	http://www.sofmap.com/tenpo/topics/exec/_/id=shop/-/sid=akb-sofmap1	http://www.sofmap.com/tenpo/topics/exec/_/id=shop/-/sid=akb-sofmap1		チヨダク	コ	13	17	2	
0326	0004	完了	東京都	千代田区	コミックとらのあな 秋葉原店A	101-0021	東京都千代田区外神田4-3-1	秋葉原西口ビル	35.700448	139.771713	"https://www.google.co.jp/maps/@35.700398,139.771503,3a,37.5y,65.44h,86.82t/data=!3m4!1e1!3m2!1smsoR5Yp2aij56zxeQZBXwA!2e0"	18		120	3		極黒のブリュンヒルデ	ゴクコクノブリュンヒルデ	第7話で村上良太と一緒に秋葉原に来たカズミ＝シュリーレンツァウアーが、店前の男たちを見て「パッとせんオタクばっかり、ようけおる」と言っていた店。	http://www.toranoana.jp/shop/akihabara/			チヨダク	コ	13	17	2	
0326	0005	完了	東京都	千代田区	秋葉原UDX	101-0021	東京都千代田区外神田4-14-1		35.700345	139.772275	"https://www.google.co.jp/maps/@35.700156,139.772094,3a,75y,76.3h,97.45t/data=!3m4!1e1!3m2!1s5d0V3EpQnVS81wyZCii0pA!2e0"	16		120	1		極黒のブリュンヒルデ	ゴクコクノブリュンヒルデ	第7話でネット接続機器の部品を買いに来た村上良太とカズミ＝シュリーレンツァウアーが、黒羽寧子から預かった端末の電源を入れてみた場所。	http://www.akiba-cross.jp/	http://www.akiba-cross.jp/		チヨダク	コ	13	17	2	
0326	0006	完了	東京都	三鷹市	国立天文台 天文台歴史館（大赤道儀室）	181-8588	東京都三鷹市大沢2-21-1		35.674265	139.536742						0422-34-3600	極黒のブリュンヒルデ	ゴクコクノブリュンヒルデ	村上良太が毎日星を観察していた信濃大付属高校天文部の天文台で、後に黒羽寧子たちが隠れ住むことになった場所。				ミタカシ	コ	13	47	2	
0326	0007	完了	神奈川県	鎌倉市	鎌倉大仏殿高徳院	248-0016	神奈川県鎌倉市長谷4-2-28		35.316843	139.535725	"https://www.google.co.jp/maps/@35.31662,139.535554,3a,40.2y,33.57h,97.73t/data=!3m5!1e1!3m3!1sbaFMH1q-dBH-coSVCvmkqw!2e0!3e5?hl=ja"	16.0				0467-22-0703	極黒のブリュンヒルデ	ゴクコクノブリュンヒルデ	第4話の学校の夏合宿（社会見学）で、村上良太と黒羽寧子たちが訪れた観光地。				カマクラシ	コ	14	11	2	
0326	0008	完了	神奈川県	鎌倉市	佐助稲荷神社	248-0017	神奈川県鎌倉市佐助2-22-10		35.324383	139.53889	"https://www.google.co.jp/maps/@35.324464,139.539377,3a,75y,90t/data=!3m5!1e2!3m3!1s82831990!2e1!3e10?hl=ja"	16.0				0467-22-4711	極黒のブリュンヒルデ	ゴクコクノブリュンヒルデ	第4話の学校の夏合宿（社会見学）で、村上良太と黒羽寧子たちが訪れた観光地。	http://www.treep.jp/kamakura/cate_jinjya/sasukeinari.html	http://www.treep.jp/kamakura/cate_jinjya/sasukeinari.html		カマクラシ	コ	14	11	2	
0326	0009	完了	神奈川県	鎌倉市	成就院	248-0023	神奈川県鎌倉市極楽寺1-1-5		35.309193	139.531661	"https://www.google.co.jp/maps/@35.309351,139.531091,3a,75y,90t/data=!3m5!1e2!3m3!1s82464053!2e1!3e10?hl=ja"	16.0				0467-22-3401	極黒のブリュンヒルデ	ゴクコクノブリュンヒルデ	第4話の学校の夏合宿（社会見学）で、村上良太と黒羽寧子たちが訪れた観光地。	http://www5e.biglobe.ne.jp/~jojuin/	http://www5e.biglobe.ne.jp/~jojuin/		カマクラシ	コ	14	11	2	
0326	0010	完了	神奈川県	鎌倉市	江ノ島電鉄 極楽寺駅	248-0023	神奈川県鎌倉市極楽寺3-7-4		35.309222	139.528722	"https://www.google.co.jp/maps/@35.309124,139.528853,3a,75y,314.16h,81.02t/data=!3m4!1e1!3m2!1s0tgJVd75O0AqxiH18_s2Bg!2e0?hl=ja"	13.0					極黒のブリュンヒルデ	ゴクコクノブリュンヒルデ	第4話の学校の夏合宿（社会見学）で、村上良太と黒羽寧子たちが訪れた観光地。				カマクラシ	コ	14	11	2	
