作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所2	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在
0357	0001	完了	北海道	旭川市	旭川医科大学病院	078-8510	北海道旭川市緑が丘東２条1−1−1		43.729853	142.384160	"https://www.google.co.jp/maps/@43.7309503,142.3828185,3a,30.9y,128.55h,96.56t/data=!3m6!1e1!3m4!1sgcjbZLPMnkrvi1c-u3GL9Q!2e0!7i13312!8i6656"	15.0		120	3	0166-65-2111	櫻子さんの足下には死体が埋まっている	サクラコサンノアシモトニハシタイガウマッテイル	第11話で、九条櫻子を庇って刺津々見三奈美にされた館脇正太郎が入院していた病院。				アサヒカワシ	サ	1	2	1	
0357	0002	完了	北海道	旭川市	デリフランス イオンモール旭川駅前店	070-0030	北海道旭川市宮下通7-2-5	イオンモール旭川駅前1F	43.763205	142.357592	-	15.0		0		0166-29-2717	櫻子さんの足下には死体が埋まっている	サクラコサンノアシモトニハシタイガウマッテイル	第6話冒頭で、鴻上百合子が友人たちとお茶していた喫茶店。				アサヒカワシ	サ	1	2	1	
0357	0003	完了	北海道	旭川市	フィール旭川 前	070-0031	北海道旭川市一条通8-108		43.765588	142.359173	"https://www.google.co.jp/maps/@43.7650043,142.3588569,3a,24.8y,22.67h,97.41t/data=!3m6!1e1!3m4!1s2Cr08_OEno073qIYNil5xg!2e0!7i13312!8i6656!6m1!1e1"	17.0		120	1.7		櫻子さんの足下には死体が埋まっている	サクラコサンノアシモトニハシタイガウマッテイル	第12話本編冒頭の街のカットで描かれていた通り。				アサヒカワシ	サ	1	2	1	
0357	0004	完了	北海道	旭川市	旭川駅 前	070-0030	北海道旭川市宮下通8-2		43.763444	142.358010	"https://www.google.co.jp/maps/@43.7636917,142.358158,3a,52y,21.34h,92.46t/data=!3m6!1e1!3m4!1sys-waMyjFIREDuPA_SSE_Q!2e0!7i13312!8i6656"						櫻子さんの足下には死体が埋まっている	サクラコサンノアシモトニハシタイガウマッテイル	第6話の旭川夏祭りシーンの冒頭カットは旭川駅前で、イオンモール旭川駅前、藤田観光ワシントンホテル旭川、西武旭川店などの建物が描かれていました。				アサヒカワシ	サ	1	2	1	
0357	0005	完了	北海道	旭川市	旭川中央警察署	070-0036	北海道旭川市六条通10		43.770378	142.366729	"https://www.google.co.jp/maps/@43.7697184,142.3668751,3a,30y,346.13h,97.31t/data=!3m6!1e1!3m4!1sAhec0PBbRACsY-7frPgOJA!2e0!7i13312!8i6656"	17.0		0			櫻子さんの足下には死体が埋まっている	サクラコサンノアシモトニハシタイガウマッテイル	第11話で、圓一重を自首させるために磯崎先生が付き添い訪れていた警察署。				アサヒカワシ	サ	1	2	1	
0357	0006	完了	北海道	旭川市	平和通買物公園 手の噴水	070-0038	北海道旭川市八条通8		43.773139	142.363358	"https://www.google.co.jp/maps/@43.773297,142.363316,3a,19y,151.24h,90.6t/data=!3m6!1e1!3m4!1sozzrMHCOd1FEOO6AzXZqmQ!2e0!7i13312!8i6656"	17.0		120	3		櫻子さんの足下には死体が埋まっている	サクラコサンノアシモトニハシタイガウマッテイル	第6話で鴻上百合子が、この噴水前で、旭川夏祭りに行く友人たちと待ち合わせをしていました。				アサヒカワシ	サ	1	2	1	
0357	0007	完了	北海道	旭川市	旭川常盤ロータリー 脇	070-0038	北海道旭川市八条通6		43.774501	142.361845	"https://www.google.co.jp/maps/@43.7746088,142.3618065,3a,19.9y,330.9h,89.09t/data=!3m7!1e1!3m5!1sJyga2hAZUBQJf3Q9bbVbvQ!2e0!6s%2F%2Fgeo0.ggpht.com%2Fcbk%3Fpanoid%3DJyga2hAZUBQJf3Q9bbVbvQ%26output%3Dthumbnail%26cb_client%3Dmaps_sv.tactile.gps%26thumb%3D2%26w%3D203%26h%3D100%26yaw%3D12.466155%26pitch%3D0!7i13312!8i6656"	16.0		120	3		櫻子さんの足下には死体が埋まっている	サクラコサンノアシモトニハシタイガウマッテイル	第1話で館脇正太郎が、物語の舞台である旭川市を紹介するモノローグシーンの旭川市の風景カットの一つで、旭川常盤ロータリーの方を眺める正太郎の背景に、座標地点から北側を望む構図で、常盤公園沿いの道を、遥か石狩川を越えたライフインもとまちやホテルセリーヌまで、望遠レンズでとらえたような形で描かれていました。				アサヒカワシ	サ	1	2	1	
0357	0008	完了	北海道	旭川市	旭橋上流左岸広場（フラワーランド）	070-0029	北海道旭川市金星町1-1		43.778285	142.361734	-	16.0		0			櫻子さんの足下には死体が埋まっている	サクラコサンノアシモトニハシタイガウマッテイル	第6話で、磯崎齋先生と鴻上百合子が、旭橋で拾った封筒の中の指輪と手紙を確認し、油性ペンを使ってダイヤが本物か実験していた場所。ベンチと東屋も実在します。背後に描かれていた鉄塔はNTT東日本旭川市外ビルの屋上にある電波塔です。				アサヒカワシ	サ	1	2	1	
0357	0009	完了	北海道	旭川市	旭橋	070-0043	北海道旭川市常盤通3		43.778280	142.360265	-	15.0		0			櫻子さんの足下には死体が埋まっている	サクラコサンノアシモトニハシタイガウマッテイル	第6話。旭川夏祭りに向かう鴻上百合子と友人とその彼氏たちが渡っていた鉄橋。南岸東側から望む橋の全景が描かれており、直前カットのタワーに見えるものは、旭橋の両端にある親柱灯飾塔です。				アサヒカワシ	サ	1	2	1	
0357	0010	完了	北海道	旭川市	旭川常盤ロータリー	070-0043	北海道旭川市常盤通1		43.774687	142.362477	"https://www.google.co.jp/maps/@43.7744512,142.3622432,3a,49.1y,52.07h,103.92t/data=!3m6!1e1!3m4!1sv4c3hyEjh2LNCs3MXFZB6Q!2e0!7i13312!8i6656"	15.0		120	1.4		櫻子さんの足下には死体が埋まっている	サクラコサンノアシモトニハシタイガウマッテイル	第1話で館脇正太郎が、物語の舞台である旭川市を紹介するモノローグシーンの旭川市の風景カットの一つで、ロータリーとシンボルタワー、背後のマンションなどが描かれていました。				アサヒカワシ	サ	1	2	1	
0357	0011	完了	北海道	旭川市	末広5条12丁目交差点	071-8134	北海道旭川市末広四条12		43.821860	142.392612	"https://www.google.co.jp/maps/@43.8217854,142.3927045,3a,29y,328.5h,87.91t/data=!3m6!1e1!3m4!1sLQ5Ew8pHWrdun-tbfThZ2g!2e0!7i13312!8i6656"	17.0		0			櫻子さんの足下には死体が埋まっている	サクラコサンノアシモトニハシタイガウマッテイル	第4話で、九条櫻子と館脇正太郎が、呪いに悩んでいる藤岡の家へ向かうシーンで信号待ちをしていた交差点。				アサヒカワシ	サ	1	2	1	
0357	0012	完了	北海道	旭川市	旭川明成高等学校	070-0823	北海道旭川市緑町14		43.784943	142.334566	"https://www.google.co.jp/maps/@43.7853972,142.3352347,3a,31.5y,218.72h,95.81t/data=!3m6!1e1!3m4!1sxT9NA7BnFUCqX0szKvY0mw!2e0!7i13312!8i6656"	15.0		120	3	0166-51-3220	櫻子さんの足下には死体が埋まっている	サクラコサンノアシモトニハシタイガウマッテイル	館脇正太郎の通う「明聖高等学校」のモデル。	http://www.takarada.ed.jp/meisei/			アサヒカワシ	サ	1	2	1	
0357	0013	完了	北海道	旭川市	旭山動物園	078-8205	北海道旭川市東旭川町倉沼		43.768589	142.475928	"https://www.google.co.jp/maps/@43.7689033,142.475485,3a,15y,133.77h,93.7t/data=!3m6!1e1!3m4!1s14V3JQNCfXXthiDjaFPuYA!2e0!7i13312!8i6656"	15.0		120	3		櫻子さんの足下には死体が埋まっている	サクラコサンノアシモトニハシタイガウマッテイル	第1話で館脇正太郎が、物語の舞台である旭川市を紹介するモノローグシーンの旭川市の風景カットの一つで、正門が描かれていました。				アサヒカワシ	サ	1	2	1	
0357	0014	完了	北海道	旭川市	住宅	078-8239	北海道旭川市豊岡九条8-2-10		43.766088	142.417517	"https://www.google.co.jp/maps/@43.7661907,142.417679,3a,34y,237.33h,92.65t/data=!3m6!1e1!3m4!1sfxGnpY8TVlhm_XXuv4x-wQ!2e0!7i13312!8i6656?hl=ja"	17.0		120	2.1		櫻子さんの足下には死体が埋まっている	サクラコサンノアシモトニハシタイガウマッテイル	第2話で、いいちゃんの母親が殺害された事件現場である富永家の住宅。				アサヒカワシ	サ	1	2	1	
