作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所2	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在
0453	0001	完了	埼玉県	和光市	本田技術研究所	351-0113	埼玉県和光市中央1-4-1		35.781302	139.615089	"https://www.google.co.jp/maps/@35.7809327,139.6144652,3a,40.6y,66.36h,98.17t/data=!3m6!1e1!3m4!1sp_3FqIoe4DoGI_j-XLFeSg!2e0!7i13312!8i6656"	17.0				048-461-2511	正解するカド	セイカイスルカド	カドやワムの解析を担当した品輪彼方や、ノーベル賞受賞の物理学者・御船哲人が所員となっている「国立研究開発法人総合毛額研究所」のモデル。				ワコウシ	セ	11	11	2	
0453	0002	完了	東京都	千代田区	中央合同庁舎2号館	100-0013	東京都千代田区霞が関2-1-2		35.675516	139.751431	"https://www.google.co.jp/maps/@35.6729569,139.7503024,3a,20.7y,14.43h,105.23t/data=!3m6!1e1!3m4!1sRBceZRRdivlDMmmqhvquFw!2e0!7i13312!8i6656"	17			4.5		正解するカド	セイカイスルカド	第0話で、半年間に出向していた真道幸路朗と花森瞬が引っ越し準備をしていた総務省情報通信国際戦略局国際政策課の入っているビル。				チヨダク	セ	13	17	2	
0453	0003	完了	東京都	千代田区	中央合同庁舎８号館	100-8914	東京都千代田区永田町1-6-1		35.672554	139.745206	"https://www.google.co.jp/maps/@35.6731252,139.7443802,3a,53.9y,118.8h,106.29t/data=!3m6!1e1!3m4!1s5uzlRyrNAros7r4p62OCwA!2e0!7i13312!8i6656"	16					正解するカド	セイカイスルカド	第0話で、多目的ホールの建設のため、相模原市の刑部鍍金の用地買収を依頼された真道幸路朗が、交渉の意図を把握するために依頼主である内閣府事務次官の五十嵐英治と会うために訪れた庁舎。第1話冒頭の、人々がカド出現のニュースをスマホで見ていたシーンでも描かれていました。				チヨダク	セ	13	17	2	
0453	0004	完了	東京都	港区	羅生門	105-0004	東京都港区新橋1-13-8		35.667768	139.758026	-	19				03-3591-7539	正解するカド	セイカイスルカド	第0話。相模原市の刑部鍍金の用地買収の件で内閣府事務次官の五十嵐英治を訪ねた後の真道幸路朗と花森瞬が、警察庁長官官房 国家公安委員会 会務官補佐官の浅野修平と内閣官房 国家安全保障局 情報班の夏目律と会っていた居酒屋				ミナトク	セ	13	22	2	
0453	0005	完了	東京都	墨田区	京島二丁目交差点	131-0046	東京都墨田区京島2		35.715329	139.820203	"https://www.google.co.jp/maps/@35.7153765,139.8202396,3a,39y,234.9h,96.5t/data=!3m6!1e1!3m4!1sE6B35_yo07q4dStGuic5yQ!2e0!7i13312!8i6656"	17					正解するカド	セイカイスルカド	第話。徭沙羅花の幼少時の回想シーンで、父の徭仁平が野良猫を追って行方不明になってしまった沙羅花を必死で探していた交差点で、四ツ目通りを西南方向に望む構図で描かれていました。作中では「向島二丁目」と記されています。				スミダク	セ	13	13	2	
0453	0006	完了	東京都	墨田区	京島南公園	131-0046	東京都墨田区京島2-20-17		35.713043	139.822124	"https://www.google.co.jp/maps/@35.7128601,139.8222204,3a,26.7y,356.66h,90.71t/data=!3m6!1e1!3m4!1syXXscDQey82YFKD8agASeQ!2e0!7i13312!8i6656"	17			4		正解するカド	セイカイスルカド	第話。徭沙羅花の幼少時の回想シーンで、野良猫を追って行方不明になってしまった沙羅花を必死で探す父の徭仁平が、方々駆け回った末、ようやく沙羅花を見つけていた公園。				スミダク	セ	13	13	2	
0453	0007	完了	東京都	大田区	羽田空港	144-0041	東京都大田区羽田空港		35.539483	139.799976	-	12					正解するカド	セイカイスルカド	第1話で、謎の巨大物体（カド）が突如出現した場所。				オオタク	セ	13	5	2	
0453	0008	完了	東京都	大田区	環八通り（都道311号線・羽田空港立体駐車場裏）	144-0041	東京都大田区羽田空港2-6		35.542888	139.766848	"https://www.google.co.jp/maps/@35.543224,139.7663406,3a,55.8y,108.01h,102.33t/data=!3m6!1e1!3m4!1seKXNj-EwzzTIiNg7PmTelw!2e0!7i13312!8i6656"	15					正解するカド	セイカイスルカド	第1話で、徹甲弾によるカドの突破実験のため、朝霞駐屯地から出動して羽田空港に向かう10式戦車の護送部隊が走っていた道。				オオタク	セ	13	5	2	
0453	0009	完了	東京都	大田区	羽田第二水門の船溜 脇	144-0043	東京都大田区羽田2-29		35.545672	139.741499	"https://www.google.co.jp/maps/@35.5457301,139.7415206,3a,26.9y,120.24h,93.98t/data=!3m6!1e1!3m4!1s0DD00ZQj_YP0uCLyirahdQ!2e0!7i13312!8i6656"	18			4		正解するカド	セイカイスルカド	第4話、第5話で、NNK報道部の言野匠と歌丸が中継車を停めて待機していた場所。				オオタク	セ	13	5	2	
0453	0010	完了	東京都	世田谷区	自衛隊 三宿駐屯地	154-0001	東京都世田谷区池尻1-2-24		35.644114	139.682712	"https://www.google.co.jp/maps/@35.6440506,139.682568,3a,31.3y,45.14h,95.2t/data=!3m6!1e1!3m4!1svi31dDdrq83BU-8jWeRVbw!2e0!7i13312!8i6656"					03-3411-0151	正解するカド	セイカイスルカド	第5話で、警察車両や自衛隊車両など物々しい様子でヤハクィザシュニナが護送されて来た駐屯地。				セタガヤク	セ	13	14	2	
