作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所２	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在
1243	0001	完了	北海道	札幌市	藻岩山 山頂展望台	005-0041	北海道札幌市南区藻岩山1		43.022185	141.322616	-						波よ聞いてくれ	ナミヨキイテクレ	第9話の鼓田ミナレと須賀光雄のデートで、2人がロープウェイに乗ってやって来た展望台。<br />オープニングでも幸せの鐘が描かれていました。				サッポロシ	ナ	1	1	1	
1243	0002	完了	北海道	札幌市	札幌もいわ山ロープウェイ もいわ中腹駅	005-0041	北海道札幌市南区藻岩山1		43.022190	141.325529	-						波よ聞いてくれ	ナミヨキイテクレ	第9話の鼓田ミナレと須賀光雄のデートで、藻岩山のマスコットキャラクター「もーりす」のグッズを売店で買っていた場所。				サッポロシ	ナ	1	1	1	
1243	0003	完了	北海道	札幌市	札幌もいわ山ロープウェイ もいわ山麓駅	064-0942	北海道札幌市中央区伏見5-3-7		43.031671	141.333055	"https://www.google.com/maps/@43.031769,141.3333889,3a,34y,251.67h,101.27t/data=!3m6!1e1!3m4!1sktmJAi_SIppXr-avW6xpGA!2e0!7i13312!8i6656"				4		波よ聞いてくれ	ナミヨキイテクレ	第9話で、鼓田ミナレが突然連絡が来た須賀光雄とデートの待ち合わせしていたロープウェイ駅。<br />外観の他、駅構内も忠実に描かれており、藻岩山のマスコットキャラクター「もーりす」も描かれていました。				サッポロシ	ナ	1	1	1	
1243	0004	完了	北海道	札幌市	札幌市時計台	060-0001	北海道札幌市中央区北一条西2		43.062551	141.353529	"https://www.google.co.jp/maps/@43.0623153,141.3533871,3a,27.1y,31.68h,115.76t/data=!3m6!1e1!3m4!1s7vnAWJ61rX-pyf7gkP0zrA!2e0!7i13312!8i6656"				4		波よ聞いてくれ	ナミヨキイテクレ	オープニングで描かれていた札幌名所の一つである時計台。<br />第4話では、鼓田ミナレがアルバイト探しの手伝いを頼んだ中原忠也と、時計台の前で待ち合わせをしていました。				サッポロシ	ナ	1	1	1	
1243	0005	完了	北海道	札幌市	ユナイテッド・シネマ札幌	060-0031	北海道札幌市中央区北一条東4-1-1	サッポロファクトリー一条館 2F	43.064092	141.363344	-						波よ聞いてくれ	ナミヨキイテクレ	第9話の鼓田ミナレと須賀光雄のデートで、2人が映画を観ていた映画館。				サッポロシ	ナ	1	1	1	
1243	0006	完了	北海道	札幌市	サッポロファクトリー　煙突広場	060-0032	北海道札幌市中央区北ニ条東3		43.065351	141.362129	-						波よ聞いてくれ	ナミヨキイテクレ	オープニングの城華マキエのカットで描かれていた旧札幌麦酒会社工場。				サッポロシ	ナ	1	1	1	
1243	0007	完了	北海道	札幌市	さっぽろテレビ塔	060-0042	北海道札幌市中央区大通西1-3		43.061103	141.356426	"https://www.google.co.jp/maps/@43.060603,141.3527214,3a,35y,80.65h,99.09t/data=!3m6!1e1!3m4!1sZCdHAoeabPy906-nixNlKg!2e0!7i13312!8i6656"						波よ聞いてくれ	ナミヨキイテクレ	オープニングで描かれていた札幌名所の一つであるテレビ塔。<br />第1話で、鼓田ミナレが車でラジオ局に向かうシーンでも塔や塔の時計などが描かれていました。				サッポロシ	ナ	1	1	1	
1243	0008	完了	北海道	札幌市	大通公園（3丁目）	060-0042	北海道札幌市中央区大通西3		43.060606	141.352751	"https://www.google.com/maps/@43.060603,141.3527214,3a,58y,80.08h,85.58t/data=!3m6!1e1!3m4!1sZCdHAoeabPy906-nixNlKg!2e0!7i13312!8i6656"						波よ聞いてくれ	ナミヨキイテクレ	第12話の、地震による停電で真っ暗になった街のカットで描かれていた場所の一つ。藻岩山ラジオが流す坂本九の「見上げてごらん夜の星を」の歌が流れるシーンでも同じカットが描かれていました。<br />噴水越しにさっぽろテレビ塔が描かれています。				サッポロシ	ナ	1	1	1	
1243	0009	完了	北海道	札幌市	大通公園（10丁目）	060-0042	北海道札幌市中央区大通西10		43.059160	141.342153	"https://www.google.com/maps/@43.0593519,141.3422716,3a,38y,207.79h,85.71t/data=!3m6!1e1!3m4!1s8DjuY2qKMaI5VB8ytBBfow!2e0!7i13312!8i6656"						波よ聞いてくれ	ナミヨキイテクレ	第3話で、「VOYAGER」をクビになった鼓田ミナレが中原忠也を連れ、ビールを飲みながら愚痴を言っていたさっぽろ大通ビアガーデンの会場シーンで描かれていた場所。<br />画面奥に黒田清隆像、ホーレス・ケプロン像の2体の銅像が描かれていました。<br />さっぽろ大通ビアガーデンは、第9話の鼓田ミナレと須賀光雄のデートシーンでも登場していました。				サッポロシ	ナ	1	1	1	
1243	0010	完了	北海道	札幌市	南1西4・南1西3交差点	060-0061	北海道札幌市中央区南一条西3		43.058989	141.352482	"https://www.google.com/maps/@43.0588923,141.3521237,3a,55.2y,51.53h,102.92t/data=!3m6!1e1!3m4!1s3PmrTtuPdIp9U7fdfm9qsw!2e0!7i16384!8i8192"						波よ聞いてくれ	ナミヨキイテクレ	第4話の、鼓田ミナレが中原忠也をつき合わせてアルバイト探しをするシーンで、札幌三越を正面に望む構図で、日之出ビル、札幌PARCOなどのビルに、路面電車のA1200形電車（ポラリス）が交差点を走る様子が描かれていました。				サッポロシ	ナ	1	1	1	
1243	0011	完了	北海道	札幌市	南1西24・南2西23・南2西24・南1西23交差点	060-0062	北海道札幌市中央区南ニ条西24		43.055161	141.321969	"https://www.google.com/maps/@43.055159,141.3221411,3a,48y,258.63h,105.98t/data=!3m6!1e1!3m4!1sIYw1gPghIcmZimUjwdx9-g!2e0!7i16384!8i8192"						波よ聞いてくれ	ナミヨキイテクレ	第2話の鼓田ミナレの初めてのラジオ収録シーンで、「VOYAGER」が出店している屋台「ががーりん」の宣伝目的でミナレが話題に取り上げた円山裏参道夏祭りのカットで描かれていた交差点。<br />交差点から南一条通りを西側に望む構図で、しんかわコーポ裏参道、ヴィルヌーブ裏参道、エスターアベニューなどの建物が描かれていました。				サッポロシ	ナ	1	1	1	
1243	0012	完了	北海道	札幌市	ジーンズショップランドＵＳＡ 裏参道店 前	060-0062	北海道札幌市中央区南ニ条西24-1-1		43.055082	141.321782	"https://www.google.com/maps/@43.0551423,141.3217322,3a,62y,178.29h,99.41t/data=!3m6!1e1!3m4!1stPcdl_KUNdeOchTUNXGP9A!2e0!7i13312!8i6656"						波よ聞いてくれ	ナミヨキイテクレ	第4話で、「VOYAGER」での仕事帰りに中原忠也の車で送ってもらった鼓田ミナレが下車していた場所。<br />※ジーンズショップランドＵＳＡは閉店しており、ビルの看板も撤去済。				サッポロシ	ナ	1	1	1	
1243	0013	完了	北海道	札幌市	NORBESA	060-0063	北海道札幌市中央区南三条西5-1-1		43.056108	141.350927	"https://www.google.com/maps/@43.0553328,141.3515335,3a,15y,321.89h,121.33t/data=!3m6!1e1!3m4!1sQl8oz9erJq7wTQu9M4AmBg!2e0!7i16384!8i8192"				5		波よ聞いてくれ	ナミヨキイテクレ	第9話の鼓田ミナレと須賀光雄のデートで、2人が観覧車nORIAに乗ったり、ボウリングをしたりしていた遊戯施設。				サッポロシ	ナ	1	1	1	
