作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所2	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在
0265	0001	完了	東京都	千代田区	飯田橋セントラルプラザ 住宅棟	102-0072	東京都千代田区飯田橋4-10-１		35.701691	139.744488	"https://www.google.co.jp/maps/@35.7016242,139.7435616,3a,74.4y,92.31h,101.89t/data=!3m4!1e1!3m2!1sB5XrrqWbmxcZzMP4kvHgxQ!2e0"	17		120	3		海月姫	クラゲヒメ	第6話で鯉淵蔵之介が尼～ずを連れてきたカフェのあるビルの外観モデル。				チヨダク	ク	13	17	2	
0265	0002	完了	東京都	渋谷区	国立代々木競技場 第一体育館	150-0041	東京都渋谷区神南2-1-1		35.667626	139.700142	"https://www.google.co.jp/maps/@35.6681386,139.6986394,3a,38.5y,127.05h,99.11t/data=!3m5!1e1!3m3!1sH_ae1hm9tLa7XCtEfp8eww!2e0!3e5"	16		120	3	03-3468-1171	海月姫	クラゲヒメ	第8話で鯉淵蔵之介と倉下月海が出店していたフリーマーケットの会場の背景に描かれていました。	http://naash.go.jp/yoyogi/	http://naash.go.jp/yoyogi/		シブヤク	ク	13	10	2	
0265	0003	完了	東京都	渋谷区	国立代々木競技場 オリンピックプラザ	150-0041	東京都渋谷区神南2-1-1		35.667674	139.698179		17		0			海月姫	クラゲヒメ	第8話で鯉淵蔵之介と倉下月海が出店していたフリーマーケットの会場。				シブヤク	ク	13	10	2	
0265	0004	完了	東京都	渋谷区	スペイン坂	150-0042	東京都渋谷区宇田川町		35.661097	139.698808	"https://www.google.co.jp/maps/@35.6610833,139.6988036,3a,62.5y,40.95h,89.62t/data=!3m4!1e1!3m2!1sM-26weqUycCcuBJE0wdmUQ!2e0"	18		120	1.5		海月姫	クラゲヒメ	第1話冒頭の尼～ずが恐ろしい所だと語る渋谷のカットの一つで描かれていました。				シブヤク	ク	13	10	2	
0265	0005	完了	東京都	渋谷区	スペイン坂	150-0042	東京都渋谷区宇田川町		35.661523	139.698847	"https://www.google.co.jp/maps/@35.661576,139.698862,3a,75y,90t/data=!3m5!1e2!3m3!1s49554895!2e1!3e10"	18		0			海月姫	クラゲヒメ	第1話で倉下月海が、PARCOで開催中のクラゲの写真展を見に行くために初めて渋谷に来たものの、周囲のキラキラ感の影響で、眩暈・動悸・息切れなどの症状に襲われ、ついに断念して引き返そうと決めていた場所。				シブヤク	ク	13	10	2	
0265	0006	完了	東京都	渋谷区	渋谷センター街 入口	150-0042	東京都渋谷区宇田川町		35.659778	139.700181	"https://www.google.co.jp/maps/@35.6595443,139.7004276,3a,45.6y,329.98h,88.84t/data=!3m4!1e1!3m2!1smsn9rtzBgPx5XoC_YXrGdQ!2e0?hl=ja"	17		120	2.1		海月姫	クラゲヒメ	第1話冒頭の尼～ずが恐ろしい所だと語る渋谷のカットの一つで、ゲートが描かれていました。オープニング後、本編冒頭のキラキラした群衆のシーンでも、同じくゲートが描かれていました。				シブヤク	ク	13	10	2	
0265	0007	完了	東京都	渋谷区	渋谷PARCO	150-8377	東京都渋谷区宇田川町15-1		35.662046	139.699218	"https://www.google.co.jp/maps/@35.6623677,139.6992732,3a,34.3y,184.81h,92.19t/data=!3m4!1e1!3m2!1sCB6B4Egtbvjmj1-JCuNN9Q!2e0"	17		120	3		海月姫	クラゲヒメ	第1話冒頭の尼～ずが恐ろしい所だと語る渋谷のカットの一つで描かれていました。	http://shibuya.parco.jp/			シブヤク	ク	13	10	2	
0265	0008	完了	東京都	渋谷区	渋谷センター街 街灯	150-0042	東京都渋谷区宇田川町26		35.660148	139.699219	"https://www.google.co.jp/maps/@35.660199,139.6991533,3a,30y,142.42h,122.65t/data=!3m4!1e1!3m2!1s5Y1bahWxU4pZhoMeD8DDlA!2e0"	18		120	1.8		海月姫	クラゲヒメ	第1話の初めて渋谷に来た倉下月海のモノローグシーンで描かれていた街灯。同形のものがたくさんありますが、ファーストキッチンの看板があるので、この場所のものであることがわかります。				シブヤク	ク	13	10	2	
0265	0009	完了	東京都	渋谷区	ハチ公像	150-0043	東京都渋谷区道玄坂1		35.659061	139.700439	"https://www.google.co.jp/maps/@35.6590522,139.7005894,3a,48.9y,0.91h,99.64t/data=!3m5!1e1!3m3!1sWXmWIlHtJ6cAAAQfCLSANg!2e0!3e11"	18		120	1		海月姫	クラゲヒメ	第1話の倉下月海が初めて渋谷に来たシーンの冒頭カットで描かれていました。				シブヤク	ク	13	10	2	
0265	0010	完了	東京都	渋谷区	ハチ公前広場　モニュメント（東急5000系車両）	150-0043	東京都渋谷区道玄坂1		35.659093	139.700761	"https://www.google.co.jp/maps/@35.6590364,139.7008925,3a,30.1y,258.54h,83.3t/data=!3m5!1e1!3m3!1sAE7SKJXfAAwAAAQXGzLoqQ!2e0!3e11"	19		120	3		海月姫	クラゲヒメ	第1話の初めて渋谷に来た倉下月海のモノローグシーンで、広場と、通称「青ガエル」と呼ばれる緑色の車両が描かれていました。				シブヤク	ク	13	10	2	
0265	0011	完了	東京都	渋谷区	スクランブル交差点	150-0043	東京都渋谷区道玄坂2		35.65946	139.700512	"https://www.google.co.jp/maps/@35.6594578,139.7005712,3a,51y,273.82h,99.57t/data=!3m4!1e1!3m2!1sfKNcVM29CK4lym9VvMEUMw!2e0"	17		120	3		海月姫	クラゲヒメ	第1話冒頭の尼～ずが恐ろしい所だと語る渋谷のカットの一つで描かれていました。オープニング後の本編冒頭シーンで、倉下月海が渡っていたのもこの交差点です。				シブヤク	ク	13	10	2	
0265	0012	完了	東京都	渋谷区	スクランブル交差点 信号機	150-0043	東京都渋谷区道玄坂2		35.659636	139.700498	"https://www.google.co.jp/maps/@35.659639,139.7004738,3a,22.8y,338.77h,108.66t/data=!3m5!1e1!3m3!1s_MGOLOSTHQkAAAQfCRbuww!2e0!3e11"	18		120	3		海月姫	クラゲヒメ	第1話の倉下月海が初めて渋谷に来たシーンの冒頭カットの一つで、QFRONTビルを背景に歩行者用信号機を見上げる構図で描かれていました。				シブヤク	ク	13	10	2	
0265	0013	完了	東京都	新宿区	白銀公園	162-0816	東京都新宿区白銀町3		35.70384	139.73776	"https://www.google.co.jp/maps/@35.7038108,139.7381668,3a,43.7y,258.41h,86.23t/data=!3m4!1e1!3m2!1sC9YhBZAKubOPlXIXu2QWDg!2e0"	16.0					海月姫	クラゲヒメ	第3話で鯉淵蔵之介が「天水館」の連中に「仕事とか何している人なの？」と、聞いてはいけないことを聞いたために空気が悪くなり、逃げるように「天水館」を出てきた倉下月海と蔵之介がやって来た公園。この後、鯉淵邸で蔵之介にメイクをされて逃げ出してきた月海が、化粧を落としていたのもこの公園です。				シンジュクク	ク	13	11	2	
0265	0014	完了	東京都	新宿区	道	162-0825	東京都新宿区神楽坂6		35.70423	139.73552	"https://www.google.co.jp/maps/@35.7042714,139.7353989,3a,90y,121.72h,89.03t/data=!3m4!1e1!3m2!1sbmKvPIFaLJYKYekBnqQF8g!2e0"						海月姫	クラゲヒメ	第3話で「天水館」に向かう鯉淵蔵之介が歩いていた道。第1話で出てきた熱帯魚屋のある通りです。				シンジュクク	ク	13	11	2	
0265	0015	完了	東京都	新宿区	龜井堂	162-0825	東京都新宿区神楽坂6-39		35.704138	139.735558							海月姫	クラゲヒメ	第1話で倉下月海が鯉淵蔵之介と出会った熱帯魚屋のモデル。実際の店舗はケーキとパンのお店です。	http://kagurazaka.kamei-do.co.jp/	http://kagurazaka.kamei-do.co.jp/		シンジュクク	ク	13	11	2	
0265	0016	完了	東京都	新宿区	早稲田大学	169-0071	東京都新宿区戸塚町1-104		35.709069	139.719506		14.0				03-3203-4141	海月姫	クラゲヒメ	第7話で登場した鯉淵蔵之介の通っている大学で、大隈講堂が描かれていました。	http://www.waseda.jp/	http://www.waseda.jp/		シンジュクク	ク	13	11	2	
0265	0017	完了	東京都	新宿区	やぶさめ階段	169-0075	東京都新宿区高田馬場1-4		35.711051	139.709733	"https://www.google.co.jp/maps/@35.711063,139.709793,3a,75y,90t/data=!3m5!1e2!3m3!1s-FckIpFSp08M%2FUvXgI-1iy_I%2FAAAAAAACM9w%2FmK-kLgEFlsc!2e4!3e15"	17.0					海月姫	クラゲヒメ	第2話で天水館から鯉淵蔵之介の家へ行く際に登った階段。馬頭の彫刻があるのが特徴です。				シンジュクク	ク	13	11	2	
0265	0018	完了	東京都	新宿区	日本館	169-0075	東京都新宿区高田馬場1-9-1		35.70959	139.708744	"https://www.google.co.jp/maps/@35.709455,139.708861,3a,75y,332.31h,101.98t/data=!3m4!1e1!3m2!1s3ot0Rqztd7yImd2rvmmcyA!2e0?hl=ja"	17.0				03-3200-6386	海月姫	クラゲヒメ	尼～ずの住む天水館のモデル。天水館が男子禁制のアパートなのに対し、日本館は逆に男子専用の賄いつき下宿となっています。				シンジュクク	ク	13	11	2	
0265	0019	完了	東京都	新宿区	ミスタードーナツ 高田馬場戸山口ショップ	169-0075	東京都新宿区高田馬場1-34-1		35.71167	139.704082		16.0				03-5292-8731	海月姫	クラゲヒメ	第8話で花森とすぎもっちゃんが待ち合わせをしていた店。				シンジュクク	ク	13	11	2	
0265	0020	完了	東京都	豊島区	西武池袋線 池袋5号踏切	171-0031	東京都豊島区目白4		35.725964	139.702668	"https://www.google.co.jp/maps/@35.7259537,139.7026443,3a,90y,68.62h,83.44t/data=!3m4!1e1!3m2!1sGjyeWEnNK8BzmLlIGrhRCQ!2e0"	17.0					海月姫	クラゲヒメ	第5話で再開発説明会場から逃げ出してきた「尼～ず」が雨に打たれていた踏切。				トシマク	ク	13	18	2	
0265	0021	完了	神奈川県	藤沢市	新江ノ島水族館	251-0035	神奈川県藤沢市片瀬海岸2-19-1		35.309513	139.479994		12.0				0466-29-9960	海月姫	クラゲヒメ	第4話で、倉下月海が鯉淵蔵之介と鯉淵修の3人で行った水族館。エントランスや水槽、オブジェや壁画、通路に至るまで忠実に描かれていました。				フジサワシ	ク	14	15	2	
