作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所２	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在
0440	0001	完了	兵庫県	神戸市	甲南病院	658-0064	兵庫県神戸市東灘区鴨子ケ原1-5-16		34.729048	135.251392	-						涼宮ハルヒの消失	スズミヤハルヒノショウシツ	朝倉涼子にサバイバルナイフで刺されたキョンが、3日間も意識不明で入院していた私立の総合病院。	http://www.kohnan.or.jp/kohnan/			コウベシ	ス	28	1	5	
0440	0046	完了	兵庫県	神戸市	東神戸大橋	658-0024	兵庫県神戸市東灘区魚崎浜町		34.709609	135.290051	-						涼宮ハルヒの消失	スズミヤハルヒノショウシツ	朝倉涼子にサバイバルナイフで刺されたキョンが入院した甲南病院の屋上からの風景カットで描かれていた橋。				コウベシ	ス	28	1	5	
0440	0042	完了	兵庫県	西宮市	水道路踏切	662-0015	兵庫県西宮市甲陽園本庄町1		34.75748	135.332523	"https://www.google.co.jp/maps/@34.7575443,135.3326187,3a,34.1y,216.29h,96.76t/data=!3m6!1e1!3m4!1s8wQndw02xeonJlZnftnEVA!2e0!7i13312!8i6656?hl=ja"						涼宮ハルヒの消失	スズミヤハルヒノショウシツ	谷口から涼宮ハルヒが「光陽園学院」に通っていると聞いたキョンが、ハルヒに会いに「光陽園学院」へ向かうシーンで描かれていた踏切。<br />「光陽園学院」への順路7。				ニシノミヤシ	ス	28	3	5	
0440	0002	完了	兵庫県	西宮市	交差点	662-0015	兵庫県西宮市甲陽園本庄町1		34.760924	135.332852	"https://www.google.co.jp/maps/@34.7607675,135.3330421,3a,15y,315.66h,89.47t/data=!3m6!1e1!3m4!1sit3sodF-NTEqa0RWDgkNug!2e0!7i13312!8i6656?hl=ja"	16.0			5		涼宮ハルヒの消失	スズミヤハルヒノショウシツ	3年前の7月7日にやって来たキョンが、未来から来た大人の朝比奈みくると再会していた場所。				ニシノミヤシ	ス	28	3	5	
0440	0033	完了	兵庫県	西宮市	甲陽園市民館 前	662-0015	兵庫県西宮市甲陽園本庄町1-75		34.760858	135.332765	"https://www.google.co.jp/maps/@34.7609958,135.3330133,3a,27.8y,220.54h,93.71t/data=!3m7!1e1!3m5!1sABKjPgxszdhjMbyxaP__NA!2e0!6s%2F%2Fgeo1.ggpht.com%2Fcbk%3Fpanoid%3DABKjPgxszdhjMbyxaP__NA%26output%3Dthumbnail%26cb_client%3Dmaps_sv.tactile.gps%26thumb%3D2%26w%3D203%26h%3D100%26yaw%3D236.66559%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192?hl=ja"				4		涼宮ハルヒの消失	スズミヤハルヒノショウシツ	「光陽園駅前公園」でキョンに中学校へ向かうよう指示を与えた帰りの大人の朝比奈みくるが歩いていた場所。この後、改変世界からやって来たキョンに声をかけられます。				ニシノミヤシ	ス	28	3	5	
0440	0034	完了	兵庫県	西宮市	たんぽぽハウス前の曲がり角	662-0015	兵庫県西宮市甲陽園本庄町7		34.760407	135.331190	"https://www.google.co.jp/maps/@34.7605152,135.3312982,3a,60y,215.85h,86.86t/data=!3m6!1e1!3m4!1sy1g0MpwdmSRINR3noPHeAQ!2e0!7i13312!8i6656?hl=ja"						涼宮ハルヒの消失	スズミヤハルヒノショウシツ	3年前の7月7日にやって来たキョンが、大人の朝比奈みくるが現れる「光陽園駅前公園」へ向かうシーンで、キョンが線路前を走る姿が描かれていました。				ニシノミヤシ	ス	28	3	5	
0440	0035	完了	兵庫県	西宮市	たんぽぽハウス	662-0015	兵庫県西宮市甲陽園本庄町7-23		34.760324	135.331200	"https://www.google.co.jp/maps/@34.7604297,135.3310841,3a,47.3y,152.24h,98.13t/data=!3m7!1e1!3m5!1s_BO-AM_9R9dAr7KP3BU8fQ!2e0!6s%2F%2Fgeo3.ggpht.com%2Fcbk%3Fpanoid%3D_BO-AM_9R9dAr7KP3BU8fQ%26output%3Dthumbnail%26cb_client%3Dmaps_sv.tactile.gps%26thumb%3D2%26w%3D203%26h%3D100%26yaw%3D122.839874%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192?hl=ja"						涼宮ハルヒの消失	スズミヤハルヒノショウシツ	3年前の7月7日にやって来たキョンが、「光陽園駅前公園」で大人の朝比奈みくると話をしていたシーンの挿入カットで描かれていた建物。				ニシノミヤシ	ス	28	3	5	
0440	0047	完了	兵庫県	西宮市	阪急電鉄 甲陽園駅	662-0016	兵庫県西宮市甲陽園若江町		34.760617	135.330686	"https://www.google.com/maps/@34.7606152,135.3308373,3a,33y,273.83h,102.1t/data=!3m6!1e1!3m4!1smWXhQ_yhoPnRCWk9F3-LsA!2e0!7i16384!8i8192"						涼宮ハルヒの消失	スズミヤハルヒノショウシツ	3年前の7月7日にやって来たキョンが、「光陽園駅前公園」で大人の朝比奈みくると話をしていたシーンの挿入カットで、線路沿いの道から望む駅のホームが描かれていた。				ニシノミヤシ	ス	28	3	5	
0440	0041	完了	兵庫県	西宮市	甲陽園通り（線路沿い）	662-0016	兵庫県西宮市甲陽園若江町1		34.759521	135.331537	"https://www.google.co.jp/maps/@34.7594371,135.3315336,3a,19y,338.85h,91.6t/data=!3m6!1e1!3m4!1sTXz6gTRPBfrP21dohGoAMQ!2e0!7i16384!8i8192?hl=ja"						涼宮ハルヒの消失	スズミヤハルヒノショウシツ	谷口から涼宮ハルヒが「光陽園学院」に通っていると聞いたキョンが、ハルヒに会いに「光陽園学院」へ向かうシーンで、線路沿いの道越しの遠景でサンパレス21甲陽園H・I前辺りを走るキョンの姿、次いで電車が横を走る線路沿いを走る姿が描かれていました。<br />「光陽園学院」への順路6。				ニシノミヤシ	ス	28	3	5	
0440	0003	完了	兵庫県	西宮市	甲陽園南シティハウス	662-0016	兵庫県西宮市甲陽園若江町1-35		34.758679	135.331574	"https://www.google.co.jp/maps/@34.7588875,135.3318432,3a,68y,231.55h,118.85t/data=!3m6!1e1!3m4!1sFos12TcGvgHLmz8ItOdoUQ!2e0!7i16384!8i8192?hl=ja"	16.0					涼宮ハルヒの消失	スズミヤハルヒノショウシツ	長門有希の住むマンションのモデル。<br />キョンが、改変世界で普通の少女となった長門に招かれ、同じマンションに住む朝倉涼子に鍋をご馳走になっていました。<br />3年前の７月７日では、キョンが大人の朝比奈みくると共に長門有希の助けを借りに訪れていました。				ニシノミヤシ	ス	28	3	5	
0440	0040	完了	兵庫県	西宮市	カイセイ薬局 前	662-0016	兵庫県西宮市甲陽園若江町6		34.760788	135.329794	"https://www.google.co.jp/maps/@34.7606781,135.3299957,3a,45y,306.85h,78.46t/data=!3m6!1e1!3m4!1s_UEW-QKZiOO8wcmMplQDJw!2e0!7i13312!8i6656?hl=ja"						涼宮ハルヒの消失	スズミヤハルヒノショウシツ	谷口から涼宮ハルヒが「光陽園学院」に通っていると聞いたキョンが、ハルヒに会いに「光陽園学院」へ向かうシーンで、キョンが走っていた場所。<br />※カイセイ薬局（作中では「カイサイ薬局」）の建物は解体済。<br />「光陽園学院」への順路5。				ニシノミヤシ	ス	28	3	5	
0440	0004	完了	兵庫県	西宮市	タクシー乗り場前	662-0017	兵庫県西宮市甲陽園西山町1		34.761109	135.329778	"https://www.google.co.jp/maps/@34.761121,135.3298313,3a,35y,265.82h,83.82t/data=!3m6!1e1!3m4!1sBXtLjdCbYjDf0rARsVmbqg!2e0!7i13312!8i6656?hl=ja"						涼宮ハルヒの消失	スズミヤハルヒノショウシツ	3年前の7月7日にやって来たキョンが、大人の朝比奈みくるが現れる「光陽園駅前公園」へ向かうシーンで、キョンが息を切らせて小休止していた場所。				ニシノミヤシ	ス	28	3	5	
0440	0036	完了	兵庫県	西宮市	甲陽園通り（chocolat republic前）	662-0017	兵庫県西宮市甲陽園西山町1		34.760807	135.329786	"https://www.google.co.jp/maps/@34.7610019,135.3297741,3a,49.6y,190.3h,84.51t/data=!3m6!1e1!3m4!1sONVQASZ_D_mxdM0Z8Wjg0Q!2e0!7i13312!8i6656?hl=ja"						涼宮ハルヒの消失	スズミヤハルヒノショウシツ	3年前の7月7日にやって来たキョンが、大人の朝比奈みくるが現れる「光陽園駅前公園」へ向かうシーンで、キョンが大通りに出たところを車に轢かれそうになっていた場所。				ニシノミヤシ	ス	28	3	5	
0440	0037	完了	兵庫県	西宮市	甲陽園通り（Anchorlet前）	662-0017	兵庫県西宮市甲陽園西山町1		34.761012	135.329752	"https://www.google.co.jp/maps/@34.7608747,135.3298116,3a,38.2y,354.55h,91.53t/data=!3m6!1e1!3m4!1sL5Xk5v0klhkmMnugGEYezA!2e0!7i13312!8i6656?hl=ja"						涼宮ハルヒの消失	スズミヤハルヒノショウシツ	3年前の7月7日にやって来たキョンが、大人の朝比奈みくるが現れる「光陽園駅前公園」へ向かうシーンで、店前を走るキョンが描かれていました。				ニシノミヤシ	ス	28	3	5	
0440	0045	完了	兵庫県	西宮市	ビューティサロンパルフェの看板	662-0017	兵庫県西宮市甲陽園西山町1-67	朝倉ビル2F	34.760896	135.329727	"https://www.google.co.jp/maps/@34.7610019,135.3297741,3a,28.2y,198.15h,109.64t/data=!3m6!1e1!3m4!1sONVQASZ_D_mxdM0Z8Wjg0Q!2e0!7i13312!8i6656?hl=ja"						涼宮ハルヒの消失	スズミヤハルヒノショウシツ	3年前の7月7日にやって来たキョンが、大人の朝比奈みくるが現れる「光陽園駅前公園」へ向かうシーンの挿入カットで、朝倉ビルの2階や街頭のパルフェの看板（作中では「カルフェ」）、街頭、電信柱、横断歩道標識などが描かれていました。				ニシノミヤシ	ス	28	3	5	
0440	0031	完了	兵庫県	西宮市	甲陽園通り（サンクス甲陽園駅前店前）	662-0017	兵庫県西宮市甲陽園西山町1-64		34.761237	135.329827	"https://www.google.co.jp/maps/@34.7613803,135.3299392,3a,37y,236.4h,90.26t/data=!3m6!1e1!3m4!1sPRABI9A_4hmqu6enRDVPFQ!2e0!7i13312!8i6656"						涼宮ハルヒの消失	スズミヤハルヒノショウシツ	3年前の７月７日にやって来たキョンが、長門有希の助けを借りに長門の住むマンションへ向かうシーンで、キョンと大人の朝比奈みくると歩いていた場所。<br />※2017年1月4日に閉店し、同月24日からはファミリーマート 甲陽園駅前店になっています。				ニシノミヤシ	ス	28	3	5	閉店
0440	0044	完了	兵庫県	西宮市	西宮六甲線踏切	662-0025	兵庫県西宮市北名次町13		34.754105	135.330308	"https://www.google.co.jp/maps/@34.7542178,135.3302773,3a,15y,166.62h,91.16t/data=!3m6!1e1!3m4!1soNPSZs7QFYy414u_9NG5gA!2e0!7i13312!8i6656?hl=ja"						涼宮ハルヒの消失	スズミヤハルヒノショウシツ	キョンが再会した涼宮ハルヒ、古泉一樹と話をしていたカフェレストランの店内シーンから店外シーンへの場面転換カットで描かれていた踏切。				ニシノミヤシ	ス	28	3	5	
0440	0005	完了	兵庫県	西宮市	サイゼリア北夙川店	662-0025	兵庫県西宮市北名次町13-30		34.754177	135.330104	"https://www.google.co.jp/maps/@34.7544254,135.330187,3a,43y,170.48h,85.51t/data=!3m6!1e1!3m4!1sIdoDZftJMMg4sG5eCmm9tA!2e0!7i13312!8i6656"	16.0					涼宮ハルヒの消失	スズミヤハルヒノショウシツ	改変世界で「光陽園学院」の生徒になっていた涼宮ハルヒと古泉一樹との接触に成功したキョンが、2人に詳しい事情を説明するために入ったカフェレストラン。<br />キョンたちがいたのは窓際の奥から2番目のテーブルでした。<br />※2014年2月23日閉店・解体済。				ニシノミヤシ	ス	28	3	5	解体
0440	0029	完了	兵庫県	西宮市	サイゼリア北夙川店駐車場 前	662-0025	兵庫県西宮市北名次町13-30		34.754474	135.330154	"https://www.google.co.jp/maps/@34.7542178,135.3302773,3a,25y,334.37h,86.51t/data=!3m6!1e1!3m4!1soNPSZs7QFYy414u_9NG5gA!2e0!7i13312!8i6656"				4		涼宮ハルヒの消失	スズミヤハルヒノショウシツ	改変世界で「光陽園学院」の生徒になっていた涼宮ハルヒと古泉一樹が、キョンから別世界の話を聞いたカフェレストランを出たハルヒが、「北高校」に向かうためにタクシーを捕まえていた場所。				ニシノミヤシ	ス	28	3	5	解体
0440	0007	完了	兵庫県	西宮市	県道82号大沢西宮線（館付近）	662-0026	兵庫県西宮市獅子ケ口町12		34.760003	135.326293	"https://www.google.co.jp/maps/@34.760111,135.3261269,3a,30y,120.34h,84.06t/data=!3m6!1e1!3m4!1smbnzzg48l-_YRUGUGj5D-Q!2e0!7i13312!8i6656"						涼宮ハルヒの消失	スズミヤハルヒノショウシツ	通学シーンで、キョンが風邪をひいてマスクを着けた谷口に声をかけていた場所。振り向いた谷口の背後に、カフェ館が描かれていました。				ニシノミヤシ	ス	28	3	5	
0440	0017	完了	兵庫県	西宮市	県道82号大沢西宮線（アスカハイツ前）	662-0026	兵庫県西宮市獅子ケ口町18		34.760317	135.325414	"https://www.google.co.jp/maps/@34.7603515,135.3253674,3a,18y,111.22h,91.46t/data=!3m6!1e1!3m4!1sxrl8AX1AXSQH5QdpkQQAmA!2e0!7i13312!8i6656?hl=ja"				5		涼宮ハルヒの消失	スズミヤハルヒノショウシツ	序盤の通学シーンで、キョンが谷口と国木田と一緒に上っていた坂道で、寒さを訴えるキョンと国木田を谷口が爺むさいと窘め、自分はセーターも着ていないと自慢をしていました。<br />12月16日の通学路1。				ニシノミヤシ	ス	28	3	5	
