作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所２	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在
0468	0001	完了	京都府	京都市	JR 京都駅	600-8214	京都府京都市下京区東塩小路高倉町8-3		34.985458	135.757756	-	12.0					瀬戸の花嫁	セトノハナヨメ	第18話の修学旅行で満潮永澄たち磯野第八中学校の生徒たちが利用していた駅。				キョウトシ	セ	26	10	5	
0468	0002	完了	京都府	京都市	三条大橋	604-8004	京都府京都市中京区中島町		35.009072	135.771736	-	16.0					瀬戸の花嫁	セトノハナヨメ	第19話冒頭で、不知火明乃が、この橋の下で剣士長から、満潮永澄が瀬戸燦を別れさせるよう指令を受け、さらに同話のラストで明乃が、剣士長に作戦の結果報告をしていました。				キョウトシ	セ	26	10	5	
0468	0003	完了	京都府	京都市	清水寺	605-0862	京都府京都市東山区清水1-294		34.994841	135.784988	"https://www.google.co.jp/maps/@34.994444,135.785214,3a,22.1y,26.83h,93.69t/data=!3m5!1e1!3m3!1sAa9xcgTuuwZPmymB1NBG_g!2e0!3e5?hl=ja"	15.0					瀬戸の花嫁	セトノハナヨメ	第18話の修学旅行で、満潮永澄たちが訪れた場所。清水の舞台は勿論、猿飛秀吉と三河海の記念撮影カットで、出世大黒天像や弁慶の足跡が描かれていました。永澄が不知火明乃を音羽の滝を見に行こうと誘って下りていた石段で、不知火に水を浴びせ、人前で人魚の姿を露見させようとする巻の襲撃を受けていました。				キョウトシ	セ	26	10	5	
0468	0004	完了	京都府	京都市	清水寺 仁王門	605-0862	京都府京都市東山区清水1-294		34.995424	135.783334	"https://www.google.co.jp/maps/@34.995317,135.783034,3a,32.1y,71.87h,129.97t/data=!3m5!1e1!3m3!1sfyhxgii2YQQAAAQWtEbO8A!2e0!3e11?hl=ja"						瀬戸の花嫁	セトノハナヨメ	第18話の修学旅行で満潮永澄たち磯野第八中学校の生徒たちが訪れていた場所で、瀬戸豪三郎が屋根に上って何やら大声で叫んでいました。				キョウトシ	セ	26	10	5	
0468	0005	完了	京都府	京都市	東映太秦映画村	616-8586	京都府京都市右京区太秦東蜂岡町10		35.016284	135.708896	"https://www.google.co.jp/maps/@35.015863,135.709259,3a,15y,318.24h,92.38t/data=!3m4!1e1!3m2!1sRsXOCyB-rlFkKYar82yMPQ!2e0"					075-864-7716	瀬戸の花嫁	セトノハナヨメ	第19話の修学旅行2日目の最初に満潮永澄たちが訪れた観光地で、入口やお白洲、池田屋などが描かれていました。ここで、仕事で修学旅行に参加していなかったものの、時代劇の撮影日程を修学旅行に合わせていた江戸前留奈と遭遇し、成り行きで一同が映画出演することになっていました。作中では名前が「太秦邦画村」になっていました。	http://www.toei-eigamura.com/			キョウトシ	セ	26	10	5	
0468	0006	完了	香川県	観音寺市	七宝稲荷神社	768-0001	香川県観音寺市室本町		34.158431	133.646733	"https://www.google.co.jp/maps/@34.158186,133.646546,3a,48.6y,73.29h,93.76t/data=!3m4!1e1!3m2!1s8NS-3QMTASdD-pK54nIzzQ!2e0?hl=ja"	16.0					瀬戸の花嫁	セトノハナヨメ	第2話で満潮永澄が瀬戸燦を誘って遊びに行った夏祭り会場の神社。第23話で酔っ払った瀬戸豪三郎に、マサさんが殴られて記憶喪失になっていた場所もこの神社でした。	http://5.pro.tok2.com/~tetsuyosie/kagawa/kannonjisi/shichihoinari/shichihoinari.html	http://5.pro.tok2.com/~tetsuyosie/kagawa/kannonjisi/shichihoinari/shichihoinari.html		カンオンジシ	セ	37	12	7	
0468	0007	完了	香川県	観音寺市	JR 観音寺駅	768-0072	香川県観音寺市栄町1-4-30		34.124478	133.655708	"https://www.google.co.jp/maps/@34.124772,133.655691,3a,26.3y,204.48h,95.74t/data=!3m4!1e1!3m2!1sc_06UMSxez2w8-agmvA7Yg!2e0?hl=ja"	12.0				0875-25-2049	瀬戸の花嫁	セトノハナヨメ	第3話で満潮永澄たち一行が、埼玉に帰る電車に乗った観恩寺駅のモデル。				カンオンジシ	セ	37	12	7	
0468	0008	完了	香川県	三豊市	笹谷バス停	769-1104	香川県三豊市詫間町大浜		34.241242	133.588342	"https://www.google.co.jp/maps/@34.241287,133.588308,3a,46.6y,256.72h,79.47t/data=!3m4!1e1!3m2!1s_N-p9rQcLvhqIaTPN7PLFQ!2e0?hl=ja"	13.0					瀬戸の花嫁	セトノハナヨメ	第１話でおばあちゃんの家に向かう満潮一家が下車したバス停のモデル。	http://buste.in/search/bus/?id1=n773&id2=37	http://buste.in/search/bus/?id1=n773&id2=37	座標ソース不足。未確定	ミトヨシ	セ	37	13	7	
0468	0009	完了	香川県	三豊市	仁尾サンビーチ	769-1408	香川県三豊市仁尾町曽保浦の谷		34.177936	133.647485	"https://www.google.co.jp/maps/@34.176602,133.647922,3a,22.8y,237.42h,87.78t/data=!3m4!1e1!3m2!1sUI6P7x9HfI7YuXz1bYB5PQ!2e0?hl=ja"	13.0				0875-82-2160	瀬戸の花嫁	セトノハナヨメ	第1話で満潮永澄が溺れて瀬戸燦に助けられた三尾サンビーチのモデル。				ミトヨシ	セ	37	13	7	
0468	0010	完了	香川県	三豊市	曽保浦の谷バス停	769-1408	香川県三豊市仁尾町仁尾		34.177179	133.647793	"https://www.google.co.jp/maps/@34.177177,133.647884,3a,19.9y,299.5h,86.62t/data=!3m4!1e1!3m2!1so58V07Zhq4zprwvfW-bXZA!2e0?hl=ja"	16.0					瀬戸の花嫁	セトノハナヨメ	仁尾サンビーチの最寄である「曽保浦の谷」停留所。看板や時刻表は若干実際のものと異なるものの、全体的なロケーションはほぼ一致しています。				ミトヨシ	セ	37	13	7	
