作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所２	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在
1268	0001	完了	埼玉県	さいたま市	大宮公園野球場	330-0803	埼玉県さいたま市大宮区高鼻町4-9	大宮公園内	35.917626	139.633280	"https://www.google.com/maps/@35.9178942,139.6321216,3a,27.5y,90.08h,92.67t/data=!3m6!1e1!3m4!1sABFT0fordkrOUhBxtH8fJg!2e0!7i13312!8i6656"				4		球詠	タマヨミ	第8話で、武田詠深たち「新越谷高校野球部」も参加した全日本高校野球選手権 埼玉県大会の開会式が行われていた球場。<br />第10～12話では、県大会2戦目となる「梁幽館高校」との試合が行われていました。				サイタマシ	タ	11	1	2	
1268	0002	完了	埼玉県	さいたま市	さいたま市民会館おおみや	330-0844	埼玉県さいたま市大宮区下町3-47-8		35.902580	139.630859	"https://www.google.com/maps/@35.9022509,139.6305059,3a,15y,23.27h,94.91t/data=!3m6!1e1!3m4!1seFf0XOOw1wjER74x7cr7Ug!2e0!7i16384!8i8192"				5		球詠	タマヨミ	第７話で、全日本高校野球選手権 埼玉県大会の抽選会が行われていた会場。川口芳乃、岡田怜、藤井杏夏先生の3人が会場入りしていました。				サイタマシ	タ	11	1	2	
1268	0003	完了	埼玉県	越谷市	越谷市民球場	343-0011	埼玉県越谷市増林3-1		35.903160	139.816578	"https://www.google.com/maps/@35.9039947,139.8165098,3a,26.8y,191.38h,97.5t/data=!3m6!1e1!3m4!1sUu_Rlv0udMAFCjGKwxagTg!2e0!7i13312!8i6656"				4		球詠	タマヨミ	第8～9話で、武田詠深たち「新越谷高校野球部」にとって初の公式戦となった「影森高校」との県予選大会初戦の試合が行われていた球場。				コシガヤシ	タ	11	36	2	
1268	0004	完了	埼玉県	越谷市	レイクタウン中央通り	343-0828	埼玉県越谷市レイクタウン2		35.878819	139.819923	-						球詠	タマヨミ	第3話で、武田詠深が山崎珠姫に練習帰りに話があると言われて一緒に歩いていた場所。				コシガヤシ	タ	11	36	2	
1268	0005	完了	埼玉県	越谷市	レイクタウン大芝生広場　桟橋	343-0828	埼玉県越谷市レイクタウン2-201		35.879706	139.821778	"https://www.google.com/maps/@35.8789098,139.8218561,3a,15y,355.47h,87.23t/data=!3m6!1e1!3m4!1sNi0YMa1VI5F4GWz6j1LHeg!2e0!7i13312!8i6656"				5		球詠	タマヨミ	第3話で、武田詠深が山崎珠姫に練習帰りに話があると言って連れてこられ、全国を目指すという言葉がどこまで本気なのかを問われていた大相模調節池の桟橋。<br />自主トレのランニング中に桟橋に通りかかって2人を見かけた中村希、川口息吹、川口芳乃が、詠深と珠姫の決意を隠れて聞いていました。<br />第7話の回想シーンで、幼い頃の川口芳乃と川口息吹が、近所の野球部員に遊んでもらっていたのも、この場所でした。				コシガヤシ	タ	11	36	2	
1268	0006	完了	埼玉県	越谷市	叡明高等学校	343-0828	埼玉県越谷市レイクタウン7-2-1		35.875120	139.816815	"https://www.google.com/maps/@35.8760154,139.8171778,3a,34.3y,177.4h,94.4t/data=!3m6!1e1!3m4!1s6nkNAWdoJAVr-uOol49-eg!2e0!7i16384!8i8192"						球詠	タマヨミ	武田詠深たちが通う「新越谷高等学校」のモデル。				コシガヤシ	タ	11	36	2	
1268	0007	完了	埼玉県	越谷市	越谷レイクタウン駅前	343-0828	埼玉県越谷市レイクタウン8-7		35.875945	139.821908	"https://www.google.com/maps/@35.8758454,139.8218419,3a,32y,19.19h,92.09t/data=!3m6!1e1!3m4!1sfG70MqPcJErA8u6naOMg4w!2e0!7i16384!8i8192"						球詠	タマヨミ	第5話の、自分の非力さでチームに迷惑をかけたくないと頑なになり、一人で居残り練習をしていた中村希に、川口芳乃が「一人でがんばって孤立して一度は大好きな野球から離れようとした人知ってるから」と言って、ひとりでがんばらないで一緒にがんばろうと励ましていたシーンで、駅に向かっていた武田詠深がくしゃみをしていた場所。				コシガヤシ	タ	11	36	2	
1268	0008	完了	埼玉県	越谷市	カラオケシティベア 南越谷1号店	343-0845	埼玉県越谷市南越谷1-26-11		35.876234	139.791081	"https://www.google.com/maps/@35.8761798,139.7909938,3a,48.2y,52.76h,101.34t/data=!3m6!1e1!3m4!1shci-CnUp2P3C4ngMDAUwRw!2e0!7i16384!8i8192"						球詠	タマヨミ	第6話で、「守谷欅台高校」との練習試合帰りの「新越谷高校野球部」一行が初勝利を祝って打ち上げをしていたカラオケ屋。				コシガヤシ	タ	11	36	2	
1268	0009	完了	埼玉県	秩父市	西武鉄道 西武秩父駅	368-0033	埼玉県秩父市野坂町1-16-15		35.989694	139.083455	"https://www.google.com/maps/@35.989453,139.0837467,3a,30.1y,319.85h,94.64t/data=!3m6!1e1!3m4!1sYwIkarRWP2t3IYZTU-ArPg!2e0!7i13312!8i6656"						球詠	タマヨミ	第7話で、夏の県大会初戦の相手に決まった「影森高校」の偵察に向かう川口芳乃と川口息吹が利用していた駅。				チチブシ	タ	11	24	2	
1268	0010	完了	埼玉県	秩父市	西武秩父仲見世通り	368-0033	埼玉県秩父市野坂町1-16-15		35.989932	139.083577	-						球詠	タマヨミ	第7話で、夏の県大会初戦の相手に決まった「影森高校」の偵察のために秩父にやって来た川口芳乃と川口息吹が通っていた商店街。<br />偵察帰りには、商店街内のベンチで蒸しパンを食べていました。<br />※西武秩父駅前温泉 祭の湯のオープンに伴い、2016年5月29日に閉店済。				チチブシ	タ	11	24	2	閉店
