作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所２	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在
0511	0001	完了	東京都	葛飾区	高橋駄菓子店	124-0001	東京都葛飾区小菅1-24-9		35.755330	139.818082	"https://www.google.co.jp/maps/@35.7552772,139.8181232,3a,90y,302.57h,77.05t/data=!3m6!1e1!3m4!1sDMtAbDfe0f-d9SwUPZyYCA!2e0!7i13312!8i6656?hl=ja"	19		120	1		田中くんはいつもけだるげ	タナカクンハイツモケダルゲ	第10話で、プール帰りの田中と太田が、けだるさに佇んでいた駄菓子屋。				カツシカク	タ	13	6	2	
0511	0002	完了	東京都	小金井市	江戸東京たてもの園 万世橋交番	184-0005	東京都小金井市桜町3-7-1		35.715820	139.514281	"https://www.google.co.jp/maps/@35.7158698,139.5142557,3a,43y,184.81h,86.7t/data=!3m7!1e1!3m5!1srL-YKyxQ8AfuvejPbYQVbg!2e0!6s%2F%2Fgeo3.ggpht.com%2Fcbk%3Fpanoid%3DrL-YKyxQ8AfuvejPbYQVbg%26output%3Dthumbnail%26cb_client%3Dmaps_sv.tactile.gps%26thumb%3D2%26w%3D203%26h%3D100%26yaw%3D8.0000114%26pitch%3D0!7i13312!8i6656"						田中くんはいつもけだるげ	タナカクンハイツモケダルゲ	第3話で、目つきの悪い太田と越前に挟まれて歩く田中の姿を見た警官が、かつ上げされていると勘違いしていたショートエピソードで描かれていた交番。				コガネイシ	タ	13	30	2	
0511	0003	完了	岐阜県	大垣市	大垣市民プール	503-0856	岐阜県大垣市新田町1-1		35.345448	136.626499	"https://www.google.co.jp/maps/@35.344935,136.6271331,3a,21.5y,301.37h,103.65t/data=!3m6!1e1!3m4!1sMocdkcRkoQUUhR98qWBLUw!2e0!7i13312!8i6656"						田中くんはいつもけだるげ	タナカクンハイツモケダルゲ	第10話で、田中と太田が涼みに来ていたプールのモデル。				オオガキシ	タ	21	9	3	
0511	0004	完了	広島県	三原市	三原駅前	723-0014	広島県三原市城町1-1		34.400297	133.082977	"https://www.google.co.jp/maps/place/34%C2%B024'01.1%22N+133%C2%B004'58.7%22E/@34.4001923,133.0830383,3a,75y,167.14h,97.6t/data=!3m8!1e1!3m6!1s-TIEgeKwv2Ho%2FVaPUvwJT44I%2FAAAAAAAFPOM%2FYQlAmNJ7RRI8aFENt4CaW_ViMyq95Afkw!2e4!3e11!6s%2F%2Flh6.googleusercontent.com%2F-TIEgeKwv2Ho%2FVaPUvwJT44I%2FAAAAAAAFPOM%2FYQlAmNJ7RRI8aFENt4CaW_ViMyq95Afkw%2Fw203-h101-n-k-no%2F!7i7168!8i3584!4m5!3m4!1s0x0:0x0!8m2!3d34.400297!4d133.082977?hl=ja"						田中くんはいつもけだるげ	タナカクンハイツモケダルゲ	第9話で、田中兄妹と別れて家に向かう太田兄妹がいた場所。第8話に出てきた太田家と越前家も三原市だったので、最寄り駅の設定のようです。				ミハラシ	タ	34	13	6	
0511	0005	完了	広島県	三原市	三原駅前の噴水前	723-0014	広島県三原市城町1-1		34.400271	133.083369	"https://www.google.co.jp/maps/@34.3999132,133.0834211,3a,22.1y,354.34h,91.38t/data=!3m6!1e1!3m4!1swNNQKtw8pyFI3StSWU1lcA!2e0!7i13312!8i6656?hl=ja"						田中くんはいつもけだるげ	タナカクンハイツモケダルゲ	第9話で、田中兄妹と別れて家に向かう太田兄妹が歩いていた場所。				ミハラシ	タ	34	13	6	
0511	0006	完了	広島県	三原市	フジグラン三原 前	723-0015	広島県三原市円一町1-1-7		34.392751	133.077888	"https://www.google.co.jp/maps/@34.392891,133.0778551,3a,52.5y,191.02h,85.68t/data=!3m6!1e1!3m4!1sbH1jcDj1S7OHARFMGsUKWA!2e0!7i13312!8i6656?hl=ja"					0848-61-0011	田中くんはいつもけだるげ	タナカクンハイツモケダルゲ	第12話で、彼女疑惑のために一人で帰ることになった田中が、帰り道でセールスのおばさんたちに話しかけられていた場所。	http://fuji-chirashi.com/shop/index/83			ミハラシ	タ	34	13	6	
0511	0007	完了	広島県	三原市	円一（北）交差点（料理仕出し半さん前）	723-0015	広島県三原市円一町3-1-1		34.397142	133.077237	"https://www.google.co.jp/maps/@34.3970248,133.0772669,3a,53.6y,18.89h,93.13t/data=!3m6!1e1!3m4!1sWAAug2jrCMfDie-VGshvlw!2e0!7i13312!8i6656!6m1!1e1?hl=ja"						田中くんはいつもけだるげ	タナカクンハイツモケダルゲ	第8話で、怪我で学校を休んだ太田にプリントを届けるべく、田中が越前に案内されて歩いていた場所。				ミハラシ	タ	34	13	6	
0511	0008	完了	広島県	三原市	住宅地	723-0015	広島県三原市円一町3-4		34.396184	133.076896	"https://www.google.co.jp/maps/@34.3957969,133.0768241,3a,15y,13.03h,88.18t/data=!3m6!1e1!3m4!1sI8XLmOzR4rA8hAteAHTXsA!2e0!7i13312!8i6656!6m1!1e1?hl=ja"						田中くんはいつもけだるげ	タナカクンハイツモケダルゲ	第8話で、怪我で学校を休んだ太田にプリントを届けるべく、田中が越前に案内されて歩いていた場所は、円一（北）交差点から南に向かう道でした。				ミハラシ	タ	34	13	6	
0511	0009	完了	広島県	三原市	住宅地	723-0015	広島県三原市円一町3-5		34.395613	133.076699	"https://www.google.co.jp/maps/@34.3956224,133.0767635,3a,75y,283.95h,88.55t/data=!3m6!1e1!3m4!1sSzYSBlqt018WJ8kGaA7l_Q!2e0!7i13312!8i6656?hl=ja"						田中くんはいつもけだるげ	タナカクンハイツモケダルゲ	第8話で、怪我で学校を休んだ太田にプリントを届ける田中を、太田の家に案内する越前が、田中に離れて歩けと言っていた場所。				ミハラシ	タ	34	13	6	
0511	0010	完了	広島県	三原市	住宅地	723-0015	広島県三原市円一町3-5		34.395193	133.076558	"https://www.google.co.jp/maps/@34.3952233,133.076625,3a,75y,283.67h,88.88t/data=!3m6!1e1!3m4!1sc9HY-tSFa8J2nzKO25SaQA!2e0!7i13312!8i6656!6m1!1e1?hl=ja"						田中くんはいつもけだるげ	タナカクンハイツモケダルゲ	第8話で、越前に案内されて太田の家へ向かう田中が、離れて歩けと言われて、大分距離を置いて歩いていた場所。				ミハラシ	タ	34	13	6	
