作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所2	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在
0193	0001	完了	埼玉県	川越市	川越大師 喜多院	350-0036	埼玉県川越市小仙波町1-20-1		35.917485	139.488982	"https://www.google.co.jp/maps/@35.917539,139.489288,3a,90y,260.38h,77.93t/data=!3m5!1e1!3m3!1sErLPBn1zcFgipzP7s8k5jA!2e0!3e5"	15.0		120	1	049-222-0859	神様はじめました◎	カミサマハジメマシタ	第6話の桃園奈々生と沼皇女の街ぶらシーンで描かれていた寺院。	http://www.kawagoe.com/kitain/			クワゴエシ	カ	11	20	2	
0193	0002	完了	埼玉県	川越市	川越大師 喜多院 五百羅漢	350-0036	埼玉県川越市小仙波町1-20-1		35.917987	139.489820	"https://www.google.co.jp/maps/@35.917922,139.489889,3a,31.5y,349.93h,83.41t/data=!3m5!1e1!3m3!1sBdySlfyUIVpdfOD7f79-Dw!2e0!3e5"	17.0		120	3		神様はじめました◎	カミサマハジメマシタ	第6話の桃園奈々生と沼皇女の街ぶらシーンで2人が顔真似をしていた羅漢像群で、木々の形まで忠実に描かれており、探すのは骨が折れますが、作中で描かれていたものと全く同じ像も実際に存在します。				クワゴエシ	カ	11	20	2	
0193	0003	完了	埼玉県	川越市	クレアモール川越新富町商店街	350-0043	埼玉県川越市新富町1-19		35.914019	139.483041	"https://www.google.co.jp/maps/@35.913972,139.483036,3a,57.1y,0.48h,88.07t/data=!3m4!1e1!3m2!1sCaMKx7APJUz1CskJUUeEdQ!2e0"	17.0		120	3		神様はじめました◎	カミサマハジメマシタ	第6話の桃園奈々生と沼皇女の街ぶらシーンで描かれていた商店街。				クワゴエシ	カ	11	20	2	
0193	0004	完了	埼玉県	川越市	西武鉄道 本川越駅	350-0043	埼玉県川越市新富町1-22		35.914122	139.481648	"https://www.google.co.jp/maps/@35.914572,139.482214,3a,15y,247.97h,93.99t/data=!3m4!1e1!3m2!1s1G-KdHJYBPzLlwiL9LIDeA!2e0"	15.0		120	3		神様はじめました◎	カミサマハジメマシタ	第6話で出雲から一人で川越に帰って来た桃園奈々生が下り立った駅で、駅前でショッピング中の沼皇女と遭遇していました。				クワゴエシ	カ	11	20	2	
0193	0005	完了	埼玉県	川越市	ZARA川越店	350-0043	埼玉県川越市新富町2-9-8		35.912039	139.482733	"https://www.google.co.jp/maps/@35.912071,139.482836,3a,90y,275.25h,102.5t/data=!3m4!1e1!3m2!1skShgWjeos1Iz7-X5qUS-AQ!2e0"	17.0		120	1		神様はじめました◎	カミサマハジメマシタ	第6話の桃園奈々生と沼皇女の街ぶらシーンで、2人がショーウインドウを見ていた店。				クワゴエシ	カ	11	20	2	
0193	0006	完了	埼玉県	川越市	川越城中ノ門堀跡	350-0053	埼玉県川越市郭町1-8-6		35.924753	139.488132	"https://www.google.co.jp/maps/@35.924849,139.488134,3a,49.8y,177.52h,85.98t/data=!3m4!1e1!3m2!1sb7QM1xGQploeSzao18PaCQ!2e0"	17.0		120	3		神様はじめました◎	カミサマハジメマシタ	第1話で、出雲行きまでに通力を上げると鼻息荒く意気込む桃園奈々生と、巴衛がバスを待っていた場所。実際にはこの場所にバス停はなく、川崎市立博物館前の川越シャトルと東武バスのバス停をモデルに描き加えられているものと思われます。				クワゴエシ	カ	11	20	2	
0193	0007	完了	埼玉県	川越市	川越市民会館	350-0053	埼玉県川越市郭町1-18		35.923294	139.487362	"https://www.google.co.jp/maps/@35.923391,139.486914,3a,40.6y,111.75h,103.32t/data=!3m4!1e1!3m2!1sbhE3pTKzpbj5_PMal2200Q!2e0"	17.0		120	2	049-222-4678	神様はじめました◎	カミサマハジメマシタ	第6話で鞍馬のライブ会場となっていた市民会館。作中では鞍馬の大看板が掲げられていましたが、当然実際には看板はありません。	http://www.kfp.or.jp/a00/			クワゴエシ	カ	11	20	2	
0193	0008	完了	埼玉県	川越市	川越高等学校	350-0053	埼玉県川越市郭町2-6		35.924036	139.4902	"https://www.google.co.jp/maps/@35.9234772,139.4889798,3a,26.4y,57.72h,98.68t/data=!3m6!1e1!3m4!1sjcHLp0XU1-N5PFaXFIgqVQ!2e0!7i13312!8i6656"	16.0		0		049-222-0224	神様はじめました◎	カミサマハジメマシタ	桃園奈々生たちの通う「宇治上高校」のモデル。	http://www.kawagoe-h.spec.ed.jp/	http://www.kawagoe-h.spec.ed.jp/		クワゴエシ	カ	11	20	2	
0193	0009	完了	埼玉県	川越市	川越城本丸御殿	350-0053	埼玉県川越市郭町2-13-1		35.924419	139.491475	"https://www.google.co.jp/maps/@35.924383,139.491765,3a,75y,286.27h,90.63t/data=!3m4!1e1!3m2!1sE2ouDdur2xQAKSyEd0vSbA!2e0"	17.0		120	1.5		神様はじめました◎	カミサマハジメマシタ	第6話の桃園奈々生と沼皇女の街ぶらシーンで描かれていた史跡。	http://museum.city.kawagoe.saitama.jp/hommaru/			クワゴエシ	カ	11	20	2	
0193	0010	完了	埼玉県	川越市	富士見櫓跡（御嶽神社）の階段	350-0053	埼玉県川越市郭町2-15		35.923181	139.490643	"https://www.google.co.jp/maps/@35.9226771,139.4903337,3a,15y,37.48h,86.64t/data=!3m6!1e1!3m4!1sUZrQs2cX996I7-iqeW679Q!2e0!7i13312!8i6656?hl=ja"	18.0		0			神様はじめました◎	カミサマハジメマシタ	オープニングで、鬼切と虎徹がぴょんぴょんとハネながら下りていた階段。				クワゴエシ	カ	11	20	2	
0193	0011	完了	埼玉県	川越市	住宅街（三芳野神社参道入口前）	350-0053	埼玉県川越市郭町2-21		35.923080	139.493158	"https://www.google.co.jp/maps/@35.923034,139.492988,3a,21.3y,70.87h,89.7t/data=!3m4!1e1!3m2!1sKyHTUFs9I0vOjqiSJfb7JA!2e0"	17.0		120	3		神様はじめました◎	カミサマハジメマシタ	第6話で桃園奈々生と巴が、牡丹丸と遭遇した道。				クワゴエシ	カ	11	20	2	
0193	0012	完了	埼玉県	川越市	民家	350-0053	埼玉県川越市郭町2-21-4		35.922978	139.493163	"https://www.google.co.jp/maps/@35.923081,139.493156,3a,75y,161.02h,90.55t/data=!3m4!1e1!3m2!1sqV32vshYsaPIbil-AgBcxg!2e0"	17.0		120	1.7		神様はじめました◎	カミサマハジメマシタ	第6話の桃園奈々生と沼皇女の街ぶらシーンで描かれていた建物。				クワゴエシ	カ	11	20	2	
0193	0014	完了	埼玉県	川越市	音楽喫茶アマンダ	350-0057	埼玉県川越市大手町7-4		35.923707	139.486035	"https://www.google.co.jp/maps/@35.923658,139.486117,3a,59.9y,281.45h,86.68t/data=!3m5!1e1!3m3!1suks8iEhftW-amyB5PBwjEg!2e0!5s20140301T000000"	17.0		120	1.8	049-222-0637	神様はじめました◎	カミサマハジメマシタ	第6話で桃園奈々生が牡丹丸から下界に来た事情を聞いていた喫茶店。				クワゴエシ	カ	11	20	2	
0193	0015	完了	埼玉県	川越市	芸者横丁	350-0061	埼玉県川越市喜多町2		35.925435	139.483222	"https://www.google.co.jp/maps/@35.925465,139.48316,3a,90y,99.06h,89.98t/data=!3m4!1e1!3m2!1ssa0WD_fx9HH7GmUAv9TC2g!2e0"	17.0		120	1		神様はじめました◎	カミサマハジメマシタ	第6話で巴に飛べないことを侮辱された牡丹丸が、落ち込んでうずくまっていた場所で、ゲート左右隣のワークショップマルガサイとクロカワ（理髪店）の建物と、パブ河、小料理悦、ロートレック、クラブ浮世の4店舗の店名が記載されてたゲートが描かれていました。				クワゴエシ	カ	11	20	2	
0193	0016	完了	埼玉県	川越市	川越スカラ座	350-0062	埼玉県川越市元町1-1-1		35.924097	139.484566	"https://www.google.co.jp/maps/@35.924052,139.484394,3a,49.4y,91.65h,79.8t/data=!3m4!1e1!3m2!1s0rcJZDXsZ99pdka2Iy3muA!2e0"	17.0		120	2	049-233-0733	神様はじめました◎	カミサマハジメマシタ	第6話の桃園奈々生と沼皇女の街ぶらシーンで描かれていた映画館。	http://k-scalaza.com/			クワゴエシ	カ	11	20	2	
