作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所２	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在
1125	0001	完了	東京都	多摩市	住宅街	206-0013	東京都多摩市桜ケ丘3-6		35.640192	139.442883	"https://www.google.co.jp/maps/@35.6402684,139.4427354,3a,17.5y,115.73h,88.98t/data=!3m6!1e1!3m4!1sEI46gbeAFsvHPVyBGIKvpA!2e0!7i16384!8i8192"						私に天使が舞い降りた！	ワタシニテンシガマイオリタ	オープニングの通学途中の白咲花、星野ひなた、姫坂乃愛のカットで描かれていた場所。				タマシ	ワ	13	35	2	
1125	0003	完了	東京都	多摩市	住宅街（一時停止の看板前）	206-0013	東京都多摩市桜ケ丘3-21		35.641047	139.440935	"https://www.google.co.jp/maps/@35.6411002,139.4409406,3a,36y,176.39h,90.34t/data=!3m6!1e1!3m4!1sOsxCd5_UHuzzr-L_ZEa2Pw!2e0!7i16384!8i8192"						私に天使が舞い降りた！	ワタシニテンシガマイオリタ	第2話のエンディング後のシーンで、通学途中の白咲花、星野ひなた、姫坂乃愛が登っていた坂道その2.。				タマシ	ワ	13	35	2	
1125	0002	完了	東京都	多摩市	住宅街（空き地前）	206-0013	東京都多摩市桜ケ丘4-26		35.640889	139.441236	"https://www.google.co.jp/maps/@35.6409066,139.4412145,3a,44y,37.49h,87.87t/data=!3m6!1e1!3m4!1scJDg1mk8NuVyqkxnLk_XRA!2e0!7i16384!8i8192"						私に天使が舞い降りた！	ワタシニテンシガマイオリタ	第2話のエンディング後のシーンで、通学途中の白咲花、星野ひなた、姫坂乃愛が登っていた坂道その1。				タマシ	ワ	13	35	2	
1125	0004	完了	東京都	多摩市	落合白山神社	206-0033	東京都多摩市落合2-2-1		35.622424	139.428467	"https://www.google.co.jp/maps/@35.6222532,139.4289805,3a,59.1y,291.65h,82.16t/data=!3m6!1e1!3m4!1sKC2HrS_h-R6JJVL9LHB5rg!2e0!7i13312!8i6656"						私に天使が舞い降りた！	ワタシニテンシガマイオリタ	第4話で、星野みやこたちが遊びに行った夜祭の会場となっていた神社。	https://www.hakusan-jinja.or.jp/			タマシ	ワ	13	35	2	
1125	0005	完了	東京都	小平市	武蔵野美術大学	187-0032	東京都小平市小川町1-736		35.726235	139.447637	"https://www.google.com/maps/@35.7261784,139.4479753,3a,35y,7.33h,92.98t/data=!3m6!1e1!3m4!1s5-0FyiIlgwjNHZXakLJU2g!2e0!7i13312!8i6656"						私に天使が舞い降りた！	ワタシニテンシガマイオリタ	星野みやこの通う大学のモデル。第6話で、課題提出のために大学を訪れたみやこの後をつけて来た白咲花、星野ひなた、姫坂乃愛が潜入していました。門の形状などは描き変えられていたものの、門前の向かい側や図書館、8号館の天井などは忠実に描かれていました。				コダイラシ	ワ	13	32	2	
1125	0006	完了	東京都	多摩市	ココリア多摩センター	206-0033	東京都多摩市落合1-46-1		35.622833	139.425205	"https://www.google.co.jp/maps/@35.6231828,139.425384,3a,42y,202.39h,119.93t/data=!3m6!1e1!3m4!1ssAlJJ7Ls7IvVH2h4SCbjtg!2e0!7i13312!8i6656"				3.5		私に天使が舞い降りた！	ワタシニテンシガマイオリタ	第8話で、星野みやこが星野ひなたと一緒に買い物に出かけたシーンの挿入カットで描かれていた場所その1。<br />買い物シーンでは、瞬間移動するショップ店員につかまっていた2階のKANKAN、その向かい側のアイクロック多摩店の他、LBC market、CANDY MARCHEの兵隊の人形、チョコアイスクリームを食べていた地下1階のイートインコーナー（ココリアフードマルシェ）、パシオスココリア多摩センター店、松本香子の妹・友奈ちゃんと遭遇したいた丸善 多摩センター店など、施設内の各所忠実にが描かれていました。				タマシ	ワ	13	35	2	
1125	0007	完了	東京都	多摩市	小田急多摩センター駅（中央口）前	206-0033	東京都多摩市落合1-40		35.624629	139.424571	"https://www.google.co.jp/maps/@35.6247432,139.4245174,3a,45y,154.19h,94.17t/data=!3m6!1e1!3m4!1sKKA2VJiAozrtrt1xQe0lwA!2e0!7i13312!8i6656"						私に天使が舞い降りた！	ワタシニテンシガマイオリタ	第8話で、星野みやこが星野ひなたと一緒に買い物に出かけたシーンの挿入カットで描かれていた場所その2。				タマシ	ワ	13	35	2	
1125	0008	完了	東京都	多摩市	タイトーステーション 多摩センター店	206-0033	東京都多摩市落合1-45-1	丘の上パティオ	35.623354	139.426546	"https://www.google.co.jp/maps/@35.6234103,139.4263907,3a,75y,122.3h,94.48t/data=!3m6!1e1!3m4!1smtuRfArQcSl09XRa2PuIJA!2e0!7i13312!8i6656"				2		私に天使が舞い降りた！	ワタシニテンシガマイオリタ	第8話で、星野みやこが星野ひなたと一緒に買い物に出かけたシーンの挿入カットで描かれていた場所その3。				タマシ	ワ	13	35	2	
1125	0009	完了	東京都	多摩市	PET SHOP Caniche（カニッシュ）	206-0033	東京都多摩市落合2-33	クロスガーデン多摩2F	35.620155	139.423299	-						私に天使が舞い降りた！	ワタシニテンシガマイオリタ	第8話で、松本香子が飼い犬（みやこ）に予防接種を受けさせようと連れてきたペットショップ。				タマシ	ワ	13	35	2	
1125	0010	完了	東京都	多摩市	ココリア多摩センター脇のベンチ	206-0033	東京都多摩市落合1-46-1		35.622769	139.424596	"https://www.google.com/maps/@35.6227785,139.4245137,3a,15.2y,93.73h,82.39t/data=!3m6!1e1!3m4!1sA-GAB8jP95tHvlMkmuLMcA!2e0!7i13312!8i6656"				5		私に天使が舞い降りた！	ワタシニテンシガマイオリタ	第8話で、星野みやこと星野ひなたが買い物に出かけているのを知って同じく商業施設にやって来ていた白咲花と姫坂乃愛が休憩していたベンチ。松本香子や松本の飼い犬のみやこと遭遇していました。				タマシ	ワ	13	35	2	
1125	0011	完了	東京都	多摩市	聖蹟桜ヶ丘駅前	206-0011	東京都多摩市関戸1-11		35.650458	139.446844	"https://www.google.com/maps/@35.6503088,139.4465304,3a,15y,59.25h,89.96t/data=!3m6!1e1!3m4!1sTvHKQ4-v8VzoJXC3G8Pb5Q!2e0!7i13312!8i6656"				5		私に天使が舞い降りた！	ワタシニテンシガマイオリタ	第10話で、1日限定30個のシュークリームを一緒買いに行くことになった星野みやこと白咲花が待ち合わせをしていた場所。<br />OPAや駅前交差点のほか、駅前にある『耳をすませば』の地球屋をイメージして作られたモニュメント「青春のポスト」も描かれていました。				タマシ	ワ	13	35	2	
1125	0012	完了	東京都	多摩市	桜ヶ丘四丁目バス停 付近	206-0013	東京都多摩市桜ケ丘3-1		35.640549	139.444284	"https://www.google.com/maps/@35.6404158,139.4442468,3a,55y,45.73h,91.78t/data=!3m6!1e1!3m4!1sdhbs4GokaC0MOgIMfh1E_Q!2e0!7i16384!8i8192"						私に天使が舞い降りた！	ワタシニテンシガマイオリタ	第10話で、1日限定30個のシュークリームを一緒買いに行く星野みやこと白咲花が歩いていた場所。				タマシ	ワ	13	35	2	
1125	0013	完了	東京都	多摩市	原峰公園	206-0011	東京都多摩市関戸6-28		35.640461	139.446315	"https://www.google.com/maps/@35.640623,139.4459563,3a,15y,75.2h,81.65t/data=!3m6!1e1!3m4!1sHjfh2-StsE1yMUWQMDseUg!2e0!7i13312!8i6656"				5		私に天使が舞い降りた！	ワタシニテンシガマイオリタ	第10話で、1日限定30個のシュークリームを白咲花と一緒買いに行くことになった星野みやこが、以前に不審者と間違われた婦警さんに遭遇して逃げ込んでいた公園。<br />帰りシーンで、花が飛び石を渡っていたのもこの公園の池ですが、実際には飛び石はありません。				タマシ	ワ	13	35	2	
1125	0014	完了	東京都	多摩市	桜ヶ丘公園　ゆうひの丘	206-0021	東京都多摩市連光寺3-25		35.641916	139.460913	"https://www.google.co.jp/maps/@35.6419004,139.4608642,3a,46.7y,33.6h,70.75t/data=!3m6!1e1!3m4!1sOCBp8Yz9PpEPDmsbRF3ZFQ!2e0!7i13312!8i6656"						私に天使が舞い降りた！	ワタシニテンシガマイオリタ	第6話で、大学に行くと言う星野みやこを疑って尾行して来た白咲花たちが、大学で合流したみやこと、大学帰りに喫茶店でテイクアウトしたチーズケーキを食べていた公園。<br />第10話では、1日限定30個のシュークリームを一緒買いに来た白咲花と星野みやこが、帰りに買ったばかりのシュークリームをベンチに座って食べていました。<br />オープニングで傘を差したみやこと花が立っていたのもこの場所で、ベンチも同じものです。				タマシ	ワ	13	35	2	
