作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所２	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在
0235	0011	完了	東京都	千代田区	JR 東京駅	100-0005	東京都千代田区丸の内1-9-1		35.681376	139.766073	"https://www.google.com/maps/@35.6817008,139.7647401,3a,15y,105.87h,97.3t/data=!3m6!1e1!3m4!1sisjO_HHT4szzdYyF5E6ehA!2e0!7i16384!8i8192"				5		究極超人あ～る	キュウキョクチョウジンアール	西園寺まりいの挑戦状であるスタンプラリーのポスターを見た鳥坂先輩率いる光画部一行が、7番ホームから7時24分発伊東行き普通列車に乗車していたスタンプラリーのスタート駅。<br />※作中で描かれていた丸の内旧駅舎は、太平洋戦争の戦災から修復されたものでしたが、現在は1914年の創建当初の姿へ復原されており（2007年5月30日起工・2012年10月1日完成）、細部が若干異なります。				チヨダク	キ	13	17	2	
0235	0010	完了	長野県	飯田市	JR 飯田駅	395-0000	長野県飯田市上飯田5356		35.519576	137.821286	-						究極超人あ～る	キュウキョクチョウジンアール	光画部一行が挑んだスタンプラリー2日目のスタンプ駅⑰で、「下山ダッシュ」にチャレンジ中のR・田中一郎、浅野、岸田の3人を除く光画部一行が乗る飯田線が停車していました。<br />※作中で描かれていた旧駅舎は1992年に現駅舎に改築済。				イイダシ	キ	20	28	2	
0235	0009	完了	長野県	伊那市	伊那市駅前ロータリー	396-0025	長野県伊那市荒井		35.838754	137.959112	"https://www.google.com/maps/@35.8386498,137.9589655,3a,29y,55.05h,91.17t/data=!3m6!1e1!3m4!1sEkeMmK5Rf3Kb2F9Wbx2icA!2e0!7i13312!8i6656"						究極超人あ～る	キュウキョクチョウジンアール	轟天号に乗るR・田中一郎、鳥坂先輩、大戸島さんごの3人が駅前に姿を表すシーンで、ロータリーや銅像、パチンコ店（NEW MARUGIN）などが描かれていました。				イナシ	キ	20	25	2	
0235	0001	完了	長野県	伊那市	JR 伊那市駅	396-0025	長野県伊那市荒井3465		35.8386	137.9593	"https://www.google.com/maps/@35.8386839,137.9589802,3a,45.3y,113.34h,84.63t/data=!3m6!1e1!3m4!1sDBQbuurbzhfEOXIRvwE89w!2e0!7i13312!8i6656"	13.0					究極超人あ～る	キュウキョクチョウジンアール	鳥坂先輩率いる光画部一行が参加したスタンプツアーの終着点となっていた駅。<br />スタンプは駅舎ではなく、駅前の西園寺ツーリストの建物内となっていました。				イナシ	キ	20	25	2	
0235	0002	完了	長野県	飯田市	JR 下山村駅	395-0803	長野県飯田市鼎下山249		35.504311	137.839597	-	13.0					究極超人あ～る	キュウキョクチョウジンアール	光画部一行が挑んだスタンプラリー2日目のスタンプ駅⑯で、鳥坂先輩に指名されたR・田中一郎、浅野、岸田の3人が、Ω型に大回りしている下山村～伊那上郷間を、下山村駅で一度下車して直線的に2km弱の距離を走り、伊那上郷間駅で再度同じ電車に乗り込むチャレンジをした、いわゆる「下山ダッシュ」のスタート駅。<br />※スタンプ駅⑩～⑮の為栗駅、温田駅、 田本駅、門島駅、 唐笠駅、金野駅は作中では描かれていません。				イイダシ	キ	20	28	2	
0235	0003	完了	長野県	飯田市	JR 伊那上郷駅	395-0004	長野県飯田市上郷黒田276		35.520156	137.838981	"https://www.google.com/maps/@35.5200548,137.8395112,3a,19.8y,277.3h,89.19t/data=!3m6!1e1!3m4!1scSvSdJP7EXeMBIA0UY30dA!2e0!7i13312!8i6656"	13.0					究極超人あ～る	キュウキョクチョウジンアール	光画部一行が挑んだスタンプラリー2日目のスタンプ駅⑱で、鳥坂先輩に指名されたR・田中一郎、浅野、岸田の3人が、Ω型に大回りしている下山村～伊那上郷間を、下山村駅で一度下車して直線的に2km弱の距離を走り、伊那上郷間駅で再度同じ電車に乗り込むチャレンジをした、いわゆる「下山ダッシュ」のゴール駅。				イイダシ	キ	20	28	2	
0235	0004	完了	長野県	上伊那郡	JR 田切駅	399-3701	長野県上伊那郡飯島町田切2795		35.694858	137.932800	"https://www.google.com/maps/@35.6950578,137.9323779,3a,15y,114.94h,96.05t/data=!3m6!1e1!3m4!1spVYWRj87BYr6MYhGIOzzBw!2e0!7i13312!8i6656"	13.0					究極超人あ～る	キュウキョクチョウジンアール	光画部一行が挑んだスタンプラリー2日目、ゴールである伊那市駅を前に、「飯田線と言ったら田切が目的地ではないか」と言って鳥坂先輩が一行を下車させた駅。<br />16時までに伊那市駅に着ける最終電車である田切発16時47分の電車を下車してしまったため、途方に暮れる一行でしたが、鳥坂先輩とR・田中一郎が10人乗りに魔改造した轟天号で伊那市駅を目指すことになっていました。<br />ホームの他、。鳥坂先輩とRが轟天号を改造していたトイレ前などが描かれていました。<br />作中では、光画部御用達の温泉「山田さん温泉」がある駅との話もしていました。				カミイナグン	キ	20	27	2	
0235	0005	完了	長野県	上伊那郡	田切駅脇の階段	399-3701	長野県上伊那郡飯島町田切		35.694973	137.932891	"https://www.google.com/maps/@35.6951485,137.933039,3a,23.1y,208.83h,93.41t/data=!3m6!1e1!3m4!1sJVf3MgJNB8lOaXzux4vocw!2e0!7i13312!8i6656"	17.0					究極超人あ～る	キュウキョクチョウジンアール	16時までに伊那市駅へ行ける最終電車を下車してしまった一行途方に暮れる中、大戸島さんごがトイレに行こうとして降りていった田切駅の階段。				カミイナグン	キ	20	27	2	
0235	0026	完了	長野県	上伊那郡	公衆トイレ 前	399-3702	長野県上伊那郡飯島町田切		35.694890	137.932628	"https://www.google.com/maps/@35.6949468,137.932679,3a,30y,200.63h,86.36t/data=!3m6!1e1!3m4!1sKuGTuL3kvFUAD6gf0K4zOQ!2e0!7i13312!8i6656"						究極超人あ～る	キュウキョクチョウジンアール	16時までに伊那市駅へ行ける最終電車を下車してしまった一行途方に暮れる中、鳥坂先輩とR・田中一郎が轟天号を10人乗りに魔改造していた場所。				カミイナグン	キ	20	27	2	
0235	0006	完了	長野県	上伊那郡	陸橋	399-3701	長野県上伊那郡飯島町田切		35.695123	137.932899	"https://www.google.com/maps/@35.6951485,137.933039,3a,49.1y,256.09h,100.31t/data=!3m6!1e1!3m4!1sJVf3MgJNB8lOaXzux4vocw!2e0!7i13312!8i6656"	17.0					究極超人あ～る	キュウキョクチョウジンアール	魔改造した轟天号に10人乗りの光画部一行がよたつきながら、スタンプラリーのゴールである伊那市駅を目指して出発していた場所。				カミイナグン	キ	20	27	2	
