作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所２	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在
0198	0001	完了	埼玉県	川口市	新荒川大橋	332-0013	埼玉県川口市舟戸町		35.789672	139.724000	"https://www.google.co.jp/maps/@35.789134,139.72374,3a,33.9y,257.51h,77.49t/data=!3m4!1e1!3m2!1sU2RQu5NzIpUvAxaDK6_WBg!2e0?hl=ja"	14.0		120	1		空の境界	カラノキョウカイ	「未来福音 extra chorus」。宮月理々栖が浅上藤乃と遭遇した橋。				カワグチシ	カ	11	2	2	
0198	0002		東京都	千代田区	有楽町マリオン	100-0006	東京都千代田区有楽町2-5-1		35.673644	139.762696	"https://www.google.co.jp/maps/@35.673144,139.762752,3a,19.5y,322.44h,102.97t/data=!3m4!1e1!3m2!1sb4EYYoIXuBKqN0MvFPqVDQ!2e0?hl=ja"	17		120	2.7		空の境界	カラノキョウカイ	第五章。からくり時計				チヨダク	カ	13	17	2	
0198	0003		東京都	千代田区	喫茶りか	102-0076	東京都千代田区五番町6		35.689646	139.735340		18		0		03-3264-6653	空の境界	カラノキョウカイ	喫茶店「アーネンエルベ」のモデル。				チヨダク	カ	13	17	2	
0198	0004		東京都	千代田区	東京国立近代美術館 工芸館	102-0091	東京都千代田区北の丸公園1-1		35.689699	139.750417	"https://www.google.co.jp/maps/@35.689711,139.750677,3a,90y,216.97h,95.58t/data=!3m5!1e1!3m3!1s0e79P_9DxuMAAAQZWSmJ-g!2e0!3e11?hl=ja"	17		120	1		空の境界	カラノキョウカイ	第五章。橙子さんの人形個展会場。				チヨダク	カ	13	17	2	
0198	0005		東京都	中央区	日本橋	103-0022	東京都中央区日本橋室町1		35.684045	139.774458	"https://www.google.co.jp/maps/@35.684086,139.774363,3a,36.5y,282.48h,99.78t/data=!3m4!1e1!3m2!1sP5TV1A3SJ7GeGdgXzi-wqw!2e0?hl=ja"	17		120	1		空の境界	カラノキョウカイ	第一章				チュウオウク	カ	13	16	2	
0198	0006	完了	東京都	江東区	栗原橋	136-0071	東京都江東区亀戸3		35.704597	139.818891	"https://www.google.co.jp/maps/@35.704617,139.819152,3a,25.4y,269.01h,87.13t/data=!3m4!1e1!3m2!1st4kgiQ1-rAFpz0IAGlVDsg!2e0?hl=ja"	17		120	3		空の境界	カラノキョウカイ	「未来福音 extra chorus」。両儀式が渡っている横を走って来たトラックが遠隔爆破されていた橋。				コウトウク	カ	13	8	2	
0198	0007		東京都	江東区	横十間川遊歩道	136-0071	東京都江東区亀戸3		35.704310	139.819086	-	17		0			空の境界	カラノキョウカイ	「未来福音 extra chorus」。橋でのトラック爆破から逃れた両儀式が横十間川				コウトウク	カ	13	8	2	
0198	0008	完了	東京都	江東区	車庫	136-0071	東京都江東区亀戸3-10		35.703373	139.819293	"https://www.google.co.jp/maps/@35.703357,139.819235,3a,36.3y,54.34h,80.35t/data=!3m4!1e1!3m2!1sBIq1YOvYOSWW-TZNMJp3TA!2e0?hl=ja"	18		120	1.5		空の境界	カラノキョウカイ	「未来福音 extra chorus」。歩く両儀式の背景に描かれていた倉庫。ぼかし加工がされていたものの、文字や塗装、錆までほぼ忠実に再現されていました。				コウトウク	カ	13	8	2	
0198	0009	完了	東京都	江東区	横十間川沿いの道	136-0071	東京都江東区亀戸3-10		35.703605	139.819202	"https://www.google.co.jp/maps/@35.703627,139.81922,3a,46.4y,14.01h,72.55t/data=!3m4!1e1!3m2!1sV8Ke7sMxtTttuY1xino_9w!2e0?hl=ja"	18		120	1.5		空の境界	カラノキョウカイ	「未来福音 extra chorus」。両儀式が電話をしていた道。電信柱や建物、金網柵や道路の塗装に至るまでかなり忠実に描かれており、川側にある3面のカーブミラーも実在します。				コウトウク	カ	13	8	2	
0198	0010	完了	東京都	渋谷区	都道413号線	150-0001	東京都渋谷区神宮前6		35.668136	139.70592	"https://www.google.co.jp/maps/@35.668164,139.706068,3a,75y,91.16h,79.66t/data=!3m4!1e1!3m2!1su1atl463rmeyG3yT5MBklg!2e0?hl=ja"	17		120	2		空の境界	カラノキョウカイ	第二章で入院中の両儀式の見舞いに行く黒桐幹也が渡っていた道。作中では横断歩道になっているのですが、実際には横断歩道はありません。				シブヤク	カ	13	10	2	
0198	0011	完了	東京都	渋谷区	宮下公園	150-0002	東京都渋谷区渋谷1-26		35.661690	139.701735	-	18		0			空の境界	カラノキョウカイ	第三章で、黒桐幹也が湊啓太を探して訪れた公園で。階段や管理事務所、トイレなどが描かれていました。				シブヤク	カ	13	10	2	
0198	0012	完了	東京都	渋谷区	宮下公園 駐輪所トンネル	150-0002	東京都渋谷区渋谷1-26		35.660366	139.701286	"https://www.google.co.jp/maps/@35.660349,139.701416,3a,90y,275.32h,86.07t/data=!3m5!1e1!3m3!1sV4oUyIJFIVUAAAQXGzLosQ!2e0!3e11?hl=ja"	18		120	1.5		空の境界	カラノキョウカイ	第五章。臙条巴が不良たちから逃げる時に通っていたトンネル駐輪所。井の頭通り方向から来て、トンネルを抜けて線路沿いの細道を渋谷駅方面へ逃げて行きました。				シブヤク	カ	13	10	2	
0198	0013		東京都	渋谷区	スクランブル交差点	150-0043	東京都渋谷区道玄坂2		35.659486	139.700552	"https://www.google.co.jp/maps/@35.659453,139.700671,3a,49.8y,317.05h,105.76t/data=!3m4!1e1!3m2!1s650hSfw0WcJQo1LFmcOumQ!2e0?hl=ja"	17		120	1		空の境界	カラノキョウカイ	第四章。第五章				シブヤク	カ	13	10	2	
0198	0014	完了	東京都	目黒区	ZOOL BROCANTE 高円寺店	153-0051	東京都目黒区上目黒3-11-6		35.702821	139.649489	"https://www.google.co.jp/maps/@35.702921,139.649628,3a,33.1y,228.39h,89.35t/data=!3m4!1e1!3m2!1sWSNlpkJTW9fwGdPL2kIyrQ!2e0?hl=ja"	17.0				03-3716-8164	空の境界	カラノキョウカイ	第二章で両儀式が赤革のブルゾンを買った古着屋。※移転済	http://zool.jp/shoplist/	http://zool.jp/shoplist/		メグロク	カ	13	23	2	
0198	0015	完了	東京都	新宿区	モア4番街店（シティバンク 新宿東口支店前）	160-0022	東京都新宿区新宿3-19		35.692708	139.702490	"https://www.google.co.jp/maps/@35.692619,139.702505,3a,20.5y,354.89h,86.63t/data=!3m4!1e1!3m2!1s2LUUKcsgKLxg7Z9uDUK55w!2e0?hl=ja"						空の境界	カラノキョウカイ	「未来福音 extra chorus」。占い師の所から帰りに両儀未那と瓶倉光溜が通っていた通り。				シンジュクク	カ	13	11	2	
0198	0016	完了	東京都	新宿区	モア4番街店（車屋別館／ダッキープラザビル前）	160-0022	東京都新宿区新宿3-21		35.692837	139.702366	"https://www.google.co.jp/maps/@35.69287,139.702486,3a,75y,279.59h,106.72t/data=!3m4!1e1!3m2!1s-y2Wm7TpPcX9ssbhzR3uDQ!2e0?hl=ja"						空の境界	カラノキョウカイ	「未来福音 extra chorus」。占い師の所から帰りに両儀式が通っていた通り。				シンジュクク	カ	13	11	2	
