作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所２	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在
0290	0001	完了	京都府	京都市	トロッコ嵯峨駅	616-8373	京都府京都市右京区嵯峨天竜寺車道町		35.018432	135.680863	"https://www.google.co.jp/maps/@35.0183333,135.6808333,3a,90y,323.0h,82.0t/data=!3m8!1e1!3m6!1sCAoSLEFGMVFpcE00bXpZZE8zemRpdFNWTFhPakVRYUVYMTNQWENlaUxvV1MxNHoy!2e10!3e11!6shttps:%2F%2Flh5.googleusercontent.com%2Fp%2FCAoSLEFGMVFpcE00bXpZZE8zemRpdFNWTFhPakVRYUVYMTNQWENlaUxvV1MxNHoy%3Dw203-h100-k-no-pi0-ya316.88568-ro-0-fo100!7i5376!8i2688 "						競女!!!!!!!!	ケイジョ	第6話で、京都合宿で京都入りしたものの、予定より早く着いてしまってホテルにチェックインできないことから3時間の自由時間をもらった際に、みんなと一緒に京都観光をしようと言い出せなかった宮田さやかが、一人でベンチに座っていたところへ、神無のぞみたちがさやかを探してやってきた場所。			SVは角度等全然合っていない	キョウトシ	ケ	26	10	5	
0290	0002	完了	京都府	京都市	渡月橋付近	616-8383	京都府京都市右京区嵯峨中ノ島町		35.012279	135.677947	"https://www.google.co.jp/maps/@35.013596,135.6782753,3a,24.6y,208.37h,99.36t/data=!3m8!1e1!3m6!1s-UdzPxslpxxc%2FVh5TpyghMhI%2FAAAAAAAAtPY%2F7EyILOIv8Ns9s9D2kGdYTCD91WQVLzqIgCJkC!2e4!3e11!6s%2F%2Flh4.googleusercontent.com%2F-UdzPxslpxxc%2FVh5TpyghMhI%2FAAAAAAAAtPY%2F7EyILOIv8Ns9s9D2kGdYTCD91WQVLzqIgCJkC%2Fw203-h100-k-no-pi-0-ya136.09174-ro0-fo100%2F!7i8704!8i4352!6m1!1e1?hl=ja"						競女!!!!!!!!	ケイジョ	第6話の京都合宿冒頭カットで描かれていた橋。同話後半では、橋すぐそばの下流にて現役選手による指導が行われていました。第8話の合宿最終日にも同じ場所で模擬レースが行われていました。				キョウトシ	ケ	26	10	5	
0290	0003	完了	京都府	京都市	嵐電 嵐山駅	616-8384	京都府京都市右京区嵯峨天龍寺造路町		35.015250	135.677839	-					075-881-9520	競女!!!!!!!!	ケイジョ	第6話の京都観光シーンで、神無のぞみたちが訪れていた観光スポットその4。ホームが描かれていました。				キョウトシ	ケ	26	10	5	
0290	0004	完了	京都府	京都市	嵯峨とうふ 稲 本店	616-8384	京都府京都市右京区嵯峨天龍寺造路町19		35.015879	135.677250	"https://www.google.co.jp/maps/@35.0158978,135.6771217,3a,15y,96.25h,86.68t/data=!3m6!1e1!3m4!1srNg0l534T8wj7CwOdjFBnQ!2e0!7i13312!8i6656?hl=ja"						競女!!!!!!!!	ケイジョ	第6話の京都観光シーンで、神無のぞみたちが訪れていた観光スポットその2。この店でゆばソフトクリームを食べていました。	http://www.kyo-ine.com/			キョウトシ	ケ	26	10	5	
0290	0005	完了	京都府	京都市	井筒八ッ橋本舗 嵐山駅店	616-8384	京都府京都市右京区嵯峨天龍寺造路町20		35.015191	135.677502	"https://www.google.co.jp/maps/@35.0151371,135.6773486,3a,22.5y,71.92h,91.04t/data=!3m7!1e1!3m5!1sOGt1A2-olGDqxAIne0aNpA!2e0!6s%2F%2Fgeo0.ggpht.com%2Fcbk%3Fpanoid%3DOGt1A2-olGDqxAIne0aNpA%26output%3Dthumbnail%26cb_client%3Dmaps_sv.tactile.gps%26thumb%3D2%26w%3D203%26h%3D100%26yaw%3D350.75278%26pitch%3D0%26thumbfov%3D100!7i13312!8i6656?hl=ja"					075-862-2121	競女!!!!!!!!	ケイジョ	第6話の京都観光シーンで、神無のぞみたちが訪れていた観光スポットその3。	http://www.yatsuhashi.co.jp/store/arashiyama.html			キョウトシ	ケ	26	10	5	
0290	0006	完了	京都府	京都市	アリンコ 嵐山本店	616-8384	京都府京都市右京区嵯峨天龍寺造路町20-1		35.015265	135.677472	"https://www.google.co.jp/maps/@35.0152504,135.6773316,3a,15.1y,77.6h,87.22t/data=!3m6!1e1!3m4!1sHQDWfwPGeAEm7_-UpRkAbQ!2e0!7i13312!8i6656?hl=ja"						競女!!!!!!!!	ケイジョ	第6話の京都観光シーンで、神無のぞみたちが訪れていた観光スポットその5。	http://www.arincoroll.jp/shopinfo/			キョウトシ	ケ	26	10	5	
0290	0007	完了	京都府	京都市	天龍寺 曹源池庭園	616-8385	京都府京都市右京区嵯峨天龍寺芒ノ馬場町68		35.015648	135.673608	"https://www.google.co.jp/maps/@35.0158182,135.6734019,3a,37.5y,166.52h,91.22t/data=!3m6!1e1!3m4!1sjO2sYr1rlkoLLxa79XbgMg!2e0!7i13312!8i6656?hl=ja"					075-881-1235	競女!!!!!!!!	ケイジョ	第6話の京都観光シーンで、神無のぞみたちが訪れていた観光スポットその1。	http://www.tenryuji.com/			キョウトシ	ケ	26	10	5	
0290	0008	完了	兵庫県	神戸市	明石海峡大橋（舞子公園から）	655-0047	兵庫県神戸市垂水区東舞子町		34.630373	135.035924	"https://www.google.co.jp/maps/@34.6304893,135.0357971,3a,26y,221.0h,101.0t/data=!3m8!1e1!3m6!1sCAoSLEFGMVFpcE8yUllUTENrcUE5VDhJeGxGbVZqWFZudG85c01BLWNfUDNla3Bo!2e10!3e11!6shttps:%2F%2Flh5.googleusercontent.com%2Fp%2FCAoSLEFGMVFpcE8yUllUTENrcUE5VDhJeGxGbVZqWFZudG85c01BLWNfUDNla3Bo%3Dw203-h100-k-no-pi-0-ya169.95038-ro0-fo100!7i10240!8i5120 "						競女!!!!!!!!	ケイジョ	第1話で「瀬戸内競女養成学校」の入学シーン冒頭に描かれていた橋。第6話の京都合宿に向かうシーンでも、神無のぞみたちの乗るバスがこの橋を渡っていました。				コウベシ	ケ	28	1	5	
0290	0009	完了	兵庫県	淡路市	慶野松原海水浴場	656-0304	兵庫県南あわじ市松帆古津路		34.337629	134.733529	-						競女!!!!!!!!	ケイジョ	第2話で、神無のぞみたち1年生が、ボーチボールを使ったヒップトスの練習をしていた砂浜。				アワジシ	ケ	28	37	5	
0290	0010	完了	兵庫県	淡路市	多賀の浜海水浴場	656-1521	兵庫県淡路市多賀		34.468552	134.837324	-						競女!!!!!!!!	ケイジョ	第2話冒頭で、北斗瞳の指導の下、神無のぞみたち1年生が、尻八の字100回をしていた場所。				アワジシ	ケ	28	37	5	
