作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所２	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在
0974	0001	完了	山形県	尾花沢市	銀山温泉郷	999-4333	山形県尾花沢市銀山新畑		38.569496	140.531465	"https://www.google.co.jp/maps/@38.5695287,140.5317646,3a,22.1y,269.17h,97.6t/data=!3m7!1e1!3m5!1sPFgp1cWwvwnwPyTzM0J5Ag!2e0!3e2!7i13312!8i6656"						笑ゥせぇるすまんNEW	ワラウセェルスマンニュー	第2話Aパートの冒頭カットで、能登屋旅館、旅館永澤平八などが描かれていました。				オバナザワシ	ワ	6	7	1	
0974	0002	完了	埼玉県	さいたま市	JR 大宮駅	330-0853	埼玉県さいたま市大宮区錦町630		35.906278	139.623833	"https://www.google.co.jp/maps/@35.9053566,139.6227499,3a,30.3y,359.0h,104.0t/data=!3m8!1e1!3m6!1sCAoSLEFGMVFpcE9iTEhMblVqYjZwLTRzbUVmN01PcDlVYzhpRENsWHZVd0dBX3VY!2e10!3e11!6shttps:%2F%2Flh5.googleusercontent.com%2Fp%2FCAoSLEFGMVFpcE9iTEhMblVqYjZwLTRzbUVmN01PcDlVYzhpRENsWHZVd0dBX3VY%3Dw203-h100-k-no-pi0-ya256.45734-ro-0-fo100!7i8704!8i4352 "	13.0		0			笑ゥせぇるすまんNEW	ワラウセェルスマンニュー	第3話Bパートで、喪黒福造のお客となる加米良鉄也の会社の最寄駅。喪黒福造の取り計らいで、寝台車に乗ってみたいと願っていた国鉄583系に乗り込んでいたのもこの駅でした。電車駅舎やホームが描かれています。				サイタマシ	ワ	11	1	2	
0974	0003	完了	東京都	中央区	銀座五丁目交差点	104-0061	東京都中央区銀座5−7−10		35.670419	139.764031	"https://www.google.co.jp/maps/@35.6703409,139.764103,3a,60.1y,26.65h,91.58t/data=!3m6!1e1!3m4!1siAU2pE_d1w5TlC4UxHCLgw!2e0!7i13312!8i6656"	18		120	1		笑ゥせぇるすまんNEW	ワラウセェルスマンニュー	第12話Bパートで、喪黒福造が、超激安旅行の実態を島井みち子に説明するシーンの挿入カットで、実写加工画像で描かれていた海外旅行気分が味わえる国内スポット4。				チュウオウク	ワ	13	16	2	
0974	0004	完了	東京都	港区	T・ジョイPRINCE品川（旧・品川プリンスシネマ）	108-8611	東京都港区高輪4-10-30		35.628392	139.735631	-	17		0			笑ゥせぇるすまんNEW	ワラウセェルスマンニュー	第11話Bパートで、間々野亜里が、喪黒福造に貰ったアイテムを使って娘の夢与を出場させた「第42回アイドルスカウトツーリズム最終オーディション」の会場。作中では旧名である「品川プリンスシネマ」の記載になっていました。				ミナトク	ワ	13	22	2	改装
0974	0005	完了	東京都	文京区	LaQua	112-0003	東京都文京区春日1-1-1		35.706461	139.753417	-	17		0		03-5800-9999	笑ゥせぇるすまんNEW	ワラウセェルスマンニュー	第12話Bパートで、島井みち子が喪黒福造と一緒に観覧車に乗りながら悩みを打ち明けていたシーンの挿入カットで描かれていた場所。				ブンキョウク	ワ	13	21	2	
0974	0006	完了	東京都	文京区	東京ドームシティアトラクションズ	112-0004	東京都文京区後楽1-3-61		35.705084	139.753953	"https://www.google.co.jp/maps/@35.7050514,139.7540741,3a,48y,322.0h,99.0t/data=!3m8!1e1!3m6!1sCAoSLEFGMVFpcE15bmdRYkZOOGxsX01EM215eTZXMnN1RjVNOTEtUGZndU5lSEgt!2e10!3e11!6shttps:%2F%2Flh5.googleusercontent.com%2Fp%2FCAoSLEFGMVFpcE15bmdRYkZOOGxsX01EM215eTZXMnN1RjVNOTEtUGZndU5lSEgt%3Dw203-h100-k-no-pi-3.9306996-ya29.239431-ro4.2494698-fo100!7i5376!8i2688 "	16		0			笑ゥせぇるすまんNEW	ワラウセェルスマンニュー	第12話Bパートで、島井みち子が喪黒福造と一緒に観覧車に乗りながら悩みを打ち明けていた遊園地。座標地点辺りから望むスーパーバイキング ソラブネ越しに大観覧車ビッグ・オー、サンダードルフィンが描かれていました。				ブンキョウク	ワ	13	21	2	
0974	0007	完了	東京都	新宿区	新宿通り	160-0022	東京都新宿区新宿3-14		35.691015	139.704523	"https://www.google.co.jp/maps/@35.6909845,139.7046148,3a,75y,297.76h,116.25t/data=!3m6!1e1!3m4!1seY5MZyplaivIxTsVr1B0LQ!2e0!7i13312!8i6656!6m1!1e1"						笑ゥせぇるすまんNEW	ワラウセェルスマンニュー	第1話Bパートで、デパートでカードの利用限度額オーバーのために服を買えなかった高島ミツコが歩いていた道。				シンジュクク	ワ	13	11	2	
0974	0008	完了	東京都	新宿区	伊勢丹 新宿店	160-0022	東京都新宿区新宿3-14-1		35.691635	139.704615	"https://www.google.co.jp/maps/@35.6908169,139.7050446,3a,45.7y,341.09h,109.91t/data=!3m6!1e1!3m4!1sta01Hwt6ltKp5cE3Cf7_qQ!2e0!7i13312!8i6656!6m1!1e1"					03-3352-1111	笑ゥせぇるすまんNEW	ワラウセェルスマンニュー	第1話Bパートで、高島ミツコが会社でのストレス発散のために買い物をしていたデパート。再現度は低めです。				シンジュクク	ワ	13	11	2	
0974	0009	完了	東京都	新宿区	路地	160-0022	東京都新宿区新宿3-16		35.692500	139.703565	"https://www.google.co.jp/maps/@35.6925714,139.7034383,3a,34.2y,115.85h,87.18t/data=!3m6!1e1!3m4!1s1aIvcvI6YS_H3t56EC6ncg!2e0!7i13312!8i6656"						笑ゥせぇるすまんNEW	ワラウセェルスマンニュー	第1話Bパートで、高島ミツコが取引先（ピザレストラン）への謝罪後に同じ会社の男性社員と歩いていた場所。				シンジュクク	ワ	13	11	2	
0974	0010	完了	東京都	新宿区	アニメイト新宿 前	160-0022	東京都新宿区新宿3-17-17		35.692533	139.703411	"https://www.google.co.jp/maps/@35.6925781,139.7034098,3a,50y,221.96h,111.09t/data=!3m6!1e1!3m4!1sx0IO76YXcBoGBbcCypwsbg!2e0!7i13312!8i6656"						笑ゥせぇるすまんNEW	ワラウセェルスマンニュー	第1話Bパートで、高島ミツコがミスは自分のせいではないと男性社員に訴えていた場所。				シンジュクク	ワ	13	11	2	
0974	0011	完了	東京都	新宿区	JR 新宿駅 B17出入口	160-0023	東京都新宿区西新宿1-5		35.692224	139.698892	-						笑ゥせぇるすまんNEW	ワラウセェルスマンニュー	第5話Aパートで、会社務めに憂鬱さを抱いていた内名木洋介の通勤シーンで描かれていた場所。				シンジュクク	ワ	13	11	2	
0974	0012	完了	東京都	新宿区	ヒルトン東京	160-0023	東京都新宿区西新宿6-6-2		35.692701	139.690968	"https://www.google.co.jp/maps/@35.6920248,139.6911866,3a,22.9y,18.56h,95.81t/data=!3m6!1e1!3m4!1sabDV37meFKQL7cBkjLa7SQ!2e0!7i13312!8i6656"						笑ゥせぇるすまんNEW	ワラウセェルスマンニュー	第12話Bパートで、超激安旅行に行くため、島井みち子が訪れた喪黒福造との待ち合わせ場所。				シンジュクク	ワ	13	11	2	
0974	0013	完了	東京都	渋谷区	新宿サザンテラス	151-0053	東京都渋谷区代々木2-2-1		35.686506	139.700802	-	17		0			笑ゥせぇるすまんNEW	ワラウセェルスマンニュー	第12話Bパートで、喪黒福造が、超激安旅行の実態を島井みち子に説明するシーンの挿入カットで、実写加工画像で描かれていた海外旅行気分が味わえる国内スポット1。				シブヤク	ワ	13	10	2	
0974	0014	完了	東京都	港区	六本木ヒルズ ローズガーデン	106-0032	東京都港区六本木6-4		35.661020	139.730067	-						笑ゥせぇるすまんNEW	ワラウセェルスマンニュー	第12話Bパートで、喪黒福造が、超激安旅行の実態を島井みち子に説明するシーンの挿入カットで、実写加工画像で描かれていた海外旅行気分が味わえる国内スポット2。				ミナトク	ワ	13	22	2	
0974	0015	完了	東京都	港区	シンボルプロムナード公園（自由の女神）	135-0091	東京都港区台場1-8-1		35.627673	139.771798	"https://www.google.co.jp/maps/@35.6275976,139.7716416,3a,31.8y,42.53h,91.09t/data=!3m6!1e1!3m4!1sBfxE-LXERTwxUkMjNIrSTQ!2e0!7i13312!8i6656"						笑ゥせぇるすまんNEW	ワラウセェルスマンニュー	第12話Bパートで、喪黒福造が、超激安旅行の実態を島井みち子に説明するシーンの挿入カットで、実写加工画像で描かれていた海外旅行気分が味わえる国内スポット3。				ミナトク	ワ	13	22	2	
