作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所２	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在
0407	0001	完了	千葉県	成田市	成田国際空港	282-0004	千葉県成田市古込1-1		35.773745	140.388511	"https://www.google.co.jp/maps/@35.773224,140.387732,2a,90y,90t/data=!3m5!1e2!3m3!1s89488111!2e1!3e10"	14.0		0			純情ロマンチカ3	ジュンジョウロマンチカスリー	第3話で高橋美咲と宇佐見秋彦が、休暇を終えてパリに帰る宇佐見薫子を見送っていた空港。				ナリタシ	シ	12	18	2	
0407	0002	完了	東京都	千代田区	帝国ホテル	100-8558	東京都千代田区内幸町1-1-1		35.672341	139.758334	"https://www.google.co.jp/maps/@35.6732527,139.7574442,3a,47.8y,152.09h,113.41t/data=!3m6!1e1!3m4!1s-3TiwQHZ7wHdWWA9fsONYQ!2e0!7i13312!8i6656"	16		120	1.8		純情ロマンチカ3	ジュンジョウロマンチカスリー	第12話で、宇佐見秋彦が大賞を受賞した国際文学芸術賞の授賞式が行われた会場。				チヨダク	シ	13	17	2	
0407	0003	完了	東京都	千代田区	角川第2本社ビル	102-0071	東京都千代田区富士見2-13-3		35.697871	139.744226	"https://www.google.co.jp/maps/@35.697947,139.744551,3a,82.8y,275.43h,111.68t/data=!3m7!1e1!3m5!1s3OG0CD43NjzLDavQetkF4A!2e0!6s%2F%2Fgeo3.ggpht.com%2Fcbk%3Fpanoid%3D3OG0CD43NjzLDavQetkF4A%26output%3Dthumbnail%26cb_client%3Dmaps_sv.tactile.gps%26thumb%3D2%26w%3D100%26h%3D80%26yaw%3D17.211538%26pitch%3D0!7i13312!8i6656"	17		120	1		純情ロマンチカ3	ジュンジョウロマンチカスリー	第2話から、相川絵理の取り計らいで、高橋美咲がアルバイトを始めた丸川書店マンガ部署のあるビルのモデル。				チヨダク	シ	13	17	2	
0407	0004	完了	東京都	港区	レインボーブリッジ	108-0022	東京都港区海岸3		35.638517	139.758844	"https://www.google.co.jp/maps/@35.626894,139.769501,3a,15y,335.06h,94.52t/data=!3m8!1e1!3m6!1sNN5TLP7K-CeUBgOe4E7k_w!2e0!3e5!6s%2F%2Fgeo0.ggpht.com%2Fcbk%3Fpanoid%3DNN5TLP7K-CeUBgOe4E7k_w%26output%3Dthumbnail%26cb_client%3Dmaps_sv.tactile.gps%26thumb%3D2%26w%3D100%26h%3D80%26yaw%3D293.8006%26pitch%3D0!7i13312!8i6656"	13		120	5		純情ロマンチカ3	ジュンジョウロマンチカスリー	第2話で、宇佐見薫子にマンションを追い出された高橋美咲と宇佐見秋彦が、ドライブでお台場に行ったシーンでレインボーブリッジ描かれていましたが、橋と東京タワーの位置関係から、2人がいたと思われるお台場海浜公園の砂浜からではなく、潮風公園寄りのかなり西の辺りから望む姿かと思われます。				ミナトク	シ	13	22	2	
0407	0005	完了	東京都	港区	お台場海浜公園	135-0091	東京都港区台場1		35.630742	139.776017	"https://www.google.co.jp/maps/@35.63029,139.775041,3a,45.5y,46.61h,88.59t/data=!3m7!1e1!3m5!1sBQEShxBZl5HSjxFy4Goi2A!2e0!3e5!7i13312!8i6656"	16		120	3		純情ロマンチカ3	ジュンジョウロマンチカスリー	第2話で、宇佐見薫子にマンションを追い出された高橋美咲と宇佐見秋彦が、ドライブがてら訪れた場所。ここの砂浜で2人で砂山を作り、イチャついていました。背景にレインボーブリッジや東京タワー、トミンタワー台場一番街、トミンタワー台場三番街などの建物が描かれていました。				ミナトク	シ	13	22	2	
0407	0006	完了	東京都	国立市	一橋大学	186-8601	東京都国立市中2-1		35.695566	139.447844	"https://www.google.co.jp/maps/@35.694404,139.445458,3a,75y,90t/data=!3m8!1e2!3m6!1s-JYTLKHoIxx4%2FVUZHMblQaII%2FAAAAAAABHnQ%2FEw1KUUeKYMU!2e4!3e12!6s%2F%2Flh4.googleusercontent.com%2F-JYTLKHoIxx4%2FVUZHMblQaII%2FAAAAAAABHnQ%2FEw1KUUeKYMU%2Fs203-k-no%2F!7i4928!8i3264"						純情ロマンチカ3	ジュンジョウロマンチカスリー	高橋美咲が通う「三ツ橋大学」のモデル。第1話では、美咲が先輩である角圭一の卒業式に挨拶に行った際に、東本館や兼松講堂などが描かれていました。	http://www.hit-u.ac.jp/			クニタチシ	シ	13	29	2	
0407	0007		神奈川県	鎌倉市	JR 鎌倉駅	248-0006	神奈川県鎌倉市小町1-1-1		35.318867	139.550686	"https://www.google.co.jp/maps/@35.3186791,139.5509878,3a,30.5y,314.02h,107.48t/data=!3m6!1e1!3m4!1sLy1rIEzfaaf2DmyQYlOkPw!2e0!7i13312!8i6656?hl=ja"						純情ロマンチカ3	ジュンジョウロマンチカスリー	第12話				カマクラシ	シ	14	11	2	
0407	0008		神奈川県	鎌倉市	小町通り鳥居	248-0006	神奈川県鎌倉市小町1-6-17		35.319385	139.551246							純情ロマンチカ3	ジュンジョウロマンチカスリー					カマクラシ	シ	14	11	2	
0407	0009		神奈川県	鎌倉市	レザンジュ鎌倉本店	248-0012	神奈川県鎌倉市御成町13-35		35.320452	139.550243						0467-23-3636	純情ロマンチカ3	ジュンジョウロマンチカスリー	第12話。作中では店名が「good Cafe」になっていました。				カマクラシ	シ	14	11	2	
0407	0010	完了	福岡県	福岡市	JR 博多駅	812-0012	福岡県福岡市博多区博多駅中央街1-1		33.589574	130.419457	"https://www.google.co.jp/maps/@33.589545,130.418821,3a,48.9y,64.15h,107.41t/data=!3m6!1e1!3m4!1smrtV0HVGUj42hoV_3W3UmA!2e0!7i13312!8i6656"						純情ロマンチカ3	ジュンジョウロマンチカスリー	第3話で、伊集院響のサイン会に参加する高橋美咲、藤堂進之介と、勝手に付いて来た宇佐見秋彦、宇佐見薫子、椎葉水樹の5人が降り立ったり駅で、冒頭カットで筑紫口の 波状の大屋根が描かれていました。				フクオカシ	シ	40	1	8	
