作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所２	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在
0153	0001	完了	東京都	新宿区	小田急百貨店 新宿店	160-8001	東京都新宿区西新宿1-1-3		35.692052	139.699662	"https://www.google.co.jp/maps/search/%E5%B0%8F%E7%94%B0%E6%80%A5%E7%99%BE%E8%B2%A8%E5%BA%97+%E6%96%B0%E5%AE%BF%E5%BA%97/@35.691312,139.699605,3a,92.4y,71.61h,99.57t/data=!3m4!1e1!3m2!1skKa1AIz753kAAAQWtNxwnA!2e0"					03-3342-1111	終わりのセラフ 名古屋決戦編	オワリノセラフナゴヤケッセンヘン	第1話冒頭で、柊 シノアが、一瀬グレンとビルの屋上で模擬戦をしながら、百夜優一郎を利用しようとしているのは、グレンが殺した姉・柊 真昼に憑りつかれているからではないか、と問い質していました。ビル外観の他、ユニクロやダイキンの看板、向かい側のモード学園コクーンタワーをはじめとするビル群などが描かれていました。	http://www.odakyu-dept.co.jp/shinjuku/			シンジュクク	オ	13	11	2	
0153	0002		東京都	新宿区	東京都庁第一本庁舎	160-0023	東京都新宿区西新宿2-8-1		35.689575	139.691701							終わりのセラフ 名古屋決戦編	オワリノセラフナゴヤケッセンヘン	第1話で、百夜優一郎が柊暮人に呼び出されていた第一執務室があるビル。かつての都庁は、この世界では日本帝鬼軍の中枢拠点となっているようです。				シンジュクク	オ	13	11	2	
0153	0003		神奈川県	海老名市	海老名サービスエリア（上り）（EXPASA海老名）	243-0418	神奈川県海老名市大谷南5-1-1		35.432003	139.398674							終わりのセラフ 名古屋決戦編	オワリノセラフナゴヤケッセンヘン	第16話で、一瀬グレン率いる名古屋派遣部隊が終結していた場所で、テストと新入り紹介を兼ねてグレンたちと百夜優一郎たちが対決していました。				エビナシ	オ	14	6	2	
0153	0004		愛知県	名古屋市	世界の山ちゃん 駅西4号店	453-0014	愛知県名古屋市中村区則武1-1-21		35.173756	136.878763						052-452-2820	終わりのセラフ 名古屋決戦編	オワリノセラフナゴヤケッセンヘン	第22話で、優一郎とミカが車で名古屋空港へ向かうシーンで出てきた店舗。	http://www.yamachan.co.jp/shop/shop_detail.php?number=71			ナゴヤシ	オ	23	1	3	
0153	0005	完了	愛知県	名古屋市	名古屋市役所本庁舎	460-0001	愛知県名古屋市中区三の丸3		35.181445	136.906314	"https://www.google.co.jp/maps/@35.1804054,136.9053575,3a,26.1y,30.01h,101.71t/data=!3m6!1e1!3m4!1s54T2KR-luJCoJfFSm2br_Q!2e0!7i13312!8i6656"						終わりのセラフ 名古屋決戦編	オワリノセラフナゴヤケッセンヘン	オープニングで描かれていた庁舎。	http://www.city.nagoya.jp/			ナゴヤシ	オ	23	1	3	
0153	0006	完了	愛知県	名古屋市	愛知県庁舎	460-0001	愛知県名古屋市中区三の丸3-1-2		35.180195	136.906568	"https://www.google.co.jp/maps/@35.1796279,136.905675,3a,26.7y,17.94h,95.35t/data=!3m6!1e1!3m4!1sN7MxsIlwsJFqrY1_UnYy4Q!2e0!7i13312!8i6656"						終わりのセラフ 名古屋決戦編	オワリノセラフナゴヤケッセンヘン	第19話で、人質救出作戦の開始前に、優一郎たちシノア隊が時計を合わせ、作戦のタイムリミットである15:10にアラームを設定していた場所。				ナゴヤシ	オ	23	1	3	
0153	0007	完了	愛知県	名古屋市	愛知県庁西庁舎	460-0001	愛知県名古屋市中区三の丸3-1-2		35.179985	136.904829	"https://www.google.co.jp/maps/@35.1797757,136.9054484,3a,59.1y,299.94h,113.3t/data=!3m6!1e1!3m4!1sunC0YYrg3Czk8B7GUGSHrA!2e0!7i13312!8i6656!6m1!1e1"						終わりのセラフ 名古屋決戦編	オワリノセラフナゴヤケッセンヘン	第19話で、名古屋市役所にいるクローリー・ユースフォードを襲撃し、人質救出を目論むグレンや優一郎たちが潜んでいた場所。				ナゴヤシ	オ	23	1	3	
0153	0008	完了	愛知県	名古屋市	名古屋テレビ塔	460-0003	愛知県名古屋市中区錦3-6-15		35.172341	136.908332	"https://www.google.co.jp/maps/@35.1718036,136.9088556,3a,35y,307.2h,143.16t/data=!3m6!1e1!3m4!1suPBIu9NkWVIDLBsQ2CYFjw!2e0!7i13312!8i6656"						終わりのセラフ 名古屋決戦編	オワリノセラフナゴヤケッセンヘン	第17話で、早乙女与一と柊深夜が、第十五位始祖ルカル・ウェスカーを狙撃していた場所。				ナゴヤシ	オ	23	1	3	
0153	0009	完了	愛知県	名古屋市	久屋大通公園	460-0008	愛知県名古屋市中区栄3		35.168225	136.908743							終わりのセラフ 名古屋決戦編	オワリノセラフナゴヤケッセンヘン	第17話で、テレビ塔から早乙女与一が狙いを定めていたターゲットの第十五位始祖ルカル・ウェスカーがいた公園。				ナゴヤシ	オ	23	1	3	
0153	0010	完了	愛知県	名古屋市	久屋大通公園 セントラルパーク地下街の入口	460-0008	愛知県名古屋市中区栄3		35.170673	136.908406							終わりのセラフ 名古屋決戦編	オワリノセラフナゴヤケッセンヘン	第17話の本編冒頭カットで描かれていたゲート。				ナゴヤシ	オ	23	1	3	
0153	0011	完了	愛知県	名古屋市	久屋大通公園 希望の泉	460-0008	愛知県名古屋市中区栄3		35.169532	136.908648							終わりのセラフ 名古屋決戦編	オワリノセラフナゴヤケッセンヘン	第18話で、ルカル・ウェスカーを倒した後のシノア隊と鳴海隊が、他の部隊が集合するまで待機していた場所。				ナゴヤシ	オ	23	1	3	
0153	0012	完了	愛知県	名古屋市	久屋大通公園 エンゼルパーク	460-0008	愛知県名古屋市中区栄3		35.166345	136.909129							終わりのセラフ 名古屋決戦編	オワリノセラフナゴヤケッセンヘン	第17話で、百夜優一郎たちシノア隊と鳴海隊が、ルカル・ウェスカーと対決していた公園。				ナゴヤシ	オ	23	1	3	
0153	0013	完了	愛知県	名古屋市	EQVo!辻町店（エクボ辻町店）	462-0032	愛知県名古屋市北区辻町1-37		35.206902	136.921939	"https://www.google.co.jp/maps/@35.2063418,136.9218091,3a,26.1y,357.31h,91.62t/data=!3m6!1e1!3m4!1sL7JYF3khe60Re8MBk__D-w!2e0!7i13312!8i6656"					052-912-2116	終わりのセラフ 名古屋決戦編	オワリノセラフナゴヤケッセンヘン	第22話で、優一郎を奪還して逃げてきたものの、深手を負った体で力尽きたミカが逃げ込んだ場所				ナゴヤシ	オ	23	1	3	
0153	0014		愛知県	西春日井郡	名古屋空港	480-0202	愛知県西春日井郡豊山町		35.256045	136.924388						0568-28-1221	終わりのセラフ 名古屋決戦編	オワリノセラフナゴヤケッセンヘン	第22話				ニシカスガイグン	オ	23	27	3	
0153	0015	完了	兵庫県	西脇市	西脇小学校	657-0015	兵庫県西脇市西脇656		34.991278	134.977193	"https://www.google.co.jp/maps/@34.9909661,134.9766339,3a,40.2y,51.39h,93.73t/data=!3m6!1e1!3m4!1sD3ArCGKBm2qvXnWMHFo7LA!2e0!7i13312!8i6656!6m1!1e1"						終わりのセラフ 名古屋決戦編	オワリノセラフナゴヤケッセンヘン	第4話で、ミカ（百夜ミカエラ）たち吸血鬼が、名古屋の貴族に献上するために捕獲した人間の子供たちをヘリに乗り込ませていた場所。				ニシワキシ	オ	28	15	5	
