作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所２	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在
0154	0034	完了	北海道	斜里郡	神の子池	099-4400	北海道斜里郡清里町		43.645236	144.550155	"https://www.google.co.jp/maps/@43.6448866,144.5499877,3a,24.7y,1.57h,74.56t/data=!3m6!1e1!3m4!1scBHyg531az9WzwdCK4Trcg!2e0!7i13312!8i6656"				4		終物語	オワリモノガタリ	おうぎダーク 其ノ貮で、臥煙伊豆湖が阿良々木暦を連想させると姉・臥煙遠江のことを語るシーンの挿入カットで描かれていた池。<br />＜物語＞シリーズセカンドシーズンの第變話 花物語 するがデビル 其ノ伍の神原駿河が母（臥煙遠江）と語り合う夢シーン描かれていたものと同じカットです。				シャリグン	オ	1	69	1	
0154	0011	完了	東京都	中央区	トリトンブリッジ	104-0053	東京都中央区晴海1-8		35.657498	139.780021	-						終物語	オワリモノガタリ	第4話で、再び学校に来なくなった老倉育に会いに向かう阿良々木暦と羽川翼が渡っていた橋のモデル。<br />動く歩道が設置された歩行者専用橋です。				チュウオウク	オ	13	16	2	
0154	0015	完了	東京都	中央区	伊原通夫作「風媒銀乱」	104-0053	東京都中央区晴海5-7-1	晴海客船ターミナル	35.646786	139.772100	"https://www.google.com/maps/@35.6469477,139.7720341,2a,23.3y,170.87h,97.25t/data=!3m6!1e1!3m4!1sfJM_dYtHZnjSwZxBdXxKbQ!2e0!7i13312!8i6656"				4		終物語	オワリモノガタリ	ひたぎランデブー 其ノ壹冒頭の阿良々木暦のシャワーシーンで描かれていた阿良々木家の風呂場にあったモニュメントのモデル。				チュウオウク	オ	13	16	2	
0154	0030	完了	東京都	台東区	三叉路（みかどパン店）	110-0001	東京都台東区谷中1-6-15		35.721482	139.767489	"https://www.google.co.jp/maps/@35.7215496,139.7672777,3a,20.7y,110.86h,91.57t/data=!3m6!1e1!3m4!1spz0hwSqNy2b2PHBgyHWavw!2e0!7i13312!8i6656"				4.5		終物語	オワリモノガタリ	おうぎダーク 其ノ貮の、千石撫子の家でマンガのアシスタントをした帰りに忍野扇の自転車に2人乗りで送られる阿良々木 月火が、扇から将来何になりたいかと聞かれていたシーンの挿入カットで、分岐や選択のイメージとして描かれていた三叉路の一つ。				タイトウク	オ	13	15	2	
0154	0037	完了	東京都	文京区	ル・ジャルダン	112-0014	東京都文京区関口2-10-8	ホテル椿山荘 3F	35.712144	139.725933	-						終物語	オワリモノガタリ	ひたぎランデブー 其ノ貮の阿良々木暦と戦場ヶ原ひたぎがデートで、2人がティータイムを取っていた店のモデル。				ブンキョウク	オ	13	21	2	
0154	0026	完了	東京都	江東区	teamLab Planets TOKYO	135-0061	東京都江東区豊洲6-1-16		35.649235	139.789635	-						終物語	オワリモノガタリ	ひたぎランデブー 其ノ貮で、阿良々木暦と戦場ヶ原ひたぎがデートで訪れたミュージアムのモデルの一つで、展示の一つである「Floating in the Falling Universe of Flowers」や「The Infinite Crystal Universe」が描かれていました。				コウトウク	オ	13	8	2	
0154	0025	完了	東京都	江東区	日本科学未来館	135-0064	東京都江東区青海2-3-6		35.619229	139.776671	"https://www.google.com/maps/@35.6193806,139.7770019,2a,38y,56.46h,103.33t/data=!3m6!1e1!3m4!1somssxpjtguFf3998CSi8mg!2e0!7i13312!8i6656"						終物語	オワリモノガタリ	ひたぎランデブー 其ノ貮で、阿良々木暦と戦場ヶ原ひたぎがデートで訪れた博物館のモデルの一つで、施設のシンボルともなっている球体ディスプレイ「ジオ・コスモス」が描かれていました。				コウトウク	オ	13	8	2	
0154	0027	完了	東京都	江東区	東京ゲートブリッジ	135-0065	東京都江東区中央防波堤		35.610481	139.826643	"https://www.google.co.jp/maps/@35.6024886,139.813411,3a,15y,53.61h,90.36t/data=!3m6!1e1!3m4!1swsRVB0I__iTbRsskKkvjHQ!2e0!7i16384!8i8192"				5		終物語	オワリモノガタリ	ひたぎランデブー 其ノ貮で、阿良々木暦と戦場ヶ原ひたぎのデートで帰りに暦がひたぎにホワイトデーだというのに、バレンタインチョコのお返しを用意していないことを誤っていた橋。				コウトウク	オ	13	8	2	
0154	0036	完了	東京都	江東区	若洲海浜公園	136-0083	東京都江東区若洲3-1		35.612634	139.835573	-						終物語	オワリモノガタリ	ひたぎランデブー 其ノ貮で、デートの最後に車の中で阿良々木暦が戦場ヶ原ひたぎに一生服従を誓っていた場所。<br />作中では、きれいに整備されて柵のある海岸に描き変えられていますが、実際にはテトラポットや岩が積み上げられた海岸で、車で入ることもできません。付近の時計台も忠実に描かれていました。				コウトウク	オ	13	8	2	
0154	0038	完了	東京都	渋谷区	キャットストリート（武居ビル前）	150-0001	東京都渋谷区神宮前5-29		35.664494	139.703181	"https://www.google.co.jp/maps/@35.6644317,139.7031043,3a,22y,39.3h,88.13t/data=!3m6!1e1!3m4!1sGr2B34-scOgZmV2Io7H-Wg!2e0!7i16384!8i8192"						終物語	オワリモノガタリ	第6話のラストで、老倉育の件に一応の解決をみた翌日の阿良々木暦が学校の向かう途中で、自転車に乗った忍野扇に声をかけられていた場所。<br />＜物語＞シリーズセカンドシーズン第12話で、千石撫子が自転車に乗った扇がと衝突しそうになっていたのと同じ場所です。				シブヤク	オ	13	10	2	
