作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所2	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在
0889	0001	完了	鳥取県	東伯郡	旅館大橋	682-0123	鳥取県東伯郡三朝町三朝302-1		35.411825	133.890719	"https://www.google.co.jp/maps/@35.4119142,133.8910024,3a,51.3y,242.61h,92.76t/data=!3m4!1e1!3m2!1sagP9SPgFoB72iYoLHupZ_w!2e0"					0858-43-0211	結城友奈は勇者である	ユウキユウナハユウシャデアル	第7話で、夏休みに大赦のはからいで海水浴に来た勇者部一行が宿泊していた旅館。	http://www.o-hashi.net/			トウハクグン	ユ	31	5	6	
0889	0002	完了	香川県	高松市	香川県立中央病院	760-8557	香川県高松市朝日町1-2-1		34.348641	134.062326	"https://www.google.co.jp/maps/@34.3481241,134.0636102,3a,40y,305.46h,107.05t/data=!3m6!1e1!3m4!1st-ZsGM9VaPkzhEtFutNHSQ!2e0!7i13312!8i6656?hl=ja"					087-811-3333	結城友奈は勇者である	ユウキユウナハユウシャデアル	第10話で、東郷美森が勇者システムの真実について聞くために訪れた乃木園子が入院している病院。作中では病院名が「円鶴中央病院」になっていました。	http://www.chp-kagawa.jp/			タカマツシ	ユ	37	1	7	
0889	0003	完了	香川県	坂出市	府中湖パーキングエリア（下り線）	762-0024	香川県坂出市府中町3785		34.273178	133.922647	"https://www.google.co.jp/maps/@34.273352,133.922529,3a,19.6y,134.12h,95.06t/data=!3m4!1e1!3m2!1smXB5v30wVwFE41nz8GHErA!2e0"						結城友奈は勇者である	ユウキユウナハユウシャデアル	第7話冒頭の12体のバーテックスを全て倒したご褒美で大赦が合宿先を用意してくれたと言う結城友奈のナレーションシーンのカットで描かれていた場所。				サカイデシ	ユ	37	8	7	
0889	0004	完了	香川県	坂出市	番の州高架橋	762-0062	香川県坂出市川崎町		34.333757	133.826693	"https://www.google.co.jp/maps/@34.3336522,133.8275816,3a,31.9y,289.77h,116.02t/data=!3m7!1e1!3m5!1sFNZgRQSGCFzaer50E1KvUA!2e0!6s%2F%2Fgeo0.ggpht.com%2Fcbk%3Fpanoid%3DFNZgRQSGCFzaer50E1KvUA%26output%3Dthumbnail%26cb_client%3Dmaps_sv.tactile.gps%26thumb%3D2%26w%3D203%26h%3D100%26yaw%3D80.46006%26pitch%3D0%26thumbfov%3D100!7i13312!8i6656?hl=ja"						結城友奈は勇者である	ユウキユウナハユウシャデアル	第9話で、大赦に騙された結果、皆を巻き込み、妹の夢まで奪ってしまったことを知って怒りを爆発させ、変身して大赦を潰しに行こうとする犬吠埼風と、それを止めようとする三好夏凜が戦っていた場所3。				サカイデシ	ユ	37	8	7	
0889	0005	完了	香川県	坂出市	瀬戸大橋記念館	762-0065	香川県坂出市番の州緑町6-13		34.352869	133.826165	"https://www.google.co.jp/maps/@34.352066,133.8262734,3a,45y,347.99h,96.5t/data=!3m5!1e1!3m3!1sTF9i43GM77fob_3OooZ87g!2e0!3e5?hl=ja"						結城友奈は勇者である	ユウキユウナハユウシャデアル	第8話で、バーテックスとの戦いを終えた結城友奈と東郷美森のみが乃木園子によって召喚された場所。第9話では、大赦に騙された結果、皆を巻き込み、妹の夢まで奪ってしまったことを知って怒りを爆発させ、変身して大赦を潰しに行こうとする犬吠埼風と、それを止めようとする三好夏凜が戦っていた場所5。	http://www.setoohhashi.com/amusement/			サカイデシ	ユ	37	8	7	
0889	0006	完了	香川県	坂出市	瀬戸大橋記念公園 天の泉	762-0065	香川県坂出市番の州緑町6-13		34.351842	133.826315	"https://www.google.co.jp/maps/@34.352066,133.8262734,3a,45y,151.35h,91.59t/data=!3m5!1e1!3m3!1sTF9i43GM77fob_3OooZ87g!2e0!3e5?hl=ja"					0877-45-2344	結城友奈は勇者である	ユウキユウナハユウシャデアル	第9話で、大赦に騙された結果、皆を巻き込み、妹の夢まで奪ってしまったことを知って怒りを爆発させ、変身して大赦を潰しに行こうとする犬吠埼風と、それを止めようとする三好夏凜が戦っていた場所4で、水の回廊にある噴水モニュメントが描かれていました。	http://www.setoohhashi.com/			サカイデシ	ユ	37	8	7	
0889	0007	完了	香川県	坂出市	瀬戸大橋	762-0065	香川県坂出市番の州緑町		34.355392	133.828218	"https://www.google.co.jp/maps/@34.353908,133.8279734,3a,30y,346.3h,97.37t/data=!3m5!1e1!3m3!1sl2QHIKa-u2vSuuAAbi68Bw!2e0!3e5"						結城友奈は勇者である	ユウキユウナハユウシャデアル	オープニングのラストで、瀬戸大橋記念公園から望む構図で、破壊された橋が描かれていました。第8話で、バーテックスとの戦いを終えた結城友奈と東郷美森のみが乃木園子によって召喚された瀬戸大橋記念館のシーンでも背後に破壊された姿が描かれていました。				サカイデシ	ユ	37	8	7	
0889	0008	完了	香川県	丸亀市	丸亀城	763-0025	香川県丸亀市一番丁		34.286279	133.800092	"https://www.google.co.jp/maps/@34.2879797,133.7992866,3a,65y,163.54h,92.41t/data=!3m4!1e1!3m2!1scklhxIB-nDKuUd6-kvOxww!2e0?hl=ja"						結城友奈は勇者である	ユウキユウナハユウシャデアル	第10話の東郷美森の幼少期の回想シーンで、大手門前からの遠景と、天守閣近影が描かれていました。				マルガメシ	ユ	37	7	7	
0889	0009	完了	香川県	仲多度郡	国営讃岐まんのう公園	766-0023	香川県仲多度郡まんのう町吉野4243-12		34.163100	133.884688	"https://www.google.co.jp/maps/@34.1632265,133.8846673,3a,45y,165.61h,77t/data=!3m6!1e1!3m4!1spB0xB8ODEygMdLCxpuBJ-A!2e0!7i13312!8i6656?hl=ja"					0877-79-1700	結城友奈は勇者である	ユウキユウナハユウシャデアル	第9話で、大赦に騙された結果、皆を巻き込み、妹の夢まで奪ってしまったことを知って怒りを爆発させ、変身して大赦を潰しに行こうとする犬吠埼風と、それを止めようとする三好夏凜が戦っていた場所2で、竜頭の里にある「ありじごく」付近が描かれていました。	http://www.mannoukouen.go.jp/			ナカタドグン	ユ	37	11	7	
0889	0010	完了	香川県	観音寺市	水田地帯	768-0002	香川県観音寺市高屋町		34.136197	133.657772	"https://www.google.co.jp/maps/@34.1360764,133.6576504,3a,30y,33.1h,89.56t/data=!3m4!1e1!3m2!1sKlWa2l5TPZ3rlDv_3rFhNg!2e0"						結城友奈は勇者である	ユウキユウナハユウシャデアル	第1話冒頭の結城友奈のモノローグシーンで描かれていた街のカットの場所8で、北東方面の山側を望む構図で描かれていました。				カンオンジシ	ユ	37	12	7	
