作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所		座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在
0979	1	完了	京都府	京都市	二条城 二の丸御殿	604-8301	京都府京都市中京区二条城町541		35.013494	135.749692	-						結城友奈は勇者である -鷲尾須美の章-/-勇者の章-	ユウキユウナハユウシャデアルワシオスミノショウユウシャノショウ	第3話で、鷲尾須美たちが着せ替えに興じていた乃木家の屋敷のモデル。				キョウトシ	ユ	26	10	5	
0979	2	完了	京都府	京都市	京都市美術館	606-8344	京都府京都市左京区岡崎円勝寺町124		35.012847	135.783565	"https://www.google.co.jp/maps/@35.0131834,135.7826126,3a,22.9y,123.47h,96.92t/data=!3m6!1e1!3m4!1sWPuxmMRWM4jsCJj4HKYAMQ!2e0!7i13312!8i6656?hl=ja"				4.5		結城友奈は勇者である -鷲尾須美の章-/-勇者の章-	ユウキユウナハユウシャデアルワシオスミノショウユウシャノショウ	第5話で、三ノ輪銀の告別式が行われていた会場建物のモデル。				キョウトシ	ユ	26	10	5	
0979	3	完了	鳥取県	東伯郡	旅館大橋	682-0123	鳥取県東伯郡三朝町三朝302-1		35.411825	133.890719	"https://www.google.co.jp/maps/@35.4119105,133.8909955,3a,34.2y,235.7h,101.88t/data=!3m6!1e1!3m4!1sagP9SPgFoB72iYoLHupZ_w!2e0!7i13312!8i6656"					0858-43-0211	結城友奈は勇者である -鷲尾須美の章-/-勇者の章-	ユウキユウナハユウシャデアルワシオスミノショウユウシャノショウ	第7話で、夏休みに大赦のはからいで海水浴に来た勇者部一行が宿泊していた旅館。	http://www.o-hashi.net/			トウハクグン	ユ	31	5	6	
0979	4	完了	香川県	高松市	峰山公園 はにわっ子広場	760-0009	香川県高松市峰山町1838−37		34.336008	134.022425	"https://www.google.co.jp/maps/@34.335787,134.0221866,3a,30.7y,90.69h,102.44t/data=!3m7!1e1!3m5!1sAF1QipP0S5ULEmGlSVsBDCZFATn9K5WAFSjeSwc2li2Y!2e10!3e12!7i5376!8i2688"				3.5		結城友奈は勇者である -鷲尾須美の章-/-勇者の章-	ユウキユウナハユウシャデアルワシオスミノショウユウシャノショウ	第4話で、鷲尾須美たちが遠足で訪れた公園。冒頭カットで巨大な馬の埴輪を模した滑り台が描かれていました。	http://www.mineyama-park.com			タカマツシ	ユ	37	1	7	
0979	5	完了	香川県	高松市	峰山公園 バベキュー広場	760-0009	香川県高松市峰山町1838−37		34.337432	134.023109	"https://www.google.co.jp/maps/@34.3373315,134.023114,3a,16y,1.31h,92.39t/data=!3m7!1e1!3m5!1sAF1QipNEpVVbtgz6xCgxyOEWHqUQAyXkFw3XBFOCIBUo!2e10!3e12!7i5376!8i2688"				5		結城友奈は勇者である -鷲尾須美の章-/-勇者の章-	ユウキユウナハユウシャデアルワシオスミノショウユウシャノショウ	第4話で、鷲尾須美たちが遠足で訪れた公園のバーベキュー場で、三ノ輪銀がここで焼きそばを作っていました。	http://www.mineyama-park.com			タカマツシ	ユ	37	1	7	
0979	6	完了	香川県	高松市	峰山公園 アスレチックコース	760-0009	香川県高松市峰山町1838−37		34.336875	134.022618	-						結城友奈は勇者である -鷲尾須美の章-/-勇者の章-	ユウキユウナハユウシャデアルワシオスミノショウユウシャノショウ	第4話で、鷲尾須美たちが遠足で訪れた公園のアスレチック場。24ポイントある遊具のうち、タイヤトンネル、雲梯、希望の塔、大かべのぼりなどが描かれていました。	http://www.mineyama-park.com			タカマツシ	ユ	37	1	7	
0979	7	完了	香川県	高松市	峰山公園 展望台	760-0009	香川県高松市峰山町1838−37		34.338273	134.022891	"https://www.google.co.jp/maps/@34.3382277,134.0230208,3a,44.3y,307.63h,109.08t/data=!3m8!1e1!3m6!1sAF1QipOh2WskjkigoVJQ3pexQWKbihrjCCCDO-TJiD-7!2e10!3e11!6shttps:%2F%2Flh5.googleusercontent.com%2Fp%2FAF1QipOh2WskjkigoVJQ3pexQWKbihrjCCCDO-TJiD-7%3Dw203-h100-k-no-pi1.160044-ya287.2985-ro-4.3414803-fo100!7i5376!8i2688"						結城友奈は勇者である -鷲尾須美の章-/-勇者の章-	ユウキユウナハユウシャデアルワシオスミノショウユウシャノショウ	第4話で、鷲尾須美たちが遠足で訪れた公園の展望台で、眼下に広がる高松市街地の景色を眺めていました。	http://www.mineyama-park.com			タカマツシ	ユ	37	1	7	
0979	8	完了	香川県	高松市	高松自動車道（高松西インター西側）	761-8043	香川県高松市中間町		34.295670	133.981653	"https://www.google.co.jp/maps/@34.2957706,133.981552,3a,29.8y,96.02h,82.17t/data=!3m6!1e1!3m4!1sVrecPn1OsF2sJac8GEzHrg!2e0!7i13312!8i6656"						結城友奈は勇者である -鷲尾須美の章-/-勇者の章-	ユウキユウナハユウシャデアルワシオスミノショウユウシャノショウ	第4話で、鷲尾須美たちの乗るバスが遠足へ向かうバスが高速道路を走って行くシーンの場所。お四国橋から高松西インター側（東側）を望む構図で描かれていました。				タカマツシ	ユ	37	1	7	
0979	9	完了	香川県	坂出市	イオン坂出店	762-0001	香川県坂出市京町1-4-18		34.314543	133.857916	"https://www.google.co.jp/maps/@34.3135733,133.8567403,3a,43y,48.45h,106.95t/data=!3m6!1e1!3m4!1sNUJh6ii8Y34YpHXfgErkYQ!2e0!7i13312!8i6656"					0877-45-2111	結城友奈は勇者である -鷲尾須美の章-/-勇者の章-	ユウキユウナハユウシャデアルワシオスミノショウユウシャノショウ	第１話で、バーテックスとの初陣で勝利した鷲尾須美、乃木園子、三ノ輪銀の3人が祝勝会をしていた場所。第2話では、須美と園子が、いつも学校や待ち合わせに遅刻する理由を探るために、銀を尾行して一緒に入ったのもこの店でした。作中では店名が「enes」になっていました。	https://www.aeon.com/store/%E3%82%A4%E3%82%AA%E3%83%B3/%E3%82%A4%E3%82%AA%E3%83%B3%E5%9D%82%E5%87%BA%E5%BA%97/			サカイデシ	ユ	37	8	7	
0979	10	完了	香川県	坂出市	オッティモ イオン坂出店	762-0001	香川県坂出市京町1-4-18	イオン坂出店1F	34.314231	133.857335	-						結城友奈は勇者である -鷲尾須美の章-/-勇者の章-	ユウキユウナハユウシャデアルワシオスミノショウユウシャノショウ	第１話で、バーテックスとの初陣で勝利した鷲尾須美、乃木園子、三ノ輪銀の3人が祝勝会をしていた店。アニメ放映前の2016年8月31日に閉店済ですが、作中では営業当時の店舗をかなり忠実に再現しています。	http://www.ottimo1986.com			サカイデシ	ユ	37	8	7	閉店
