作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所２	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在
0467	0001		神奈川県	横浜市	ぷかりさん橋（みなとみらい桟橋・海上旅客ターミナル）	220-0012	神奈川県横浜市西区みなとみらい1		35.458258	139.638429		16.0					絶対少年	ゼッタイショウネン	第14話。				ヨコハマシ	セ	14	1	2	
0467	0002		神奈川県	横浜市	ヨコハマグランドインターコンチネンタルホテル	220-8522	神奈川県横浜市西区みなとみらい1-1-1		35.457697	139.637437		14.0				045-223-2222	絶対少年	ゼッタイショウネン		http://www.interconti.co.jp/yokohama/	http://www.interconti.co.jp/yokohama/		ヨコハマシ	セ	14	1	2	
0467	0003		神奈川県	横浜市	日本丸メモリアルパーク	220-0012	神奈川県横浜市西区みなとみらい2-1-1		35.453777	139.632317		16.0					絶対少年	ゼッタイショウネン					ヨコハマシ	セ	14	1	2	
0467	0004		神奈川県	横浜市	横浜ベイクォーター	221-0056	神奈川県横浜市神奈川区金港町1-10		35.466603	139.626574		15.0				045-577-8123	絶対少年	ゼッタイショウネン	2Fにシーバス乗り場があります。	http://www.yokohama-bayquarter.com/	http://www.yokohama-bayquarter.com/		ヨコハマシ	セ	14	1	2	
0467	0005	完了	神奈川県	横浜市	運河パーク	231-0001	神奈川県横浜市中区新港2-1		35.453373	139.638531		16.0					絶対少年	ゼッタイショウネン	横浜水上警察署新港町交番前のベンチ。第25話で、どっしるとしっしんが隠れたベンチや作中そのままの構図が見られます。				ヨコハマシ	セ	14	1	2	
0467	0006		神奈川県	横浜市	ナビオス横浜	231-0001	神奈川県横浜市中区新港2-1-1		35.4527	139.638955		15.0				045-633-6000	絶対少年	ゼッタイショウネン		http://www.navios-yokohama.com/	http://www.navios-yokohama.com/		ヨコハマシ	セ	14	1	2	
0467	0007		神奈川県	横浜市	よこはまコスモワールド 大観覧車	231-0001	神奈川県横浜市中区新港2-8-1	よこはまコスモワールド内	35.455317	139.636777		16.0				045-641-6591	絶対少年	ゼッタイショウネン		http://www.senyo.co.jp/cosmo/attraction/001.html	http://www.senyo.co.jp/cosmo/attraction/001.html		ヨコハマシ	セ	14	1	2	
0467	0008		神奈川県	横浜市	万国橋	231-0002	神奈川県横浜市中区海岸通		35.452036	139.639083		15.0					絶対少年	ゼッタイショウネン					ヨコハマシ	セ	14	1	2	
0467	0009		神奈川県	横浜市	県立歴史博物館横の路地	231-0006	神奈川県横浜市中区南仲通5		35.449405	139.636439		16.0					絶対少年	ゼッタイショウネン					ヨコハマシ	セ	14	1	2	
0467	0010		神奈川県	横浜市	神奈川県庁	231-0021	神奈川県横浜市中区日本大通1		35.447775	139.642531		14.0				045-210-1111	絶対少年	ゼッタイショウネン					ヨコハマシ	セ	14	1	2	
0467	0011		神奈川県	横浜市	イセザキモール	231-0045	神奈川県横浜市中区伊勢佐木町1		35.445205	139.633894		16.0					絶対少年	ゼッタイショウネン	第13話。				ヨコハマシ	セ	14	1	2	
0467	0012		神奈川県	横浜市	JR 桜木町駅	231-0062	神奈川県横浜市中区桜木町1-1		35.450917	139.631056		"12,.0"					絶対少年	ゼッタイショウネン					ヨコハマシ	セ	14	1	2	
0467	0013		神奈川県	横浜市	山下公園	231-0862	神奈川県横浜市中区山下町279		35.445896	139.649598		14.0					絶対少年	ゼッタイショウネン					ヨコハマシ	セ	14	1	2	
