作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所２	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在
0258	0001	完了	群馬県	吾妻郡	山口バス停	377-0601	群馬県吾妻郡中之条町四万		36.680537	138.782132	"https://www.google.co.jp/maps/@36.6805336,138.7820504,3a,90y,37.26h,83.72t/data=!3m4!1e1!3m2!1s3bbL_OM9ttLkpJHCciYV-Q!2e0?hl=ja"	17.0		120	1		繰繰れ！コックリさん	ググレコックリサン	第8話で女体化してしまったコックリさんが、元に戻れる温泉を探しに訪れた温泉街のバス停。鹿の形をした案内板も実在します。				アガツマグン	ク	10	12	2	
0258	0002	完了	群馬県	吾妻郡	河原の湯の上の公園	377-0601	群馬県吾妻郡中之条町四万		36.685655	138.774497	"https://www.google.co.jp/maps/@36.6855336,138.7744918,3a,43.7y,32.35h,78.93t/data=!3m5!1e1!3m3!1sfGx4kHtCRMF9w1ACbqSLkg!2e0!3e5"	19.0		120	3		繰繰れ！コックリさん	ググレコックリサン	第8話で、女体化を解くために訪れた温泉街で、コックリさんと信楽がキスをしていた共同浴場の上の小さな公園です。				アガツマグン	ク	10	12	2	
0258	0003	完了	群馬県	吾妻郡	萩橋	377-0601	群馬県吾妻郡中之条町四万		36.685569	138.774426	"https://www.google.co.jp/maps/@36.6858027,138.774541,3a,15y,188.38h,85.79t/data=!3m5!1e1!3m3!1srWJLDVgIjzrqYKyKzzhlEA!2e0!3e5"	17.0		120	3		繰繰れ！コックリさん	ググレコックリサン	第8話でコックリさんと信楽のキスを狗神が盗撮していた橋。				アガツマグン	ク	10	12	2	
0258	0004	完了	群馬県	吾妻郡	四万たむら	377-0601	群馬県吾妻郡中之条町四万4180		36.687346	138.773715	"https://www.google.co.jp/maps/@36.6872334,138.773899,3a,75y,326.73h,97.17t/data=!3m5!1e1!3m3!1sEq-5QqbaAF7U0VHnfnzUAQ!2e0!3e5"	17.0		120	1.5	0279-64-2111	繰繰れ！コックリさん	ググレコックリサン	第8話で女体化してしまったコックリさんが、元に戻れる温泉を探しに訪れた温泉街で、一行が宿泊した宿。金涌館の特別室という部屋とのこと。	http://www.shima-tamura.co.jp/			アガツマグン	ク	10	12	2	
0258	0005	完了	群馬県	吾妻郡	高田屋菓子舗 前	377-0601	群馬県吾妻郡中之条町四万4232		36.686068	138.774237	"https://www.google.co.jp/maps/@36.6858614,138.7743244,3a,72.1y,336.3h,83.2t/data=!3m5!1e1!3m3!1sVJO65QTW8fvAuOFrcS3EaA!2e0!3e5"	17.0		120	1	0279-64-2702	繰繰れ！コックリさん	ググレコックリサン	第8話で女体化してしまったコックリさんが、元に戻れる温泉を探しに訪れた温泉街のシーンで描かれていた通り。				アガツマグン	ク	10	12	2	
0258	0006	完了	群馬県	吾妻郡	焼まんじゅう 島村 前	377-0601	群馬県吾妻郡中之条町四万4237-23		36.683837	138.776209	"https://www.google.co.jp/maps/@36.6838689,138.7762725,3a,75y,315.22h,83.62t/data=!3m5!1e1!3m3!1sGqDD3fz_GZyv9VcOG8GeiA!2e0!3e5?hl=ja"	17.0		120	1		繰繰れ！コックリさん	ググレコックリサン	第8話で女体化してしまったコックリさんが、元に戻れる温泉を探しに訪れた温泉街のシーンで描かれていた通り。				アガツマグン	ク	10	12	2	
0258	0007	完了	群馬県	吾妻郡	楓月堂 前	377-0601	群馬県吾妻郡中之条町四万4237-34		36.684299	138.775761	"https://www.google.co.jp/maps/@36.6843442,138.7758237,3a,90y,350.85h,89.87t/data=!3m5!1e1!3m3!1se65-QMkLkq6TOSKJ_TYsiQ!2e0!3e5?hl=ja"	17.0		120	1.5		繰繰れ！コックリさん	ググレコックリサン	第8話で女体化してしまったコックリさんが、元に戻れる温泉を探しに訪れた温泉街のシーンで描かれていた通り。	http://www.shima-fugetsudo.com/			アガツマグン	ク	10	12	2	
0258	0008	完了	神奈川県	鎌倉市	JR 北鎌倉駅	247-0062	神奈川県鎌倉市山ノ内501		35.337305	139.545254	-						繰繰れ！コックリさん	ググレコックリサン	作中、シーン間に度々挿入されるカットで、八雲神社から見下ろした構図で描かれていました。				カマクラシ	ク	14	11	2	
0258	0009	完了	神奈川県	鎌倉市	八雲神社	247-0062	神奈川県鎌倉市山ノ内585		35.339490	139.543785	"https://www.google.co.jp/maps/@35.3395656,139.5436707,3a,75y,233.02h,91.95t/data=!3m4!1e1!3m2!1ssy6ymjvUxHkFu8eqc7FbSw!2e0?hl=ja"						繰繰れ！コックリさん	ググレコックリサン	第1話でコックリさんが家を出て行ってしまったため、市松こひなが一人寂しく黄昏て、階段に座って石を放っていた神社。				カマクラシ	ク	14	11	2	
0258	0010	完了	神奈川県	鎌倉市	JR 鎌倉駅	248-0006	神奈川県鎌倉市小町1-1-1		35.319028	139.550417	"https://www.google.co.jp/maps/@35.3189519,139.5512295,3a,75y,273.5h,90.02t/data=!3m4!1e1!3m2!1spO-wh_2_w6KMN3uNeSRwvQ!2e0?hl=ja"	13.0				0467-22-0072	繰繰れ！コックリさん	ググレコックリサン	第1話の信楽が托鉢をしている挿入シーンで、東口のカットが描かれていました。第11話で幼児化＋赤子化してしまったコックリさんたちを連れて、市松こひなとタマが街に買い物に行くシーンでも、全く同じカットが描かれていました。				カマクラシ	ク	14	11	2	
