作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所２	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在
0707	0001	完了	東京都	港区	東京タワー	105-0011	東京都港区芝公園4-2-8		35.658599	139.745417		17		0			美少女戦士セーラームーンCrystal	ビショウジョセンシセーラームーンクリスタル	メインの舞台が麻布十番とあって、作中各話の背景に頻繁に描かれていました。第8話では、愛野美奈子が、クンツァイトから東京中の人間の命と引き換えに「銀水晶」を持って東京タワーに来いと、呼び出されており、ここがクンツァイトとの対決の場となっていました。	http://www.tokyotower.co.jp/			ミナトク	ヒ	13	22	2	
0707	0002	完了	東京都	港区	十番稲荷神社	106-0045	東京都港区麻布十番1-4-6		35.656981	139.735057	"https://www.google.co.jp/maps/@35.656743,139.73498,3a,44.5y,10.45h,100.63t/data=!3m4!1e1!3m2!1szbYwrM8JnSPt9AxR9LwqQw!2e0"	18		120	2		美少女戦士セーラームーンCrystal	ビショウジョセンシセーラームーンクリスタル	第3話で学校帰りにゲームセンターんい寄った後の月野うさぎと水野亜美がバスを待っていた背景に描かれていた「十番稲荷神社」のモデル。作中では神社前にバス停がありますが、実際にはありません。				ミナトク	ヒ	13	22	2	
0707	0003	完了	東京都	港区	パチンコ クラウン	106-0045	東京都港区麻布十番1-11-12		35.655661	139.736276	-	19		0			美少女戦士セーラームーンCrystal	ビショウジョセンシセーラームーンクリスタル	月野うさぎの行きつけのゲームセンターであり、地下にセーラー戦士の秘密基地のある「クラウン」のモデルとなったパチンコ屋。2001年1月14日に閉店しており、現在はマクドナルド麻布十番店になっています。立地や建物外観の構造（クラウンには日除け屋根はありませんでした）などは、現在のマクドナルドの店舗をモデルにしているようです。				ミナトク	ヒ	13	22	2	
0707	0004	完了	東京都	港区	パティオ十番	106-0045	東京都港区麻布十番2		35.655144	139.735242	"https://www.google.co.jp/maps/@35.655157,139.735352,3a,63.3y,180.43h,81.87t/data=!3m4!1e1!3m2!1smzWU-BSGpO48JFOEnsBPdg!2e0?hl=ja"	18		120	1.7		美少女戦士セーラームーンCrystal	ビショウジョセンシセーラームーンクリスタル	第2話で月野うさぎが、ルナを可愛がる水野亜美と遭遇し、友達となるきっかけとなった場所。				ミナトク	ヒ	13	22	2	
0707	0005	完了	東京都	港区	パティオ十番 「赤い靴の女の子」像	106-0045	東京都港区麻布十番2		35.655167	139.735010	"https://www.google.co.jp/maps/@35.655182,139.73494,3a,15y,122.16h,82.81t/data=!3m4!1e1!3m2!1srVwApoEUVgYCA-E50qnKxQ!2e0?hl=ja"	19		120	3.7		美少女戦士セーラームーンCrystal	ビショウジョセンシセーラームーンクリスタル	第1話のタキシード仮面が、怪しいと睨んだ大阪るなの母の経営するジュエリーショップ「OSA・P」に忍び寄るシーンで、像の背後から交差点を望む構図で、ミレニアムタワーなどの建物が描かれていました。				ミナトク	ヒ	13	22	2	
0707	0006	完了	東京都	港区	東京メトロ 麻布十番駅 4番出入口 前	106-0045	東京都港区麻布十番2-1		35.655382	139.736767	"https://www.google.co.jp/maps/@35.655429,139.737019,3a,75y,272.81h,92.2t/data=!3m4!1e1!3m2!1suMQwbj9HvjhmMH3wZSGIjQ!2e0?hl=ja"	18		120	1.7		美少女戦士セーラームーンCrystal	ビショウジョセンシセーラームーンクリスタル	第2話で、月野うさぎが「クリスタルゼミナール」のチラシ受け取っていた駅前で、チラシを丸めて放り投げて地場衛の顔にぶつけてしまっていました。作中では駅名が「十番駅」になっています。				ミナトク	ヒ	13	22	2	
0707	0007	完了	東京都	港区	東京ラスク 麻布十番本店	106-0045	東京都港区麻布十番2-8-8		35.655320	139.734748	"https://www.google.co.jp/maps/@35.655182,139.73494,3a,34y,302.15h,94.59t/data=!3m4!1e1!3m2!1srVwApoEUVgYCA-E50qnKxQ!2e0?hl=ja"	18		120	1.7	03-3451-8834	美少女戦士セーラームーンCrystal	ビショウジョセンシセーラームーンクリスタル	大阪るなの母が経営ジュエリーショップ「OSA・P」の外観モデルで、第1話で大阪るなの母に化けた妖魔が、宝石の大セールを行って、宝石を買った女性たちからエナジーを奪い取っていました。	http://www.tokyorusk.co.jp/shoplist/azabu_jyuban.html			ミナトク	ヒ	13	22	2	
0707	0008	完了	東京都	港区	麻布氷川神社	106-0046	東京都港区元麻布1-4-23		35.652861	139.731054	"https://www.google.co.jp/maps/@35.652876,139.73104,2a,90y,90t/data=!3m5!1e2!3m3!1s-vqQg3eio4uI%2FUzHOinyf_NI%2FAAAAAAAAmhI%2FJxpQ5dvzd0s!2e4!3e12!4m2!3m1!1s0x0:0x0"	17		0		03-3446-8796	美少女戦士セーラームーンCrystal	ビショウジョセンシセーラームーンクリスタル	火野レイの実家である「火川神社」のモデル。				ミナトク	ヒ	13	22	2	
0707	0009	完了	東京都	港区	有栖川宮記念公園	106-0047	東京都港区南麻布5-7-29		35.652092	139.725698	"https://www.google.co.jp/maps/@35.65217,139.725451,3a,75y,90t/data=!3m5!1e2!3m3!1s3967882!2e1!3e10?hl=ja"	16		0			美少女戦士セーラームーンCrystal	ビショウジョセンシセーラームーンクリスタル	第8話で月野うさぎと地場衛が遭遇して、互いに相手の持ち物であったハンカチと懐中時計をトレードしよう（返し合おう）と約束していた公園。第10話では、セーラームーンたちがこの公園の噴水から月に転移していました。				ミナトク	ヒ	13	22	2	
0707	0010	完了	神奈川県	横浜市	横浜ワールドポーターズ前	231-0001	神奈川県横浜市中区新港2		35.453304	139.637955	"https://www.google.co.jp/maps/@35.453095,139.637869,3a,75.4y,18.23h,90.78t/data=!3m5!1e1!3m3!1s_WM9TcNTZPLrbNipcJyJhg!2e0!3e5?hl=ja"	15.0					美少女戦士セーラームーンCrystal	ビショウジョセンシセーラームーンクリスタル	第7～8話で、「レンタルショップDARK」で貸し出している洗脳DVDによって、セーラームーンを探して「銀水晶」を奪うよう操られていた人々を、「ムーンヒーリングエスカレーション」で解放していたセーラームーンをゾイサイトが襲撃していた場所のモデルで、救援に駆けつけたセーラーマーキュリー、セーラーマーズ、セーラージュピター、さらにタキシード仮面との対決が繰り広げられていました。背景に、横浜ワールドポーターズの正面ゲートや、よこはまコスモワールドの大観覧車、横浜ランドマークタワーなどが描かれていました。	http://www.yim.co.jp/	http://www.yim.co.jp/		ヨコハマシ	ヒ	14	1	2	
