作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所２	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在
1280	0001	完了	東京都	台東区	浅草寺　雷門	111-0032	東京都台東区浅草1-3		35.711137	139.796373	"https://www.google.com/maps/@35.7109737,139.7963554,2a,37.3y,4.39h,100.27t/data=!3m6!1e1!3m4!1sAG9ErO1rzBqe-6m__siObQ!2e0!7i13312!8i6656"						聖☆おにいさん	セイントオニイサン	エンディングカットの一つで、浅草観光をするブッダとイエスが自撮りをしていた場所。				タイトウク	セ	13	15	2	
1280	0002	完了	東京都	台東区	仲見世商店街	111-0032	東京都台東区浅草2-3		35.713223	139.796596	"https://www.google.com/maps/@35.7132568,139.7965727,2a,22y,10.74h,85.54t/data=!3m6!1e1!3m4!1shJzV67buyD0_CWcf9JUp3A!2e0!7i13312!8i6656"				4.5		聖☆おにいさん	セイントオニイサン	エンディングカットの一つで、浅草観光をするブッダとイエスが忍者ポーズで記念撮影をしていた場所。				タイトウク	セ	13	15	2	
1280	0003	完了	東京都	調布市	深大寺	182-0017	東京都調布市深大寺元町5-15-1		35.667519	139.550408	"https://www.google.com/maps/@35.6673614,139.5500976,3a,31y,49.28h,92.85t/data=!3m6!1e1!3m4!1s8wXoc3r55-C9tcKZEltteQ!2e0!7i13312!8i6656"						聖☆おにいさん	セイントオニイサン	ブッダとイエスが大晦日に訪れ、一緒に新年を迎えていた寺。<br />本堂の他、鐘つき堂、常香炉などが描かれていました。				チョウフシ	セ	13	36	2	
1280	0004	完了	東京都	立川市	シネマ通り商店街　ゲート	190-0011	東京都立川市高松町3-15		35.702164	139.415974	"https://www.google.com/maps/@35.7020692,139.4161274,3a,18y,303.87h,94.23t/data=!3m6!1e1!3m4!1suhkwN1ApeMP3tUMyX7sZYw!2e0!7i16384!8i8192"				5		聖☆おにいさん	セイントオニイサン	冒頭シーンの街のカットや、ブッダとイエスが姿を消した街のカットの一つで描かれていた商店街ゲートのモデル。立地はそのままに、デザインは大分改変されてます。<br />作中では名前が「ハッスル商店街」になっていました。				タチカワシ	セ	13	34	2	
1280	0005	完了	東京都	立川市	理容キューピー	190-0011	東京都立川市高松町3-15		35.701751	139.416904	"https://www.google.com/maps/@35.7017166,139.416886,3a,60y,10.65h,81.52t/data=!3m6!1e1!3m4!1srUFaiSGga3yOR514Yf3Cdw!2e0!7i13312!8i6656"						聖☆おにいさん	セイントオニイサン	「スーパーハッスル」の目玉タイムセールに向かう途中のイエスとブッダが、チラシの地図を見て目印としていた理容室の一つ。作中では店名が「メンズサロン馬場」になっていました。<br />向かいにヘアサロンのrondineがあり、作中のように道を挟んで理容室が向かい合っていました。<br />※閉店済。2014～2015年頃に建物も解体されています。				タチカワシ	セ	13	34	2	解体
1280	0006	完了	東京都	立川市	シネマ通り商店街（大国屋酒店前）	190-0011	東京都立川市高松町3-15-20		35.701778	139.416740	"https://www.google.com/maps/@35.7017189,139.4168871,3a,19.5y,295.61h,90.14t/data=!3m6!1e1!3m4!1sAz7YQKp5kEAHvZydjzXVXA!2e0!7i13312!8i6656"				5		聖☆おにいさん	セイントオニイサン	ブッダとイエスが姿を消した街のカットの一つで、商店街を歩く人々が描かれていた場所。				タチカワシ	セ	13	34	2	
1280	0007	完了	東京都	立川市	まーじゃん チャンス	190-0011	東京都立川市高松町3-15-23		35.701959	139.416421	"https://www.google.com/maps/@35.7018613,139.4164521,3a,16y,334.21h,91.6t/data=!3m6!1e1!3m4!1s4QjhjVOc4e3uAdpNPjSzNA!2e0!7i13312!8i6656"				5		聖☆おにいさん	セイントオニイサン	ブッダとイエスが姿を消した街のカットの一つで、竜ニが出てくる姿が描かれていた雀荘。看板の文字やデザインが忠実に再現されていました。<br />※閉店済。				タチカワシ	セ	13	34	2	閉店
1280	0008	完了	東京都	立川市	保坂商会の駐車場	190-0011	東京都立川市高松町3-31-20		35.700808	139.419472	"https://www.google.com/maps/@35.7008218,139.4193128,3a,37.9y,111.08h,84.24t/data=!3m6!1e1!3m4!1s4fiuljgt4EJ71uweMSsFWQ!2e0!7i13312!8i6656"						聖☆おにいさん	セイントオニイサン	イエスとブッダが目玉タイムセール目当てで訪れた「スーパーハッスル」の立地モデル。<br />隣接する保坂商会、第二小学校、向かいの住宅など周囲の建物や道路標識なども忠実に描かれていました。				タチカワシ	セ	13	34	2	
1280	0009	完了	東京都	立川市	線路沿いの道（曙一南自治会掲示板前）	190-0012	東京都立川市曙町1-5		35.697739	139.406451	"https://www.google.com/maps/@35.6977876,139.4064476,3a,47y,171.31h,80.67t/data=!3m6!1e1!3m4!1sqnvzEAITTGA8D2CEgIuyLQ!2e0!7i16384!8i8192"						聖☆おにいさん	セイントオニイサン	街から姿を消したブッダとイエスを探し回るも見つからずに半べそをかく小学生3人組に、温泉旅行から帰って来たブッダとイエスが声をかけていた場所。				タチカワシ	セ	13	34	2	
1280	0010	完了	東京都	立川市	水道前踏切脇の道	190-0012	東京都立川市曙町1-7		35.697385	139.405414	"https://www.google.com/maps/@35.6973895,139.4054292,3a,52.4y,242.9h,84.62t/data=!3m6!1e1!3m4!1szXLer-XZ8p581jJYDu3ARQ!2e0!7i16384!8i8192"						聖☆おにいさん	セイントオニイサン	ブッダとイエスが姿を消した街のカットの一つで、座標地点辺りから踏切側を望む構図で線路沿いの道付近が描かれていました。				タチカワシ	セ	13	34	2	
1280	0011	完了	東京都	立川市	曙第二踏切	190-0012	東京都立川市曙町1-13		35.698881	139.408440	"https://www.google.com/maps/@35.6990336,139.4085042,3a,47y,202.89h,76.77t/data=!3m6!1e1!3m4!1s7c7hIcTcBn-CqQk1-Cb-4g!2e0!7i13312!8i6656"						聖☆おにいさん	セイントオニイサン	「スーパーハッスル」の目玉タイムセールに向かう途中のイエスとブッダが通過待ちをしていた踏切。<br />後半では、バースデーケーキを買った帰りのブッダとイエスが電車の通過待ちをしていました。				タチカワシ	セ	13	34	2	
1280	0012	完了	東京都	立川市	立川駅北口 前	190-0012	東京都立川市曙町2-1-1		35.698675	139.413805	"https://www.google.com/maps/@35.6988847,139.4138052,2a,17.2y,172.83h,92.93t/data=!3m6!1e1!3m4!1sM7C15EmOJaUgLTuqUkI71A!2e0!7i16384!8i8192"				5		聖☆おにいさん	セイントオニイサン	「スーパーハッスル」の目玉タイムセールに向かうブッダがイエスを急かせて歩いていた場所。<br />後半では、クリスマスケーキ（バースデーケーキ）を買いに行く2人が同じ場所を通っていました。				タチカワシ	セ	13	34	2	
1280	0013	完了	東京都	立川市	昭和記念公園通り	190-0012	東京都立川市曙町2-2		35.698589	139.412324	"https://www.google.com/maps/@35.6985953,139.4122886,3a,27y,271.24h,89.64t/data=!3m6!1e1!3m4!1sWcE4k93JfS1vXgv8EtQ2Cg!2e0!7i16384!8i8192"				4		聖☆おにいさん	セイントオニイサン	冒頭シーンの街のカットで、立川タクロス前辺りから西側を望む構図で通りが描かれていました。				タチカワシ	セ	13	34	2	
1280	0014	完了	東京都	立川市	クラブUFO立川 前	190-0012	東京都立川市曙町2-2		35.698497	139.411063	"https://www.google.com/maps/@35.6986077,139.4110609,3a,30y,204.74h,89.29t/data=!3m6!1e1!3m4!1so5Vj7F_BiANpwu_bDIm50Q!2e0!7i13312!8i6656"						聖☆おにいさん	セイントオニイサン	エンディングカットの一つで描かれていた場所で、サンクス 立川曙町一丁目店（現・ファミリーマート）やクラブUFO立川などが描かれていました。<br />※クラブＵＦＯ立川のある一角は全て建物が解体され、ヤマダ電機 LABI LIFE SELECT 立川となっています。				タチカワシ	セ	13	34	2	
1280	0015	完了	東京都	立川市	赤川政由「風に向かって」	190-0012	東京都立川市曙町2-4	立川駅北口ペデストリアンデッキ	35.698912	139.412792	"https://www.google.com/maps/@35.6989436,139.412749,2a,15y,39.03h,95.65t/data=!3m6!1e1!3m4!1sXty9g4Q65Db46JVILo2JYA!2e0!7i16384!8i8192"				5		聖☆おにいさん	セイントオニイサン	冒頭シーンの街のカットや、ブッダとイエスが「スーパーハッスル」の目玉タイムセールに向かうシーンの街のカットの一つで描かれていたオブジェ。				タチカワシ	セ	13	34	2	
1280	0016	完了	東京都	立川市	昭和記念公園通りから望む多摩モノレール	190-0012	東京都立川市曙町2-4		35.698596	139.412030	"https://www.google.com/maps/@35.6985841,139.4118261,3a,20y,81h,100.25t/data=!3m6!1e1!3m4!1sDUu0rMyCSD4IMwP7nUxSYA!2e0!7i16384!8i8192"				4.5		聖☆おにいさん	セイントオニイサン	ブッダとイエスが「スーパーハッスル」の目玉タイムセールに向かうシーンの街のカットの一つで、通りから駅側を望む構図で、ビルの間から見える多摩モノレールが描かれていました。				タチカワシ	セ	13	34	2	
1280	0017	完了	東京都	立川市	立川駅北口ペデストリアンデッキ（伊勢丹 立川店前）	190-0012	東京都立川市曙町2-5		35.699090	139.413039	"https://www.google.com/maps/@35.6990703,139.4127046,2a,15y,71.7h,90.32t/data=!3m6!1e1!3m4!1sKpt-uZIu38HkuYa4Q3LbnA!2e0!7i16384!8i8192"				5		聖☆おにいさん	セイントオニイサン	ブッダとイエスがクリスマスケーキ（バースデーケーキ）を買いに出た街のシーンで、カップルたちが行き交う高架通路が描かれていました。				タチカワシ	セ	13	34	2	
