作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所2	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在
0676	0061	完了	東京都	千代田区	東京駅丸の内駅舎	100-0005	東京都千代田区丸の内1-9-1		35.682231	139.766378	-						花咲くいろは	ハナサクイロハ	第23話で、騙し取られた金を取り戻しに行く四十万崇子と、今後のことを母・松前皐月に相談しに行く松前緒花が一緒にやって来た東京シーンの冒頭で、2人が今後の行動について話していた場所。<br />※2007年から2012年にかけて行われた保存・復原工事により、ドーム内の様子が作中のものと変わってしまっています。				チヨダク	ハ	13	17	2	
0676	0001	完了	東京都	港区	東京タワー　展望台	105-0011	東京都港区芝公園4-2-8		35.658599	139.745417	"https://www.google.co.jp/maps/@35.6587197,139.7454346,2a,37.5y,129.83h,87.03t/data=!3m7!1e1!3m5!1szooFRL8zNE_K0WfHDXHIXg!2e0!3e5!7i13312!8i6656"	17					花咲くいろは	ハナサクイロハ	第17話で、松前皐月が四十万縁に、「喜翆荘」を舞台にした映画企画を持ち込み、出資金を持って逃げてしまった伊佐美轍夫の情報を電話で伝えていた場所。<br />第23話では、松前皐月が東京タワー展望室に呼び出した伊佐美を、四十万崇子と松前緒花が待ち構え、最後は崇子が伊佐美を一本背負いで投げ飛ばして捕らえていました。	http://www.tokyotower.co.jp/	http://www.tokyotower.co.jp/		ミナトク	ハ	13	22	2	
0676	0002	完了	東京都	港区	六本木ヒルズ メトロハット前広場	106-0032	東京都港区六本木6		35.661083	139.729363	"https://www.google.co.jp/maps/@35.6610217,139.7292,2a,30y,76.21h,90.96t/data=!3m7!1e1!3m5!1sL-cmlQxzyrQZdh-yP0rWvg!2e0!6s%2F%2Fgeo1.ggpht.com%2Fcbk%3Fpanoid%3DL-cmlQxzyrQZdh-yP0rWvg%26output%3Dthumbnail%26cb_client%3Dmaps_sv.tactile.gps%26thumb%3D2%26w%3D203%26h%3D100%26yaw%3D86.39483%26pitch%3D0%26thumbfov%3D100!7i13312!8i6656"	18		0			花咲くいろは	ハナサクイロハ	第11話で、「喜翆荘」を卑下した紹介記事を書いた編集社に抗議するために上京した松前緒花が、母・松前皐月と再会していた場所。				ミナトク	ハ	13	22	2	
0676	0004	完了	東京都	大田区	マクドナルド 下丸子店	146-0092	東京都大田区下丸子3-6-7		35.571007	139.685955	"https://www.google.co.jp/maps/@35.5710542,139.6858689,3a,48.8y,126.9h,113.36t/data=!3m6!1e1!3m4!1sjSjVlojs-p_VIoUNlyqORg!2e0!7i13312!8i6656"	18		120	1	03-5482-2511	花咲くいろは	ハナサクイロハ	第11話で、松前緒花が母である松前皐月への抗議プラカードを作っていたお店。<br />作中ではMがWに変えられ、店名が「ワクドナルドハンバーガー」となっていました。				オオタク	ハ	13	5	2	
0676	0005	完了	東京都	渋谷区	表参道（中央分離帯）	150-0001	東京都渋谷区神宮前4-12		35.667239	139.708107	"https://www.google.co.jp/maps/@35.6672171,139.7081032,3a,32y,27.8h,85.58t/data=!3m6!1e1!3m4!1sFJT1EDvAo7VHOvc1fxXC9Q!2e0!7i13312!8i6656?hl=ja"	18		120	1	03-5778-7891	花咲くいろは	ハナサクイロハ	オープニングで、松前緒花が信号待ちをしているカットの場所。正面に描かれている表参道ヒルズの外観は大分改変されています。				シブヤク	ハ	13	10	2	
0676	0064	完了	東京都	渋谷区	新宿高速バスターミナル（JR高速バスのりば）	151-0051	東京都渋谷区千駄ケ谷5-24		35.684468	139.702592	"https://www.google.co.jp/maps/@35.6845503,139.702689,3a,39.5y,235.22h,95.45t/data=!3m6!1e1!3m4!1sarMZJdcyGb9oCNIz7Jo6WQ!2e0!7i13312!8i6656"						花咲くいろは	ハナサクイロハ	第24話で、松前緒花が、今後のことを相談しに母・松前皐月を訪ねる途中で遭遇した種村孝一に見送られて高速バスに乗っていたバスターミナル。<br />※作中で描かれていたバスターミナルは2016年にバスタ新宿の開業に伴って移転・解体済。				シブヤク	ハ	13	10	2	解体
0676	0003	完了	東京都	新宿区	東京ビジネスホテル	160-0022	東京都新宿区新宿6-3-2		35.693432	139.710495	"https://www.google.co.jp/maps/@35.6933225,139.7102826,3a,36y,54.74h,115t/data=!3m6!1e1!3m4!1sJ79aPrt_G8Y_FDI3wPKMFQ!2e0!7i13312!8i6656?hl=ja"						花咲くいろは	ハナサクイロハ	第12話で、「喜翆荘」を卑下した紹介記事を書いた編集社に抗議するために上京したものの、雨の中行く宛もなく町を彷徨いていた松前緒花が、迎えに来た鶴来民子と宮岸徹と一緒に宿泊したビジネスホテル。				シンジュクク	ハ	13	11	2	
0676	0054	完了	東京都	新宿区	新宿大ガード西交差点	160-0023	東京都新宿区西新宿7-10		35.693721	139.698751	"https://www.google.co.jp/maps/@35.6937305,139.6988518,3a,15y,86.78h,88.67t/data=!3m6!1e1!3m4!1stLoRfCGjLozIlsUnddzvWg!2e0!7i16384!8i8192?hl=ja"				5		花咲くいろは	ハナサクイロハ	第12話冒頭で、「喜翆荘」を卑下した紹介記事を書いた編集社に抗議するために上京したものの、雨の中行く宛もなく町を彷徨いていた松前緒花が、迎えに来た宮岸徹と鶴来民子に車に乗せられ移動するシーンで、信号待ちをしていた交差点。				シンジュクク	ハ	13	11	2	
0676	0006	完了	東京都	中野区	JR 中野駅	164-0001	東京都中野区中野5-31-1		35.705833	139.665556	-	14.0					花咲くいろは	ハナサクイロハ	第12話で、種村孝一に会いにバイト先である池袋の書店に行くも会えずに帰りの電車に乗っていた松前緒花が、突然孝一から電話がかかって来たために慌てて下車していた駅。<br />緒花が下りたのは1・2番線ホームで、背景にニュークリアビルや、東京宝石（作中では「関東宝石」になっていました）とアイフルの看板、中野サンモール商店街入口などが描かれていました。				ナカノク	ハ	13	19	2	
0676	0007	完了	東京都	中野区	中野SHKビル	164-0001	東京都中野区中野5-66-4		35.707735	139.665329	"https://www.google.co.jp/maps/@35.7077196,139.6651635,3a,34.3y,78.8h,120.29t/data=!3m6!1e1!3m4!1sFWh3sHvi_ZdOyqJqA8jquw!2e0!7i13312!8i6656?hl=ja"					03-5380-4761	花咲くいろは	ハナサクイロハ	第11話で、松前緒花が抗議活動をしていた母・松前皐月の勤務する出版社が入っているビル。<br />第23話では、緒花のことを教えて欲しいと言う種村孝一を皐月が連れ込み、映画のカメラテストの映像を見せていました。	http://branch.his-j.com/01/078/			ナカノク	ハ	13	19	2	
