作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所２	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在	重要度
1129	0001	完了	東京都	大田区	丸子橋交差点	145-0072	東京都大田区田園調布本町		35.585772	139.670124	"https://www.google.com/maps/@35.5857812,139.6700618,3a,46y,224.74h,93.54t/data=!3m6!1e1!3m4!1shF6nUS6XMtcgiDRCYOMCMQ!2e0!7i13312!8i6656"						荒ぶる季節の乙女どもよ。	アラブルキセツノオトメドモヨ	第1話で、学校帰りの小野寺和紗、菅原新菜、須藤百々子の3人が信号待ちをしていた交差点。				オオタク	ア	13	5	2		
1129	0002	完了	東京都	大田区	丸子橋	145-0072	東京都大田区田園調布本町		35.585406	139.668953	"https://www.google.com/maps/@35.5846895,139.6707682,3a,34y,306.9h,90.45t/data=!3m6!1e1!3m4!1sH3RW4fkzyEDrTW2MBUtehg!2e0!7i16384!8i8192"						荒ぶる季節の乙女どもよ。	アラブルキセツノオトメドモヨ	第1話で、小野寺和紗、菅原新菜、須藤百々子の学校帰りシーンの冒頭カットで描かれていた鉄橋。新菜が橋をわたる姿も描かれていました。<br />第4話では、同じく学校帰りの和紗たち3人が渡っていたのもこの橋で、百々子の話に上の空の和紗が、典元泉のことを考えていたことを見透かされ、一人走り去っていました。				オオタク	ア	13	5	2		
1129	0007	完了	東京都	渋谷区	渋谷駅 9番出入口	150-0002	東京都渋谷区渋谷2-24		35.659391	139.701879	-						荒ぶる季節の乙女どもよ。	アラブルキセツノオトメドモヨ	第3話で、編集者に持ち込んだ小説にリアリティが無いと指摘され、セックスを知ろうと2ショットチャットの相手であるミロ（山岸知明）を呼び出した本郷ひと葉が、待ち合わせ場所に向かう前に、この出入口前に立っている姿が描かれていました。				シブヤク	ア	13	10	2		
1129	0011	完了	東京都	渋谷区	渋谷駅連絡通路下の横断歩道	150-0043	東京都渋谷区道玄坂1-1		35.658758	139.700444	"https://www.google.co.jp/maps/@35.6587255,139.7003691,3a,22.1y,75.45h,83.24t/data=!3m6!1e1!3m4!1sLJfl38Fo9rCfvA482TWZRA!2e0!7i16384!8i8192"						荒ぶる季節の乙女どもよ。	アラブルキセツノオトメドモヨ	第3話で、チャット相手が自分の生徒だと知らずに本郷ひと葉と待ち合わせをしていた山岸知明が、相手がひと葉だと知って逃げ出し、赤信号になる直前に渡ってひと葉を巻いていた横断歩道。				シブヤク	ア	13	10	2		
1129	0008	完了	東京都	渋谷区	モヤイ像	150-0043	東京都渋谷区道玄坂1-1-1		35.658474	139.700896	-						荒ぶる季節の乙女どもよ。	アラブルキセツノオトメドモヨ	第3話で、編集者に持ち込んだ小説にリアリティが無いと指摘された本郷ひと葉が、セックスを知ろうと2ショットチャットの相手であるミロ（山岸知明）を呼び出していた待ち合わせ場所。				シブヤク	ア	13	10	2		
1129	0006	完了	東京都	板橋区	向屋敷橋	173-0011	東京都板橋区双葉町14		35.757427	139.694936	"https://www.google.co.jp/maps/@35.7574969,139.6950897,3a,50.7y,247.19h,87.72t/data=!3m7!1e1!3m5!1sNSs50fO8_vnR8GEabWzXKA!2e0!6s%2F%2Fgeo3.ggpht.com%2Fcbk%3Fpanoid%3DNSs50fO8_vnR8GEabWzXKA%26output%3Dthumbnail%26cb_client%3Dmaps_sv.tactile.gps%26thumb%3D2%26w%3D203%26h%3D100%26yaw%3D293.98483%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192"						荒ぶる季節の乙女どもよ。	アラブルキセツノオトメドモヨ	第1話で、幼馴染みである典元泉の衝撃の現場を目撃してしまった小野寺和紗が、泉の家を飛び出して駆け渡っていた橋。				イタバシク	ア	13	3	2		
1129	0004	完了	東京都	板橋区	中板橋北袂の広場 前	174-0071	東京都板橋区常盤台1-67		35.757711	139.693193	"https://www.google.co.jp/maps/@35.7576155,139.6930758,3a,40.1y,74.99h,90.37t/data=!3m6!1e1!3m4!1s66r-T6m4e_46Y3zR_LLBZw!2e0!7i13312!8i6656"						荒ぶる季節の乙女どもよ。	アラブルキセツノオトメドモヨ	第1話で、幼馴染みである典元泉の衝撃の現場を目撃してしまった小野寺和紗が、泉の家を飛び出して走っていた場所その1。				イタバシク	ア	13	3	2		
1129	0005	完了	東京都	板橋区	石神井川沿いの道	174-0071	東京都板橋区常盤台1-67		35.757579	139.693043	"https://www.google.co.jp/maps/@35.7576155,139.6930758,3a,37.9y,259.82h,80.18t/data=!3m6!1e1!3m4!1s66r-T6m4e_46Y3zR_LLBZw!2e0!7i13312!8i6656"						荒ぶる季節の乙女どもよ。	アラブルキセツノオトメドモヨ	第1話で、幼馴染みである典元泉の衝撃の現場を目撃してしまった小野寺和紗が、泉の家を飛び出して走っていた場所その2。				イタバシク	ア	13	3	2		
1129	0009	完了	神奈川県	川崎市	新丸子商店街（じゃんぼ総本店新丸子店前）	211-0004	神奈川県川崎市中原区新丸子東1-831		35.580290	139.662562	"https://www.google.co.jp/maps/@35.5803101,139.6624914,3a,30y,119.34h,93.45t/data=!3m7!1e1!3m5!1soRQarr7HZA937EHcV-nDlA!2e0!6s%2F%2Fgeo1.ggpht.com%2Fcbk%3Fpanoid%3DoRQarr7HZA937EHcV-nDlA%26output%3Dthumbnail%26cb_client%3Dmaps_sv.tactile.gps%26thumb%3D2%26w%3D203%26h%3D100%26yaw%3D309.98654%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192"						荒ぶる季節の乙女どもよ。	アラブルキセツノオトメドモヨ	第3話冒頭で、学校帰りの本郷ひと葉と曾根崎り香が駅に向かって歩いていた商店街で、ひと葉がり香に、「来たるべき戦いに向けて今日はパーッと豪遊します？」と本屋へと誘っていました。				カワサキシ	ア	14	2	2		
1129	0010	完了	神奈川県	川崎市	住吉書房 新丸子駅前店	211-0005	神奈川県川崎市中原区新丸子町740		35.580420	139.661428	-						荒ぶる季節の乙女どもよ。	アラブルキセツノオトメドモヨ	第3話冒頭で、学校帰りの本郷ひと葉が、「来たるべき戦いに向けて今日はパーッと豪遊します？」と曾根崎り香を誘って訪れた本屋。ひと葉は、自分から誘ったくせに、「女子高生作家、鮮烈デビュー！」と銘打った新刊本を見るや、突然帰ってしまっていました。<br />作中では、店内と店内入口側から望む店前（駅）などが描かれていました。				カワサキシ	ア	14	2	2		
