作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所２	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在
1340	0001	完了	東京都	大田区	梅屋敷駅入口交差点	143-0014	東京都大田区大森中2-2		35.566975	139.729031	"https://www.google.co.jp/maps/@35.5669039,139.7289999,3a,26y,13.16h,87.63t/data=!3m6!1e1!3m4!1sR9dlR9_r2LsS5bYvN_EJuA!2e0!7i13312!8i6656"				4		衛宮さんちの今日のごはん	エミヤサンチノキョウノゴハン	第1話冒頭カットで、厚着をした人々が信号待ちをしている様子が描かれていた交差点。				オオタク	エ	13	5	2	
1340	0002	完了	東京都	大田区	鶴渡公園	143-0015	東京都大田区大森西6-12		35.568578	139.724658	"https://www.google.co.jp/maps/@35.5686212,139.7249947,3a,16y,255.4h,87.29t/data=!3m7!1e1!3m5!1sAF1QipOrgHirm2D6dUITgSdBVpHc2FQ2iJGiv7VD0Mre!2e10!3e11!7i6720!8i3360"				5		衛宮さんちの今日のごはん	エミヤサンチノキョウノゴハン	第1話冒頭カットで描かれていた公園。この公園脇を買い物に向かう衛宮士郎とセイバーが歩いていました。				オオタク	エ	13	5	2	
1340	0003	完了	東京都	大田区	ぷらもーる梅屋敷商店街（柿沼青果店と松月庵の間）	143-0015	東京都大田区大森西6-12		35.567948	139.725017	-						衛宮さんちの今日のごはん	エミヤサンチノキョウノゴハン	第1話で、柿沼青果店と松月庵の間の路地から、ぷらもーる梅屋敷商店街を歩く衛宮士郎とセイバーの姿が描かれていました。				オオタク	エ	13	5	2	
1340	0004	完了	東京都	大田区	ぷらもーる梅屋敷商店街（Atelier Clair PARIS前）	143-0015	東京都大田区大森西6-13		35.567659	139.726300	"https://www.google.co.jp/maps/@35.5676835,139.7261592,3a,22y,97.28h,85.31t/data=!3m6!1e1!3m4!1smtIHzQUudc98w8Hvf6mV8Q!2e0!7i13312!8i6656"				4.5		衛宮さんちの今日のごはん	エミヤサンチノキョウノゴハン	第1話で、衛宮士郎とセイバーが大判焼きを食べながら歩いていた商店街カットの一つとして描かれていた場所。				オオタク	エ	13	5	2	
1340	0005	完了	東京都	大田区	ぷらもーる梅屋敷商店街　ゲート	144-0052	東京都大田区蒲田2-5		35.567826	139.725569	"https://www.google.co.jp/maps/@35.5677896,139.7257152,3a,36y,283.49h,102.38t/data=!3m6!1e1!3m4!1s7Gb0FyjahvX3MMxEoLpLnQ!2e0!7i13312!8i6656"						衛宮さんちの今日のごはん	エミヤサンチノキョウノゴハン	第1話で、衛宮士郎とセイバーが買い物に来た商店街シーンの冒頭カットで描かれていたゲート。<br />第2話、第9話の冒頭カット、第6話の回想シーンでも同じ構図のカットが使われていました。<br />作中では名前が「マウント深山商店街」になっていました。				オオタク	エ	13	5	2	
1340	0006	完了	東京都	大田区	ぷらもーる梅屋敷商店街（和光前）	144-0052	東京都大田区蒲田2-7		35.567359	139.728012	"https://www.google.co.jp/maps/@35.5673629,139.7279578,3a,30y,107.75h,90.25t/data=!3m6!1e1!3m4!1sKYOYBPIPsjkGhNA73xoJSA!2e0!7i13312!8i6656"						衛宮さんちの今日のごはん	エミヤサンチノキョウノゴハン	第1話冒頭カットで、自転車に乗る人や、トラックが入ってくる様子が描かれていた商店街。				オオタク	エ	13	5	2	
1340	0007	完了	東京都	渋谷区	表参道（カワイミュージックスクール表参道前）	150-0001	東京都渋谷区神宮前5		35.666189	139.710366	"https://www.google.co.jp/maps/@35.6662493,139.7102988,3a,40.3y,289.36h,91.49t/data=!3m6!1e1!3m4!1sNOJKRONGHFnBctv4LO8N9A!2e0!7i16384!8i8192"						衛宮さんちの今日のごはん	エミヤサンチノキョウノゴハン	第12話で、イリヤスフィール・フォン・アインツベルンからクリスマスパーティーに招かれた間桐桜、遠坂凛、ライダーが、リズ（リーゼリット）の運転する迎えの車に乗って郊外の城へ向かうシーンで、ライトアップされた通りを移動する様子が描かれていました。				シブヤク	エ	13	10	2	
1340	0008	完了	東京都	世田谷区	Caffe Bus muraccho	158-0083	東京都世田谷区奥沢5-26		35.606586	139.668952	"https://www.google.co.jp/maps/@35.6066698,139.6690333,3a,15y,217.78h,86.63t/data=!3m6!1e1!3m4!1saZidQ-Z4-OB8DqyH63PFFg!2e0!7i13312!8i6656"				5		衛宮さんちの今日のごはん	エミヤサンチノキョウノゴハン	オープニングでイリヤスフィール・フォン・アインツベルンがクレープを買っている姿が描かれていたワーゲンバスを使った店。				セタガヤク	エ	13	14	2	
1340	0009	完了	東京都	中野区	魚福	165-0032	東京都中野区鷺宮3-1-13		35.723189	139.644031	"https://www.google.co.jp/maps/@35.7231775,139.6440901,3a,37.6y,283.3h,82.69t/data=!3m6!1e1!3m4!1sqKOoXi2jSSk43LQGfnv-Hw!2e0!7i13312!8i6656"						衛宮さんちの今日のごはん	エミヤサンチノキョウノゴハン	第2話冒頭シーンで、夕食の買い物中の衛宮士郎がキンメダイを買おうとするも予算オーバーで諦めていた鮮魚店で、ランサーがアルバイトをしていました。<br />第9話では、キャスターから里芋の煮っころがしの作り方を教えて欲しいと頼まれた士郎がキャスターを連れて訪れ、里芋の煮っころがしに合う料理の材料としてサンマを買っていました。				ナカノク	エ	13	19	2	
1340	0010	完了	東京都	杉並区	スーパー三徳 下井草店	167-0021	東京都杉並区井草1-7-5		35.724311	139.624056	"https://www.google.co.jp/maps/@35.7242525,139.6239211,3a,20y,67.01h,85.49t/data=!3m6!1e1!3m4!1sLpJzynf9I1ZtY3FKxQDTqA!2e0!7i16384!8i8192"				4.5		衛宮さんちの今日のごはん	エミヤサンチノキョウノゴハン	第1話で、衛宮士郎とセイバーが年越しそば用のそばを買っていたスーパー。<br />第5話では、間桐桜とライダーが買い物に訪れ、美綴綾子に遭遇していました。<br />第13話では、学校帰りの士郎が鍋の材料を買っていました。<br />作中では店名が「Samdoku」になっていました。				スギナミク	エ	13	12	2	
