作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所2	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在
0743	0001	完了	東京都	渋谷区	渋谷駅西口歩道橋エレベーター 脇	150-0002	東京都渋谷区渋谷1-1		35.657703	139.701268	-						覆面系ノイズ	フクメンケイノイズ	第5話の回想シーンで、3年前の久瀬月果が、路上ライブをしていたモモ（榊桃）に声をかけ、スカウトしていた場所。<br />※渋谷再開発に伴い、作中に描かれていた歩道橋は架替えられています。				シブヤク	フ	13	10	2	
0743	0002	完了	東京都	渋谷区	渋谷モディ 前	150-0041	東京都渋谷区神南1-21-3		35.661771	139.700698	"https://www.google.co.jp/maps/@35.6620881,139.7008721,3a,27y,189.8h,103.07t/data=!3m6!1e1!3m4!1s9tdJKtHXaTT8kthWFqqQjw!2e0!7i13312!8i6656"				4		覆面系ノイズ	フクメンケイノイズ	第6話で、久瀬月果からモモ（榊桃）のギターを貰ったニノ（有栖川仁乃）が大喜びで走っていた場所。				シブヤク	フ	13	10	2	
0743	0016	完了	東京都	渋谷区	スペイン坂	150-0042	東京都渋谷区宇田川町16		35.661550	139.698858	"https://www.google.co.jp/maps/@35.6614505,139.6988868,3a,39.2y,347.19h,92.66t/data=!3m6!1e1!3m4!1soaO5tST1gKg3Y1adj_SmEQ!2e0!7i13312!8i6656"						覆面系ノイズ	フクメンケイノイズ	第11話で、新曲の作詞に挑んでいるニノ（有栖川仁乃）が、珠久里深桜に、「夜中にお風呂設定温度は40℃～♪」という珍妙な歌を聞かせていた場所。				シブヤク	フ	13	10	2	
0743	0014	完了	東京都	渋谷区	Q's eye	150-0042	東京都渋谷区宇田川町21-6		35.659780	139.700408	"https://www.google.co.jp/maps/@35.6594682,139.7004735,3a,23.2y,349.57h,123.15t/data=!3m6!1e1!3m4!1siI0FTpL5J-ob27G85inciQ!2e0!7i13312!8i6656"				4.5		覆面系ノイズ	フクメンケイノイズ	第9話で、ユズ（杠花奏）が、「イノハリ（in No hurry to shout）」を辞めると言い出したニノ（有栖川仁乃）を連れて来て見せていた、「イノハリ」のPVが映し出されていた巨大モニター。				シブヤク	フ	13	10	2	
0743	0015	完了	東京都	渋谷区	JR 渋谷駅	150-0043	東京都渋谷区道玄坂1-1-1		35.658504	139.701524	-						覆面系ノイズ	フクメンケイノイズ	第10話で、モモ（榊桃）がホームで「イノハリ（in No hurry to shout）」の広告を見て足を止めていた駅。				シブヤク	フ	13	10	2	
0743	0003	完了	神奈川県	横浜市	横浜駅西口のビル群	220-0005	神奈川県横浜市西区南幸1		35.466326	139.621378	"https://www.google.co.jp/maps/@35.4663459,139.6213729,3a,28y,340.41h,107.44t/data=!3m6!1e1!3m4!1silC3vdlwDwSL4Z0CujDGmA!2e0!7i13312!8i6656"				4		覆面系ノイズ	フクメンケイノイズ	第4話で、学校帰りのユズ（杠花奏）とモモ（榊桃）が電車待ちのホームで会話をしていたシーンで描かれていたビル群。<br />第11話で、新アルバムが発売されている店を見に行ったユズたちのシーンから、作詞に苦しむニノ（有栖川仁乃）のシーンへの場面転換カットでも同じカットが使われていました。<br />座標地点辺りから西側を望む構図で描かれています。				ヨコハマシ	フ	14	1	2	
0743	0013	完了	神奈川県	鎌倉市	横浜高島屋 前	220-0005	神奈川県横浜市西区南幸1-6-31		35.466079	139.621066	"https://www.google.co.jp/maps/@35.4663154,139.6211254,3a,50y,183.58h,114.23t/data=!3m6!1e1!3m4!1sdlVg6qVAdStveMGy5-pzOg!2e0!7i16384!8i8192"						覆面系ノイズ	フクメンケイノイズ	第7話で、学校に来ず、連絡も取れないユズ（杠花奏）を心配するニノ（有栖川仁乃）が、学校帰りにユズに電話をかけていた場所。				カマクラシ	フ	14	11	2	
0743	0012	完了	神奈川県	横浜市	JR 横浜駅	220-0011	神奈川県横浜市西区高島2-16-1		35.466830	139.622915	-						覆面系ノイズ	フクメンケイノイズ	ニノ（有栖川仁乃）たちの通う高校の最寄駅。<br />第1話では、学校に向かうニノが、女子高生が「イノハリ（in No hurry to shout）」が解散すると話しているのを耳にしていたのもこの駅でした。<br />ホームで<br />第3話、第4話では、学校帰りのユズ（杠花奏）とモモ（榊桃）が電車待ちのホームで偶然遭遇して会話をしていた駅。<br />ちなみに、ユズは鎌倉駅、モモは北鎌倉駅が家の最寄り駅だと話していました。<br />第6話の回想シーンでは、ユズが、一緒に電車待ちをしていたハルヨシ（悠埜佳斗）とクロ（黒瀬歩）に、珠久里深桜への誕生日プレゼントをどうしようかと相談していました。<br />第8話では、同じ学校に通っていることを互いに知るも、ニノを拒絶したモモが厳しい表情で電車待ちをする姿が描かれていました。				ヨコハマシ	フ	14	1	2	
0743	0004	完了	神奈川県	鎌倉市	鎌倉彫 寸松堂	248-0015	神奈川県鎌倉市笹目町5-1		35.313999	139.543832	"https://www.google.co.jp/maps/@35.3139491,139.5438536,3a,50y,335.04h,92.91t/data=!3m6!1e1!3m4!1sB4bi3hQABcToozFvfkqGIA!2e0!7i13312!8i6656"						覆面系ノイズ	フクメンケイノイズ	第1話の回想シーンで、小学生時代のニノ（有栖川仁乃）とモモ（榊桃）が一緒に登校するシーンで描かれていた店。<br />第5話の回想シーンでは、両親に連れられ夜逃げするモモが、車からこの建物を見てニノとの思い出を蘇らせていました。				カマクラシ	フ	14	11	2	
0743	0005	完了	神奈川県	鎌倉市	由比が浜	248-0016	神奈川県鎌倉市長谷2		35.309784	139.538309	-						覆面系ノイズ	フクメンケイノイズ	第1話で、小学校時代のニノ（有栖川仁乃）とモモ（榊桃）が、「いつの日か歌声を目印に、ニノを見つけ出す」と約束を交わした場所であり、ニノとユズ（杠花奏）が初めて出会った場所でもあり、2人と会えなくなったニノが毎朝歌っていた場所でもある浜として各話で描かれていました。<br />第6話では貰ったモモのギターで練習をしていました。<br />同話後半では、珠久里深桜がニノに「イノハリ（in no hurry to shout）」を辞めた本当の理由を打ち明け、ユズから貰ったピアスを海に投げ捨てていました。<br />第7話冒頭では、母親に作曲しているのが見つかってしまったユズが、学校に行かずに砂浜の上で作曲をしていました。<br />第8話では、学校帰りに長谷駅で偶然遭遇したニノとモモが、互いに6年前は好きだったと告白し合っていました。<br />第12話では、「ROCK HORIZON」で全身全霊をかけて歌ったのにモモに届かなかったと落ち込むニノを、諦めてしまうのかとユズが励ましていました。				カマクラシ	フ	14	11	2	
