作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所２	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在
0835	0001	完了	東京都	千代田区	国会議事堂	100-0014	東京都千代田区永田町1-7-1		35.675897	139.744805	"https://www.google.co.jp/maps/@35.676298,139.7474316,3a,55.4y,257.98h,92.64t/data=!3m6!1e1!3m4!1sp_Syw32__WCR_MDR3pu1lg!2e0!7i16384!8i8192?hl=ja"	15		120			輪るピングドラム	マワルピングドラム	第5話で、9年前に台風の夜に父親と共に高倉陽毬を病院へ運んだことを思い出しながら、雨の中を傘を差して歩く高倉冠馬の背景に描かれていた建物。<br />第12話、第23話の回想シーンでは、作戦開始前のピングフォースのメンバーが待機するカットでも国会議事堂前が描かれていましたが、作中では実在しない地下鉄出入口が描き足されていました。				チヨダク	マ	13	17	2	
0835	0003	完了	東京都	中央区	銀座和光本店	104-0061	東京都中央区銀座4-5-11		35.671655	139.765016	"https://www.google.co.jp/maps/@35.6710651,139.765102,3a,40y,354.89h,111.15t/data=!3m6!1e1!3m4!1sjEgpqzcr2P1Yega0NQpcKQ!2e0!7i16384!8i8192?hl=ja"	18		120			輪るピングドラム	マワルピングドラム	第12話の回想シーンで、作戦前のピングフォースの構成員が待機する街のカットの一つで描かれていたビル。<br />東京メトロ銀座駅A5出入口越しに和光ビルが描かれていました。				チュウオウク	マ	13	16	2	
0835	0004	完了	東京都	中央区	東京メトロ 銀座駅 A5出口	104-0061	東京都中央区銀座5-8		35.670936	139.765210	-	18		0			輪るピングドラム	マワルピングドラム	第12話の回想シーンで、作戦前のピングフォースの構成員が待機する街のカットの一つで描かれていた地下鉄出入口。<br />東京メトロのロゴマークは大分変更されていました。				チュウオウク	マ	13	16	2	
0835	0005	完了	東京都	港区	東京タワー	105-0011	東京都港区芝公園4-2-8		35.658599	139.745417	"https://www.google.co.jp/maps/@35.6592712,139.7452363,3a,75y,174.6h,131.94t/data=!3m6!1e1!3m4!1s2_86UEui2URXEBNuIuTYUg!2e0!7i16384!8i8192?hl=ja"	17		120	2		輪るピングドラム	マワルピングドラム	第12話の回想シーンで、作戦開始前のピングフォースのメンバーが待機するカットの背景でタワーが描かれていました。<br />第14話の時籠ゆりのマンションシーンやドライブシーンでライトアップされた姿が描かれて以降、各話の作中で度々象徴的に描かれていました。	http://www.tokyotower.co.jp/	http://www.tokyotower.co.jp/		ミナトク	マ	13	22	2	
0835	0002	完了	東京都	港区	東京メトロ 赤坂見附駅　Ａ出入口	107-0052	東京都港区赤坂3-1-18		35.677746	139.736441	-						輪るピングドラム	マワルピングドラム	第4話で、「髙倉冠葉恋愛被害者の会」を結成して冠葉へ宣戦布告をしていた久宝阿佐美が、何者かに突き落とされていた駅。<br />作中でも赤坂見附駅と駅名がはっきり出ていますが、作中で描かれたような長いエスカレーターはこの駅には存在しません。				ミナトク	マ	13	22	2	
0835	0006	完了	東京都	港区	赤坂ACTシアター	107-0052	東京都港区赤坂5-3		35.672692	139.735732	-	18		0			輪るピングドラム	マワルピングドラム	第4話で、「髙倉冠葉恋愛被害者の会」を結成して冠葉へ宣戦布告をしていた久宝阿佐美が、それを指示した夏芽真砂子に報告の電話をしていた場所。<br />作中ではACTの文字が「ACP」になっていました。<br />阿佐美が座っていたベンチは実際には損座せず、階段前は大分改変されています。				ミナトク	マ	13	22	2	
0835	0007	完了	東京都	文京区	東京ドームシティ　ビッグ・オー	112-0004	東京都文京区後楽1-3-61	東京ドームシティ	35.704278	139.751939	-	15		0			輪るピングドラム	マワルピングドラム	第11話で、荻野目苹果が多蕗桂樹を呼び出して一緒に乗っていた観覧車で、「ヒメホマレガエル」の汗を混ぜたコーヒーを飲ませて惚れさせていました。				ブンキョウク	マ	13	21	2	
0835	0008	完了	東京都	文京区	東京ドーム	112-0004	東京都文京区後楽1-3-61		35.70565	139.751919	-	16		0			輪るピングドラム	マワルピングドラム	第11話の荻野目苹果の妄想シーンで描かれていたドーム。<br />作中では表記名が「Pingroup Dome」になっていて、「けいじゅ♥りんご」に差し替わっていました。				ブンキョウク	マ	13	21	2	
0835	0009	完了	東京都	渋谷区	ミュージアム1999 ロアラブッシュ 	150-0002	東京都渋谷区渋谷4-2-9		35.65926	139.712848	"https://www.google.co.jp/maps/@35.6594399,139.7129987,3a,37y,192.46h,94.45t/data=!3m7!1e1!3m5!1sITb9jJLWPEsShgtYfkfPsg!2e0!6s%2F%2Fgeo3.ggpht.com%2Fcbk%3Fpanoid%3DITb9jJLWPEsShgtYfkfPsg%26output%3Dthumbnail%26cb_client%3Dmaps_sv.tactile.gps%26thumb%3D2%26w%3D203%26h%3D100%26yaw%3D109.99933%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192?hl=ja"	18		120			輪るピングドラム	マワルピングドラム	第7話で、時籠ゆり主演のミュージカルを観劇に来た多蕗桂樹と荻野目苹果が、終幕後にゆりが来るのを待っていたレストラン。	http://www.1999group.com/	http://www.1999group.com/		シブヤク	マ	13	10	2	
0835	0010	完了	東京都	渋谷区	ハチ公像	150-0043	東京都渋谷区道玄坂1		35.659059	139.700592	"https://www.google.co.jp/maps/@35.659109,139.701118,3a,75y,90t/data=!3m5!1e2!3m3!1s18692406!2e1!3e10?hl=ja"	18		0	2	03-5321-3077	輪るピングドラム	マワルピングドラム	第11話の荻野目苹果の妄想シーンで描かれていた銅像で、台座の「忠犬ハチ公」の文字が「K♥R」に差し替わっていました。<br />作中ではハチ公の向きが横向きに描かれていました。				シブヤク	マ	13	10	2	
0835	0011	完了	東京都	新宿区	新宿高等学校	160-0014	東京都新宿区内籐町11-4		35.689222	139.705361	"https://www.google.co.jp/maps/@35.6898162,139.7056424,3a,48.6y,201.82h,104.78t/data=!3m6!1e1!3m4!1sPQ68fq11PD_Vxd8UomP-HA!2e0!7i16384!8i8192?hl=ja"	15.0				03-3354-7411	輪るピングドラム	マワルピングドラム	高倉冠葉や高倉晶馬たちが通う高校のモデル。	http://www.shinjuku-h.metro.tokyo.jp/cms/html/top/main/	http://www.shinjuku-h.metro.tokyo.jp/cms/html/top/main/		シンジュクク	マ	13	11	2	
