作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所２	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在
1058	0032	完了	東京都	千代田区	小学館ビル	101-0003	東京都千代田区一ツ橋2-3-1		35.694162	139.758251	"https://www.google.co.jp/maps/@35.6942622,139.7583892,3a,15y,215.54h,89.73t/data=!3m6!1e1!3m4!1swuW0-ieYu_Eprpx553cc3w!2e0!7i16384!8i8192"				5		邪神ちゃんドロップキック	ジャシンチャンドロップキック	第10話で、江戸川コナンのコスプレ姿で「『邪神ちゃんドロップキック』移籍しますの」と言って入っていった邪神ちゃんが、5秒後に警備員に連れ出されていたビル。				チヨダク	シ	13	17	2	
1058	0001	完了	東京都	千代田区	神保町交番	100-0003	東京都千代田区一ツ橋2-5		35.694867	139.758134	"https://www.google.co.jp/maps/@35.694918,139.7583943,3a,15y,259.77h,90.81t/data=!3m6!1e1!3m4!1s1N8gIBnSe8KSqpbAp3LZpg!2e0!7i13312!8i6656"				5		邪神ちゃんドロップキック	ジャシンチャンドロップキック	第2話で、ペルセポネ2世が邪神ちゃんの家を訪ねたものの、フード付き黒マントにガスマスクという怪しすぎる姿のために捕まってしまっていた交番。				チヨダク	シ	13	17	2	
1058	0015	完了	東京都	千代田区	万世橋警察署	101-0021	東京都千代田区外神田1-16-5		35.697380	139.771812	"https://www.google.co.jp/maps/@35.6976013,139.7718178,3a,30.3y,179.04h,94.66t/data=!3m6!1e1!3m4!1srn8W_BSoLd85IZiAnDY--A!2e0!7i13312!8i6656"						邪神ちゃんドロップキック	ジャシンチャンドロップキック	第4話で、橘芽依に心を奪った（一目惚れさせられた）窃盗罪で逮捕された邪神ちゃんを、花園ゆりねが引き受けに訪れた警察署。<br />作中では「万歳橋警察署」になっていました。				チヨダク	シ	13	17	2	
1058	0002	完了	東京都	千代田区	秋葉原駅 電気街口（南口） 前	101-0021	東京都千代田区外神田1-17		35.698223	139.772201	"https://www.google.co.jp/maps/@35.6981988,139.7722757,3a,15y,271.81h,99.93t/data=!3m6!1e1!3m4!1sHxc0oxMECrm6Y--bs8g6QQ!2e0!7i13312!8i6656"				5		邪神ちゃんドロップキック	ジャシンチャンドロップキック	第2話で、紙袋を被って外出中のメデューサが、邪神ちゃんからすぐ来るようにとの電話を受けるも、そのかわいい声を聞きつけたオタクに紙袋を剥ぎ取られ、オタクを石化させてしまっていた場所。				チヨダク	シ	13	17	2	
1058	0013	完了	東京都	千代田区	ガチャポン会館	101-0021	東京都千代田区外神田3-15-5		35.701881	139.771247	"https://www.google.co.jp/maps/@35.7019299,139.7713093,3a,49.9y,226.27h,91.9t/data=!3m6!1e1!3m4!1scujHyLRRSNhsPUncA8xzRA!2e0!7i13312!8i6656"						邪神ちゃんドロップキック	ジャシンチャンドロップキック	第4話冒頭で、邪神ちゃんが「UMAフィギュア」のガチャガチャをやっていた店で、酷い手段で男の子からツチノコフィギュアを巻き上げていました。<br />作中では店名が「ガチャポン館」になっていました。				チヨダク	シ	13	17	2	
1058	0014	完了	東京都	千代田区	肉のハナマサ 秋葉原店	101-0021	東京都千代田区外神田4-14		35.702639	139.773801	"https://www.google.co.jp/maps/@35.7028251,139.7737111,3a,15y,159.3h,88.38t/data=!3m6!1e1!3m4!1s_Fwvp7Io74BLWgEGLjk-SA!2e0!7i16384!8i8192"				5		邪神ちゃんドロップキック	ジャシンチャンドロップキック	第4話で、ガチャポン会館（作中では「ガチャポン館」）帰りの邪神ちゃんが買い物をしていた店で、買い物を終えて外へ出たところで橘芽依に逮捕されていました。<br />作中では、店名が「肉パビリオンユキヲ」になっています。				チヨダク	シ	13	17	2	
1058	0021	完了	東京都	千代田区	神田まつや	101-0041	東京都千代田区神田須田町1-13		35.696131	139.768778	"https://www.google.co.jp/maps/@35.6960306,139.7687632,3a,48y,10.73h,96.91t/data=!3m6!1e1!3m4!1so7_8bRBAz1aM5ugxOMyD-w!2e0!7i16384!8i8192"						邪神ちゃんドロップキック	ジャシンチャンドロップキック	第10話で、パンツに縫い付けてあった2000円札以外の全財産を、投げ飛ばして募金箱に入ってしまうというミラクルで失ったぺこらが、元気を出すためにカレー南蛮（1000円）を食べに訪れた店で、偶然店にいた邪神ちゃんに遭遇していました。				チヨダク	シ	13	17	2	
1058	0031	完了	東京都	千代田区	ゆず屋製麺所 前	101-0047	東京都千代田区内神田3-19-10	ソーシャルビル1F	35.692029	139.770663	"https://www.google.com/maps/@35.6919284,139.7706559,3a,52y,14.62h,106.43t/data=!3m6!1e1!3m4!1sg-nq_XIrVL1sw8ZJwWYHmg!2e0!7i16384!8i8192"						邪神ちゃんドロップキック	ジャシンチャンドロップキック	第1話冒頭で、アルバイトでまとまったお金を入手したぺこらが、テンションが上がって踊りながら歩いていて躓き、投げ飛ばしてしまった札束が募金箱に入るミラクルが起きていた場所。				チヨダク	シ	13	17	2	
1058	0003	完了	東京都	千代田区	神田すずらん通り商店街　ゲート	101-0051	東京都千代田区神田神保町1		35.695426	139.761031	"https://www.google.co.jp/maps/@35.6954061,139.7612291,3a,15.8y,282.34h,100.78t/data=!3m6!1e1!3m4!1s61xZm_TybELckFkud0RzJw!2e0!7i13312!8i6656"				5		邪神ちゃんドロップキック	ジャシンチャンドロップキック	第2話で、ぺこらが空腹から行き倒れ、人々の無関心さを呪うシーンの冒頭カットで描かれていた商店街ゲート。<br />第4話では、メデューサが邪神ちゃんに電話で呼び出されるシーンの冒頭カットでもゲートが描かれていました。				チヨダク	シ	13	17	2	
1058	0036	完了	東京都	千代田区	ダイソー 神田神保町すずらん通り店	101-0051	東京都千代田区神田神保町1-1-17	東京堂神保町第3ビルディング 1F	35.695471	139.760354	"https://www.google.com/maps/@35.6953987,139.7604337,3a,43y,316.01h,94.38t/data=!3m6!1e1!3m4!1sFb2eNcWkcXDZalfwhnKVdg!2e0!7i16384!8i8192?hl=ja"						邪神ちゃんドロップキック	ジャシンチャンドロップキック	第11話で、邪神ちゃんが花園ゆりねにパンが食べたいと強引に認めさせられていたシーンで、背後に描かれていた店。<br />作中では店名が「DIMSO」になっていました。				チヨダク	シ	13	17	2	
1058	0004	完了	東京都	千代田区	書房グランデ	101-0051	東京都千代田区神田神保町1-3-2		35.695818	139.759755	"https://www.google.co.jp/maps/@35.6959749,139.7595417,3a,61.4y,130.88h,123.59t/data=!3m6!1e1!3m4!1sBO4XTc5Ejyigz67sizQsXw!2e0!7i13312!8i6656"						邪神ちゃんドロップキック	ジャシンチャンドロップキック	第1話本編冒頭のモノローグシーンで、悪魔が街を見下ろしていたビル。<br />第5話冒頭で、邪神ちゃんと花園ゆりねが本を買いに来ていたのもこの店でした。店頭に本作の原作本のポスターが貼ってあるシュールな演出がされていました。<br />第11話のラストで邪神ちゃんが風船で空中へ舞い上げられたシーンでも、このビルが描かれていました。	https://www.shosen.co.jp/grande/			チヨダク	シ	13	17	2	
1058	0022	完了	東京都	千代田区	人生劇場	101-0051	東京都千代田区神田神保町1-4-17		35.696280	139.759721	"https://www.google.co.jp/maps/@35.6962841,139.7596407,3a,90y,82.49h,90.89t/data=!3m6!1e1!3m4!1sImR_X3kuJHMQSA2qLWsVWw!2e0!7i13312!8i6656"				1		邪神ちゃんドロップキック	ジャシンチャンドロップキック	第8話、第9話で、邪神ちゃんが負けて出てきたパチンコ屋。<br />作中では館名が「人生シアター」になっていました。				チヨダク	シ	13	17	2	
1058	0005	完了	東京都	千代田区	キッチン南海 神保町本店 前	101-0051	東京都千代田区神田神保町1-5		35.695365	139.758969	"https://www.google.co.jp/maps/@35.6953419,139.7589689,3a,47.3y,0.91h,76.81t/data=!3m6!1e1!3m4!1sZCeDvlAf-RmlBhDkj9Airg!2e0!7i13312!8i6656"						邪神ちゃんドロップキック	ジャシンチャンドロップキック	第2話で、ぺこらが空腹から行き倒れ、花園ゆりねに助けられていた場所。				チヨダク	シ	13	17	2	
1058	0006	完了	東京都	千代田区	味の珈琲屋 さぼうる	101-0051	東京都千代田区神田神保町1-11		35.695568	139.758616	"https://www.google.co.jp/maps/@35.6956105,139.7585655,3a,90y,156.49h,89.99t/data=!3m6!1e1!3m4!1sBTKnGKcKRhtVC1CymLGjKA!2e0!7i13312!8i6656"				1		邪神ちゃんドロップキック	ジャシンチャンドロップキック	第3話で、邪神ちゃんがメデューサに見捨てられ、生いちごジュースを100杯もヤケ飲みしていた店。<br />店前でサラリーマンに泣きついたり、メデューサと再会して『新世紀エヴァンゲリオン』の最終回ネタをしたりしていました。				チヨダク	シ	13	17	2	
