作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所２	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在
0246	0001		神奈川県	横浜市	みなとみらいホール	220-0012	神奈川県横浜市西区みなとみらい2-3-6		35.457482	139.634814		16.0				045-682-2020	金色のコルダ Blue♪Sky	キンイロノコルダブルースカイ	第1話で、小日かなでと如月響也が、如月律に招待されて律や東金千秋たちの演奏を聴いていた「横浜音楽祭」の会場。第5～6話では「全国学生音楽コンクール」の会場ともなっていました。	http://www.yaf.or.jp/mmh/	http://www.yaf.or.jp/mmh/		ヨコハマシ	キ	14	1	2	
0246	0002	完了	神奈川県	横浜市	元町公園 電話ボックス	231-0861	神奈川県横浜市中区元町1-77-4		35.437992	139.652002	"https://www.google.co.jp/maps/@35.437888,139.652007,3a,75y,299.26h,89.02t/data=!3m4!1e1!3m2!1smCKtn0uPqQxTROP2UC_xGA!2e0?hl=ja"						金色のコルダ Blue♪Sky	キンイロノコルダブルースカイ	第1話で、「横浜音楽祭」帰りの小日かなでと如月響也が、如月律に星奏学院学生寮「菩提樹寮（リンデンホール）」に案内されるシーンで、この電話ボックスの前辺りを歩いていました。				ヨコハマシ	キ	14	1	2	
0246	0003		神奈川県	横浜市	元町公園 ウォーターガーデン	231-0861	神奈川県横浜市中区元町1-77-4		35.439264	139.651268	"https://www.google.co.jp/maps/@35.439178,139.651279,3a,63.6y,271.41h,77.2t/data=!3m5!1e1!3m3!1sag2b_6PThZHPI6N1BnONmQ!2e0!3e5?hl=ja"						金色のコルダ Blue♪Sky	キンイロノコルダブルースカイ	第3話。我国塗料発祥之地記念碑				ヨコハマシ	キ	14	1	2	
0246	0004		神奈川県	横浜市	元町公園 エリスマン邸	231-0861	神奈川県横浜市中区元町1-77-4		35.437577	139.651271	"https://www.google.co.jp/maps/@35.437502,139.651526,3a,27.6y,288.83h,100.14t/data=!3m5!1e1!3m3!1scknDD9W1z-TmzaE2Dt_Xvw!2e0!3e5?hl=ja"						金色のコルダ Blue♪Sky	キンイロノコルダブルースカイ	第3話				ヨコハマシ	キ	14	1	2	
0246	0005	完了	神奈川県	横浜市	前田橋	231-0861	神奈川県横浜市中区元町2-87		35.441033	139.648397	"https://www.google.co.jp/maps/@35.441201,139.648263,3a,20.9y,155.39h,91.81t/data=!3m4!1e1!3m2!1suK5pwQMsg8KxxH7HxIKcMg!2e0"						金色のコルダ Blue♪Sky	キンイロノコルダブルースカイ	第2話で、小日向かなでがチェロを投げ捨てようとしている七海宗介に遭遇していた橋。背景に中華街の朱雀門やＰａｃビルなどが描かれていました。				ヨコハマシ	キ	14	1	2	
0246	0006	完了	神奈川県	横浜市	Pacビル 前	231-0861	神奈川県横浜市中区元町3-115		35.440835	139.648490	"https://www.google.co.jp/maps/@35.440808,139.648396,3a,29.2y,64.12h,87.77t/data=!3m4!1e1!3m2!1sGYnIc5JdT5S0zrBgEJdusA!2e0"						金色のコルダ Blue♪Sky	キンイロノコルダブルースカイ	第2話で、路地から出てきた小日向かなでが、橋でチェロを投げ捨てようとしている七海宗介に気づいた場所で、背景にITALIAN BOUTIQUE : PITTI MODA FIRENZE（作中では「AN BOUIQUE」）や飛鳥薬局（作中では「海鳥薬局」）などが描かれていました。				ヨコハマシ	キ	14	1	2	
0246	0007		神奈川県	横浜市	元町厳島神社	231-0861	神奈川県横浜市中区元町5ｰ208		35.438963	139.647022	"https://www.google.co.jp/maps/@35.439072,139.646845,3a,75y,90t/data=!3m5!1e2!3m3!1s83184075!2e1!3e10"						金色のコルダ Blue♪Sky	キンイロノコルダブルースカイ	第2話				ヨコハマシ	キ	14	1	2	
0246	0008		神奈川県	横浜市	横浜外国人墓地	231-0862	神奈川県横浜市中区山下町96		35.439373	139.652444	"https://www.google.co.jp/maps/@35.4393745,139.6523674,3a,47.6y,267.57h,97.66t/data=!3m5!1e1!3m3!1sG_dfEhzeMfIAAAQINTDOHQ!2e0!3e11?hl=ja"						金色のコルダ Blue♪Sky	キンイロノコルダブルースカイ	第3話。内側から門を見た構図で、背景にカーネルスコーナーが描かれていました。				ヨコハマシ	キ	14	1	2	
0246	0009		神奈川県	横浜市	港の見える丘公園 展望台	231-0862	神奈川県横浜市中区山手町114		35.440569	139.654717	"https://www.google.co.jp/maps/@35.440237,139.654796,3a,52y,329.49h,92.18t/data=!3m5!1e1!3m3!1sL0TbN78BHXUTQ5zg0s7yIA!2e0!3e5?hl=ja"						金色のコルダ Blue♪Sky	キンイロノコルダブルースカイ	第3話				ヨコハマシ	キ	14	1	2	
0246	0010		神奈川県	横浜市	山下公園 氷川丸	231-0862	神奈川県横浜市中区山下町279		35.44666	139.651256		15.0					金色のコルダ Blue♪Sky	キンイロノコルダブルースカイ	第4話				ヨコハマシ	キ	14	1	2	
