作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所２	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在
0580	0001	完了	埼玉県	川越市	脇田歩道橋	350-1123	埼玉県川越市脇田本町12		35.908606	139.481841	"https://www.google.co.jp/maps/@35.9086974,139.4822164,3a,25.4y,245.41h,108.66t/data=!3m6!1e1!3m4!1sDw9dH4Q69aVsSQj4NL4o2Q!2e0!7i13312!8i6656!6m1!1e1"	18.0		120	2.3		電波教師	デンパキョウシ	第2話で、「東神鳴高校」で鑑純一郎が担任しているクラスの委員長・栗林雪乃が、アニメ「ふわくたる」のDVDを万引きしようとするのを阻止した場面を撮影した写真が、教師が痴漢している場面としてネットで流されたのが原因で校長に呼び出されたものの、雪乃のことは一切言わずに解雇処分を受け入れたため、雨の降るこの歩道橋で純一郎を待ち構えていた雪乃が、なぜ本当のことを言わなかったのかと詰め寄っていました。				クワゴエシ	テ	11	20	2	
0580	0002	完了	東京都	千代田区	オノデン秋葉原	101-0021	東京都千代田区外神田1-2-7		35.698277	139.770979	"https://www.google.co.jp/maps/@35.698127,139.771171,3a,15y,308.34h,88.16t/data=!3m4!1e1!3m2!1spYAmIKMJmZKpaiISqRF7fQ!2e0"	18		120	2	03-3253-3911	電波教師	デンパキョウシ	第3話で、柊暦が鑑純一郎捜索のために部下たちを街に配したシーンで外観が描かれており、同話別シーンで、柊暦の部下たちが白衣に赤髪の別人を間違えて包囲していたのもこの店で、店内やオノデン坊やの人形がある店頭が描かれていました。作中では店名が「オロデン」になっています。	http://www.onoden.co.jp/	http://www.onoden.co.jp/		チヨダク	テ	13	17	2	
0580	0003	完了	東京都	千代田区	ケンタッキーフライドチキン秋葉原店	101-0021	東京都千代田区外神田1-4-11		35.698566	139.770581	"https://www.google.co.jp/maps/@35.698615,139.770504,3a,42.1y,97.42h,90.49t/data=!3m5!1e1!3m3!1sXKQ5Br5-NapymfSc66yMEA!2e0!3e2"	19		120	1.5	03-5207-8020	電波教師	デンパキョウシ	第3話で鑑純一郎が、柊暦の包囲網を後目にのんびりとフライドポテトを買っていた店。<br />作中ではKFCの文字が「KPC」になっていました。	http://www.kfc.co.jp/search/detail/?shop_id=4197			チヨダク	テ	13	17	2	
0580	0004	完了	東京都	千代田区	CASIODIGITALSQUARE 前	101-0021	東京都千代田区外神田1-2		35.698367	139.770507	"https://www.google.co.jp/maps/@35.698245,139.770471,3a,27.6y,3.29h,99.8t/data=!3m4!1e1!3m2!1slq58PwIzKEmUWKEYwC90rg!2e0"	18		120	1.8		電波教師	デンパキョウシ	第3話で、鑑純一郎がを探す鑑純音が、そろそろポテトの補給をするだろうと見込んだケンタッキーが空振りに終わり、ポテトを食べながら歩いていた場所。				チヨダク	テ	13	17	2	
0580	0005	完了	東京都	千代田区	アニメイトAKIBAカルチャーズZONE	101-0021	東京都千代田区外神田1-7-6	AKIBAカルチャーズZONE 1F	35.699443	139.770496	"https://www.google.co.jp/maps/@35.699322,139.770591,3a,34.9y,344.03h,91.4t/data=!3m4!1e1!3m2!1sHSPJ7Z6YhEv0X0WDWPtKKg!2e0?hl=ja"	18	○	120	3	03-3526-6410	電波教師	デンパキョウシ	第3話で、柊暦率いる監視体制の中、鑑純一郎が買い物をしていた店。<br />作中では店名が「anumate」になっていました。<br />※2017年3月31日をもってアニメイト秋葉原、AKIBAガールズステーションの両店舗へ統合となって閉店済み	http://www.animate.co.jp/shop/shop_east/akibacultureszone/			チヨダク	テ	13	17	2	閉店
0580	0006	完了	東京都	千代田区	秋葉原ダイビルと秋葉原UDX	101-0021	東京都千代田区外神田1-18		35.698841	139.772508	"https://www.google.co.jp/maps/@35.698667,139.772704,3a,40.6y,119.51h,109.57t/data=!3m5!1e1!3m3!1sxc_jLOF8t_kAAAGu5uz4SA!2e0!3e11"	17		120	1.5		電波教師	デンパキョウシ	第3話で、訪問を無視して外出してしまった鑑純一郎を追って秋葉原に来た柊暦と鑑純音が乗るヘリを、秋葉原駅前の人々が見上げていたシーンで描かれていたビル群。				チヨダク	テ	13	17	2	
0580	0007	完了	東京都	千代田区	JR 秋葉原駅 電気街口（北）	101-0021	東京都千代田区外神田1-17-6		35.698581	139.772610	-	17		120	3		電波教師	デンパキョウシ	第3話で鑑純一郎が柊暦の訪問をすっぽかして秋葉原に来ていたシーンで、駅前が描かれていました。				チヨダク	テ	13	17	2	
0580	0008	完了	東京都	千代田区	アキバブリッジ	101-0021	東京都千代田区外神田1-18		35.699500	139.772519	"https://www.google.co.jp/maps/@35.699576,139.772924,3a,51.3y,232.73h,93.81t/data=!3m6!1e1!3m4!1soHFRmjY34PWDI2Ul5KWQ2Q!2e0!7i13312!8i6656!6m1!1e1?hl=ja"	17		120	1		電波教師	デンパキョウシ	第15話でヘル・ゲイツとのゲーム勝負を終えた鑑純一郎が、蔵持円からゲイツとの出会いを聞きながら歩いていた高架歩道。秋葉原駅前広場全景カットで、秋葉原ダイビルや秋葉原ダイビル・駅前プラザなどの建物などが、2人が高架歩道を歩くカットでは背後に秋葉原UDXのモニターなどが描かれていました。				チヨダク	テ	13	17	2	
0580	0009	完了	東京都	千代田区	アキバ☆ソフマップ1号店	101-0021	東京都千代田区外神田3-13-12	IMYビル	35.700307	139.771199	"https://www.google.co.jp/maps/@35.700292,139.771492,3a,35.8y,284.4h,129.7t/data=!3m4!1e1!3m2!1s93S07_jbRJRhWX_RZPdVtg!2e0?hl=ja"	17		120	3	03-3253-9190	電波教師	デンパキョウシ	第2話で、鑑純一郎が妹の純音に「ふらくたる」のDVDを買ってもらっていた店で、栗林雪乃の万引きを阻止したのを痴漢と誤解され、東神明高校をクビになっていました。	http://www.sofmap.com/tenpo/topics/exec/_/id=shop/-/sid=akb-sofmap1	http://www.sofmap.com/tenpo/topics/exec/_/id=shop/-/sid=akb-sofmap1		チヨダク	テ	13	17	2	
0580	0010	完了	東京都	千代田区	ソフマップ 東京・秋葉原 本館	101-0021	東京都千代田区外神田4-1-1		35.699754	139.771542	"https://www.google.co.jp/maps/@35.699318,139.77127,3a,31.4y,34.02h,108.82t/data=!3m4!1e1!3m2!1sAzSZt21Kc393nXO3_L1pMA!2e0"	17		120	2.1	03-3253-1111	電波教師	デンパキョウシ	第3話で、鑑純一郎を探す鑑純音が店員に聞き込みをしていた店で、ビル外観が描かれていました。	http://www.sofmap.com/tenpo/topics/exec/_/id=shop/-/sid=akb-mainstore			チヨダク	テ	13	17	2	
