作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所２	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在
0582	0001	完了	東京都	世田谷区	小田急 下北沢駅	155-0031	東京都世田谷区北沢2-20-1		35.661528	139.667361	-	15.0					電波的な彼女～幸福ゲーム～	デンパテキナカノジョコウフクゲーム	柔沢ジュウと堕花雨の学校帰りのシーンで、改札を通る際に、綾瀬一子が話していたもの一人の彼女とは誰なのかと問う雨に、ジュウが慌てて取り繕うとしていました。				セタガヤク	テ	13	14	2	
0582	0002	完了	東京都	世田谷区	ピアザ近江屋ビルの看板	155-0031	東京都世田谷区北沢2-25-19		35.662098	139.667462	"https://www.google.co.jp/maps/@35.662113,139.667508,3a,19.7y,235.62h,83.57t/data=!3m4!1e1!3m2!1sC876mSrR9Z_izQHNquaVng!2e0"						電波的な彼女～幸福ゲーム～	デンパテキナカノジョコウフクゲーム	ビル前にあるテナントの案内看板が描かれており、作中では2F 北沢眼科→「2F BAR みどり」、2F 健康エクスプレス→「2F ステーキハウス肉食の館」、3F 英会話イーオン→「3F クラブ観音さま」になっていました。				セタガヤク	テ	13	14	2	
0582	0003	完了	東京都	世田谷区	Voleur de Fleur 花泥棒 下北沢南店	155-0031	東京都世田谷区北沢2-26−17	TSKビル2F	35.662871	139.666629	"https://www.google.co.jp/maps/@35.662902,139.666638,3a,15y,167.15h,68.2t/data=!3m4!1e1!3m2!1sIBCe8flFtETsQQTmSlqMOQ!2e0"					03-3466-6094	電波的な彼女～幸福ゲーム～	デンパテキナカノジョコウフクゲーム	冒頭の下北沢の街のカットの一つで、入口の階段と、階段前の「珈琲」「ケーキ」と書かれた置看板が描かれていました。				セタガヤク	テ	13	14	2	
0582	0004	完了	東京都	世田谷区	農民カフェ 前	155-0031	東京都世田谷区北沢2-27		35.663039	139.665842	"https://www.google.co.jp/maps/@35.663038,139.665794,3a,37.5y,105.59h,88.68t/data=!3m4!1e1!3m2!1sqs8byCqz6pRs9mOflGw5vA!2e0"						電波的な彼女～幸福ゲーム～	デンパテキナカノジョコウフクゲーム	柔沢ジュウと堕花雨の学校帰りのシーンの街のカットの一つで、農民カフェの電柱越しに東方向を望む構図で路地が描かれていました。作中では電柱のこまいぬ歯科の広告が「○○ぬま眼科」になっていました。				セタガヤク	テ	13	14	2	
0582	0005	完了	東京都	世田谷区	ネイルスタジオ・レジェ	155-0031	東京都世田谷区北沢2-28-1		35.663070	139.666196	"https://www.google.co.jp/maps/@35.66305,139.66614,3a,21.1y,67.41h,115.44t/data=!3m4!1e1!3m2!1s7LwKK8sdb95_ufpHhYV-WQ!2e0"					03-5465-6622	電波的な彼女～幸福ゲーム～	デンパテキナカノジョコウフクゲーム	冒頭の下北沢の街のカットの一つで描かれていた店。				セタガヤク	テ	13	14	2	
0582	0006	完了	東京都	世田谷区	シンコウパーク下北沢 	155-0031	東京都世田谷区北沢2-28-1		35.663082	139.666058	"https://www.google.co.jp/maps/@35.66305,139.66614,3a,15y,293.44h,84.65t/data=!3m4!1e1!3m2!1s7LwKK8sdb95_ufpHhYV-WQ!2e0"						電波的な彼女～幸福ゲーム～	デンパテキナカノジョコウフクゲーム	柔沢ジュウと堕花雨の学校帰りのシーンの街のカットの一つで描かれていた精算機のある駐車場。		http://search.ipos-land.jp/p/detail.aspx?id=CSI230040		セタガヤク	テ	13	14	2	
0582	0007	完了	東京都	世田谷区	案内板（志賀医院前）	155-0031	東京都世田谷区北沢2-29		35.662791	139.667017	"https://www.google.co.jp/maps/@35.662754,139.667095,3a,15y,304.56h,91.8t/data=!3m4!1e1!3m2!1sLfEpWg0yjgGoNTrPqdtEhw!2e0"						電波的な彼女～幸福ゲーム～	デンパテキナカノジョコウフクゲーム	柔沢ジュウと堕花雨の学校帰りのシーンの街のカットの一つで描かれていた案内板。				セタガヤク	テ	13	14	2	
0582	0008	完了	東京都	世田谷区	吉岡産業不動産	155-0031	東京都世田谷区北沢3-26-3		35.663787	139.668238	"https://www.google.co.jp/maps/@35.663754,139.668213,3a,20y,85.43h,67.52t/data=!3m4!1e1!3m2!1sI08B117jH9KRyZMQVfrD5Q!2e0"					03-3467-4069	電波的な彼女～幸福ゲーム～	デンパテキナカノジョコウフクゲーム	柔沢ジュウと堕花雨の学校帰りのシーンの街のカットの一つで、吉岡産業不動産の立看板と隣の来々軒のエアコンの室外機が描かれていました。作中では名前が「吉野産業不動産」になっていました。				セタガヤク	テ	13	14	2	
0582	0009	完了	東京都	世田谷区	着縁の看板（キミ子）	155-0031	東京都世田谷区北沢2-12-2	ミナナミコーポ202	35.660674	139.668084	"https://www.google.co.jp/maps/@35.660652,139.668095,3a,31y,299.8h,85.62t/data=!3m4!1e1!3m2!1sY-CHnoeBd-EnzZkGgjf6Pg!2e0"					03-3418-6651	電波的な彼女～幸福ゲーム～	デンパテキナカノジョコウフクゲーム	作中象徴的に度々登場していたマネキンの看板（キミ子）。	http://kimono-kien.com/			セタガヤク	テ	13	14	2	
0582	0010	完了	東京都	世田谷区	着縁の看板（キミ子）	155-0031	東京都世田谷区北沢2-12-2	ミナナミコーポ202	35.660674	139.668084	"https://www.google.co.jp/maps/@35.660652,139.668095,3a,31y,299.8h,85.62t/data=!3m4!1e1!3m2!1sY-CHnoeBd-EnzZkGgjf6Pg!2e0"					03-3418-6651	電波的な彼女～幸福ゲーム～	デンパテキナカノジョコウフクゲーム	柔沢ジュウと堕花雨の学校帰りのシーンの街のカットの一つで、座標位置に立てられたマネキンの看板（キミ子）が描かれていました。	http://kimono-kien.com/			セタガヤク	テ	13	14	2	
0582	0011	完了	東京都	世田谷区	パンコントマテ 下北沢北口店	155-0031	東京都世田谷区北沢2-25-13	カザマビル2F	35.662673	139.667224	"https://www.google.co.jp/maps/@35.662701,139.667243,3a,62y,223.9h,85.92t/data=!3m4!1e1!3m2!1sLX8YPVtkOsY6vxj7FW1cNg!2e0"						電波的な彼女～幸福ゲーム～	デンパテキナカノジョコウフクゲーム	柔沢ジュウと堕花雨の学校帰りのシーンの街のカットの一つで、店頭のシェフの顔を模した看板が描かれていた店。※閉店済				セタガヤク	テ	13	14	2	閉店
0582	0012	完了	東京都	世田谷区	踏切	168-0072	東京都杉並区高井戸東1-18		35.682853	139.619250	"https://www.google.co.jp/maps/@35.683016,139.619254,3a,26.5y,194.81h,87.79t/data=!3m4!1e1!3m2!1sm-p9yO-4twYDj15kNos4KQ!2e0"						電波的な彼女～幸福ゲーム～	デンパテキナカノジョコウフクゲーム	学校帰りの堕花雨が事件のことを語るシーンの帰宅路カットで、雨が電車の通過待ちをする姿が描かれていました。				セタガヤク	テ	13	14	2	
0582	0013	完了	東京都	世田谷区	池袋橋 脇	168-0072	東京都杉並区高井戸東1-27		35.682230	139.619863	-						電波的な彼女～幸福ゲーム～	デンパテキナカノジョコウフクゲーム	学校帰りの堕花雨が事件のことを語るシーンの帰宅路カットで、雨が立っていた場所。背後に池袋橋や杉並清掃工場の煙突が描かれていました。				セタガヤク	テ	13	14	2	
0582	0014	完了	東京都	世田谷区	杉並清掃工場 裏	168-0072	東京都杉並区高井戸東3-7		35.683946	139.619410	"https://www.google.co.jp/maps/@35.684079,139.619182,3a,25.7y,114.63h,88.39t/data=!3m4!1e1!3m2!1sB1PDeks9oTzmL4Km_Xb3wQ!2e0"						電波的な彼女～幸福ゲーム～	デンパテキナカノジョコウフクゲーム	学校帰りの柔沢ジュウと堕花雨が、事件について話していた場所で、この場所からマンション爆破の煙を目撃していました。				セタガヤク	テ	13	14	2	
