作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所2	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在
16	0001	完了	東京都	目黒区	旧前田侯爵家駒場本邸（洋館）	153-0041	東京都目黒区駒場4-3-55	目黒区立駒場公園内	35.662191	139.680163	"https://www.google.co.jp/maps/@35.662045,139.67984,3a,75y/data=!3m5!1e2!3m3!1s--xXcp4A6be8%2FTy6MXh_2whI%2FAAAAAAAAQf4%2FQiKpspQJHr0!2e4!3e12"						青い花	アオイハナ	奥平あきらの通うお嬢様学校「藤が谷女学院」の図書館棟の外観や、校舎内装のモデルとなった建物。				メグロク	ア	13	23	2	
16	0002	完了	東京都	目黒区	旧前田侯爵家駒場本邸（和館）	153-0041	東京都目黒区駒場4-3-55	目黒区立駒場公園内	35.662278	139.680731	"https://www.google.co.jp/maps/@35.662431,139.680716,3a,75y,90t/data=!3m5!1e2!3m3!1s20298347!2e1!3e10"						青い花	アオイハナ	第7話で万城目ふみが招かれた杉本家のモデルで、塀や玄関などが描かれていました。				メグロク	ア	13	23	2	
16	0003	完了	神奈川県	横浜市	赤レンガ倉庫	231-0001	神奈川県横浜市中区新港1-1		35.452394	139.643267	"https://www.google.co.jp/maps/@35.452381,139.643908,3a,49.4y,309.32h,97.75t/data=!3m5!1e1!3m3!1sqsGAJApHVg2FJauWmaxG_w!2e0!3e5?hl=ja"	16.0				045-227-2002	青い花	アオイハナ	第7話のデートシーンで、奥平あきらと万城目ふみが訪れていた場所。	http://www.yokohama-akarenga.jp/			ヨコハマシ	ア	14	1	2	
16	0004	完了	神奈川県	横浜市	赤レンガ倉庫 ピクニックコート	231-0001	神奈川県横浜市中区新港1-1		35.452532	139.642988	-						青い花	アオイハナ	第7話のデートシーンで、奥平あきらと万城目ふみがお茶していた赤レンガ倉庫のフードコートで、2人が座っていたのは、ガラスボックス席でした。	http://www.yokohama-akarenga.jp/shops/floor			ヨコハマシ	ア	14	1	2	
16	0005	完了	神奈川県	横浜市	横浜中華街 善隣門	231-0862	神奈川県横浜市中区山下町		35.443072	139.644105	"https://www.google.co.jp/maps/@35.443071,139.643963,3a,48.9y,78.61h,104.27t/data=!3m4!1e1!3m2!1s6pfTzP9h0KmhbmzmmjKU9A!2e0?hl=ja"	16.0					青い花	アオイハナ	第7話のデートシーンで、奥平あきらと万城目ふみが訪れていた中華街の門。				ヨコハマシ	ア	14	1	2	
16	0006	完了	神奈川県	横浜市	横浜人形の家	231-0862	神奈川県横浜市中区山下町18		35.443188	139.652122	"https://www.google.co.jp/maps/@35.443174,139.652144,2a,90y,90t/data=!3m5!1e2!3m3!1s-XDD28uFTrR8%2FU5S2t7s5IxI%2FAAAAAAAALgc%2FJsPYvGXSp_o!2e4!3e12"	15.0				045-671-9361	青い花	アオイハナ	第7話のデートシーンで、奥平あきらと万城目ふみが訪れていた博物館。	http://www.doll-museum.jp/			ヨコハマシ	ア	14	1	2	
16	0007	完了	神奈川県	横浜市	山下公園 水の守護神	231-0862	神奈川県横浜市中区山下町279		35.44578	139.649772	"https://www.google.co.jp/maps/@35.445925,139.64991,3a,75y,233.35h,99.16t/data=!3m5!1e1!3m3!1sjjEQ-dwLi4mRM-PZdGLcnw!2e0!3e5"	16.0					青い花	アオイハナ	第3話で井汲京子の許嫁である澤乃井康主催の合コンで、京子と康が奥平あきらと待ち合わせをしていた場所。				ヨコハマシ	ア	14	1	2	
16	0008	完了	神奈川県	鎌倉市	階段	247-0062	神奈川県鎌倉市山ノ内		35.342376	139.543502	-						青い花	アオイハナ	第1話後半の通学シーンで奥平あきらが駆け下りていた階段。				カマクラシ	ア	14	11	2	
16	0009	完了	神奈川県	鎌倉市	坂道	247-0062	神奈川県鎌倉市山ノ内		35.342200	139.543376	-						青い花	アオイハナ	第1話後半の通学シーンで奥平あきらが駆け下りていた坂道。				カマクラシ	ア	14	11	2	
16	0010	完了	神奈川県	鎌倉市	踏切	247-0062	神奈川県鎌倉市山ノ内		35.340424	139.54183	"https://www.google.co.jp/maps/@35.340584,139.542023,3a,30.3y,230.25h,83t/data=!3m4!1e1!3m2!1s8FVum_CAutOKF1VHU9GuEA!2e0?hl=ja"	16.0					青い花	アオイハナ	第1話後半の通学シーンで奥平あきらが走っていた場所。北東方面の道から踏切を望む構図で描かれており、北東側から来たあきらは、この踏切前の道を左折して走っていきました。				カマクラシ	ア	14	11	2	
16	0011	完了	神奈川県	鎌倉市	好々亭 赤トンネル	247-0062	神奈川県鎌倉市山ノ内		35.339954	139.542516	-	17.0					青い花	アオイハナ	第1話後半で、奥平あきらの通学シーンで、このトンネル前の線路沿いの道を走っている姿が描かれていました。				カマクラシ	ア	14	11	2	
16	0012	完了	神奈川県	鎌倉市	トンネル	247-0062	神奈川県鎌倉市山ノ内		35.338243	139.544383	"https://www.google.co.jp/maps/@35.338106,139.544544,3a,25.2y,325.56h,87.9t/data=!3m4!1e1!3m2!1soUNEwVW7br9iIgCdZu4tew!2e0?hl=ja"	17.0					青い花	アオイハナ	第1話後半の通学シーンで奥平あきらが走り抜けていたトンネル。				カマクラシ	ア	14	11	2	
16	0013	完了	神奈川県	鎌倉市	JR 北鎌倉駅	247-0062	神奈川県鎌倉市山ノ内501		35.337222	139.545139	"https://www.google.co.jp/maps/@35.337198,139.545134,2a,90y,90t/data=!3m5!1e2!3m3!1s77955125!2e1!3e10"	13.0					青い花	アオイハナ	第1話後半の通学シーンで奥平あきらが電車に駆け込み乗車していた、あきらの自宅の最寄駅で、臨時改札口や簡易Suica改札機などが描かれていました。				カマクラシ	ア	14	11	2	
16	0014	完了	神奈川県	鎌倉市	JR 鎌倉駅	248-0006	神奈川県鎌倉市小町1-1-1		35.319010	139.550696	"https://www.google.co.jp/maps/@35.319318,139.551121,3a,32.7y,218.03h,92t/data=!3m4!1e1!3m2!1s-NyaHRajp0LNVzhiedsZTQ!2e0?hl=ja"						青い花	アオイハナ	第1話で奥平あきらが兄に自動車で送ってもらっていた駅。				カマクラシ	ア	14	11	2	
16	0015	完了	神奈川県	鎌倉市	鎌倉駅地下道	248-0006	神奈川県鎌倉市小町1-6		35.319401	139.550436	"https://www.google.co.jp/maps/@35.319318,139.551121,3a,15y,281.84h,87.19t/data=!3m4!1e1!3m2!1sfqdH5kaIUg2Z3cOSeBZPLw!2e0?hl=ja"						青い花	アオイハナ	第1話で兄に自動車でJR鎌倉駅前まで送ってもらった奥平あきらが、西口側の江ノ島電鉄鎌倉駅線方面へ出るために通っていた地下通路。				カマクラシ	ア	14	11	2	
16	0016	完了	神奈川県	鎌倉市	鎌倉駅前	248-0006	神奈川県鎌倉市小町1-6		35.319333	139.550925	"https://www.google.co.jp/maps/@35.319272,139.550942,3a,52.6y,27.47h,93.84t/data=!3m4!1e1!3m2!1sdH8MPwcFBUhOJtNBEawHYw!2e0?hl=ja"						青い花	アオイハナ	第1話で兄に自動車で駅前まで送ってもらった奥平あきらが下車していた場所。				カマクラシ	ア	14	11	2	
