作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所２	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在
1145	0001		神奈川県	鎌倉市	七里ヶ浜駐車場		神奈川県鎌倉市七里ガ浜東2-1										青春ブタ野郎はゆめみる少女の夢を見ない	セイシュンブタヤロウハユメミルショウジョノユメヲミナイ					カマクラシ	セ	14	11	2	
1145	0002		神奈川県	鎌倉市	鎌倉駅		神奈川県鎌倉市小町1										青春ブタ野郎はゆめみる少女の夢を見ない	セイシュンブタヤロウハユメミルショウジョノユメヲミナイ					カマクラシ	セ	14	11	2	
1145	0003		神奈川県	逗子市	逗子駅 前		神奈川県逗子市逗子1-2										青春ブタ野郎はゆめみる少女の夢を見ない	セイシュンブタヤロウハユメミルショウジョノユメヲミナイ					ズシシ	セ	14	12	2	
1145	0004		神奈川県	三浦郡	森戸海岸		神奈川県三浦郡葉山町堀内										青春ブタ野郎はゆめみる少女の夢を見ない	セイシュンブタヤロウハユメミルショウジョノユメヲミナイ					ミウラグン	セ	14	14	2	
1145	0005		神奈川県	三浦郡	SCAPES THE SUITE	240-0112	神奈川県三浦郡葉山町堀内922-2										青春ブタ野郎はゆめみる少女の夢を見ない	セイシュンブタヤロウハユメミルショウジョノユメヲミナイ					ミウラグン	セ	14	14	2	
1145	0006		神奈川県	藤沢市	藤沢駅北口ペデストリアンデッキ		神奈川県藤沢市藤沢75										青春ブタ野郎はゆめみる少女の夢を見ない	セイシュンブタヤロウハユメミルショウジョノユメヲミナイ					フジサワシ	セ	14	15	2	
1145	0007		神奈川県	藤沢市	御所ヶ谷公園付近		神奈川県藤沢市大鋸1-4										青春ブタ野郎はゆめみる少女の夢を見ない	セイシュンブタヤロウハユメミルショウジョノユメヲミナイ					フジサワシ	セ	14	15	2	
1145	0008		神奈川県	鎌倉市	七里ヶ浜駅横の踏切		神奈川県鎌倉市七里ガ浜1										青春ブタ野郎はゆめみる少女の夢を見ない	セイシュンブタヤロウハユメミルショウジョノユメヲミナイ					カマクラシ	セ	14	11	2	
1145	0009		神奈川県	茅ヶ崎市	茅ヶ崎駅北口前		神奈川県茅ヶ崎市元町2										青春ブタ野郎はゆめみる少女の夢を見ない	セイシュンブタヤロウハユメミルショウジョノユメヲミナイ					チガサキシ	セ	14	17	2	
1145	0010		静岡県	熱海市	熱海駅		静岡県熱海市田原本町11-1										青春ブタ野郎はゆめみる少女の夢を見ない	セイシュンブタヤロウハユメミルショウジョノユメヲミナイ					アタミシ	セ	22	9	3	
1145	0011		神奈川県	藤沢市	片瀬江ノ島駅		神奈川県藤沢市片瀬海岸2-15										青春ブタ野郎はゆめみる少女の夢を見ない	セイシュンブタヤロウハユメミルショウジョノユメヲミナイ					フジサワシ	セ	14	15	2	
1145	0012		神奈川県	藤沢市	新江ノ島水族館前		神奈川県藤沢市片瀬海岸2-19-1										青春ブタ野郎はゆめみる少女の夢を見ない	セイシュンブタヤロウハユメミルショウジョノユメヲミナイ					フジサワシ	セ	14	15	2	
1145	0013		神奈川県	藤沢市	片瀬橋		神奈川県藤沢市片瀬海岸1										青春ブタ野郎はゆめみる少女の夢を見ない	セイシュンブタヤロウハユメミルショウジョノユメヲミナイ					フジサワシ	セ	14	15	2	
1145	0014		神奈川県	藤沢市	江の島入口交差点付近		神奈川県藤沢市片瀬海岸1-15										青春ブタ野郎はゆめみる少女の夢を見ない	セイシュンブタヤロウハユメミルショウジョノユメヲミナイ					フジサワシ	セ	14	15	2	
1145	0015		神奈川県	藤沢市	御所ヶ谷橋		神奈川県藤沢市朝日町15										青春ブタ野郎はゆめみる少女の夢を見ない	セイシュンブタヤロウハユメミルショウジョノユメヲミナイ					フジサワシ	セ	14	15	2	
1145	0016		神奈川県	藤沢市	本鵠沼駅前		神奈川県藤沢市本鵠沼2-13-14										青春ブタ野郎はゆめみる少女の夢を見ない	セイシュンブタヤロウハユメミルショウジョノユメヲミナイ					フジサワシ	セ	14	15	2	
1145	0017		神奈川県	藤沢市	本鵠沼・緑の広場		神奈川県藤沢市本鵠沼1-16										青春ブタ野郎はゆめみる少女の夢を見ない	セイシュンブタヤロウハユメミルショウジョノユメヲミナイ					フジサワシ	セ	14	15	2	
1145	0018		神奈川県	藤沢市	中華料理O-3前		神奈川県藤沢市鵠沼海岸5-10-10										青春ブタ野郎はゆめみる少女の夢を見ない	セイシュンブタヤロウハユメミルショウジョノユメヲミナイ					フジサワシ	セ	14	15	2	
1145	0019		神奈川県	藤沢市	鵠沼海岸駅北側の踏切		神奈川県藤沢市鵠沼海岸2										青春ブタ野郎はゆめみる少女の夢を見ない	セイシュンブタヤロウハユメミルショウジョノユメヲミナイ					フジサワシ	セ	14	15	2	
1145	0020		神奈川県	藤沢市	竜宮橋		神奈川県藤沢市鵠沼海岸4										青春ブタ野郎はゆめみる少女の夢を見ない	セイシュンブタヤロウハユメミルショウジョノユメヲミナイ					フジサワシ	セ	14	15	2	
1145	0021		神奈川県	鎌倉市	国道134号線		神奈川県鎌倉市腰越1-5		35.306598	139.495754							青春ブタ野郎はゆめみる少女の夢を見ない	セイシュンブタヤロウハユメミルショウジョノユメヲミナイ					カマクラシ	セ	14	11	2	
1145	0022		神奈川県	鎌倉市	七里ヶ浜		神奈川県鎌倉市七里ガ浜東2-1										青春ブタ野郎はゆめみる少女の夢を見ない	セイシュンブタヤロウハユメミルショウジョノユメヲミナイ					カマクラシ	セ	14	11	2	
1145	0023		神奈川県	藤沢市	藤沢駅構内		神奈川県藤沢市南藤沢1										青春ブタ野郎はゆめみる少女の夢を見ない	セイシュンブタヤロウハユメミルショウジョノユメヲミナイ					フジサワシ	セ	14	15	2	
1145	0024		神奈川県	藤沢市	藤沢駅北口バスターミナル		神奈川県藤沢市藤沢										青春ブタ野郎はゆめみる少女の夢を見ない	セイシュンブタヤロウハユメミルショウジョノユメヲミナイ					フジサワシ	セ	14	15	2	
1145	0025		東京都	港区	新橋駅		東京都港区新橋2-17										青春ブタ野郎はゆめみる少女の夢を見ない	セイシュンブタヤロウハユメミルショウジョノユメヲミナイ					ミナトク	セ	13	22	2	
1145	0026		神奈川県	藤沢市	藤沢駅南口		神奈川県藤沢市南藤沢1										青春ブタ野郎はゆめみる少女の夢を見ない	セイシュンブタヤロウハユメミルショウジョノユメヲミナイ					フジサワシ	セ	14	15	2	
1145	0027		神奈川県	鎌倉市	鶴岡八幡宮		神奈川県鎌倉市雪ノ下2-1-31										青春ブタ野郎はゆめみる少女の夢を見ない	セイシュンブタヤロウハユメミルショウジョノユメヲミナイ					カマクラシ	セ	14	11	2	
