作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所２	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在
1011	0001	完了	東京都	千代田区	国会議事堂	100-0014	東京都千代田区永田町1-7-1		35.675868	139.744853	"https://www.google.co.jp/maps/@35.6762968,139.746789,3a,36.7y,263.92h,98.81t/data=!3m8!1e1!3m6!1sCAoSLEFGMVFpcE1TaWt2dVZBLWp6UGlXZ2M2TFZVSURpZjhZWDRXS3RtcDFtN2VI!2e10!3e11!6shttps:%2F%2Flh5.googleusercontent.com%2Fp%2FAF1QipMSikvuVA-jzPiWgc6LVUIDif8YX4WKtmp1m7eH%3Dw203-h100-k-no-pi-11.269773-ya324.2292-ro-3.3160174-fo100!7i5376!8i2688"						魔法少女 俺	マホウショウジョオレ	第5話で、神奈川県宮ヶSAY湖から発生した巨大生物（通称チヂラ）に対応すべく、「巨大生物災害対策本部特別司令室」が置かれていた場所。				チヨダク	マ	13	17	2	
1011	0002	完了	東京都	港区	東京タワー	105-0011	東京都港区芝公園4-2-8		35.658595	139.745432	"https://www.google.co.jp/maps/@35.6600626,139.7430397,3a,39.8y,127.28h,122.07t/data=!3m6!1e1!3m4!1s7NX-WdBs1f1fUyxSoDq9_Q!2e0!7i13312!8i6656"						魔法少女 俺	マホウショウジョオレ	矢茂小波マネージャー率いる妖魔たちに占拠され、浴びた者の作画をゆるくしてしまう光線を放っていた塔。				ミナトク	マ	13	22	2	
1011	0003	完了	東京都	渋谷区	NHK放送センター	150-0041	東京都渋谷区神南2-2		35.665143	139.695400	"https://www.google.co.jp/maps/@35.6640099,139.6952341,3a,49.4y,45.03h,99.4t/data=!3m6!1e1!3m4!1sU8A3BV2MwXjibLTEak-F_g!2e0!7i13312!8i6656"						魔法少女 俺	マホウショウジョオレ	第4話で、魔法少女オレと魔法少女サキガスキの2人が番組収録をしたテレビ局で、襲撃してきた妖魔を改造人間の藤本一郷と対決しながら倒していました。<br />第7話でも、すっかり人気者となったオレとサキガスキが再び仕事で訪れていました。				シブヤク	マ	13	10	2	
1011	0004	完了	東京都	新宿区	東京都庁	163-8001	東京都新宿区西新宿2-8-1		35.689555	139.691765	"https://www.google.co.jp/maps/@35.6888027,139.6928049,3a,69.1y,296.88h,132.63t/data=!3m6!1e1!3m4!1srDBSeQvhTgJkHmi0sT8XHw!2e0!7i13312!8i6656"						魔法少女 俺	マホウショウジョオレ	第12話で、事件解決後、御翔桃拾と卯野さき、御翔桜世の3人による童謡「ななつの子」の合唱をバックに、平和が戻った夜の街のカットの一つで描かれていた建物。				シンジュクク	マ	13	11	2	
1011	0005	完了	東京都	三鷹市	スタジオぴえろ	181-0013	東京都三鷹市下連雀2-29-13		35.700104	139.566352	"https://www.google.co.jp/maps/@35.7001355,139.5662109,3a,19y,113.66h,107.73t/data=!3m6!1e1!3m4!1ssJJvoI318MgRKhOO1YNfpQ!2e0!7i13312!8i6656"						魔法少女 俺	マホウショウジョオレ	第5話で、版権管理部でCみずが第5話コンテのダメ出しを喰らっていたアニメ制作会社。<br />作中では社名が「スタジオひろえ」になっていました。				ミタカシ	マ	13	47	2	
1011	0006	完了	東京都	府中市	是政橋	183-0014	東京都府中市是政5		35.654338	139.487877	"https://www.google.co.jp/maps/@35.6557492,139.487679,3a,29.6y,169.53h,101.52t/data=!3m6!1e1!3m4!1sA0ZxWPEeA-FJD14dqXabnA!2e0!7i13312!8i6656?hl=ja"						魔法少女 俺	マホウショウジョオレ	第1話冒頭で、卯野さきが夢の中で見た妖魔と戦うシーンで描かれていた橋。吊橋の支柱の上から飛び降り、河川敷で戦闘を繰り広げていました。<br />第5話では、この橋の側を渡河中だった巨大生物（通称チヂラ）が、魔法少女 オレに倒されていました。<br />オープニングやエンディング、各話で登場する作品のメインビジュアル的な橋です。				フチュウシ	マ	13	44	2	
1011	0007	完了	東京都	稲城市	セザール多摩ガーデン前の細道	206-0801	東京都稲城市大丸		35.645020	139.492724	-						魔法少女 俺	マホウショウジョオレ	第1話で、御翔桃拾が妖魔に異界へと連れ去られそうになっていることを知った卯野さきが、桃拾のもとへ向かって駆け上っていた道。				イナギシ	マ	13	26	2	
1011	0008	完了	東京都	稲城市	大麻止乃豆乃天神社	206-0801	東京都稲城市大丸847		35.646048	139.491838	"https://www.google.co.jp/maps/@35.6459515,139.4920537,3a,39.4y,291.54h,88.36t/data=!3m8!1e1!3m6!1sCAoSLEFGMVFpcE5EMm5teW8wUHdaOWVxZ3BTQklrNzY2OFE3eVJoM0tsN25DWGM4!2e10!3e11!6shttps:%2F%2Flh5.googleusercontent.com%2Fp%2FAF1QipND2nmyo0PwZ9eqgpSBIk7668Q7yRh3Kl7nCXc8%3Dw203-h100-k-no-pi-0-ya304.25763-ro0-fo100!7i5376!8i2688"						魔法少女 俺	マホウショウジョオレ	第3話の回想シーンで、幼少時の卯野さきと御翔桜世が一緒に歌の練習をしていた神社。				イナギシ	マ	13	26	2	
1011	0009	完了	東京都	稲城市	城山公園城山橋	206-0803	東京都稲城市向陽台6-116		35.644656	139.488805	"https://www.google.co.jp/maps/@35.6447729,139.4889306,3a,83.8y,179.4h,110.59t/data=!3m6!1e1!3m4!1sXDlYxcHzBuvsUY-xPLRrxw!2e0!7i13312!8i6656"						魔法少女 俺	マホウショウジョオレ	第3話の回想シーンで、幼少時の卯野さきと御翔桜世が手を繋いで歌を唄いながら渡ってた橋。				イナギシ	マ	13	26	2	
1011	0010	完了	東京都	稲城市	南多摩駅	206-0801	東京都稲城市大丸		35.649246	139.489404	"https://www.google.co.jp/maps/@35.6496504,139.4891809,3a,40y,177.89h,99.17t/data=!3m6!1e1!3m4!1sAjfbFE1NnQS7LiyWc7Hpzg!2e0!7i13312!8i6656"						魔法少女 俺	マホウショウジョオレ	第1話で、商業施設の屋上での営業を終えた卯野さきが帰宅するシーンの冒頭カットで描かれていた駅。<br />第3話のラストで、藤本一郷が登場する多摩川土手のシーンの冒頭カットでも、この駅が描かれていました。				イナギシ	マ	13	26	2	
1011	0011	完了	東京都	稲城市	南多摩駅東自転車等駐車場 前	206-0801	東京都稲城市大丸		35.649396	139.491909	"https://www.google.co.jp/maps/@35.6494134,139.4917983,3a,41.8y,118.81h,91.21t/data=!3m6!1e1!3m4!1sHdKJfkUaQWHAB6cpQ8mAYQ!2e0!7i13312!8i6656"						魔法少女 俺	マホウショウジョオレ	第1話で、商業施設の屋上での営業を終えた卯野さきが帰宅するシーンの冒頭カットで描かれていた駅前風景の場所。				イナギシ	マ	13	26	2	
1011	0012	完了	千葉県	千葉市	幕張メッセ	261-0023	千葉県千葉市美浜区中瀬2-1		35.649170	140.035794	"https://www.google.co.jp/maps/@35.6479935,140.0355208,2a,32y,4.58h,93.79t/data=!3m6!1e1!3m4!1sFFh2iJecnxwfiocm77tseg!2e0!7i13312!8i6656"					043-296-0001	魔法少女 俺	マホウショウジョオレ	第8話で、魔法少女オレと魔法少女サキガスキ（MAHO☆SHOUJO）のデビュー曲「ぶっちゃけ少女じゃない」のCD特典握手会が行われていた場所。				チバシ	マ	12	1	2	
1011	0013	完了	埼玉県	さいたま市	コクーンシティ	330-0843	埼玉県さいたま市大宮区吉敷町4-263-1		35.895759	139.635538	"https://www.google.co.jp/maps/@35.8951497,139.6354183,3a,34y,19.15h,103.48t/data=!3m6!1e1!3m4!1sZJfI9WXOIwWXnjq6Gr19ew!2e0!7i13312!8i6656"						魔法少女 俺	マホウショウジョオレ	第1話冒頭で、卯野さきと御翔桜世（マジカルツイン）が客の全くいない営業をしていたショッピングセンター。<br />第12話で、魔法少女としては芸能界を引退したさきと桜世（マジカルツイン）が、再び客の全く入らない営業をしていたのもこの場所でした。	https://www.cocooncity.jp			サイタマシ	マ	11	1	2	
