作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所２	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在
0825	0001	完了	北海道	上川郡	四季の橋	071-0203	北海道上川郡美瑛町西町1		43.586154	142.456259	"https://www.google.co.jp/maps/@43.58526,142.455535,3a,15.9y,34.79h,91.71t/data=!3m5!1e1!3m3!1s4_LmaihsAtq3ZdhDhHnrnw!2e0!3e5?hl=ja"	15.0		120	3		魔法遣いに大切なこと～夏のソラ～	マホウツカイニタイセツナコトナツノソラ	第1話で鈴木ソラが東京へ旅立つ前日に、橋脚の下で佐藤みちると会い、みちるから遠山哲也に片想いしていることを告白されていた場所。				カミカワグン	マ	1	54	1	
0825	0002	完了	北海道	上川郡	白井牧場	071-0204	北海道上川郡美瑛町大町3-503		43.595817	142.448686	"https://www.google.co.jp/maps/@43.595635,142.447706,3a,21.3y,31.9h,91.2t/data=!3m5!1e1!3m3!1sMbLAf3Oais3G_vjJ1JmU_w!2e0!3e5?hl=ja"	14.0		120	3		魔法遣いに大切なこと～夏のソラ～	マホウツカイニタイセツナコトナツノソラ	第1話で鈴木ソラが訪れていた佐藤みちるの家（牧場）のモデル。				カミカワグン	マ	1	54	1	
0825	0003	完了	北海道	上川郡	農場 2	071-0218	北海道上川郡美瑛町大村		43.599094	142.430763	"https://www.google.co.jp/maps/@43.598339,142.42809,3a,30.7y,77.12h,83.31t/data=!3m5!1e1!3m3!1sYMyyz-raRUk8S3OgsBZUng!2e0!3e5?hl=ja"	15.0		120	3		魔法遣いに大切なこと～夏のソラ～	マホウツカイニタイセツナコトナツノソラ	第1話で、畑の母親に昼食を届けた鈴木ソラが自転車で坂道を駆け下りるシーンで描かれていた農場。※背景は実写加工作画なので完全一致します。				カミカワグン	マ	1	54	1	
0825	0004	完了	北海道	上川郡	並木	071-0218	北海道上川郡美瑛町大村		43.597947	142.424620	"https://www.google.co.jp/maps/@43.597988,142.425127,3a,37.5y,238.38h,100.78t/data=!3m5!1e1!3m3!1sabyAAgJGT6oUknosSeYqag!2e0!3e5?hl=ja"	15.0		120	3		魔法遣いに大切なこと～夏のソラ～	マホウツカイニタイセツナコトナツノソラ	オープニングでソラが遠くを見つめていた場所。※背景は実写加工作画なので完全一致します。				カミカワグン	マ	1	54	1	
0825	0005	完了	北海道	上川郡	道	071-0218	北海道上川郡美瑛町大村		43.597646	142.432279	"https://www.google.co.jp/maps/@43.597503,142.43304,3a,37.5y,270.03h,89.39t/data=!3m5!1e1!3m3!1sblwoVeIOPwy0VbvgbZw0Ew!2e0!3e5?hl=ja"	15.0		120	3		魔法遣いに大切なこと～夏のソラ～	マホウツカイニタイセツナコトナツノソラ	第1話で旭川空港へ向かう鈴木ソラを乗せた軽トラが走っていた道。鈴木家のモデルとなった家の前の道で、位置的にも作中通りです。オープニングでタイトルロゴが出ていたのもこの道の上でいた。				カミカワグン	マ	1	54	1	
0825	0006	完了	北海道	上川郡	民家	071-0218	北海道上川郡美瑛町大村		43.597651	142.433122	"https://www.google.co.jp/maps/@43.597503,142.43304,3a,52.9y,10.9h,85.14t/data=!3m5!1e1!3m3!1sblwoVeIOPwy0VbvgbZw0Ew!2e0!3e5?hl=ja"	15.0		120	1.8		魔法遣いに大切なこと～夏のソラ～	マホウツカイニタイセツナコトナツノソラ	第1話で度々登場していた鈴木ソラの実家のモデル。エンディングでも登場しています。※背景は実写加工作画なので完全一致します。				カミカワグン	マ	1	54	1	
0825	0007	完了	北海道	上川郡	農場 1	071-0222	北海道上川郡美瑛町美田		43.600235	142.428398	"https://www.google.co.jp/maps/@43.599524,142.428739,3a,30.1y,346.36h,82.63t/data=!3m5!1e1!3m3!1sSsvbpqpqxir7da7fL1ObfQ!2e0!3e5?hl=ja"	15.0		120	3		魔法遣いに大切なこと～夏のソラ～	マホウツカイニタイセツナコトナツノソラ	第1話冒頭で鈴木ソラが、自宅から畑の母親に自転車で昼の弁当を届けに向かうシーンで描かれていた農場。オープニングにも登場しています。※背景は実写加工作画なので完全一致します。				カミカワグン	マ	1	54	1	
0825	0008	完了	北海道	上川郡	分かれ道	071-0222	北海道上川郡美瑛町美田		43.599725	142.428859	"https://www.google.co.jp/maps/@43.599524,142.428739,3a,27.7y,20.72h,85.31t/data=!3m5!1e1!3m3!1sSsvbpqpqxir7da7fL1ObfQ!2e0!3e5?hl=ja"	15.0		120	3		魔法遣いに大切なこと～夏のソラ～	マホウツカイニタイセツナコトナツノソラ	第1話冒頭で鈴木ソラが、自宅から母親の所に自転車で向かうシーンで描かれていた分かれ道。オープニングのソラが自転車に乗っているカットも同じ場所です。※※背景は実写加工作画なので完全一致します。				カミカワグン	マ	1	54	1	
0825	0009	完了	北海道	上川郡	坂道	071-0222	北海道上川郡美瑛町大村		43.598341	142.428109	"https://www.google.co.jp/maps/@43.598584,142.427678,3a,37.5y,115.08h,79.51t/data=!3m5!1e1!3m3!1st7LgVaUBvEcHnVfsg-w_mQ!2e0!3e5?hl=ja"	15.0		120	3		魔法遣いに大切なこと～夏のソラ～	マホウツカイニタイセツナコトナツノソラ	第1話で、畑の母親に昼食を届けた鈴木ソラが、自転車で駆け下ってくる坂道。オープニングでも同じシーンがありました。実際には登り坂です。※背景は実写加工作画なので完全一致します。				カミカワグン	マ	1	54	1	
0825	0010	完了	北海道	上川郡	踏切	071-0292	北海道上川郡美瑛町本町1		43.592695	142.464003	"https://www.google.co.jp/maps/@43.592534,142.464027,3a,31.3y,339.38h,88.88t/data=!3m5!1e1!3m3!1s0MAgnuZ7OkdFY8wpW57v4g!2e0!3e5"	17.0		120	3		魔法遣いに大切なこと～夏のソラ～	マホウツカイニタイセツナコトナツノソラ	第1話で自転車に乗る鈴木ソラが、警報音も鳴っていないのに、律儀に立ち止まって左右確認して渡っていた踏切。				カミカワグン	マ	1	54	1	
