作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所２	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在
0284	0001	完了	東京都	台東区	浅草仲見世	111-0032	東京都台東区浅草1-30-1		35.711918	139.796453	"https://www.google.co.jp/maps/@35.711923,139.796429,3a,63.5y,4.09h,73.73t/data=!3m7!1e1!3m5!1sQDNJk0TJ7hXuj0fYKx-7eQ!2e0!3e5!7i13312!8i6656"	17		120	1		黒子のバスケ（第3期）	クロコノバスケダイサンキ	第1期エンディングで、人混みの中にいる晴れ着姿のアレックスと、氷室辰也、紫原敦、岡村建一、劉偉、福井健介たち「陽泉高校バスケ部」の面々が描かれていた商店街。作中で「もみじや」と描かれている店は、おそらく江戸民芸品を扱う、しみづや鎗田だと思われます。				タイトウク	ク	13	15	2	
0284	0002		東京都	渋谷区	東京体育館メインアリーナ	151-0051	東京都渋谷区千駄ヶ谷1−17−1		35.679760	139.712489	"https://www.google.co.jp/maps/@35.680421,139.711747,3a,75y,90t/data=!3m5!1e2!3m3!1s90508991!2e1!3e10?hl=ja"	16		0			黒子のバスケ（第3期）	クロコノバスケダイサンキ	オープニング	http://www.tef.or.jp/tmg/arena_top.jsp			シブヤク	ク	13	10	2	
0284	0003	完了	東京都	目黒区	田楽橋	153-0061	東京都目黒区中目黒2-4		35.641318	139.702811	"https://www.google.co.jp/maps/@35.641393,139.70284,3a,30.3y,221.37h,96.62t/data=!3m6!1e1!3m4!1sQOZq9Ha6z3RYDnp2PtcPUA!2e0!7i13312!8i6656?hl=ja"						黒子のバスケ（第3期）	クロコノバスケダイサンキ	第66話冒頭で、一緒に歩いていた黒子テツヤと桃井さつきが、この橋の前で別れていました。別れ際、かつて黒子に言ったこと（みんなこれからもずっと一緒にやっていけるよね）を覚えているか尋ねるさつきに、黒子が覚えていないと答え、そのまま去って行く後ろ姿を見送りながら、さつきが過ぎ去った日は戻らないことを悟って涙を流していました。				メグロク	ク	13	23	2	
0284	0004	完了	東京都	目黒区	田楽橋 脇	153-0061	東京都目黒区中目黒2-4		35.641592	139.702670	"https://www.google.co.jp/maps/@35.64171,139.702717,3a,47y,182.61h,88.74t/data=!3m6!1e1!3m4!1sN6y9QqQbTzRcmJ8N58cIYQ!2e0!7i13312!8i6656?hl=ja"						黒子のバスケ（第3期）	クロコノバスケダイサンキ	第66話冒頭で、黒子テツヤと桃井さつきが一緒に歩いていた場所で、幼馴染みの青峰大輝と一緒じゃないのかと問う黒子に、さつきが最近は一緒にいることがほとんどなく、他の仲間たちとも部活の連絡事項を伝える時にしか話さなくなっており、チームは負けなしだけど寂しいと答えていました。目黒川沿いの桜並木や、ケアなかめぐろのビルなどが描かれていました。				メグロク	ク	13	23	2	
0284	0005		東京都	世田谷区	小田急 成城学園前駅	157-0066	東京都世田谷区成城6-5-34		35.640048	139.598744							黒子のバスケ（第3期）	クロコノバスケダイサンキ	第55話				セタガヤク	ク	13	14	2	
0284	0006	完了	東京都	豊島区	ABCマート池袋店	170-0013	東京都豊島区東池袋1-11-1	日本生命東池袋ビル	35.729752	139.714570	"https://www.google.co.jp/maps/@35.729663,139.714702,3a,33.5y,283.2h,87.39t/data=!3m6!1e1!3m4!1sKINIWGX0wlXpArEWIZKYAA!2e0!7i13312!8i6656?hl=ja"					03-5957-0634	黒子のバスケ（第3期）	クロコノバスケダイサンキ	第54話で、ウインターカップ準決勝の試合当日、揃ってバスケットシューズを壊してしまった黒子テツヤと火神大我が、新しいシューズを探していた1件目の店で、細部まで忠実に描かれていました。	http://map.abc-mart.net/site/detail/id/48			トシマク	ク	13	18	2	
0284	0007	完了	東京都	豊島区	ABCマート池袋ANNEX店	170-0013	東京都豊島区東池袋1-15-1	ニュー真下ビル1F	35.730805	139.715217	"https://www.google.co.jp/maps/@35.730683,139.7153,3a,30.2y,338.51h,88.49t/data=!3m6!1e1!3m4!1svcamCZ5bByHLtvK5KnTOqg!2e0!7i13312!8i6656?hl=ja"					03-5960-2581	黒子のバスケ（第3期）	クロコノバスケダイサンキ	第54話で、ウインターカップ準決勝の試合当日、揃ってバスケットシューズを壊してしまった黒子テツヤと火神大我が、新しいシューズを探していた2件目の店で、細部まで忠実に描かれていました。作中では店名が「ABE-MART」になっています。	http://map.abc-mart.net/site/detail/id/49			トシマク	ク	13	18	2	
0284	0008	完了	東京都	豊島区	瑞光ビル 前	170-0013	東京都豊島区東池袋1-22-7		35.729791	139.715346	"https://www.google.co.jp/maps/@35.729857,139.715295,3a,55.3y,140.14h,92.1t/data=!3m6!1e1!3m4!1saHhGAlFMcKNwN1QvFarJmw!2e0!7i13312!8i6656"						黒子のバスケ（第3期）	クロコノバスケダイサンキ	第54話で、ウインターカップ準決勝の試合当日、揃ってバスケットシューズを壊してしまった黒子テツヤと火神大我が、新しいシューズを探して靴屋を回るも、足の大きな火神に合うサイズのものがなかなか見つからず、最後に探していた店で、このビルの上の階にある設定になっていました。このビルの西側の通りや、ビルの向かいにある金券ショップ（大黒屋）などが描かれていました。				トシマク	ク	13	18	2	
0284	0009	完了	東京都	豊島区	ドクターマーチン 池袋サンシャイン通り店	170-0013	東京都豊島区東池袋1-28-6		35.729732	139.716238	"https://www.google.co.jp/maps/@35.729738,139.716126,3a,75y,111.96h,88.1t/data=!3m6!1e1!3m4!1stRlu0mUStMEOMuiyxJ5_Xg!2e0!7i13312!8i6656?hl=ja"					03-5954-3615	黒子のバスケ（第3期）	クロコノバスケダイサンキ	第54話で、ウインターカップ準決勝の試合当日、揃ってバスケットシューズを壊してしまった黒子テツヤと火神大我が、新しいシューズを探していた3件目の店で、細部まで忠実に描かれていました。作中では店名が「Dr.Jordan」になっています。				トシマク	ク	13	18	2	
0284	0010	完了	東京都	豊島区	池袋駅西口	171-0022	東京都豊島区西池袋1-1-25		35.730904	139.710173	"https://www.google.co.jp/maps/@35.730675,139.709871,3a,26.7y,21.92h,97.73t/data=!3m6!1e1!3m4!1sXQX25loplZpEBPnqlUUa0Q!2e0!7i13312!8i6656!6m1!1e1"	13.0					黒子のバスケ（第3期）	クロコノバスケダイサンキ	第54話で、ウインターカップ準決勝の試合当日、揃ってバスケットシューズを壊してしまった黒子テツヤと火神大我が、新しいシューズを買うために待ち合わせをしていた場所で、駅西口周辺が描かれています。フクロウの花壇の位置関係は作中ではアレンジされていますが、駅ビルやウエスト池袋、マツモトキヨシ、恩田ビルディングなどは忠実に描かれていました。ちなみに、この後のシーンで黒子と大我が行く靴屋は西池袋ではなく、なぜか東池袋でした。				トシマク	ク	13	18	2	
