作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所２	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在	重要度
0873	0071	完了	北海道	函館市	BAYはこだて	040-0065	北海道函館市豊川町11-5		41.767205	140.717199	"https://www.google.co.jp/maps/@41.7672056,140.7172075,3a,26y,144.77h,84.5t/data=!3m6!1e1!3m4!1sDyEcTiEEGOGO1NzF7y4sbg!2e0!7i16384!8i8192"				4		＜物語＞シリーズセカンドシーズン	モノガタリシリーズセカンドシーズン	第22話（第恋話 恋物語 ひたぎエンド 其ノ貳）の、貝木泥舟が電話で進捗報告をする際に、戦場ヶ原ひたぎから見た千石撫子の印象を聞こうとするも、直接会ったことはないとの返事を受けていたシーンで、七財橋から望む運河や倉庫が描かれていました。				ハコダテシ	モ	1	4	1		
0873	0072	完了	北海道	函館市	金森赤レンガ倉庫	040-0053	北海道函館市末広町14-12		41.766727	140.716461	"https://www.google.co.jp/maps/@41.7667792,140.7163825,3a,65y,140.16h,97.88t/data=!3m6!1e1!3m4!1syjcWkPUMG7dr6eTXOpVPDg!2e0!7i13312!8i6656"				2.5		＜物語＞シリーズセカンドシーズン	モノガタリシリーズセカンドシーズン	第22話（第恋話 恋物語 ひたぎエンド 其ノ貳）で、貝木泥舟が電話で進捗報告をする際に、戦場ヶ原ひたぎから見た千石撫子の印象を聞こうとするも、直接会ったことはないとの返事を受けていたシーンで描かれていた倉庫。				ハコダテシ	モ	1	4	1		
0873	0001	完了	北海道	積丹郡	神威岬灯台	046-0321	北海道積丹郡積丹町神岬町		43.333285	140.347072	-	12.0					＜物語＞シリーズセカンドシーズン	モノガタリシリーズセカンドシーズン	第變話 花物語 するがデビルのオープニングで描かれていた灯台。				シャコタングン	モ	1	67	1		
0873	0002	完了	北海道	小樽市	小樽運河	047-0007	北海道小樽市港町5		43.198026	141.003096	"https://www.google.co.jp/maps/@43.1985983,141.0022439,3a,42.6y,7.66h,81.65t/data=!3m6!1e1!3m4!1sr2GGSrRyIhZPnsI_Iqv7ZQ!2e0!7i16384!8i8192"	17.0			3		＜物語＞シリーズセカンドシーズン	モノガタリシリーズセカンドシーズン	第22話（第恋話 恋物語 ひたぎエンド 其ノ貳）で、貝木泥舟が電話で進捗報告をする際に、戦場ヶ原ひたぎから見た千石撫子の印象を聞こうとするも、直接会ったことはないとの返事を受けていたシーンで描かれていた運河。<br />第變話 花物語 するがデビルのオープニングでは、中央橋街園を走って飛び抜ける神原駿河が描かれていました。				オタルシ	モ	1	3	1		
0873	0003	完了	北海道	小樽市	小樽オルゴール堂	047-0015	北海道小樽市住吉町4-1		43.190579	141.007789	"https://www.google.co.jp/maps/@43.1909681,141.0072844,3a,21y,132.93h,96.85t/data=!3m6!1e1!3m4!1sehXFqg19D5991H9g_dzSQA!2e0!7i13312!8i6656"	17.0			4.5	0134-22-1108	＜物語＞シリーズセカンドシーズン	モノガタリシリーズセカンドシーズン	第變話 花物語 するがデビルのオープニングで描かれていた建物。	http://www.otaru-orgel.co.jp/			オタルシ	モ	1	3	1		
0873	0004	完了	北海道	上川郡	青い池	071-0235	北海道上川郡美瑛町白金		43.493850	142.613401	"https://www.google.co.jp/maps/@43.4939768,142.6136598,2a,35.3y,129.61h,84.12t/data=!3m6!1e1!3m4!1s8e790jfZPLi3MsG8IZxzhQ!2e0!7i13312!8i6656"	15.0					＜物語＞シリーズセカンドシーズン	モノガタリシリーズセカンドシーズン	第20話（第忍話 鬼物語 しのぶタイム 其ノ肆）で、阿良々木暦たちが臥煙伊豆湖から状況説明を受けていた湖の風景モデル。<br />作中に描かれていたような湖上の建物や橋などは実在しません。				カミカワグン	モ	1	54	1		
0873	0005	完了	北海道	上川郡	四季彩の丘	071-0473	北海道上川郡美瑛町新星		43.529037	142.464589	"https://www.google.co.jp/maps/@43.527966,142.4651212,3a,20.9y,128.78h,85.64t/data=!3m6!1e1!3m4!1siYdeqYuBcGDVg21e9mRd8g!2e0!7i13312!8i6656"	13.0			4.5		＜物語＞シリーズセカンドシーズン	モノガタリシリーズセカンドシーズン	第17話（第忍話 鬼物語 しのぶタイム 其ノ壹）で、阿良々木暦が、自分と八九寺真宵の前に出現した視認できない何かを説明するモノローグシーンの挿入カットで、花のない彩度の低い画面で花畑の風景が描かれていました。				カミカワグン	モ	1	54	1		
0873	0006	完了	北海道	標津郡	ミルクロード	086-1272	北海道標津郡中標津町字開陽		43.614232	144.888352	"https://www.google.co.jp/maps/@43.6140793,144.8881034,3a,15y,227.17h,87.56t/data=!3m6!1e1!3m4!1sJvUrGVPE2XDbs2unNAxdfg!2e0!7i13312!8i6656"				5		＜物語＞シリーズセカンドシーズン	モノガタリシリーズセカンドシーズン	第17話（第忍話 鬼物語 しのぶタイム 其ノ壹）で、自転車に八九寺真宵を乗せた阿良々木暦が、見えない何かに追われて爆走していた坂道のモデル。				シベツグン	モ	1	64	1		
0873	0073	完了	北海道	帯広市	グリュック王国	089-1246	北海道帯広市幸福町東6線		42.744459	143.203213	-						＜物語＞シリーズセカンドシーズン	モノガタリシリーズセカンドシーズン	第變話 花物語 するがデビル 其ノ壹の学校帰りの神原駿河が阿良々木火憐に「悪魔様」に会う方法を聞いていたシーンの挿入カットで、この施設に設置されている「警告 立入禁止!!」や「頭上落下物危険注意」などの看板が描かれていました。<br />第變話 花物語 するがデビル 其ノ貳で、神原が忍野扇から「悪魔様」がいなくなったことを聞いていたシーンでも、同じ挿入カットが使われていました。<br />※2003年から休園、2007年に閉園済。				オビヒロシ	モ	1	7	1		
0873	0007	完了	北海道	斜里郡	神の子池	099-4400	北海道斜里郡清里町		43.645236	144.550155	"https://www.google.co.jp/maps/@43.6448866,144.5499877,3a,24.7y,1.57h,74.56t/data=!3m6!1e1!3m4!1scBHyg531az9WzwdCK4Trcg!2e0!7i13312!8i6656"	12.0					＜物語＞シリーズセカンドシーズン	モノガタリシリーズセカンドシーズン	第變話 花物語 するがデビル 其ノ伍で、沼地蠟花の件が解決した後の神原駿河が、夢の中で母と語り会うシーンの挿入カットで描かれていた池。				シャリグン	モ	1	69	1		
