作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所２	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在
1003	0001	完了	東京都	千代田区	毎日新聞社本社	100-8051	東京都千代田区一ツ橋1-1-1		35.691256	139.756674	"https://www.google.co.jp/maps/@35.6914778,139.7564479,3a,75y,152.45h,116.83t/data=!3m6!1e1!3m4!1sc1Oz5ewBPIDEt-6LQiQlsQ!2e0!7i13312!8i6656"						りゅうおうのおしごと！	リュウオウノオシゴト	第8話で、雛鶴あいたちが参加した「マイナビ女子オープン」チャレンジマッチが行われていた会場。				チヨダク	リ	13	17	2	
1003	0002	完了	東京都	渋谷区	Dress Shop Kifujin	150-0001	東京都渋谷区神宮前1-15-14		35.671007	139.704084	"https://www.google.co.jp/maps/@35.6711168,139.7040388,3a,89.6y,155.71h,104.71t/data=!3m6!1e1!3m4!1smSjf4UX-eWWgh5Acd9BltQ!2e0!7i13312!8i6656"						りゅうおうのおしごと！	リュウオウノオシゴト	第8話で、九頭竜八一が神鍋歩夢との研究会をするための場所として部屋を提供してもらっていた店で、仲介をしてくれた空銀子と共に訪れていました。<br />作中では、銀子の師匠・釈迦堂里奈が経営する「シュネーヴィットヒェン」という店名のセレクトショップ（洋服屋）という設定になっています。	https://www.dresskifujin.com			シブヤク	リ	13	10	2	
1003	0003	完了	東京都	渋谷区	JR 原宿駅	150-0001	東京都渋谷区神宮前1-18-20		35.671605	139.702890	"https://www.google.co.jp/maps/@35.6715791,139.7030333,3a,21.1y,308.15h,104.24t/data=!3m6!1e1!3m4!1sCRsJKbcB66Cf-O8zdRiK2w!2e0!7i13312!8i6656"						りゅうおうのおしごと！	リュウオウノオシゴト	第8話で、雛鶴あいたちの「マイナビ女子オープン」チャレンジマッチ参加に伴い上京していた九頭竜八一が、神鍋歩夢との研究会のため、場所を提供してくれた空銀子師匠・釈迦堂里奈の店へ向かうシーンで描かれていた駅。				シブヤク	リ	13	10	2	
1003	0004	完了	東京都	渋谷区	鳩森八幡神社	151-0051	東京都渋谷区千駄ヶ谷1-1-24		35.677683	139.709437	"https://www.google.co.jp/maps/@35.6784092,139.7095666,3a,26y,193.3h,90.98t/data=!3m7!1e1!3m5!1syczU1dXCQvx_n-ANZFd-5A!2e0!6s%2F%2Fgeo2.ggpht.com%2Fcbk%3Fpanoid%3DyczU1dXCQvx_n-ANZFd-5A%26output%3Dthumbnail%26cb_client%3Dmaps_sv.tactile.gps%26thumb%3D2%26w%3D203%26h%3D100%26yaw%3D5.888227%26pitch%3D0%26thumbfov%3D100!7i13312!8i6656"						りゅうおうのおしごと！	リュウオウノオシゴト	第8話で「マイナビ女子オープン」チャレンジマッチ参加のために上京した九頭竜八一と雛鶴あいたち一行が、夏休みを利用して上京したJS研のメンバーと合流して訪れた神社。入り口の鳥居、狛犬、鳩みくじ、将棋堂、本殿などが描かれていました。				シブヤク	リ	13	10	2	
1003	0005	完了	東京都	渋谷区	炭焼ステーキハウス CHACOあめみや	151-0051	東京都渋谷区千駄ヶ谷1-7-12		35.678575	139.710122	"https://www.google.co.jp/maps/@35.6786453,139.7100359,3a,35y,111.21h,93.25t/data=!3m6!1e1!3m4!1scMKuYBTyKN0qAF_gCZP5Fg!2e0!7i13312!8i6656"						りゅうおうのおしごと！	リュウオウノオシゴト	第8話で、九頭竜八一がニコニコ生放送で対局中継の解説をしている間、雛鶴あいたちが食事をしていた店。				シブヤク	リ	13	10	2	
1003	0006	完了	東京都	渋谷区	東京将棋会館	151-0051	東京都渋谷区千駄ヶ谷2-39-9		35.677253	139.709435	"https://www.google.co.jp/maps/@35.6775323,139.7094512,3a,66y,175.76h,98.23t/data=!3m6!1e1!3m4!1sV1pbUfadI6Bwglviksue-g!2e0!7i13312!8i6656"						りゅうおうのおしごと！	リュウオウノオシゴト	第8話で「マイナビ女子オープン」チャレンジマッチ参加のために上京した九頭竜八一と雛鶴あいたち一行が、夏休みを利用して上京したJS研のメンバーと合流して訪れた場所。<br />第9話の回想シーンで、八一がネット将棋で知り合った祭神雷と初めて会うシーンで、この建物の前を待ち合わせ場所にしていました。				シブヤク	リ	13	10	2	
1003	0007	完了	大阪府	大阪市	JR 大阪駅 御堂筋口 前	530-0001	大阪府大阪市北区梅田3-1-1		34.702883	135.497647	"https://www.google.co.jp/maps/@34.7028796,135.4977078,3a,52y,254.79h,86.17t/data=!3m6!1e1!3m4!1sSVCrdYGo6EFEOFvba6l9tw!2e0!7i13312!8i6656"						りゅうおうのおしごと！	リュウオウノオシゴト	オープニングカットで、雛鶴あい、水越澪、貞任綾乃、シャルロット・イゾアールの4人が並んで歩いていた場所。				オオサカシ	リ	27	1	5	
1003	0008	完了	大阪府	大阪市	阪急梅田駅／阪急三番街出入口	530-0012	大阪府大阪市北区芝田1-1		34.705523	135.498869	"https://www.google.co.jp/maps/@34.7055939,135.498924,3a,28y,185.23h,102.82t/data=!3m6!1e1!3m4!1s585VZNR1FCcBSTmSMtvQgw!2e0!7i13312!8i6656"						りゅうおうのおしごと！	リュウオウノオシゴト	第4話で九頭竜八一が隠し事をしていることに気づいて怒り心頭の雛鶴あいに気分転換をさせるため、水越澪たちがあいを連れて梅田の将棋道場に向かうシーンの冒頭カットで描かれていた場所その2。				オオサカシ	リ	27	1	5	
1003	0009	完了	大阪府	大阪市	イースクエア茶屋町 前	530-0013	大阪府大阪市北区茶屋町2-16		34.705645	135.498955	"https://www.google.co.jp/maps/@34.7055939,135.498924,3a,56y,21.77h,109.12t/data=!3m6!1e1!3m4!1s585VZNR1FCcBSTmSMtvQgw!2e0!7i13312!8i6656"						りゅうおうのおしごと！	リュウオウノオシゴト	第4話で九頭竜八一が隠し事をしていることに気づいて怒り心頭の雛鶴あいに気分転換をさせるため、水越澪たちがあいを連れて梅田の将棋道場に向かうシーンの冒頭カットで描かれていた場所その4。				オオサカシ	リ	27	1	5	
1003	0010	完了	大阪府	大阪市	HEP FIVE観覧車	530-0017	大阪府大阪市北区角田町5-15		34.703982	135.500075	"https://www.google.co.jp/maps/@34.7044294,135.4992948,3a,40.3y,129.91h,125.45t/data=!3m6!1e1!3m4!1s7C-zV8mrV_AP0_0M-B095Q!2e0!7i13312!8i6656"						りゅうおうのおしごと！	リュウオウノオシゴト	オープニングカットで描かれていた観覧車。<br />第4話で九頭竜八一が隠し事をしていることに気づいて怒り心頭の雛鶴あいに気分転換をさせるため、水越澪たちがあいを連れて梅田の将棋道場に向かうシーンの冒頭カットで描かれていた場所その3。オープニングと同じ位置から見上げる構図で描かれていました。				オオサカシ	リ	27	1	5	
