作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所２	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在	重要度
0381	0056	完了	東京都	文京区	木村屋	113-0022	東京都文京区千駄木3-40-19		35.725827	139.764248	"https://www.google.com/maps/@35.7257944,139.7643119,3a,31.3y,316.19h,82.47t/data=!3m6!1e1!3m4!1sg-boKMzNLOSXiDPWDzjmqw!2e0!7i13312!8i6656"						四月は君の嘘	シガツハキミノウソ	第20話で、有馬公生と澤部椿が軒先で雨宿りをしていた場所で、椿が不器用な告白をしていました。				ブンキョウク	シ	13	21	2		4
0381	0058	完了	東京都	新宿区	西武新宿ペペ	160-0021	東京都新宿区歌舞伎町1-30-1		35.694332	139.700142	-						四月は君の嘘	シガツハキミノウソ	第16話で、病院から1日外出が許された宮園かをりが、渡亮太の代役という建前で有馬公生を連れてショッピングに訪れていたデパート。<br />迷子の女の子を母親に送り届けた後、公生から渡されたペットボトルを、握力の落ちているかをりが落としてしまっていた7階のエスカレーター脇付近などが描かれていました。<br />雑貨店（4階のハンズ ビー 西武新宿ぺぺ店でしょうか？）で買ったレターセットが、第21話で、公生への「カヌレ食べたい。」との手紙が書かれていた黒猫の可愛いレターセットの伏線となっていました。				シンジュクク	シ	13	11	2		4
0381	0059	完了	東京都	新宿区	ジ・エンポリアム 西武新宿ペペ店	160-0021	東京都新宿区歌舞伎町1-30-1	西武新宿ペペ 3F	35.694301	139.700289	"https://www.google.com/maps/@35.6943431,139.7002374,2a,37.5y,91.27h,81.43t/data=!3m6!1e1!3m4!1skdN5zVzlKnQs-6mhwEPRZw!2e0!7i13312!8i6656"						四月は君の嘘	シガツハキミノウソ	第16話で、病院から1日外出が許された宮園かをりが、渡亮太の代役という建前で有馬公生を連れてショッピングに訪れていたデパートシーンの冒頭カットで描かれていた店。<br />作中では店名が「THE POLARIS」になっていました。<br />※閉店済。				シンジュクク	シ	13	11	2	閉店	0
0381	0060	完了	東京都	新宿区	ハンズ ビー 西武新宿ぺぺ店	160-0021	東京都新宿区歌舞伎町1-30-1	西武新宿ペペ 4F	35.694577	139.700199	"https://www.google.com/maps/@35.6944439,139.7002281,2a,20y,349.68h,83.77t/data=!3m6!1e1!3m4!1sPccDhH6GDrrPJTbDh5uwjw!2e0!7i13312!8i6656"						四月は君の嘘	シガツハキミノウソ	第16話で、病院から1日外出が許された宮園かをりが、渡亮太の代役という建前で有馬公生を連れてショッピングに訪れていたデパートで、迷子の女の子に遭遇していた店。<br />第21話で、公生への「カヌレ食べたい。」との手紙が書かれていた黒猫の可愛いレターセットを買っていたのも、この店かと思われます。				シンジュクク	シ	13	11	2		4
0381	0005	完了	東京都	新宿区	落合公園	161-0035	東京都新宿区中井1-14		35.715009	139.680675	"https://www.google.co.jp/maps/@35.7147476,139.6806141,3a,15y,10.82h,91.95t/data=!3m7!1e1!3m5!1s1EkJR0lgTg9FZwzf0bxN6g!2e0!5s20190401T000000!7i16384!8i8192"				5		四月は君の嘘	シガツハキミノウソ	第7話で、宮園かをりと一緒の学校帰りに黒猫を見て気分の悪くなった有馬公生が休憩していた公園。				シンジュクク	シ	13	11	2		3
0381	0006	完了	東京都	杉並区	高円寺北公園	166-0002	東京都杉並区高円寺北3-20-15		35.707285	139.648812	"https://www.google.co.jp/maps/@35.7072718,139.6489532,3a,15y,166.94h,83.32t/data=!3m6!1e1!3m4!1sVsM0ivC4dZmgQi8PXYkBRw!2e0!7i16384!8i8192"				5		四月は君の嘘	シガツハキミノウソ	第5話で、かつて憧れていた斉藤先輩から告白された澤部椿が、うれしいはずなのに心がキラキラしない自分を不思議がりながら、ブランコに腰掛けて星空を見上げていた公園。<br />第17話では、宮園かをりの病状が思わしくないことを知ってレッスンに身が入らない有馬公生を心配した相座凪が、公生の気を紛らわそうと、学校でのとりとめもない話をしていました。<br />2人が乗っていたブランコや、瀬戸紘子・小春母娘が身を隠していた「夢をつかめ」と刻まれた亀のオブジェのブロックも実在します。				スギナミク	シ	13	12	2		4
0381	0052	完了	東京都	杉並区	環七通り（外回り）高円寺南二丁目歩道橋	166-0003	東京都杉並区高円寺南1-34		35.701650	139.654775	"https://www.google.co.jp/maps/@35.7012432,139.6546948,3a,15y,16.21h,90.48t/data=!3m6!1e1!3m4!1s2CFQRbZj2QMXEYvzTJ-Zvw!2e0!7i13312!8i6656"				5		四月は君の嘘	シガツハキミノウソ	第20話で、宮園かをりのお見舞いに行くも、病院前で渡亮太を見かけてお見舞いを取り止めて引き返してきた有馬公生と澤部椿が渡っていた歩道橋。				スギナミク	シ	13	12	2		1
0381	0008	完了	東京都	杉並区	早稲田通り（中瀬中学校 裏）	167-0022	東京都杉並区下井草4-3		35.718955	139.619120	"https://www.google.co.jp/maps/@35.7196039,139.6190392,3a,84y,163.25h,96.47t/data=!3m6!1e1!3m4!1stAKmBa0Ik5t72wleECw1Qw!2e0!7i13312!8i6656"				1.5		四月は君の嘘	シガツハキミノウソ	第3話Bパート冒頭の通学シーンで、バイオリンの伴奏をさせようとする宮園かをりに追いかけられる有馬公生が、かをりに靴をぶつけられていた場所。				スギナミク	シ	13	12	2		1
0381	0035	完了	東京都	杉並区	中瀬中学校裏の丁字路	167-0022	東京都杉並区下井草4-3		35.719678	139.619076	"https://www.google.co.jp/maps/@35.7195601,139.6190365,3a,30y,15.26h,84.81t/data=!3m6!1e1!3m4!1sfJ6MYWuNvF4WU6-9ijQLUg!2e0!7i13312!8i6656"						四月は君の嘘	シガツハキミノウソ	第3話Bパート冒頭の通学シーンで、澤部椿が歩いていた場所。				スギナミク	シ	13	12	2		1
0381	0007	完了	東京都	杉並区	中瀬中学校裏のカーブミラー	167-0022	東京都杉並区下井草4-3-29		35.719517	139.619067	"https://www.google.co.jp/maps/@35.7194724,139.6190303,3a,15.5y,23.41h,99.03t/data=!3m6!1e1!3m4!1sj3ZjmBlwow6L24rukEcfHg!2e0!7i13312!8i6656"				5		四月は君の嘘	シガツハキミノウソ	第1話で、有馬公生、澤部椿、渡亮太の3人の学校帰りシーンのカットで描かれていたカーブミラー。				スギナミク	シ	13	12	2		0
0381	0062	完了	東京都	杉並区	住宅地の交差点（下井草4丁目）	167-0022	東京都杉並区下井草4-9		35.719813	139.621110	"https://www.google.co.jp/maps/@35.7198863,139.6212814,3a,15y,246.74h,90.67t/data=!3m6!1e1!3m4!1saehBzyTjgJlctWatUtdS4w!2e0!7i16384!8i8192"				5		四月は君の嘘	シガツハキミノウソ	第21話の病院の屋上シーンで、有馬公生に必死に足掻くために手術を受けることを伝えた宮園かをりが、生きることへ執着するのは公生のせいだと、「君が私に、君といる時間への未練をくれた」と心の中で語っていたイメージカットで描かれていた交差点。				スギナミク	シ	13	12	2		0
0381	0009	完了	東京都	杉並区	桃五小のこみち	167-0022	東京都杉並区下井草4-23		35.721507	139.620769	"https://www.google.co.jp/maps/@35.7214236,139.6208289,3a,36y,338.03h,90.98t/data=!3m6!1e1!3m4!1s_bBDMT7PKyHPOO9Gy3NzIg!2e0!7i13312!8i6656"						四月は君の嘘	シガツハキミノウソ	第1話で、学校帰りの有馬公生、澤部椿、渡亮太の3人が歩いていた場所。<br />画面手前に描かれていた交通標識も実在します。				スギナミク	シ	13	12	2		1
0381	0047	完了	東京都	杉並区	中瀬中学バス停	167-0033	東京都杉並区清水3-25		35.718660	139.619973	"https://www.google.co.jp/maps/@35.7184811,139.6202655,3a,15y,314.28h,87.33t/data=!3m6!1e1!3m4!1s-GSzfzgELXGQOjDQBZmRBw!2e0!7i13312!8i6656"				5		四月は君の嘘	シガツハキミノウソ	第3話で、雨の日に学校帰りの宮園かをりと澤部椿が一緒にバスに乗車していたバス停。				スギナミク	シ	13	12	2		1
0381	0012	完了	東京都	練馬区	平成つつじ公園	176-0001	東京都練馬区練馬1-17-6		35.739356	139.653777	"https://www.google.co.jp/maps/@35.739949,139.6527584,3a,30y,132.5h,96.59t/data=!3m6!1e1!3m4!1s5QmCVq46JgPfmlhgJbBvwg!2e0!7i16384!8i8192"						四月は君の嘘	シガツハキミノウソ	第1話で、有馬公生が澤部椿から付き添いを頼まれたダブルデートの待ち合わせをして、宮園かをりと衝撃的な出会いを果たした公園。<br />作中でかをりがピアニカを弾いていた遊戯施設は実際にはありません。				ネリマク	シ	13	20	2		4
0381	0010	完了	東京都	練馬区	練馬文化センター	176-0001	東京都練馬区練馬1-17-37		35.739279	139.653816	"https://www.google.com/maps/@35.7385588,139.6540393,2a,36.2y,344.11h,85.18t/data=!3m6!1e1!3m4!1sKKCBIeoPs9uJFe0UItmQqw!2e0!7i13312!8i6656"					03-3993-3311	四月は君の嘘	シガツハキミノウソ	第1話で、有馬公生が澤部椿から付き添いを頼まれたダブルデートの待ち合わせをして、宮園かをりと衝撃的な出会いを果たした「藤和ホール」のモデル。<br />作中でかをりがピアニカを弾いていた遊戯施設は実際にはありません。<br />第2話では、かをりが出演した「第二回 藤和音楽コンクール」予選が行われていました。<br />第12～13話では、主催者推薦でガラ・コンサートに招待された公生とかをりが出演していました。	http://www.neribun.or.jp/nerima.html			ネリマク	シ	13	20	2		5
0381	0011	完了	東京都	練馬区	江古田浅間神社	176-0004	東京都練馬区小竹町1-59-2		35.738303	139.672381	"https://www.google.co.jp/maps/@35.7378672,139.6722896,3a,42.1y,64.1h,86.94t/data=!3m6!1e1!3m4!1sW-Q_xz9_FzIb0W2HJZlzeg!2e0!7i16384!8i8192"	17.0					四月は君の嘘	シガツハキミノウソ	第12話で、有馬公生が瀬戸紘子・小春母娘に夜祭に連れて行かれた神社。				ネリマク	シ	13	20	2		3
0381	0013	完了	東京都	練馬区	石神井川沿いの遊歩道	177-0035	東京都練馬区南田中3-31		35.739359	139.617278	"https://www.google.co.jp/maps/@35.7392771,139.6172778,3a,22.2y,342.36h,85.37t/data=!3m6!1e1!3m4!1sYRAynpQF2viFN4_Dkz3jZQ!2e0!7i16384!8i8192"				4.5		四月は君の嘘	シガツハキミノウソ	第2話で、学校帰りの有馬公生が宮園かをりと遭遇し、「友人A」と指差されていた場所。<br />第16話では、病院前や病室前まで行くも結局入院中のかをりのお見舞いにいけず終いだった公生を、かをりが待ち伏せしていたのも、同じ場所でした。<br />街路樹の枝ぶりまで忠実に再現されていました。<br />第22話ラストでかをりが公生に「忘れないでね」とお願いしていたのもこの遊歩道でした。				ネリマク	シ	13	20	2		5
0381	0037	完了	東京都	練馬区	路地	177-0041	東京都練馬区石神井町6-17		35.742567	139.600668	-						四月は君の嘘	シガツハキミノウソ	第1話冒頭で、宮園かをりが黒猫の後を追いかけていた路地。<br />※路地の片側の建物が解体され、作中の路地の景色は失われてしまいました。				ネリマク	シ	13	20	2		2
0381	0036	完了	東京都	練馬区	路地（石神井公園北）	177-0041	東京都練馬区石神井町6-22		35.739277	139.599871	"https://www.google.co.jp/maps/@35.739228,139.5998964,3a,28.6y,340.63h,86.1t/data=!3m6!1e1!3m4!1sJ3tx0gR0qmr0ZUpPK_ecLA!2e0!7i13312!8i6656"				4		四月は君の嘘	シガツハキミノウソ	第1話冒頭で、宮園かをりが黒猫を見かけて追いかけ始めた路地。<br />最終話（第22話）のラストでは、有馬公生がかをりと同じく黒猫を見かける様子が描かれていました。<br />同話の回想シーンでは、幼い頃のかをりが公生の演奏を聞いて衝撃を受け、両親にピアノをやめてヴァイオリンを始めると言うために家に向かって走っていたのも、この道でした。				ネリマク	シ	13	20	2		4
