作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所2	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在	重要度
0621	0001	完了	東京都	千代田区	JR 東京駅	100-0005	東京都千代田区丸の内1-9-1		35.681039	139.767101		14					夏色キセキ	ナツイロキセキ	第11話でオーディションに参加するために上京した逢沢夏海たち4人が下車した駅。東海道線のホームが描かれていました。				チヨダク	ナ	13	17	2		
0621	0002	完了	東京都	中央区	住庄ほてる	103-0024	東京都中央区日本橋小舟町9-14		35.685581	139.779227		18				03-3661-4603	夏色キセキ	ナツイロキセキ	第11話、第12話でオーディションのために上京した逢沢夏海たち4人が宿泊したホテル。外観や浴場が忠実に描かれていました。作中ではホテルの名前が「旅館 日本橋屋」になっていました。				チュウオウク	ナ	13	16	2		
0621	0003	完了	東京都	港区	東京タワー	105-0011	東京都港区芝公園4-2-8		35.658599	139.745417		17					夏色キセキ	ナツイロキセキ	第8話の旅行で、浜松町駅を出たところでライトアップされたタワーを見つけはしゃいでいました。また八丈島行きのフェリーで見た夜景にもレインボーブリッジ越しにライトアップされた姿が描かれていました。	http://www.tokyotower.co.jp/	http://www.tokyotower.co.jp/		ミナトク	ナ	13	22	2		
0621	0004	完了	東京都	港区	JR 浜松町駅 北口	105-0022	東京都港区海岸1-3-1		35.656398	139.757391		18					夏色キセキ	ナツイロキセキ	第8話の旅行で電車を降り、逢沢夏海がフェリー乗り場の方向を確認していた場所。<br />八丈島旅行③				ミナトク	ナ	13	22	2		
0621	0005	完了	東京都	港区	レインボーブリッジ	108-0022	東京都港区海岸3		35.635469	139.766644		13					夏色キセキ	ナツイロキセキ	第8話の旅行で八丈島行きのフェリーでの移動シーンでライトアップされた夜景の橋が描かれていました。				ミナトク	ナ	13	22	2		
0621	67	完了	東京都	港区	竹芝客船ターミナル	105-0022	東京都港区海岸1-12-2		35.653619	139.763112							夏色キセキ	ナツイロキセキ	第8話の旅行で、一行が八丈島行きのフェリー（かめりあ丸）に乗船していた乗り場。広場のマストのオブジェや券売所、B-1ゲートなどが描かれていました。<br />八丈島旅行④				ミナトク	ナ	13	22	2		
0621	0006	完了	東京都	港区	JR 品川駅	108-0074	東京都港区高輪3-26-27		35.628222	139.738694		13					夏色キセキ	ナツイロキセキ	第8話の旅行で一行が電車を乗り換えた駅。駅構内で「人がいっぱーい」と田舎者丸出しで驚いているシーンが描かれていました。<br />八丈島旅行②				ミナトク	ナ	13	22	2		
0621	0007	完了	東京都	台東区	評判堂	111-0032	東京都台東区浅草1-18-1		35.711334	139.796463	"https://www.google.co.jp/maps/@35.7113603,139.7963625,3a,75y,164.56h,91.44t/data=!3m5!1e1!3m3!1scz3gWseODmoyLdjAU0NyyQ!2e0!3e5?hl=ja"	19				  0120-37-8557	夏色キセキ	ナツイロキセキ	第11話でオーディションの後で観光に来た仲見世商店街のシーンで描かれていた店。作中では店名が「武佐堂」になっていました。	http://www.hyoubandou.com	http://www.hyoubandou.com		タイトウク	ナ	13	15	2		
0621	0008	完了	東京都	台東区	浅草寺 雷門	111-0032	東京都台東区浅草2-3-1		35.711138	139.796377	"https://www.google.co.jp/maps/@35.711066,139.796328,3a,75y,6.58h,100.58t/data=!3m5!1e1!3m3!1sXWlsnPwcVD5a_317fVD7Ng!2e0!3e5?hl=ja"	18					夏色キセキ	ナツイロキセキ	第11話で逢沢夏海たち4人がオーディション後にやって来た観光地。環凛子が、大提灯の底の龍の彫刻に感動していました。				タイトウク	ナ	13	15	2		
0621	0009	完了	東京都	墨田区	牛島神社	131-0033	東京都墨田区向島1-4-5		35.712957	139.804726	"https://www.google.co.jp/maps/@35.712677,139.804595,3a,49.4y,26.6h,100.29t/data=!3m5!1e1!3m3!1smhm4FzQz2iwAAAQYWUZI9Q!2e0!3e11?hl=ja"	16					夏色キセキ	ナツイロキセキ	第11話で東京観光後に逢沢夏海たち4人が休憩していた神社。夏海たちが腰かけていたような石は実際にはありません。作中では神社の名前が、環凛子の実家の神社と同じ「姫石神社」になっていました。				スミダク	ナ	13	13	2		
0621	0010	完了	東京都	墨田区	東京スカイツリー	131−0045	東京都墨田区押上1-1-13		35.710023	139.810702	"https://www.google.co.jp/maps/@35.709384,139.810961,3a,75y,341.67h,121.18t/data=!3m4!1e1!3m2!1sParv0TiGro2qOmBykwgjNQ!2e0?hl=ja"	16					夏色キセキ	ナツイロキセキ	第11話で逢沢夏海たち4人がオーディション後に見に来て、あまりの高さに花木優香が尻もちをついていました。				スミダク	ナ	13	13	2		
0621	0011	完了	東京都	八丈支庁	護神交差点	100-1511	東京都八丈島八丈町三根		33.120606	139.802471	"https://www.google.co.jp/maps/@33.1204567,139.802463,3a,30.2y,18.6h,86.24t/data=!3m4!1e1!3m2!1sgRNniVBA1g64GEI52Pkxfg!2e0?hl=ja"						夏色キセキ	ナツイロキセキ	第9話で沖山小晴が、逢沢夏海たち4人と沖山千晴が乗るタクシーを目撃した交差点。<br />八丈島旅行⑪				ハチジョウシチョウ	ナ	13	53	2		
0621	0012	完了	東京都	八丈支庁	底土港	100-1511	東京都八丈島八丈町三根		33.123014	139.818982	-						夏色キセキ	ナツイロキセキ	第9話の八丈島旅行で逢沢夏海たち4人が本土行きの船かめりあ丸に乗った港。<br />八丈島旅行⑬				ハチジョウシチョウ	ナ	13	53	2		
0621	0013	完了	東京都	八丈支庁	廃墟	100-1511	東京都八丈島八丈町三根421		33.12172	139.800757	-						夏色キセキ	ナツイロキセキ	第9話の旅行で逢沢夏海たち4人が、沖山千晴の案内で訪れた、水越紗季の父親が勤めることになる診療所「三原医院」のモデルとなった廃墟。<br />八丈島旅行⑫				ハチジョウシチョウ	ナ	13	53	2		
0621	0014	完了	東京都	八丈支庁	民宿 朝日荘	100-1511	東京都八丈島八丈町三根1517		33.123234	139.809447	-					04996-2-2171	夏色キセキ	ナツイロキセキ	第9話の旅行で逢沢夏海たち4人が宿泊した「民宿 晴」のモデル。看板以外はほぼ一緒です。<br />八丈島旅行⑦			ストリートビュー確認不可能	ハチジョウシチョウ	ナ	13	53	2		
0621	0015	完了	東京都	八丈支庁	民芸品あき	100-1511	東京都八丈島八丈町三根1542		33.119874	139.807929	-					04996-2-2093	夏色キセキ	ナツイロキセキ	第9話の旅行で逢沢夏海たち4人が買い物をしていたお土産屋。<br />八丈島旅行⑧			ストリートビュー確認不可能	ハチジョウシチョウ	ナ	13	53	2		
0621	0016	完了	東京都	八丈支庁	神湊港	100-1511	東京都八丈島八丈町三根4205		33.129366	139.805306	"https://www.google.co.jp/maps/@33.1291775,139.8053833,3a,90y,183.09h,99.05t/data=!3m4!1e1!3m2!1sQ_1UH67xFOtmr2jvUY7eBg!2e0?hl=ja"						夏色キセキ	ナツイロキセキ	第9話の旅行で逢沢夏海たち4人が沖山千晴の案内でやってきた港。<br />八丈島旅行⑤				ハチジョウシチョウ	ナ	13	53	2		
0621	0017	完了	東京都	八丈支庁	富士中学校	100-1511	東京都八丈島八丈町三根4655-1		33.125063	139.795552	"https://www.google.co.jp/maps/@33.1244459,139.7960653,3a,39.5y,285.98h,91.21t/data=!3m4!1e1!3m2!1sJ_tedseqT1WmtKZ3rgoTjw!2e0?hl=ja"					04996-2-0244	夏色キセキ	ナツイロキセキ	第9話で旅行で逢沢夏海たち4人が沖山千晴に連れられ夕日を眺めた、水越紗季が転校する予定の学校。<br />八丈島旅行⑥	http://www.hachijomachi-tky.ed.jp/fujichu/sub2.html	http://www.hachijomachi-tky.ed.jp/fujichu/sub2.html	ストリートビュー確認不可能	ハチジョウシチョウ	ナ	13	53	2		
0621	0018	完了	東京都	八丈支庁	八丈富士牧野 ふれあい牧場	100-1401	東京都八丈島八丈町大賀郷		33.130137	139.767599	"https://www.google.co.jp/maps/@33.131,139.7675,3a,75y,90t/data=!3m5!1e2!3m3!1s-IJFdq1whPxk%2FUgEe9G33MHI%2FAAAAAAAAWTE%2FGVUiRf3LTdY!2e4!3e15?hl=ja"	11.0				04996-2-1121 	夏色キセキ	ナツイロキセキ	第9話の旅行で逢沢夏海たち4人が沖山千晴の案内で遊びに行った牛の放牧場。<br />八丈島旅行⑩				ハチジョウシチョウ	ナ	13	53	2		
0621	0019	完了	東京都	八丈支庁	八丈植物公園	100-1401	東京都八丈島八丈町大賀郷2843		33.111961	139.786384	-					04996-2-4811	夏色キセキ	ナツイロキセキ	第9話の旅行で逢沢夏海たちが動物舎のキョンと一緒に写真を撮った場所。<br />八丈島旅行⑨	http://www.hachijo-vc.com/garden/	http://www.hachijo-vc.com/garden/		ハチジョウシチョウ	ナ	13	53	2		
0621	0020	完了	静岡県	熱海市	JR 熱海駅	413-0011	静岡県熱海市田原本町11-1		35.103608	139.077444		12.0					夏色キセキ	ナツイロキセキ	第8話の旅行で電車を乗り換えた駅。<br />八丈島旅行①				アタミシ	ナ	22	9	3		
0621	0021	完了	静岡県	下田市	伊豆急行 伊豆急下田駅	415-0035	静岡県下田市東本郷1		34.679125	138.944222		16.0					夏色キセキ	ナツイロキセキ	第7話冒頭で登場。黒船電車や改札、伊豆下田総合案内所などが描かれていました。第10話では4年前の逢沢夏海たち4人が、オバケ退治に向かうために集合した場所として登場。第11話ではオーディションに向かうために4人が待ち合わせして乗車した駅として登場。				シモダシ	ナ	22	10	3		
0621	0022	完了	静岡県	下田市	伊豆急行 伊豆急下田駅 駅前バスターミナル	415-0035	静岡県下田市東本郷1		34.678683	138.944459	-	16.0					夏色キセキ	ナツイロキセキ	オープニングで花木優香がへばってベンチに座り込んでいたバス停。第4話では、水越紗季と心が入れ替わった花木優香と佐野貴史とのデートを追いかけてきた、優香と心が入れ替わった紗季と逢沢夏海と環凛子の3人がここにやってきます。				シモダシ	ナ	22	10	3		
0621	0023	完了	静岡県	下田市	伊豆急行 伊豆急下田駅 開国の足湯	415-0035	静岡県下田市東本郷1		34.678859	138.944604	"https://www.google.co.jp/maps/@34.6789046,138.9446955,3a,15y,236.43h,85.64t/data=!3m4!1e1!3m2!1s-mDnE44qHcnx-Gr9KxY5OQ!2e0"						夏色キセキ	ナツイロキセキ	第8話で環凛子が浸かっていた足湯。				シモダシ	ナ	22	10	3		
0621	0024	完了	静岡県	下田市	黒船の模型	415-0035	静岡県下田市東本郷1		34.678729	138.944322	"https://www.google.co.jp/maps/@34.6786761,138.9444298,3a,75y,90t/data=!3m5!1e2!3m3!1s-Y_kR3ZoesSo%2FS50DcQVfcBI%2FAAAAAAAAQZk%2F-zwIjCnCuFY!2e4!3e15"	16.0					夏色キセキ	ナツイロキセキ	第4話で水越紗季と心が入れ替わった花木優香が、佐野貴史とデートの待ち合わせをしていた場所。第7話冒頭の下田駅前の描写でも登場。				シモダシ	ナ	22	10	3		
0621	0025	完了	静岡県	下田市	中島橋交差点	415-0035	静岡県下田市東本郷1		34.677904	138.945242	"https://www.google.co.jp/maps/@34.67791,138.945151,3a,75y,206.88h,102.53t/data=!3m4!1e1!3m2!1sRu5OX39l3-suRIaE0GIz-A!2e0?hl=ja"	15.0					夏色キセキ	ナツイロキセキ	第2話で逢沢夏海と水越紗季が、花木優香と環凛子を追いかけるシーンに登場。				シモダシ	ナ	22	10	3		
0621	0026	完了	静岡県	下田市	ローソン下田駅前店	415-0035	静岡県下田市東本郷1-1-1		34.678387	138.944872	"https://www.google.co.jp/maps/@34.678354,138.94456,3a,75y,79.31h,102.1t/data=!3m4!1e1!3m2!1sKMh3JCHQ8yDhY5kOsab5eQ!2e0?hl=ja"	16.0				0558-22-7066	夏色キセキ	ナツイロキセキ	第1話で逢沢夏海、花木優香、環凛子の3人がアイスを買い食いしていたコンビニで、第3話で4人が逢沢大樹と祐介の仲直り作戦を考えていたのも、第5話で夏風邪で休んでいる優香を除く3人が思い出話をしていたのも、第8話で旅行の計画を練っていたのも、第12話で終わらない夏休みについて相談していたのもこの場所。他にも作中頻繁に登場しています。ちなみに夏海たちが座っていたベンチは実際にはありません。				シモダシ	ナ	22	10	3		
0621	0027	完了	静岡県	下田市	下田とうきゅう	415-0035	静岡県下田市東本郷1-2-1		34.678096	138.945787		15.0				0558-23-0109	夏色キセキ	ナツイロキセキ	第8話で逢沢夏海たち4人が水着を買いに来た店。	http://www.tokyu-store.co.jp/shop/guide/shopinfo.php?id=18	http://www.tokyu-store.co.jp/shop/guide/shopinfo.php?id=18		シモダシ	ナ	22	10	3		
0621	0028	完了	静岡県	下田市	田牛サンドスキー場	415-0029	静岡県下田市田牛		34.642977	138.915872	"https://www.google.co.jp/maps/@34.642808,138.915235,3a,75y,90t/data=!3m5!1e2!3m3!1s73722189!2e1!3e10"						夏色キセキ	ナツイロキセキ	第12話の終わらなくなった夏休みで、オーディションに行かずに遊びに行った海。				シモダシ	ナ	22	10	3		
0621	0029	完了	静岡県	下田市	竜宮窟	415-0029	静岡県下田市田牛		34.642082	138.91558	"https://www.google.co.jp/maps/@34.6420342,138.9155631,3a,90y,0.27h,80.16t/data=!3m5!1e1!3m3!1shsF9OPN_YrEAAAQfCXtG9w!2e0!3e11"						夏色キセキ	ナツイロキセキ	第12話の終わらなくなった夏休みで、オーディションに行かずに遊びに行った海辺の洞窟。				シモダシ	ナ	22	10	3		
