作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所２	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在	重要度	重要度
1134	0001		京都府	京都市	京都タワー		京都府京都市下京区東塩小路町721-1										LAIDBACKERS-レイドバッカーズ-	レイドバッカーズ					キョウトシ	レ	26	10	5			
1134	0002		京都府	京都市	上賀茂神社		京都府京都市北区上賀茂本山339										LAIDBACKERS-レイドバッカーズ-	レイドバッカーズ					キョウトシ	レ	26	10	5			
1134	0003		京都府	京都市	四条河原町交差点		京都府京都市下京区御旅町										LAIDBACKERS-レイドバッカーズ-	レイドバッカーズ					キョウトシ	レ	26	10	5			
1134	0004		京都府	京都市	からふね屋珈琲本店		京都府京都市中京区大黒町41										LAIDBACKERS-レイドバッカーズ-	レイドバッカーズ					キョウトシ	レ	26	10	5			
1134	0005		京都府	京都市	四条大橋		京都府京都市下京区斎藤町										LAIDBACKERS-レイドバッカーズ-	レイドバッカーズ					キョウトシ	レ	26	10	5			
1134	0006		京都府	京都市	新京極商店街		京都府京都市中京区中之町										LAIDBACKERS-レイドバッカーズ-	レイドバッカーズ					キョウトシ	レ	26	10	5			
1134	0007		京都府	京都市	三条大橋		京都府京都市中京区中島町										LAIDBACKERS-レイドバッカーズ-	レイドバッカーズ					キョウトシ	レ	26	10	5			
1134	0008		京都府	京都市	出町柳1号踏切		京都府京都市左京区田中上柳町										LAIDBACKERS-レイドバッカーズ-	レイドバッカーズ					キョウトシ	レ	26	10	5			
1134	0009		京都府	京都市	仁和寺		京都府京都市右京区御室大内33										LAIDBACKERS-レイドバッカーズ-	レイドバッカーズ					キョウトシ	レ	26	10	5			
1134	0010		京都府	京都市	銀閣寺 前		京都府京都市左京区銀閣寺町2										LAIDBACKERS-レイドバッカーズ-	レイドバッカーズ					キョウトシ	レ	26	10	5			
