作品No.	聖地No.	15	都道府県	市区郡	聖地名	郵便番号	住所	住所２	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在
0724	0001	完了	東京都	新宿区	JR 新宿駅	160-0022	東京都新宿区新宿3-38-1		35.689581	139.700416	-						干物妹！うまるちゃん	ヒモウトウマルチャン	第2話で、秋田から上京して来た海老名ちゃんが人目を気にしながら中央通路を歩いていた駅。				シンジュクク	ヒ	13	11	2	
0724	0002	完了	東京都	日野市	八王子自動車教習所	191-0065	東京都日野市旭が丘1-1-2		35.658164	139.378980	"https://www.google.co.jp/maps/@35.6582897,139.3786684,3a,15y,119.59h,96.68t/data=!3m7!1e1!3m5!1sdz0mSCfN1K_aj8bqbW_9WQ!2e0!6s%2F%2Fgeo0.ggpht.com%2Fcbk%3Fpanoid%3D9d__7Ea-jrqyEuH3jgdnMA%26output%3Dthumbnail%26cb_client%3Dmaps_sv.tactile.gps%26thumb%3D2%26w%3D203%26h%3D100%26yaw%3D201.89043%26pitch%3D0!7i13312!8i6656?hl=ja"						干物妹！うまるちゃん	ヒモウトウマルチャン	第12話の回想シーンで、土間太平が筆記テストで満点を取っていた自動車教習所。作中では校名が「八王子自動車学校」になっていました。※八王子自動車教習所は2008年10月31日に倒産し、現在は飛鳥ドライビングカレッジ日野となっています。				ヒノシ	ヒ	13	43	2	閉鎖
0724	0003	完了	東京都	八王子市	多賀神社	192-0051	東京都八王子市元本郷町4-9-21		35.663860	139.313039	"https://www.google.co.jp/maps/@35.6637673,139.3138465,3a,49.1y,277.79h,93.4t/data=!3m6!1e1!3m4!1sqmMJrpEa2XBbMX2ZIZ7IoA!2e0!7i13312!8i6656"					042-622-8605	干物妹！うまるちゃん	ヒモウトウマルチャン	第8話で、土間埋と土間大平が初詣に訪れた神社で、鳥居前や社殿、境内の様子が描かれていました。作中では名前が「多湖神社」になっていました。				ハチオウジシ	ヒ	13	38	2	
0724	0004	完了	東京都	八王子市	ヨドバシカメラ八王子店	192-0082	東京都八王子市東町7-4		35.657997	139.339562	"https://www.google.co.jp/maps/@35.656982,139.3391123,3a,15y,18.42h,102.24t/data=!3m6!1e1!3m4!1sWYtH150W4O_WyJALP4S9YA!2e0!7i13312!8i6656"				5		干物妹！うまるちゃん	ヒモウトウマルチャン	第2話の土間埋と海老名菜々の通学シーンで描かれていたビル。第9話で埋が橘・シルフィンフォードに、「俺の姉が異世界の侵略者でどうたらこうたらなんだがどう思う？」のイベントライブDVDが発売されているからと呼び出されて街に出るシーンでも同じカットが描かれていました。	http://www.yodobashi.com/ec/store/0028/			ハチオウジシ	ヒ	13	38	2	
0724	0005	完了	東京都	八王子市	ライオン八王子店	192-0082	東京都八王子市東町13-2		35.658480	139.337863	"https://www.google.co.jp/maps/@35.658389,139.33775,3a,45.9y,44.43h,105.7t/data=!3m6!1e1!3m4!1s30x5PMjMpU7YZSOdDuxYVg!2e0!7i13312!8i6656"					042-646-8833 	干物妹！うまるちゃん	ヒモウトウマルチャン	第2話で、超でかサイズの「ネコロンブス」Bigぬいぐるみが優勝賞品の大じゃんけん大会が開かれていた「PLAZA GAPCOM 北口店」のモデル。土間埋が、2個獲得を狙って南口店での大会に参加しに行ってしまったため、土間大平は一人で参加する羽目に遭っていました。<br />第4話で、埋が「UMA」の異名で恐れられ、超絶テクニックを駆使してクレーンゲームの景品をかっさらっていたのも、埋が出場した格闘ゲーム「SPACE STREAM FIGHTER II」の大会が開かれてしていたのも、この店でした。<br />第5話で夏休みになり、朝からコインゲームをしていた埋が、橘・シルフィンフォードに遭遇していたのもこの店でした。				ハチオウジシ	ヒ	13	38	2	
0724	0006	完了	東京都	八王子市	JR 八王子駅	192-0083	東京都八王子市旭町1-1		35.655932	139.338927	-						干物妹！うまるちゃん	ヒモウトウマルチャン	第6話の土間太平の出勤シーンでホームが描かれていた駅で、同話にて、服を買いに行く土間埋が、海老名菜々、本場切絵と待ち合わせをしていたのもこの駅の北口でした。				ハチオウジシ	ヒ	13	38	2	
0724	0007	完了	東京都	八王子市	グランド東京ビル 前	192-0085	東京都八王子市中町2		35.658484	139.337730	"https://www.google.co.jp/maps/@35.658428,139.337759,3a,50.6y,296.81h,87.93t/data=!3m6!1e1!3m4!1sySpo_zxx4QSMyz9FU7S6yA!2e0!7i13312!8i6656!6m1!1e1"						干物妹！うまるちゃん	ヒモウトウマルチャン	第4話の土間埋と海老名菜々の通学シーンで、埋のあまりの美少女っぷりに、男女問わず周囲の人たちが見惚れている中、ゲームセンターに新しい景品が入っている事を見抜いて密かに目を付けていたのがこの建物の前で、実際にゲームセンターのモデルであるライオン八王子店の向かいの位置になります。作中ではcosmicの文字が「CONBU」になっていました。				ハチオウジシ	ヒ	13	38	2	
0724	0008	完了	神奈川県	藤沢市	新江ノ島水族館	251-0035	神奈川県藤沢市片瀬海岸2-19-1		35.309513	139.479994	"https://www.google.co.jp/maps/@35.309232,139.4808528,3a,28.7y,276.21h,94.15t/data=!3m6!1e1!3m4!1sNtq5_3tx67twIufKu2psGQ!2e0!7i13312!8i6656"						干物妹！うまるちゃん	ヒモウトウマルチャン	第12話で、江ノ島に遊びに来た土間埋たち一行が訪れた水族館で、海老名菜々が妹だったら良かったのにという不用意な発言をした本場猛が、本場切絵に江ノ島土産の木刀でボコボコにされていました。				フジサワシ	ヒ	14	15	2	
0724	0009	完了	神奈川県	藤沢市	弁天橋	251-0036	神奈川県藤沢市江の島1		35.304728	139.482324	"https://www.google.co.jp/maps/@35.3047947,139.4823515,2a,36.8y,193.15h,88.87t/data=!3m7!1e1!3m5!1sDug00AioCLD77imPKjG1Ag!2e0!3e11!7i13312!8i6656"						干物妹！うまるちゃん	ヒモウトウマルチャン	第12話で、江ノ島へ遊びに来た土間埋たち一行が、海を眺めて感動していた橋。				フジサワシ	ヒ	14	15	2	
0724	0010	完了	神奈川県	藤沢市	貝作総本店	251-0036	神奈川県藤沢市江の島1-3-20		35.302193	139.481549	"https://www.google.co.jp/maps/@35.3021798,139.4817209,3a,21.1y,275.15h,92.38t/data=!3m6!1e1!3m4!1s5D_JexKWUCqm4uxRXksPPQ!2e0!7i13312!8i6656"				4.5	0466-22-3759	干物妹！うまるちゃん	ヒモウトウマルチャン	第12話で、江ノ島へ遊びに来た土間埋たち一行が、昼食を食べていた店。埋たちが食べていたのは、店前の簡易のテーブル席でした。ちなみに埋は焼きとうもろこし、土間大平はホタテバター、海老名菜々はしらす丼、本場切絵はいか丸焼きを食べていました。	http://homepage2.nifty.com/kaisaku/			フジサワシ	ヒ	14	15	2	
0724	0011	完了	神奈川県	藤沢市	弁財天仲見世通り	251-0036	神奈川県藤沢市江の島1-4		35.301069	139.480518	"https://www.google.co.jp/maps/@35.3010725,139.4804981,3a,90y,184.06h,86.36t/data=!3m6!1e1!3m4!1sy3XKMnMSuUL6LUoiuFWysw!2e0!7i13312!8i6656"				1		干物妹！うまるちゃん	ヒモウトウマルチャン	第12話の江ノ島観光で、江ノ島神社の参拝の後、土間埋たちがしらす丼やたこせんべいに目をキラキラさせていた商店街。				フジサワシ	ヒ	14	15	2	
