作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所２	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順
1294	0001	完了	北海道	函館市	JR 函館駅	040-0063	北海道函館市若松町12-13		41.774543	140.726514							映画 中二病でも恋がしたい！ -Take On Me-	エイガチュウニビョウデモコイガシタイテイクオンミー	小鳥遊六花と富樫勇太の駆け落ち旅で、六花の母親のいる青森に向かう2人が、札幌から夜行急行列車（はまなす）でやって来た駅。<br />行き止まり構造の駅のために、機関車を切り離し、逆方向に別の機関車を連結させる様子が作中でも描かれており、この作業のための停車時間に、六花がホームで七宮智音や小鳥遊十花と電話で話をしていました。<br />ちなみに2人が乗っていたのは、横になって就寝できる「のびのびカーペットカー」と呼ばれる車両です。<br />六花と勇太の駆け落ち旅その42。				ハコダテシ	エ	1	4	1
1294	0002	完了	北海道	札幌市	札幌時計台	060-0001	北海道札幌市中央区北一条西2		43.062555	141.353520	"https://www.google.co.jp/maps/@43.0622968,141.3532535,3a,42y,35.9h,93.76t/data=!3m6!1e1!3m4!1shC8i2usLgavxbVLM0IKqDg!2e0!7i16384!8i8192"						映画 中二病でも恋がしたい！ -Take On Me-	エイガチュウニビョウデモコイガシタイテイクオンミー	小鳥遊六花と富樫勇太の駆け落ち旅で、北海道入りした2人がいた大通公園シーンの挿入カットで描かれていた建物。なぜか時計台部分が画面から見切れた構図で描かれていました。				サッポロシ	エ	1	1	1
1294	0003	完了	北海道	札幌市	札幌駅南口広場	060-0005	北海道札幌市中央区北五条西3		43.067044	141.350426	"https://www.google.co.jp/maps/@43.0669691,141.350441,2a,52y,353.52h,91.95t/data=!3m6!1e1!3m4!1saydblTVo3EUiPHAi4lGEvg!2e0!7i13312!8i6656"						映画 中二病でも恋がしたい！ -Take On Me-	エイガチュウニビョウデモコイガシタイテイクオンミー	小鳥遊六花と富樫勇太の駆け落ち旅で、北海道入りして現地で防寒着を買い揃えた六花が、防御力が120上がったと言って駅ビルをバックにポーズを取っていた広場。<br />遅れて北海道入りした丹生谷森夏と凸守早苗が六花と勇太を探していたのも、この広場でした。<br />六花と勇太の駆け落ち旅その32。				サッポロシ	エ	1	1	1
1294	0004	完了	北海道	札幌市	札幌駅南口モニュメント	060-0005	北海道札幌市中央区北五条西3	札幌駅南口広場	43.066894	141.350466	"https://www.google.co.jp/maps/@43.0669488,141.3505266,2a,80y,198.63h,86.07t/data=!3m6!1e1!3m4!1sGeQMSXV7Vluigy6x0yugFw!2e0!7i13312!8i6656"						映画 中二病でも恋がしたい！ -Take On Me-	エイガチュウニビョウデモコイガシタイテイクオンミー	小鳥遊六花と富樫勇太の駆け落ち旅で、北海道入りした勇太が、秋葉原で買っておいた指輪「永久なる契約の証（エターナルエンゲージ）」を、ずっとそばにいる証だと言って手渡していた場所。<br />六花と勇太の駆け落ち旅その33。				サッポロシ	エ	1	1	1
1294	0005	完了	北海道	札幌市	大通公園	060-0042	北海道札幌市中央区大通西3		43.060600	141.352733	"https://www.google.co.jp/maps/@43.060603,141.3527214,3a,70y,78.83h,78.74t/data=!3m6!1e1!3m4!1sZCdHAoeabPy906-nixNlKg!2e0!7i13312!8i6656"						映画 中二病でも恋がしたい！ -Take On Me-	エイガチュウニビョウデモコイガシタイテイクオンミー	小鳥遊六花と富樫勇太の駆け落ち旅で、北海道入りした六花が、テレビ塔をバッグにポーズを取っていた公園。噴水を爆発に見立てて戦隊ヒーローの登場シーンを再現していました。<br />丹生谷森夏と一緒に遅れて北海道入りした凸守早苗も、六花と同じく噴水前でポーズを取っていました。<br />六花と勇太の駆け落ち旅その31。				サッポロシ	エ	1	1	1
1294	0006	完了	北海道	札幌市	海老秀 狸小路二丁目店	060-0062	北海道札幌市中央区南ニ条西2-2-11		43.057746	141.355854	"https://www.google.co.jp/maps/@43.0576687,141.3558531,3a,54y,1.8h,85.42t/data=!3m6!1e1!3m4!1sXZSTiDjPm_pQwH1r4UZfCQ!2e0!7i13312!8i6656"						映画 中二病でも恋がしたい！ -Take On Me-	エイガチュウニビョウデモコイガシタイテイクオンミー	駆け落ち旅中の小鳥遊六花と富樫勇太を連れ戻すために丹生谷森夏と一緒に北海道入りした凸守早苗が、「あの味噌ラーメン屋にいるかもです」と、2人を探す建前で食べたいものを物色していた店の一つ。<br />作中では、店名が「海鮮秀」になっていました。				サッポロシ	エ	1	1	1
1294	0007	完了	北海道	札幌市	狸小路商店街（狸小路3ゲート）	060-0062	北海道札幌市中央区南ニ条西3		43.057296	141.353132	"https://www.google.co.jp/maps/@43.0572532,141.3528507,3a,40y,79.11h,96.49t/data=!3m6!1e1!3m4!1sthT9AJLqqoPJSqqn2XPV1A!2e0!7i13312!8i6656"						映画 中二病でも恋がしたい！ -Take On Me-	エイガチュウニビョウデモコイガシタイテイクオンミー	小鳥遊六花と富樫勇太の駆け落ち旅で、六花の母の家に向かう2人が乗った路面電車がゲート前を横切る様子が描かれていました。<br />遅れて北海道入りした丹生谷森夏と凸守早苗が、2人を探す建前で食べたいものを物色していたのもこのゲート周辺で、そんな2人の行動を見抜いていた小鳥遊十花から脅迫のメッセージが届いていました。<br />六花と勇太の駆け落ち旅その34。				サッポロシ	エ	1	1	1
1294	0008	完了	北海道	札幌市	スープカレーGARAKU	060-0063	北海道札幌市中央区南三条西2-7	2F	43.056864	141.354914	"https://www.google.co.jp/maps/@43.0569394,141.3549407,3a,15y,200.6h,91.28t/data=!3m6!1e1!3m4!1sQXwyA5ZgmC8j_1GgjOqojg!2e0!7i13312!8i6656"						映画 中二病でも恋がしたい！ -Take On Me-	エイガチュウニビョウデモコイガシタイテイクオンミー	駆け落ち旅中の小鳥遊六花と富樫勇太を連れ戻すために丹生谷森夏と一緒に北海道入りした凸守早苗が、「スープカレーも捨てがたい」と2人を探す建前で食べたいものを物色していた店の一つ。<br />作中では、店名が「KARA!」になっていました。<br />※2017年4月11日に南2条西2-6-1へ移転済。				サッポロシ	エ	1	1	1
1294	0009	完了	北海道	札幌市	南大橋 東詰	062-0912	北海道札幌市豊平区水車町2-2		43.048661	141.362117	"https://www.google.co.jp/maps/@43.0486575,141.3622231,3a,58y,272.45h,83.74t/data=!3m6!1e1!3m4!1sbMMcVqmmaBjQ0caNTIMA0A!2e0!7i13312!8i6656"						映画 中二病でも恋がしたい！ -Take On Me-	エイガチュウニビョウデモコイガシタイテイクオンミー	小鳥遊六花と富樫勇太の駆け落ち旅で、六花の母の家に向かう2人が歩いていた場所。いつも母親と携帯電話でやり取りしている内容を勇太に教えていた六花が、母親からいつも「六花は勇太くんのことが本当に好きなのね」と言われていることを言いかけて、恥ずかしさから思考を読まれないよう日傘でガードしたり、逃げ出そうとして雪に滑って尻もちをついたりしていました。<br />六花と勇太の駆け落ち旅その39。				サッポロシ	エ	1	1	1
1294	0010	完了	北海道	札幌市	すすきの交差点	064-0804	北海道札幌市中央区南四条西4		43.055664	141.353252	"https://www.google.co.jp/maps/@43.0556961,141.352896,3a,38y,115.97h,85.22t/data=!3m6!1e1!3m4!1sPvX1Q3_kD6DRonWZ2SVz3g!2e0!7i16384!8i8192"						映画 中二病でも恋がしたい！ -Take On Me-	エイガチュウニビョウデモコイガシタイテイクオンミー	小鳥遊六花と富樫勇太の駆け落ち旅で、六花の母の家に向かう2人が乗った路面電車が通過していた交差点で、勇太が窓からの景色を見たことがあると言っていました。<br />電車は北側から交差点に入り、右折してすすきの停留場のある月寒通に抜けていく様子が描かれていました。<br />六花と勇太の駆け落ち旅その35。				サッポロシ	エ	1	1	1
1294	0011	完了	北海道	札幌市	菊水・旭山公園通（南9西1南大橋交差点西側）	064-0809	北海道札幌市中央区南九条西1-1		43.049097	141.358134	"https://www.google.co.jp/maps/@43.0491655,141.3575953,3a,20.1y,98.78h,86.5t/data=!3m6!1e1!3m4!1sqblac2SE_c9Nfvic89C2oQ!2e0!7i13312!8i6656"						映画 中二病でも恋がしたい！ -Take On Me-	エイガチュウニビョウデモコイガシタイテイクオンミー	小鳥遊六花と富樫勇太の駆け落ち旅で、六花の母の家に向かう2人が歩いていた場所。<br />六花と勇太の駆け落ち旅その37。				サッポロシ	エ	1	1	1
1294	0012	完了	北海道	札幌市	南大橋	064-0809	北海道札幌市中央区南九条西1-1		43.048809	141.360601	"https://www.google.co.jp/maps/@43.0489,141.3591006,3a,15y,26.23h,89.53t/data=!3m6!1e1!3m4!1ssEvZsfl8D8C2Ke88B06BRA!2e0!7i13312!8i6656"						映画 中二病でも恋がしたい！ -Take On Me-	エイガチュウニビョウデモコイガシタイテイクオンミー	小鳥遊六花と富樫勇太の駆け落ち旅で、六花の母の家に向かう2人が渡っていた橋。<br />六花と勇太の駆け落ち旅その38。				サッポロシ	エ	1	1	1
1294	0013	完了	北海道	札幌市	南九条橋	064-0809	北海道札幌市中央区南九条西４-3		43.048777	141.353694	-						映画 中二病でも恋がしたい！ -Take On Me-	エイガチュウニビョウデモコイガシタイテイクオンミー	小鳥遊六花と富樫勇太の駆け落ち旅で、六花の母の家に向かう2人が歩いていた場所。<br />六花と勇太の駆け落ち旅その36。				サッポロシ	エ	1	1	1
1294	0014	完了	北海道	札幌市	STUDIO JAPAN	064-0913	北海道札幌市中央区南三条西1-3-3	マンビル3F	43.057475	141.356309	"https://www.google.co.jp/maps/@43.0573801,141.3561677,3a,20y,48.82h,90.5t/data=!3m6!1e1!3m4!1s5-fx3LSVfMM3b6K9VGBdfg!2e0!7i16384!8i8192"						映画 中二病でも恋がしたい！ -Take On Me-	エイガチュウニビョウデモコイガシタイテイクオンミー	駆け落ち旅中の小鳥遊六花と富樫勇太を連れ戻すために凸守早苗と一緒に北海道入りした丹生谷森夏が、「こっちのジンギスカン屋が怪しいわ」と、2人を探す建前で食べたいものを物色していた「ジンギスカンJAPAN」のモデル。実際には飲食店ではなく、レンタルスペースです。				サッポロシ	エ	1	1	1
1294	0015	完了	北海道	札幌市	中島公園	064-0931	北海道札幌市中央区中島公園1		43.047511	141.354961	-						映画 中二病でも恋がしたい！ -Take On Me-	エイガチュウニビョウデモコイガシタイテイクオンミー	小鳥遊六花と富樫勇太の駆け落ち旅で、六花の母親を訪ねるも不在だったために会えなかった2人が休憩していた公園。六花の母親に電話をかけて居場所を聞いていました。<br />六花と勇太の駆け落ち旅その40。				サッポロシ	エ	1	1	1
1294	0016	完了	北海道	北広島市	南の里2号踏切	061-1154	北海道北広島市南の里		42.954530	141.570019	"https://www.google.co.jp/maps/@42.9547507,141.5707343,3a,52y,247.87h,98.18t/data=!3m6!1e1!3m4!1slJ18XqQVVUAbNVfo9YQLOw!2e0!7i13312!8i6656"						映画 中二病でも恋がしたい！ -Take On Me-	エイガチュウニビョウデモコイガシタイテイクオンミー	小鳥遊六花と富樫勇太の駆け落ち旅で、六花の母のもとへ向かう六花と勇太が乗る電車が通過していた踏切。<br />六花と勇太の駆け落ち旅その41。				キタヒロシマシ	エ	1	33	1
