作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所2	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在
0335	0001	完了	鳥取県	東伯郡	JR 浦安駅	689-2303	鳥取県東伯郡琴浦町徳万大久保田271		35.499681	133.693431	"https://www.google.co.jp/maps/@35.500018,133.693394,3a,75y,161.05h,93.94t/data=!3m4!1e1!3m2!1sN3l8uDr1IMTfspjm9rdMLw!2e0?hl=ja"						琴浦さん	コトウラサン	第4話で「ESP研究会」の3人が琴浦春香を迎えにやって来た駅のモデル。作中では駅名が「KR琴浦駅」に変えられていました。ちなみに駅のある琴浦町は主人公の名字の由来となった町です。第6話で「ESP研究会」の面々が夏休みに琴浦春香の実家に遊びに来た際に再登場しました。				トウハクグン	コ	31	5	6	
0335	0002	完了	鳥取県	東伯郡	斉尾廃寺跡	689-2305	鳥取県東伯郡琴浦町槻下		35.48154	133.711477	-						琴浦さん	コトウラサン	第12話オープニング後の提供バックに使われていた実写写真の場所。敷地内に複数石碑がありますが、撮影されていたのは講堂址の石碑になります。				トウハクグン	コ	31	5	6	
0335	0003	完了	鳥取県	東伯郡	春日神社 伯耆の大シイ	689-2323	鳥取県東伯郡琴浦町宮場		35.433781	133.683764	-						琴浦さん	コトウラサン	第8話オープニング後の提供バックに使われていた実写写真の場所。				トウハクグン	コ	31	5	6	
0335	0004	完了	鳥取県	東伯郡	大山滝	689-2336	鳥取県東伯郡琴浦町野井倉		35.374444	133.595	"https://www.google.co.jp/maps/@35.375054,133.595767,3a,75y,90t/data=!3m5!1e2!3m3!1s25328124!2e1!3e10?hl=ja"						琴浦さん	コトウラサン	第1話オープニング後の提供バックに使われていた実写写真の場所。				トウハクグン	コ	31	5	6	
0335	0005	完了	鳥取県	東伯郡	光徳寺山門	689-2342	鳥取県東伯郡琴浦町公文227		35.465845	133.691291	-					0858-52-2465	琴浦さん	コトウラサン	第11話オープニング後の提供バックに使われていた実写写真の場所。山門前の階段下から山門を見上げた構図で撮影されていました。				トウハクグン	コ	31	5	6	
0335	0006	完了	鳥取県	東伯郡	波しぐれ三度傘	689-2501	鳥取県東伯郡琴浦町赤碕		35.515304	133.650583	-						琴浦さん	コトウラサン	第6話オープニング後の提供バックに使われていた実写写真の場所。菊港東突堤に設置された流政之氏の石造彫刻です。				トウハクグン	コ	31	5	6	
0335	0007	完了	鳥取県	東伯郡	神崎神社	689-2501	鳥取県東伯郡琴浦町赤碕210		35.512631	133.650795	"https://www.google.co.jp/maps/@35.512673,133.650707,3a,75y,90t/data=!3m5!1e2!3m3!1s97744616!2e1!3e10?hl=ja"						琴浦さん	コトウラサン	第9話オープニング後の提供バックに使われていた実写写真の場所。拝殿向拝天井にある龍の彫刻になります。				トウハクグン	コ	31	5	6	
0335	0008	完了	鳥取県	東伯郡	鳴り石の浜	689-2501	鳥取県東伯郡琴浦町赤碕		35.518954	133.629541	-						琴浦さん	コトウラサン	第4話オープニング後の提供バックに使われていた実写写真の場所。				トウハクグン	コ	31	5	6	
0335	0009	完了	鳥取県	東伯郡	転法輪寺	689-2502	鳥取県東伯郡琴浦町別所472		35.425373	133.65863	-					0858-57-2053	琴浦さん	コトウラサン	第3話オープニング後の提供バックに使われていた実写写真の場所。Blueray＆DVD第1巻のCMでも紹介されていました。				トウハクグン	コ	31	5	6	
0335	0010	完了	鳥取県	東伯郡	琴浦うまいもんや	689-2502	鳥取県東伯郡琴浦町別所1030-1	物産館ことうら内	35.502153	133.65849	-					0858-55-6566	琴浦さん	コトウラサン	第10話オープニング後の提供バックに使われていた実写写真の場所。ラーメンとカツカレーライスの乗った丸テーブルとイスのみ登場。				トウハクグン	コ	31	5	6	
0335	0011	完了	鳥取県	東伯郡	船上山	689-2525	鳥取県東伯郡琴浦町山川‎		35.431442	133.598363	"https://www.google.co.jp/maps/@35.431495,133.598368,3a,75y,90t/data=!3m5!1e2!3m3!1s4522109!2e1!3e10?hl=ja"						琴浦さん	コトウラサン	第2話オープニング後の提供バックに使われていた実写写真の場所。				トウハクグン	コ	31	5	6	
0335	0012	完了	鳥取県	東伯郡	光の鏝絵	689-2534	鳥取県東伯郡琴浦町光		35.503428	133.620738	-						琴浦さん	コトウラサン	第7話オープニング後の提供バックに使われていた実写写真の場所。絵柄は亀でした。			座標確認できず	トウハクグン	コ	31	5	6	
0335	0013	完了	鳥取県	東伯郡	河本家住宅	689-2544	鳥取県東伯郡琴浦町篦津393		35.515642	133.615633	-						琴浦さん	コトウラサン	第5話オープニング後の提供バックに使われていた実写写真の場所。外観映像はなく、屋内畳部屋と火鉢のみ登場。	http://kawamotoke.com/	http://kawamotoke.com/	ストリートビュー確認不可能	トウハクグン	コ	31	5	6	
