No.	確定	都道府県	市区郡	場所・スポット	郵便番号	住所	住所2	座標：緯度	座標：経度	SV	倍率	電話番号	ジャンル	ジャンルフリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	項目順	県順	市順	域順
1	完了	北海道	函館市	アニメイト函館	041-0806	北海道函館市美原1-4-3	エスポワール石沢3F	41.813876	140.757509			0138-23-2622	アニメイト	アニメイト	アニメ・コミック・ゲーム関連グッズ専門店<br />※和光ビル（若松町20-1）から移転し、2013年8月31日にリニューアルオープン	https://www.animate.co.jp/shop/hakodate/			ハコダテシ	ア	12	1	4	1
2		北海道	札幌市	ポケモンセンターサッポロ	060-0005	北海道札幌市中央区北5条西4-7	大丸札幌店 8F	43.067468	141.349268				ポケモンセンター	ポケモンセンター		https://www.pokemon.co.jp/shop/pokecen/sapporo/			サッポロシ	ホ	27	1	1	1
3	完了	北海道	札幌市	ボークス札幌ショールーム	060-0061	北海道札幌市中央区南一条西2-9-1	IKEUCHI ZONE B2F	43.058941	141.354416			011-218-5441	ボークス	ボークス	模型・フィギュアメーカーのボークスが、ホビー最新情報発信基地として展開するホビー専門店	http://www.volks.co.jp/jp/shop/sapporo_sr/			サッポロシ	ホ	24	1	1	1
4	完了	北海道	札幌市	アニメイト札幌	060-0062	北海道札幌市中央区南二条西1-5	丸大ビル2F	43.058727	141.356055			011-219-1223	アニメイト	アニメイト	アニメ・コミック・ゲーム関連グッズ専門店	https://www.animate.co.jp/shop/sapporo/			サッポロシ	ア	12	1	1	1
5	完了	北海道	札幌市	ACOS札幌	060-0062	北海道札幌市中央区南二条西1-5	丸大ビル2F	43.058727	141.356055			011-231-5541	アニメイト	アニメイト	アニメキャラクターのコスプレ衣装、ウィッグ、グッズなどを販売するアニメイトのコスチューム館	https://www.acos.me/store/detail.php?store=sapporo			サッポロシ	ア	12	1	1	1
6	完了	北海道	札幌市	らしんばん札幌店 本館	060-0062	北海道札幌市中央区南二条西1-5	丸大ビル3F	43.058727	141.356055			011-222-0337	らしんばん	ラシンバン	同人誌、コミック、アニメCD・DVD・LD、アニメ・ゲームグッズ、PCソフトの中古品販売店<br />※2002年5月25日オープン	https://www.lashinbang.com/store/sapporo/			サッポロシ	ラ	19	1	1	1
7	完了	北海道	札幌市	らしんばん札幌店 衣装館	060-0062	北海道札幌市中央区南二条西1-5	丸大ビル4F	43.058727	141.356055			011-222-0358	らしんばん	ラシンバン	「らしんばん」のコスプレ衣装専門店	https://www.lashinbang.com/store/sapporo_3/			サッポロシ	ラ	19	1	1	1
8	完了	北海道	札幌市	ゲーマーズ札幌店	060-0062	北海道札幌市中央区南ニ条西1-5	丸大ビル5Ｆ	43.059086	141.354944			011-223-2177	ゲーマーズ	ゲーマーズ	キャラクターグッズを中心としたアニメ・コミック・ゲーム関連グッズ専門店<br />※2015年6月27日に、第5藤井ビル2Ｆ（札幌市中央区南一条西2-4）から現在地に移転	https://www.gamers.co.jp/shop/2418/			サッポロシ	ケ	16	1	1	1
9	完了	北海道	札幌市	メロンブックス札幌店	060-0062	北海道札幌市中央区南二条西1-5	丸大ビルB1F	43.058727	141.356055			011-219-3077	メロンブックス	メロンブックス	アニメ・コミック・ゲーム系同人誌と音楽CD、関連キャラクターグッズ専門店<br />※メロンブックス1号店	https://www.melonbooks.co.jp/shop/shop.php?wp_id=2			サッポロシ	メ	20	1	1	1
10	完了	北海道	札幌市	とらのあな札幌店	060-0062	北海道札幌市中央区南二条西1-7-1	2番館ビル 1F	43.058717	141.356063			011-223-6766	とらのあな	トラノアナ	同人誌及びアニメ・コミック・ゲーム関連グッズ専門店	http://www.toranoana.jp/shop/sapporo/			サッポロシ	ト	14	1	1	1
11	完了	北海道	札幌市	TOWERanime札幌ビヴォ店	060-0062	北海道札幌市中央区南二条西4	ピヴォ4F	43.058032	141.352059				TOWERanime	タワーアニメ	タワーレコードが、既存店を改装して新設したアニソンに特化した専門店<br />同人CDを含むCDならびにDVDなど映像作品をはじめ、書籍、雑誌、コミックからフィギュア、トレーディングカードなど関連グッズ全般を取り扱っています。<br />※2017年6月30日オープン	https://tower.jp/toweranime/shop/sapporopivot/			サッポロシ	タ	25	1	1	1
12	完了	北海道	札幌市	まんだらけ 札幌店	060-0063	北海道札幌市中央区南三条西5-1-1	NORBESAビル2F	43.056111	141.350945			011-207-7773	まんだらけ	マンダラケ	マンガ専門の古書店	http://www.mandarake.co.jp/shop/index_spr.html			サッポロシ	マ	21	1	1	1
13	完了	北海道	札幌市	駿河屋札幌ノルベサ店	060-0063	北海道札幌市中央区南三条西5-1-1	NORBESAビル3F	43.056111	141.350945				駿河屋	スルガヤ	ゲーム・古本・DVD・CD・トレカ・フィギュア 通販ショップ「駿河屋」の実店舗<br />※2018年7月オープン	http://www.a-too.co.jp/shopsearch/駿河屋札幌ノルベサ店/			サッポロシ	ス	23	1	1	1
14		北海道	札幌市	ジャングル札幌店	060-0063	北海道札幌市中央区南三条西5-1-1	NORBESAビル3F	43.056088	141.350924			011-213-1062	ジャングル	ジャングル		https://jungle-scs.co.jp/?page_id=73			サッポロシ	シ	26	1	1	1
15		北海道	千歳市	ポケモンストア 新千歳空港店	066-0012	北海道千歳市美々987	新千歳空港国内線ターミナルビル 2F	42.787671	141.680563				ポケモンセンター	ポケモンセンター		https://www.pokemon.co.jp/shop/store/new-chitose-airport/			チトセシ	ホ	27	1	24	1
16	完了	北海道	旭川市	アニメイト旭川	070-0032	北海道旭川市二条通7-227-1	マルカツデパート4F	43.76653	142.359209			0166-27-1303	アニメイト	アニメイト	アニメ・コミック・ゲーム関連グッズ専門店	https://www.animate.co.jp/shop/asahikawa/			アサヒカワシ	ア	12	1	2	1
17	完了	北海道	釧路郡	アニメイトイオン釧路	088-0621	北海道釧路郡釧路町桂木1-1-7 	イオン釧路2F	43.009184	144.404733			0154-39-5561	アニメイト	アニメイト	アニメ・コミック・ゲーム関連グッズ専門店<br />※2012年6月7日オープン	https://www.animate.co.jp/shop/kushiro/			クシログン	ア	12	1	58	1
18	完了	青森県	青森市	アニメイト青森	030-0862	青森県青森市古川1-14-5	フクシスポーツビル4F	40.825521	140.737315			017-721-1212	アニメイト	アニメイト	アニメ・コミック・ゲーム関連グッズ専門店	https://www.animate.co.jp/shop/aomori/			アオモリシ	ア	12	2	1	1
19	完了	青森県	八戸市	アニメイト八戸ラピア	031-0801	青森県八戸市江陽2-14-1	ラピア2F	40.521836	141.503047			0178-73-6540	アニメイト	アニメイト	アニメ・コミック・ゲーム関連グッズ専門店<br />※2020年10月17日にアニメイト八戸（青森県八戸市十三日町16 チーノはちのへ4F）から移転リニューアルオープン	https://www.animate.co.jp/shop/hachinohe/			ハチノヘシ	ア	12	2	3	1
20	完了	青森県	弘前市	アニメイト弘前	036-8003	青森県弘前市大字駅前町9番地20	HIRORO4F	40.597391	140.482113			0172-31-2131	アニメイト	アニメイト	アニメ・コミック・ゲーム関連グッズ専門店<br />※2013年7月27日オープン	https://www.animate.co.jp/shop/hirosaki/			ヒロサキシ	ア	12	2	2	1
21	完了	秋田県	秋田市	アニメイト秋田	010-0001	秋田県秋田市中通2-8-1	フォンテAKITA B1F	39.716296	140.127607			018-884-7773	アニメイト	アニメイト	アニメ・コミック・ゲーム関連グッズ専門店<br />※2017年5月20日に、エスポワール緑屋6F（秋田市中通2-7-6）から現在地へ移転	https://www.animate.co.jp/shop/akita/			アキタシ	ア	12	5	1	1
22	完了	岩手県	盛岡市	アニメイト盛岡	020-0034	岩手県盛岡市盛岡駅前通7-12	はちや盛岡駅前ビル2F	39.701978	141.138673			019-606-2266	アニメイト	アニメイト	アニメ・コミック・ゲーム関連グッズ専門店	https://www.animate.co.jp/shop/morioka/			モリオカシ	ア	12	3	1	1
23		宮城県	仙台市	ポケモンセンタートウホク	980-0021	宮城県仙台市青葉区中央1-2-3	仙台PARCO 8F	38.262031	140.881493				ポケモンセンター	ポケモンセンター		https://www.pokemon.co.jp/shop/pokecen/tohoku/			センダイシ	ホ	27	4	1	1
24	完了	宮城県	仙台市	アニメガ×ソフマップ 仙台駅前店	980-0021	宮城県仙台市青葉区中央4-1-1	仙台駅前イービーンズ1F	38.258620	140.879778			0077-78-9888	アニメガ	アニメガ	文教堂書店のアニメ関連商品の販売に特化した店舗としてスタートした「アニメガ」が、ソフマップに事業譲渡され、2019年11月1日に「アニメガ×ソフマップ」として新たにオープンした店舗	https://www.sofmap.com/tenpo/contents/?id=shops&sid=animega_sendai			センダイシ	ア	22	4	1	1
25	完了	宮城県	仙台市	ボークス仙台ショールーム	980-0021	宮城県仙台市青葉区中央4-1-1	仙台駅前イービーンズ5F	38.258620	140.879778			022-726-3070	ボークス	ボークス	模型・フィギュアメーカーのボークスが、ホビー最新情報発信基地として展開するホビー専門店	http://www.volks.co.jp/jp/shop/sendai_sr/			センダイシ	ホ	24	4	1	1
26	完了	宮城県	仙台市	アニメイト仙台	980-0021	宮城県仙台市青葉区中央4-1-1	仙台駅前イービーンズ7F	38.258620	140.879778			022-264-0437	アニメイト	アニメイト	アニメ・コミック・ゲーム関連グッズ専門店<br />※2015年1月24日に、新仙台駅前ビル2F（仙台市青葉区中央3-8-5）から現在地に移転	https://www.animate.co.jp/shop/sendai/			センダイシ	ア	12	4	1	1
27	完了	宮城県	仙台市	ACOS仙台	980-0021	宮城県仙台市青葉区中央4-1-1	仙台駅前イービーンズ7F	38.258620	140.879778			022-264-2221	アニメイト	アニメイト	アニメキャラクターのコスプレ衣装、ウィッグ、グッズなどを販売するアニメイトのコスチューム館<br />※2015年1月24日に、新仙台駅前ビル2F（仙台市青葉区中央3-8-5）から現在地に移転	https://www.acos.me/store/detail.php?store=sendai			センダイシ	ア	12	4	1	1
28	完了	宮城県	仙台市	アニメイトカフェショップ仙台	980-0021	宮城県仙台市青葉区中央4-1-1	仙台駅前イービーンズ8F	38.258620	140.879778			022-797-3930	アニメイトカフェ	アニメイトカフェ	アニメイトカフェの過去のコラボ商品を集めた専門ショップ	https://cafe.animate.co.jp/shop/cs_sendai/			センダイシ	ア	13	4	1	1
29	完了	宮城県	仙台市	ゲーマーズ仙台店	980-0021	宮城県仙台市青葉区中央4-1-1	仙台駅前イービーンズ8F	38.258620	140.879778			022-726-2850	ゲーマーズ	ゲーマーズ	キャラクターグッズを中心としたアニメ・コミック・ゲーム関連グッズ専門店<br />※2015年1月24日に中央古久根ビル3Fから移転リニューアルオープン	https://www.gamers.co.jp/shop/4096/			センダイシ	ケ	16	4	1	1
30	完了	宮城県	仙台市	らしんばん仙台店	980-0021	宮城県仙台市青葉区中央4-1-1	仙台駅前イービーンズ8F	38.258620	140.879778			022-716-1377	らしんばん	ラシンバン	同人誌、コミック、アニメCD・DVD・LD、アニメ・ゲームグッズ、PCソフトの中古品販売店<br />※2005年4月2日オープン	https://www.lashinbang.com/store/sendai/			センダイシ	ラ	19	4	1	1
31	完了	宮城県	仙台市	メロンブックス仙台店	980-0021	宮城県仙台市青葉区中央3-8-5	新仙台駅前ビル2F	38.258872	140.878810			022-264-0455	メロンブックス	メロンブックス	アニメ・コミック・ゲーム系同人誌と音楽CD、関連キャラクターグッズ専門店<br />※2015年1月24日に、中央古久根ビル2Fから移転リニューアルオープン	https://www.melonbooks.co.jp/shop/shop.php?wp_id=3			センダイシ	メ	20	4	1	1
32	完了	宮城県	仙台市	ジーストア仙台	980-0021	宮城県仙台市青葉区中央3-8-3	ピースビル仙台駅前2F	38.259	140.878646			022-722-5220	ジーストア	ジーストア	キャラクターグッズ専門店<br />コスパ商品正規取扱店舗	http://www.geestore.com/geenet/geestore/sendai			センダイシ	シ	18	4	1	1
33		宮城県	仙台市	コスパ ジーストア仙台店	980-0021	宮城県仙台市青葉区中央3-8-3	ピースビル仙台駅前2F	38.259	140.878646				COSPA	コスパ		https://www.cospa.com/event/id/19702			センダイシ	コ	15	4	1	1
34	完了	山形県	山形市	アニメイト山形	990-0039	山形県山形市香澄町3-2-1	山交ビル 2F	38.246543	140.331781			023-615-4611	アニメイト	アニメイト	アニメ・コミック・ゲーム関連グッズ専門店	https://www.animate.co.jp/shop/yamagata/			ヤマガタシ	ア	12	6	1	1
35	完了	福島県	郡山市	らしんばん郡山店	963-8002	福島県郡山市駅前1-16-7	ATi郡山店 7F	37.397019	140.387495			024-927-5502	らしんばん	ラシンバン	同人誌、コミック、アニメCD・DVD・LD、アニメ・ゲームグッズ、PCソフトの中古品販売店<br />※2014年7月12日オープン	https://www.lashinbang.com/store/koriyama/			コオリヤマシ	ラ	19	7	8	1
36	完了	福島県	郡山市	アニメイト郡山	963-8002	福島県郡山市駅前1-16-7	ATi郡山店 8F	37.397064	140.387411			024-934-8111	アニメイト	アニメイト	アニメ・コミック・ゲーム関連グッズ専門店	https://www.animate.co.jp/shop/koriyama/			コオリヤマシ	ア	12	7	8	1
37	完了	福島県	いわき市	アニメイトイオンいわき	970-8026	福島県いわき市平字三倉68-1	イオンいわき 3F	37.050238	140.898225			0246-35-2838	アニメイト	アニメイト	アニメ・コミック・ゲーム関連グッズ専門店	https://www.animate.co.jp/shop/アニメイトイオンいわき/			イワキシ	ア	12	7	4	1
38	完了	福島県	福島市	アニメイト福島	960-8031	福島県福島市栄町1-1	エスパル福島 4F	37.755018	140.460453			024-523-2626	アニメイト	アニメイト	アニメ・コミック・ゲーム関連グッズ専門店	https://www.animate.co.jp/shop/fukushima/			フクシマシ	ア	12	7	1	1
39	完了	東京都	千代田区	プリキュアプリティストア東京店	100-0005	東京都千代田区丸の内1-9-1	東京駅一番街 B1F 東京キャラクターストリート内	35.682407	139.768547			03-6551-2550	その他	ソノタ	『プリキュア』シリーズのグッズを取り扱う東映アニメーションのオフィシャルショップ。<br />※2011年7月15日オープン	http://www.toei-anim.co.jp/ptr/precure/store			チヨダク	ソ	29	13	17	2
