No.	確定	都道府県	市区郡	場所・スポット	郵便番号	住所	住所2	座標：緯度	座標：経度	SV	年	月	日	ジャンル	ジャンルフリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	項目順	県順	市順	域順
1	完了	北海道	函館市	ポケふた　アローラロコン&トゲキッス	040-0044	北海道函館市青柳町17	函館公園	41.755925	140.715683		2021	7	15	マンホール	マンホール	地域ごとにそれぞれの「推しポケモン」を設定し、地域とポケモンの両方の魅力をPRしていく株式会社ポケモンによる企画活動「ポケモンローカルActs」によって、2021年7月15日に設置されたデザインマンホール。				ハコダテシ	マ	9	1	4	1
2		北海道	北斗市	ケンシロウの銅像	041-1242	北海道北斗市市渡1-1-1	新函館北斗駅	41.904421	140.648512	"https://www.google.co.jp/maps/@41.904418,140.6485767,2a,75y,17.02h,75.54t/data=!3m6!1e1!3m4!1smLgglMB9CfF3vK7m1Q1nzQ!2e0!7i13312!8i6656"				モニュメント	モニュメント					ホクトシ	モ	10	1	35	1
3	完了	北海道	小樽市	ポケふた　アローラロコン	047-0032	北海道小樽市稲穂1-4	サンモール一番街	43.195534	140.998287		2021	7	20	マンホール	マンホール	地域ごとにそれぞれの「推しポケモン」を設定し、地域とポケモンの両方の魅力をPRしていく株式会社ポケモンによる企画活動「ポケモンローカルActs」によって、2021年7月20日に設置されたデザインマンホール。				オタルシ	マ	9	1	3	1
4		北海道	根室市	ポケふた　アローラロコン&バリコオル	087-0002	北海道根室市牧の内148	明治公園	43.335932	145.598199		2021	7		マンホール	マンホール					ネムロシ	マ	9	1	23	1
5	完了	北海道	登別市	ポケふた　ロコン&キテルグマ	059-0492	北海道登別市登別東町1-22	登別マリンパークニクス	42.455045	141.181808		2021	7	14	マンホール	マンホール	地域ごとにそれぞれの「推しポケモン」を設定し、地域とポケモンの両方の魅力をPRしていく株式会社ポケモンによる企画活動「ポケモンローカルActs」によって、2021年7月14日に設置されたデザインマンホール。				ノボリベツシ	マ	9	1	30	1
6		北海道	中川郡	ポケふた　ロコン&メタモン	089-3334	北海道本別町北3-1-1	道の駅 ステラ★ほんべつ	43.125790	143.613423		2021			マンホール	マンホール					ナカガワグン	マ	9	1	80	1
7		北海道	足寄郡	ポケふた　アローラロコン&カチコール	089-4315	北海道足寄郡陸別町大通	道の駅 オーロラタウン93りくべつ	43.467673	143.742688		2021			マンホール	マンホール					アショログン	マ	9	1	37	1
8		北海道	標津郡	ポケふた　ロコン&ワカシャモ	086-1164	北海道標津郡中標津町丸山2		43.554568	144.969611		2021			マンホール	マンホール					シベツグン	マ	9	1	64	1
9		北海道	檜山郡	ポケふた　ロコン&ヒコザル	049-0602	北海道檜山郡上ノ国町原歌3		41.808397	140.095386					マンホール	マンホール					ヒヤマグン	マ	9	1	85	1
10		北海道	茅部郡	ポケふた　アローラロコン&マーイーカ	049-2325	北海道茅部郡森町本町6-22		42.108838	140.572912					マンホール	マンホール					カヤベグン	マ	9	1	56	1
