No.	確定	都道府県	市区郡（統計用）	場所・スポット	郵便番号	住所	住所2	座標：緯度	座標：経度	SV	倍率	電話番号	ジャンル	ジャンルフリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	項目順	県順	市順	域順
1	完了	東京都	千代田区	小学館	100-0003	東京都千代田区一ツ橋2-3-1		35.694145	139.758099	"https://www.google.co.jp/maps/@35.6938217,139.758597,3a,43.1y,290.22h,105.51t/data=!3m4!1e1!3m2!1s__2p5qFHJBepzpTDYGkhxw!2e0?hl=ja"		03-3230-5211	出版社	ショウカッカン	「少年サンデー」「ビッグコミック」「ちゃお」「コロコロコミック」などを出版している大手出版社。<br />1922年（大正11年）に、小学生向けの教育図書出版を主たる業務とする出版社として創設。<br />太平洋戦争後は娯楽図書出版にも進出して総合出版社へと発展。	http://www.shogakukan.co.jp/			チヨダク	シ	6	13	17	2
2	完了	東京都	千代田区	集英社	100-0003	東京都千代田区一ツ橋2-5-10		35.694676	139.757963	"https://www.google.co.jp/maps/@35.6945848,139.7585407,3a,75y,283.38h,105.73t/data=!3m4!1e1!3m2!1s3lXwaX8tek57HJsWEWFfew!2e0?hl=ja"		03-3230-6111	出版社	シュウエイシャ	「少年ジャンプ」「りぼん」「マーガレット」などのマンガ雑誌を出版している大手出版社。<br />1926年に小学館の娯楽誌部門が独立して創業。	https://www.shueisha.co.jp/			チヨダク	シ	6	13	17	2
3	完了	東京都	千代田区	グッドスマイルカンパニー	101-0021	東京都千代田区外神田3-16-12	アキバCOビル8F	35.702546	139.771406				関連企業	クットスマイルカンハニイ	フィギュア、玩具メーカー。	http://www.goodsmile.info/			チヨダク	ク	7	13	17	2
4	完了	東京都	千代田区	ホーリーピーク	101-0054	東京都千代田区神田錦町3-6-1	菱和パレス御茶ノ水駿河台101	35.693489	139.762219			03-5283-8513	声優事務所	ホオリイヒイク	レコード会社ポリグラムの元音楽プロデューサーで、スペースクラフトの声優部門を担っていた堀尾裕樹が独立し、2002年5月1日に設立した音楽・声優事務所。	http://www.holypeak.com/			チヨダク	ホ	2	13	17	2
5	完了	東京都	千代田区	少年画報社	101-0061	東京都千代田区神田三崎町3-3-12		35.700534	139.751829				出版社	ショウネンカホウシャ	1945年、今井堅により、自動車教習書や英会話書を発行する出版社・明々社として設立。<br />1947年刊行された『黄金バット』の大ヒットにより、漫画路線に変更。<br />翌1948年に漫画雑誌「冒険活劇文庫」を創刊（1950年に「少年画報」に改題）し、1956年には社名を「少年画報社」に改称。	http://www.shonengahosha.co.jp/			チヨダク	シ	6	13	17	2
6	完了	東京都	千代田区	白泉社	101-0063	東京都千代田区神田淡路町2-2-2		35.696235	139.767761	"https://www.google.co.jp/maps/@35.696412,139.7675617,3a,88.7y,130.24h,119.98t/data=!3m4!1e1!3m2!1s0oApmM-ldifniHoY53TEgA!2e0?hl=ja"		03-3526-8000	出版社	ハクセンシャ	1973年12月1日に集英社から分離独立する形で設立した、「花とゆめ」「LaLa」「ヤングアニマル」などのマンガ雑誌を出版している出版社。<br />社名の由来は「泉のごとく申（白）す」。	http://www.hakusensha.co.jp/			チヨダク	ハ	6	13	17	2
7	完了	東京都	千代田区	カドカワ	102-0071	東京都千代田区富士見2-13-3		35.697837	139.744177	"https://www.google.co.jp/maps/@35.6982939,139.7460495,3a,90y,270h,118.25t/data=!3m4!1e1!3m2!1stXLoo5bIeGnazcODPc_Xqg!2e0?hl=ja"		03-3238-8401	出版社	カトカワ	「少年エース」「ニュータイプ」「コンプティーク」などを出版している大手出版社。<br />1945年に、国文学者・角川源義（角川春樹の父）により創業された「株式会社角川書店」が、2003年4月1日に持株会社制度に移行して「角川ホールディングス」に社名変更し、事業再編の一環として分社化が進められた後、2007年の再分割により、出版・カルチャーコンテンツ部門のみが新設の「株式会社角川書店」に移行。<br />2006年7月に「角川ホールディングス」から「角川グループホールディングス」に、さらに2013年6月に「株式会社KADOKAWA」に社名変更し、2013年10月1日に「株式会社角川書店」を吸収合併。<br />2014年10月には、株式会社ドワンゴと経営統合し、「株式会社KADOKAWA・DWANGO」を設立。<br />2015年10月1日に、「KADOKAWA」と「ドワンゴ」の音を組み合わせた「カドカワ株式会社」に社名を変更。	http://www.kadokawa-hd.co.jp/			チヨダク	カ	6	13	17	2
8	完了	東京都	千代田区	竹書房	102-0072	東京都千代田区飯田橋2-7-3		35.699077	139.749428				出版社	タケショホウ	福岡県出身の実業家・野口恭一郎よって1972年10月に設立された出版社。<br />日本初の麻雀専門誌「月刊近代麻雀」を創刊し、その後、麻雀漫画専門誌や4コマ漫画専門誌を主に出版。現在は通常の漫画雑誌や情報誌、小説、官能小説、写真集などの出版の他、映像ソフトの販売、アニメ作品の製作も行っています。	http://www.takeshobo.co.jp			チヨダク	タ	6	13	17	2
9	完了	東京都	千代田区	VAP	102-0081	東京都千代田区四番町5-6	日テレ四番町ビル1号館	35.688527	139.737245	"https://www.google.co.jp/maps/@35.6887818,139.737084,3a,90y,154.53h,103.76t/data=!3m4!1e1!3m2!1sRy1TrJk-rLYeqNee_gsUZA!2e0?hl=ja"			音楽会社	ハッフ	日本テレビ放送網などの出資により1981年1月24日に設立された、日本テレビ系のドラマ・アニメを中心としたDVDの販売会社。<br />社名は、Video Audio Projectの頭文字から。				チヨダク	ハ	5	13	17	2
10	完了	東京都	千代田区	DLE	102-0083	東京都千代田区麹町3-3-4	KDX麹町ビル7F	35.683782	139.738947				アニメ制作会社	ティイエルイイ	ソニー海外事業部出身の椎木隆太が、2001年に設立した映像コンテンツ制作会社。<br />設立当初は「有限会社パサニア」という名称でしたが、2003年に「株式会社ディー・エル・イー」に改組・商号変更。「DLE」は、「Dream Link Entertainment」（和訳：夢をつなぐエンタテインメント企業）の略。<br />映像コンテンツ制作事業と並行して、多数所属する蛙男商会等のFlash職人が制作するFlashアニメーションを駆使したクロスメディア・コンサルティング、プロモーションを行なっている。				チヨダク	テ	1	13	17	2
11	完了	東京都	千代田区	ミュージックレイン	102-0085	東京都千代田区六番町4-5	SME六番町ビル	35.688799	139.734842	"https://www.google.co.jp/maps/@35.689221,139.7350148,3a,75y,192.15h,104.65t/data=!3m4!1e1!3m2!1slEy2cIroM3AhGxaNe2r2Kw!2e0?hl=ja"			声優事務所	ミュウシックレイン	ソニー・ミュージックエンタテインメント傘下の声優事務所。2003年頃にソニー・ミュージックエンタテインメント内のレーベルとして事業が開始され、2005年4月に別会社として設立。<br />2005～2006年に行われた「ミュージックレイン スーパー声優オーディション」にて寿美菜子、高垣彩陽、戸松遥、豊崎愛生の4人（2009年に声優ユニット「スフィア」を結成）を発掘し、この4名が所属する事務所として知られている。<br />2011年の第2回オーディションでは、雨宮天、麻倉もも、夏川椎菜の3人を選出（2014年に声優ユニット「TrySail」を結成）。<br />2017年の第3回オーディションでは、相川奏多、橘美來、夏目ここな、日向もか、宮沢小春の5人を選出。	http://www.sme.co.jp/sme/corporate/mra.html			チヨダク	ミ	2	13	17	2
12	完了	東京都	千代田区	アニプレックス	102-0085	東京都千代田区六番町4-5	SME六番町ビル	35.688812	139.734855	"https://www.google.co.jp/maps/@35.689221,139.7350148,3a,75y,192.15h,104.65t/data=!3m4!1e1!3m2!1slEy2cIroM3AhGxaNe2r2Kw!2e0?hl=ja"		03-5211-7555	関連企業	アニフレックス	アニメの企画・製作および販売会社。<br />1995年9月に設立した、ソニー・ピクチャーズ エンタテインメントの子会社で、2001年1月にはソニー・ミュージックエンタテインメントの完全子会化。<br />2005年には、アニメ制作会社「A-1 Pictures」を設立してアニメ制作にも進出。<br />社名は、「Animation」と権利ビジネスの複合体の意である「Complex」を合成した造語。	http://www.aniplex.co.jp/			チヨダク	ア	7	13	17	2
13	完了	東京都	港区	アニマックスブロードキャスト・ジャパン	105-0001	東京都港区虎ノ門4-1-28	虎ノ門タワーズ オフィス	35.666054	139.743721			03-5402-1730	関連企業	アニマックスフロオトキャストシャハン	アニメ専門チャンネル「ANIMAX」の運営会社。ソニー・ピクチャーズと三井物産による合弁会社として1998年5月20日に設立。	http://www.animax.co.jp/			ミナトク	ア	7	13	22	2
14	完了	東京都	港区	文化放送	105-8002	東京都港区浜松町1-31		35.656895	139.75715	"https://www.google.co.jp/maps/@35.656601,139.7567287,3a,75y,46.97h,112.02t/data=!3m4!1e1!3m2!1sYK58DvXuow56sO96nR_lvg!2e0?hl=ja"		03-5403-1111	関連企業	フンカホウソウ	アニメ、声優関連のラジオ番組を配信している民放ラジオ局	http://www.joqr.co.jp/			ミナトク	フ	7	13	22	2
15	完了	東京都	港区	日本コロムビア	105-8482	東京都港区虎ノ門4-1-40　 	江戸見坂森ビル	35.666425	139.745176	"https://www.google.co.jp/maps/@35.6665651,139.7449482,3a,90y,127.94h,107.56t/data=!3m4!1e1!3m2!1sFPZn3nRGoc8qT0GQugJgyg!2e0?hl=ja"		03-6895-9001	音楽会社	ニホンコロムヒア	音楽会社	http://columbia.jp/			ミナトク	ニ	5	13	22	2
16	完了	東京都	港区	ポニーキャニオン	106-8487	東京都港区六本木1-5-17	泉ガーデンANNEX	35.664246	139.740549			03-5521-8000	音楽会社	ホニイキャニオン	音楽会社	http://www.ponycanyon.co.jp/			ミナトク	ホ	5	13	22	2
17	完了	東京都	港区	ブーメランスタジオ	106-0032	東京都港区六本木5-10-31	第2矢口ビル2F	35.660094	139.732738			03-5775-1205	アフレコスタジオ	フウメランスタシオ	2000年8月設立のアフレコスタジオ。	http://www.boomerang.co.jp/			ミナトク	フ	3	13	22	2
